org_name	org_url
Youth Journalism International	/org/youth-journalism-international
Save the Children Federation, Inc.	/org/save-the-children-federation-inc
Greater New Haven Community Chorus Inc	/org/greater-new-haven-community-chorus-inc
New Fairfield Sherman Animal Welfare Society Incorporated	/org/new-fairfield-sherman-animal-welfare-society-incorporated
Smart Kids with Learning Disabilities, Inc.	/org/smart-kids-with-learning-disabilities-inc
Cornelia de Lange Syndrome Foundation, Inc.	/org/cornelia-de-lange-syndrome-foundation-inc
STARelief and Pet Assistance	/org/starelief-and-pet-assistance
Forever Feisty Chinchilla Rescue Inc	/org/forever-feisty-chinchilla-rescue-inc-1
OPIN	/org/opin
Pet Assistance Inc	/org/pet-assistance-inc
Gardner's House Inc	/org/gardners-house-inc
Work Vessels For Vets Inc	/org/work-vessels-for-vets-inc
North Star Foundation	/org/north-star-foundation-2
Dravet Syndrome Foundation, Inc.	/org/dravet-syndrome-foundation-inc
All Our Kin	/org/all-our-kin-inc
Hole in the Wall Gang Fund, Inc.	/org/hole-in-the-wall-gang-fund-inc
Beech Brook Farm	/org/beech-brook-farm
buildOn	/org/buildon
Haitian Health Foundation, Inc.	/org/haitian-health-foundation-inc
Raynauds Association Inc	/org/raynauds-association-inc
Save the Kid Fund Inc	/org/save-the-kid-fund-inc
Friendship Ambassadors Foundation	/org/friendship-ambassadors-foundation
Center of Hope Haiti Inc	/org/center-of-hope-haiti-inc
'r kids Family Center	/org/r-kids-family-center
Greater Middletown Chorale Inc	/org/greater-middletown-chorale-inc
Gesell Institute of Child Development Inc	/org/gesell-institute-of-child-development-inc
Service for Peace Inc	/org/service-for-peace-inc
Connecticut Association for the Gifted Inc	/org/connecticut-association-for-the-gifted-inc
Mary's Place, Inc.	/org/marys-place-inc
Women of Power Network, Inc	/org/women-of-power-network-inc
Strays & Others Inc	/org/strays-others-inc
Madonna Place, Inc.	/org/madonna-place-inc
Tara Farm Rescue	/org/tara-farm-rescue
Advocacy for Patients with Chronic Illness, Inc.	/org/advocacy-for-patients-with-chronic-illness-inc-1
Pet Animal Welfare Society of Connecticut (PAWS)	/org/pet-animal-welfare-society-of-connecticut-paws
Erectile Dysfunction Foundation	/org/erectile-dysfunction-foundation
US Painfoundation	/org/us-painfoundation
CentsofRelief	/org/centsofrelief
Coram Deo Inc	/org/coram-deo-inc-1
Jesse Lewis Choose Love Foundation	/org/jesse-lewis-choose-love-foundation
The Daniel Trust Foundation, Inc.	/org/the-daniel-trust-foundation-inc
Iwo Jima Memorial Historical Foundation Inc	/org/iwo-jima-memorial-historical-foundation-inc
True Colors, Inc.	/org/true-colors-inc
BIG FUN Education	/org/big-fun-education
Cove Center for Grieving Children Inc	/org/cove-center-for-grieving-children-inc
Molly's Babies Inc	/org/mollys-babies-inc
Montage Initiative	/org/montage-initiative
Cambodia's Children Education Fund, Inc.	/org/cambodias-children-education-fund-inc
Multiple Myeloma Research Foundation, Inc.	/org/multiple-myeloma-research-foundation-inc
Slant Of Light Theater Company	/org/slant-of-light-theater-company
Inspirica, Inc.	/org/inspirica-inc
Mitchell Farm Equine Retirement Inc	/org/mitchell-farm-equine-retirement-inc
Noroton Heights Depot Inc	/org/noroton-heights-depot-inc
Circle of Care for Families With Cancer, Incorporated	/org/circle-of-care-for-families-with-cancer-incorporated
Sofia Sees Hope Inc	/org/sofia-sees-hope-inc
Breast Cancer Emergency Aid Foundation	/org/breast-cancer-emergency-aid-foundation
Connecticut Breast Health Initative, Inc	/org/connecticut-breast-health-initative-inc
The Horace Bushnell Memorial Hall Corporation	/org/the-horace-bushnell-memorial-hall-corporation
Nicaphoto, Inc.	/org/nicaphoto-inc
MARIAN'S DREAM: Philanthrophy for Animal Advocates (Marian Rosenthal Foundation)	/org/marians-dream-philanthrophy-for-animal-advocates-marian-rosenthal-foundatio
Veterans Rowing & Kayaking Inc	/org/veterans-rowing-kayaking-inc
Children's Advancement Fund, Inc.	/org/childrens-advancement-fund-inc
Ballet School Of Stamford	/org/ballet-school-of-stamford
Builders Beyond Borders	/org/builders-beyond-borders
Harc, Inc.	/org/harc-inc
Christian Community Action Inc	/org/christian-community-action-inc-1
Firm Foundation Leadership Coalition, Inc.	/org/firm-foundation-leadership-coalition-inc
Mikeys Way Foundation	/org/mikeys-way-foundation
Riedel And Cody Fund Inc	/org/riedel-and-cody-fund-inc
Arts for Healing Inc	/org/arts-for-healing-inc
Artists For World Peace Inc	/org/artists-for-world-peace-inc
Spiritual Life Center Inc	/org/spiritual-life-center-inc
TAILS	/org/tails
Dispute Settlement Center, Inc.	/org/dispute-settlement-center-inc_273554
Heart Care International Inc	/org/heart-care-international-inc
New Haven Symphony Orchestra	/org/new-haven-symphony-orchestra
Solar Youth Inc	/org/solar-youth-inc
Hartford Food System, Inc.	/org/hartford-food-system-inc
Lifebridge Community Services Inc	/org/lifebridge-community-services-inc
Bethsaida Community, Inc.	/org/bethsaida-community-inc
School for Ethical Education Inc	/org/school-for-ethical-education-inc
Norwalk Sister City Project, Inc.	/org/norwalk-sister-city-project-inc
After School Arts Program, Inc.	/org/after-school-arts-program-inc-1
New Haven Help Alliance Inc	/org/new-haven-help-alliance-inc
Light of Hope Foundation, Incorporated	/org/light-of-hope-foundation-incorporated
Dream Come True of Western Connecticut Inc	/org/dream-come-true-of-western-connecticut-inc
HOPE AFTER LOSS  (Formerly the HYGEIA FOUNDATION INC)	/org/hope-after-loss-formerly-the-hygeia-foundation-inc
Work & Learn Inc	/org/work-learn-inc
Emerson Theater Collaborative Inc	/org/emerson-theater-collaborative-inc
AmeriCares Foundation, Inc.	/org/americares-foundation-inc
National Veterans Services Fund Inc	/org/national-veterans-services-fund-inc
Artspace Inc	/org/artspace-inc-3
Domestic Violence Crisis Center	/org/domestic-violence-crisis-center
Institute for Ethics and Emerging Technologies, Inc.	/org/institute-for-ethics-and-emerging-technologies-inc
Hillhouse Opera Company	/org/hillhouse-opera-company
Sound Community Services Inc	/org/sound-community-services-inc
March for Education Foundation	/org/march-for-education-foundation
Reach Prep Inc	/org/reach-prep-inc
Newtown Action Alliance Inc	/org/newtown-action-alliance-inc
Holy Family Home and Shelter, Inc.	/org/holy-family-home-and-shelter-inc
ELI Africa	/org/eli-africa
Prospect Congregational Church, UCC	/org/prospect-congregational-church-ucc
Double Dog Rescue	/org/double-dog-rescue
Visiting Nurse Association of Ridgefield Inc	/org/visiting-nurse-association-of-ridgefield-inc
Love146	/org/love146
Clare Nsenga Foundation	/org/clare-nsenga-foundation
Starfish Connection Inc	/org/starfish-connection-inc
Friends Of Chikumbuso Inc	/org/friends-of-chikumbuso-inc
Academy of the Holy Family Inc	/org/academy-of-the-holy-family-inc
Wildlife in Crisis, Inc.	/org/wildlife-in-crisis-inc
Fidelco Guide Dog Foundation, Inc	/org/fidelco-guide-dog-foundation-inc
Ridgefield Operation for Animal Rescue Inc	/org/ridgefield-operation-for-animal-rescue-inc
Sexual Assault Crisis Center of Eastern Connecticut Inc	/org/sexual-assault-crisis-center-of-eastern-connecticut-inc
Canavan Research Foundation, Inc.	/org/canavan-research-foundation-inc
Under One Roof, Inc.	/org/under-one-roof-inc-1
National Organization for Rare Disorders, Inc.	/org/national-organization-for-rare-disorders-inc
The Open Door Shelter, Inc.	/org/the-open-door-shelter-inc
Spring Mountain Benefit Corp	/org/spring-mountain-benefit-corp
Journey Found	/org/journey-found
Foodshare	/org/foodshare
Gilead Community Services Inc	/org/gilead-community-services-inc
Danbury Children First Inc	/org/danbury-children-first-inc
Newtown Foundation Inc	/org/newtown-foundation-inc
Neighbor to Neighbor Inc	/org/neighbor-to-neighbor-inc-1
Connecticut Labrador Rescue Incorporated	/org/connecticut-labrador-rescue-incorporated
Uja Federation of Greenwich	/org/uja-federation-of-greenwich
Connecticut Challenge Inc.	/org/connecticut-challenge-inc
Connecticut Burns Care Foundation Incorporated	/org/connecticut-burns-care-foundation-incorporated
Cancer Survivors Who Can Charities, Inc	/org/cancer-survivors-who-can-charities-inc
Operation Hope of Fairfield Inc	/org/operation-hope-of-fairfield-inc
Danbury Animal Welfare Society, Inc.	/org/danbury-animal-welfare-society-inc
Landmark Community Theatre	/org/landmark-community-theatre
Everybody Wins Connecticut Inc	/org/everybody-wins-connecticut-inc
Distressed Children & Infants International	/org/distressed-children-infants-international
Mercy Learning Center of Bridgeport, Inc.	/org/mercy-learning-center-of-bridgeport-inc
Serious Fun Children's Network	/org/serious-fun-childrens-network
Clearwater Initiative	/org/clearwater-initiative
Community Foundation of Greater New Britain	/org/community-foundation-of-greater-new-britain
American Chamber Orchestra	/org/american-chamber-orchestra
Vdare Foundation	/org/vdare-foundation
Wells Valley Cat Sanctuary	/org/wells-valley-cat-sanctuary
Guilford Foundation Inc	/org/guilford-foundation-inc
191914 Ministries Incorporated	/org/191914-ministries-incorporated
Mary Wade Home	/org/mary-wade-home-or-home-for-the-friendless
Pencils of Promise Incorporated	/org/pencils-of-promise-incorporated
The Battered Women's Safe Territory an Opportunity to Progress, Inc.	/org/the-battered-womens-safe-territory-an-opportunity-to-progress-inc
Center for Hospice Care Southeast Connecticut	/org/center-for-hospice-care-southeast-connecticut
Extended Family Of Connecticut	/org/extended-family-of-connecticut
Our Companions Domestic Animal Sanctuary Inc	/org/our-companions-domestic-animal-sanctuary-inc
Creative Connections, Inc.	/org/creative-connections-inc-1
Brainerd Memorial Library Association Inc	/org/brainerd-memorial-library-association-inc
Schooner Inc	/org/schooner-inc
