org_name	org_url
Jewish Federation of Delaware Inc	/org/jewish-federation-of-delaware-inc
St. Michael's School and Nursery, Inc.	/org/st-michaels-school-and-nursery-inc
National Endowment for Alzheimer's Research	/org/national-endowment-for-alzheimers-research
Hearts of the Sacred Spirit	/org/hearts-of-the-sacred-spirit
Delaware Financial Literacy Institute	/org/delaware-financial-literacy-institute
The Bernard And Ruth Siegel Jewish Community Center Of Delaware Inc	/org/the-bernard-and-ruth-siegel-jewish-community-center-of-delaware-inc
Greenbank Mill Associates, Inc.	/org/greenbank-mill-associates-inc
Compassionate Care Hospice Foundation	/org/compassionate-care-hospice-foundation
Simply Equal Education	/org/simply-equal-education
Clean Energy Research and Education Institute Inc	/org/clean-energy-research-and-education-institute-inc
Neighbors Sharing with Neighbors in Crisis	/org/neighbors-sharing-with-neighbors-in-crisis-3
Pets Enriching Troops Association	/org/pets-enriching-troops-association
Literacy Delaware	/org/literacy-delaware
Changing Fates Equine Rescue of Delware, Inc.	/org/changing-fates-equine-rescue-of-delware-inc
Clothing Our Kids	/org/clothing-our-kids
Faithful Friends Inc	/org/faithful-friends-inc
Connections Community Support Programs Inc	/org/connections-community-support-programs-inc-1
Claymore Senior Center Inc	/org/claymore-senior-center-inc
DEBRA L SIPPLE MEMORIAL INC (Debbie's Fund)	/org/debra-l-sipple-memorial-inc-debbies-fund
Jewish Family Services Of Delaware Inc	/org/jewish-family-services-of-delaware-inc
Christ Servants Mission Institute	/org/christ-servants-mission-institute
Kind to Kids Foundation	/org/kind-to-kids-foundation
Chabad at the University of Delaware	/org/chabad-at-the-university-of-delaware
The Andrew McDonough B+ Foundation	/org/the-andrew-mcdonough-b-foundation
Safe Haven Animal Sanctuary Of Sussex County Inc	/org/safe-haven-animal-sanctuary-of-sussex-county-inc
National League Of American Pen Women Inc	/org/national-league-of-american-pen-women-inc-19
Soldiers Undertaking Disabled Scuba	/org/soldiers-undertaking-disabled-scuba
Urban Bike Project of WilmingtonInc	/org/urban-bike-project-of-wilmingtoninc
K.I.S.H. Home,Inc.	/org/k-i-s-h-home-inc-1
American War Memorials Overseas, Inc.	/org/american-war-memorials-overseas-inc
Brandywine Counseling, Inc.	/org/brandywine-counseling-community-services
Junior League Of Wilmington Inc	/org/junior-league-of-wilmington-inc
TRI-STATE BIRD RESCUE AND RESEARCH INC	/org/tri-state-bird-rescue-and-research-inc
SUSSEX COUNTY STAMP CLUB	/org/sussex-county-stamp-club
Children and Families First Delaware, Inc.	/org/children-and-families-first-delaware-inc
Newark Senior Center Inc	/org/newark-senior-center-inc
First State Animal Center And Spca Inc	/org/first-state-animal-center-and-spca-inc
Partnership For The Delaware Estuary Inc	/org/partnership-for-the-delaware-estuary-inc
Kodys Kids Inc	/org/kodys-kids-inc
A Buddy For Life Inc	/org/a-buddy-for-life-inc
ST ANNES EPISCOPAL SCHOOL	/org/st-annes-episcopal-school
DAST - DELAWARE ALL STATE THEATRE	/org/dast-delaware-all-state-theatre
Billy Cook Foundation	/org/billy-cook-foundation
Manners First Education Initiative Institute	/org/manners-first-education-initiative-institute
Women At The Well Inc	/org/women-at-the-well-inc
Delaware Hospice	/org/delaware-hospice
Southeastern Pa - Delaware House Rabbit Society L L C	/org/southeastern-pa-delaware-house-rabbit-society-l-l-c
Brandywine Baroque Inc	/org/brandywine-baroque-inc
Friends Of Middletown Robotics Organization	/org/friends-of-middletown-robotics-organization
Delaware Adolescent Program Inc	/org/delaware-adolescent-program-inc
Parent Information Center Of Delaware Inc	/org/parent-information-center-of-delaware-inc
Hospital Billing & Collection Service Ltd	/org/hospital-billing-collection-service-ltd
Prison Ministries Of Delaware	/org/prison-ministries-of-delaware
Delaware Housing Coalition Inc	/org/delaware-housing-coalition-inc
Forgotten Cats Inc	/org/forgotten-cats-inc
Community Hope Of Delaware Incorporated	/org/community-hope-of-delaware-incorporated
Nativity Preparatory School	/org/nativity-preparatory-school
BRAIN INJURY ASSOCIATION OF DELAWARE	/org/brain-injury-association-of-delaware
Christian Outreach World Mission Corp.	/org/christian-outreach-world-mission-corp
Canine Guardians For Life	/org/canine-guardians-for-life
Dover Interfaith Mission For Housing Inc	/org/dover-interfaith-mission-for-housing-inc
The Trinity Bible School Of Hempstead	/org/the-trinity-bible-school-of-hempstead
Amc Museum Foundation Inc	/org/amc-museum-foundation-inc
Delaware Wild Lands Inc 350	/org/delaware-wild-lands-inc-350
Home Of The Brave Foundation	/org/home-of-the-brave-foundation-1
Moms House Inc	/org/moms-house-inc
You Are Not Alone Veterans Foundation Inc	/org/you-are-not-alone-veterans-foundation-inc
AMERICAN MUSTANG AND BURRO ASSOCIATION INC	/org/american-mustang-and-burro-association-inc
Mountainside Productions Inc	/org/mountainside-productions-inc
Eastern Shore Afram Festival	/org/eastern-shore-afram-festival
Pencader Hundred Community Center Inc	/org/pencader-hundred-community-center-inc
Delaware Museum Of Natural History Inc	/org/delaware-museum-of-natural-history-inc
Delaware Audubon Society Inc	/org/delaware-audubon-society-inc
Intercultural Open University Foundation	/org/intercultural-open-university-foundation
Opera Delaware Inc	/org/opera-delaware-inc
Zurich International School Foundation Inc	/org/zurich-international-school-foundation-inc
Harvest Years Senior Center Inc	/org/harvest-years-senior-center-inc
Clarence Fraim Senior Center Of Delaware Inc	/org/clarence-fraim-senior-center-of-delaware-inc
Exceptional Care Inc	/org/exceptional-care-inc
Academy Of Dover Charter School	/org/academy-of-dover-charter-school
Goodwill Industries Of Delaware & Delaware County Inc	/org/goodwill-industries-of-delaware-delaware-county-inc
Appoquinimink Development Inc	/org/appoquinimink-development-inc
Practice Without Pressure Inc	/org/practice-without-pressure-inc
Efe International	/org/efe-international
Water Is Life Kenya Inc	/org/water-is-life-kenya-inc
Enduring Faith Ministries Inc	/org/enduring-faith-ministries-inc
Church Of God Chapel	/org/church-of-god-chapel_100072931
Lost And Found Dog Rescue Adoption Center Inc	/org/lost-and-found-dog-rescue-adoption-center-inc
Southern Delaware Botanic Gardens	/org/southern-delaware-botanic-gardens
Sojourners Place Inc	/org/sojourners-place-inc
Silent Warrior Foundation	/org/silent-warrior-foundation
Operation Seas The Day Inc	/org/operation-seas-the-day-inc
Dover High School Band Boosters Inc	/org/dover-high-school-band-boosters-inc
PAWS for People	/org/paws-for-people
Faith First Educational Assistance Corporation	/org/faith-first-educational-assistance-corporation
Business History Conference	/org/business-history-conference
Civil Air Patrol 7006 Dover Cadet Squadron	/org/civil-air-patrol-7006-dover-cadet-squadron
University Of Canterbury Foundation In America Inc	/org/university-of-canterbury-foundation-in-america-inc
American Rose Society	/org/american-rose-society_21820
New Pentecostal United Holy Church	/org/new-pentecostal-united-holy-church
American Friends Of The Monteverdi Choir & Orchestras Inc	/org/american-friends-of-the-monteverdi-choir-orchestras-inc
University Of Bristol Foundation Inc	/org/university-of-bristol-foundation-inc
National Society Of New England Women	/org/national-society-of-new-england-women
In His Ministry	/org/in-his-ministry
Healthnet International U S A Inc	/org/healthnet-international-u-s-a-inc
National Society Of The Sons Of The American Revolution	/org/national-society-of-the-sons-of-the-american-revolution-311
Delaware Manufacturing Alliance Inc	/org/delaware-manufacturing-alliance-inc
Pop Warner Little Scholars, Inc.	/org/pop-warner-little-scholars-inc-46
American Friends Of Trinity College University Of Melbourne Inc	/org/american-friends-of-trinity-college-university-of-melbourne-inc
American Friends Of Dulwich Picture Gallery Inc	/org/american-friends-of-dulwich-picture-gallery-inc
Beau Bogan Foundation	/org/beau-bogan-foundation
Foundation For The 11th International Congress On Catalysis	/org/foundation-for-the-11th-international-congress-on-catalysis
The R Group, Inc.	/org/the-r-group-inc
Delaware State Police Museum Inc	/org/delaware-state-police-museum-inc
Sussex County Aids Council Inc	/org/sussex-county-aids-council-inc
Dima I Inc	/org/dima-i-inc
Maat Temple Of Truth Inc	/org/maat-temple-of-truth-inc
Lenape Indian Tribe Of Delaware Inc	/org/lenape-indian-tribe-of-delaware-inc
Little League Baseball Inc	/org/little-league-baseball-inc-342
Psi Chi The National Honor Society In Psychology	/org/psi-chi-the-national-honor-society-in-psychology-423
Glasgow Lions Service Foundation Inc	/org/glasgow-lions-service-foundation-inc
Holy Spirit Ministries Inc	/org/holy-spirit-ministries-inc
Pta Delaware Congress	/org/pta-delaware-congress
Delaware Fc United, Inc.	/org/delaware-fc-united-inc
National Association Of Scholars	/org/national-association-of-scholars-20
Friends Of The Certosa Di Capri Inc	/org/friends-of-the-certosa-di-capri-inc
Mbacke House Of Hope	/org/mbacke-house-of-hope
Countryside Alliance Usa Inc	/org/countryside-alliance-usa-inc
Friends Of The British Film Institute	/org/friends-of-the-british-film-institute
Everlasting Church	/org/everlasting-church
