org_name	org_url
The Project on Government Oversight, Inc.	/org/the-project-on-government-oversight-inc
Civil War Trust	/org/civil-war-trust
The Humane Society of the United States	/org/the-humane-society-of-the-united-states
Operation Understanding DC	/org/operation-understanding-dc
AAUW	/org/aauw-1
SpeakeasyDC	/org/speakeasydc
National Parks Conservation Association	/org/national-parks-conservation-association
The American Constitution Society for Law and Policy	/org/the-american-constitution-society-for-law-and-policy
Lucky Dog Animal Rescue	/org/lucky-dog-animal-rescue
Paralyzed Veterans of America	/org/paralyzed-veterans-of-america-2
Environmental and Energy Study Institute (EESI)	/org/environmental-and-energy-study-institute-eesi
Lung Cancer Alliance	/org/lung-cancer-alliance
Society for Science & the Public	/org/society-for-science-the-public
Women in Film & Video Inc	/org/women-in-film-video-inc
Dalit Freedom Network	/org/dalit-freedom-network
American Humane	/org/american-humane
American Immigration Council	/org/american-immigration-council
Washington Humane Society (The Society for the Prevention Of Cruelty to Animals)	/org/washington-humane-society-the-society-for-the-prevention-of-cruelty-to-anim
International Association for Human Values	/org/international-association-for-human-values
Lubuto Library Partners	/org/lubuto-library-partners
American National Red Cross	/org/american-national-red-cross-2
Becky Lee Women's Support Fund	/org/becky-lee-womens-support-fund
Child Welfare League of America, Inc., aka CWLA	/org/child-welfare-league-of-america-inc-aka-cwla
Food & Water Watch	/org/food-water-watch
Maasai Girls Education Fund	/org/maasai-girls-education-fund
Public Leadership Education Network PLEN	/org/public-leadership-education-network-plen
GlobalGiving	/org/globalgiving
DC Central Kitchen, Inc.	/org/dc-central-kitchen-inc
Luke's Wings, Inc.	/org/lukes-wings-inc
Amazon Conservation Association	/org/amazon-conservation-association
Urban Alliance	/org/urban-alliance-1
Stop Predatory Gambling Foundation	/org/stop-predatory-gambling-foundation
Defenders of Wildlife	/org/defenders-of-wildlife
Ovarian Cancer National Alliance	/org/ovarian-cancer-national-alliance
Kristin Brooks Hope Center	/org/kristin-brooks-hope-center
World Wildlife Fund, Inc.	/org/world-wildlife-fund-inc
Guatemala Human Rights Commission USA	/org/guatemala-human-rights-commission-usa
Atlas Service Corps, Inc (Atlas Corps)	/org/atlas-service-corps-inc-atlas-corps
Hindu American Foundation	/org/hindu-american-foundation
US Campaign to End the Israeli Occupation	/org/us-campaign-to-end-the-israeli-occupation
Defending Dissent Foundation	/org/defending-dissent-foundation
National Conservatory of Dramatic Arts	/org/national-conservatory-of-dramatic-arts
L'Arche, Inc.	/org/larche-inc
National Black Justice Coalition Inc	/org/national-black-justice-coalition-inc
Active Minds, Inc.	/org/active-minds-inc
Center For International Environmental Law (CIEL)	/org/center-for-international-environmental-law-ciel
Artomatic	/org/artomatic
International Child Art Foundation	/org/international-child-art-foundation
Bill of Rights Defense Committee & Defending Dissent Foundation	/org/bill-of-rights-defense-committee-defending-dissent-foundation
Rape, Abuse & Incest National Network, Inc  AKA RAINN	/org/rape-abuse-incest-national-network-inc-aka-rainn
Network for Good Inc	/org/network-for-good-inc
Girls Gotta Run Foundation Incorporated	/org/girls-gotta-run-foundation-incorporated
Some Inc	/org/some-inc
The Northwest Center (NORTHWEST CENTER INC)	/org/the-northwest-center-northwest-center-inc
Disabled Veterans National Foundation	/org/disabled-veterans-national-foundation
Asian-Pacific Islander Domestic Violence Resource Project	/org/asian-pacific-islander-domestic-violence-resource-project
CorpsAfrica	/org/corpsafrica
Girls on the Run - DC	/org/girls-on-the-run-dc
Center for Democracy and Technology	/org/center-for-democracy-and-technology
Jones-Haywood Dance School, Inc.	/org/jones-haywood-dance-school-inc
Running Start	/org/running-start
Hyacinth's Place	/org/hyacinths-place
WildCat Conservation Legal Aid Society	/org/wildcat-conservation-legal-aid-society
Friendship Place	/org/friendship-place
J Street Education Fund, Inc.	/org/j-street-education-fund-inc
Military Association of Atheists & Freethinkers	/org/military-association-of-atheists-freethinkers
Mary's Center	/org/marys-center-1
Alliance for Justice	/org/alliance-for-justice
American Institute for Cancer Research	/org/american-institute-for-cancer-research
Urban Ed Inc	/org/urban-ed-inc
SOS Children's Villages - USA, Inc.	/org/sos-childrens-villages-usa-inc
BBYO	/org/bbyo
Women For Women International	/org/women-for-women-international
Leadership Initiatives	/org/leadership-initiatives
One Common Unity	/org/one-common-unity
New Israel Fund	/org/new-israel-fund
Festival Center Inc	/org/festival-center-inc
Student Veterans of America	/org/student-veterans-of-america
The National Society of Collegiate Scholars	/org/the-national-society-of-collegiate-scholars
Robots To The Rescue Inc	/org/robots-to-the-rescue-inc
U.S. Capitol Historical Society	/org/u-s-capitol-historical-society
Fair Chance	/org/fair-chance
Batonga Foundation	/org/batonga-foundation
TechnoServe	/org/technoserve
Peaceplayers International	/org/peaceplayers-international
Critical Exposure Inc	/org/critical-exposure-inc
Youth Service America	/org/youth-service-america
Accountability Lab	/org/accountability-lab
Judicial Watch, Inc.	/org/judicial-watch-inc
International Lifeline Fund	/org/international-lifeline-fund
American Forest Foundation	/org/american-forest-foundation
Byte Back	/org/byte-back
Earth Day Network Inc	/org/earth-day-network-inc
Black Women's Health Imperative	/org/black-womens-health-imperative
Little Lights Urban Ministries	/org/little-lights-urban-ministries
Council Of Scientific Society Presidents	/org/council-of-scientific-society-presidents
FINCA International, Inc.	/org/finca-international-inc
The Center For Organizational Research And Education	/org/the-center-for-organizational-research-and-education
Springboard Enterprises	/org/springboard-enterprises
National Center for Health Research	/org/national-center-for-health-research
Community Education Group, Inc.	/org/community-education-group-inc
Friends of the Earth	/org/friends-of-the-earth
Washington Animal Rescue League	/org/washington-animal-rescue-league
Lupus Foundation of Greater Washington	/org/lupus-foundation-america-dc-md-va-chapter
Peace X Peace	/org/peace-x-peace
National Hispana Leadership Institute	/org/national-hispana-leadership-institute
International Center for Research On Women	/org/international-center-for-research-on-women
Robert F. Kennedy Center for Justice and Human Rights	/org/robert-f-kennedy-center-for-justice-and-human-rights
Girls Incorporated Of The Washington Dc Metropolitan Area	/org/girls-incorporated-of-the-washington-dc-metropolitan-area
Reach For College Inc	/org/reach-for-college-inc
Learnserve International	/org/learnserve-international
Society for the Arts in Healthcare	/org/society-for-the-arts-in-healthcare
Women Empowered Against Violence, Inc.	/org/women-empowered-against-violence-inc
Appleseed Foundation, Inc.	/org/appleseed-foundation-inc
Legal Counsel for the Elderly	/org/legal-counsel-for-the-elderly
Partners of the Americas, Inc.	/org/partners-of-the-americas-inc
Samaritan Ministry of Greater Washington	/org/samaritan-ministry-of-greater-washington
Lydia's House in Southeast Washington DC	/org/lydias-house-in-southeast-washington-dc
Kids Connection Haiti Inc	/org/kids-connection-haiti-inc
Open Arms Housing, Inc	/org/open-arms-housing-inc-2
Students For Liberty	/org/students-for-liberty
Kids4Peace International	/org/kids4peace-international
Young Playwrights' Theater, Inc.	/org/young-playwrights-theater-inc
DC Campaign to Prevent Teen Pregnancy	/org/dc-campaign-to-prevent-teen-pregnancy
The Women's Collective	/org/the-womens-collective
Washington Area Lawyers for the Arts	/org/washington-area-lawyers-for-the-arts
World Organization for Resource Development and Education	/org/world-organization-for-resource-development-and-education
National Association for Gifted Children	/org/national-association-for-gifted-children
Global Federation of Animal Sanctuaries	/org/global-federation-of-animal-sanctuaries
Phillips Collection	/org/phillips-collection
Heritage Foundation	/org/heritage-foundation
Polaris Project	/org/polaris-project
American Farmland Trust	/org/american-farmland-trust
RESET	/org/reset
Spina Bifida Association of America	/org/spina-bifida-association-of-america
International Action	/org/international-action-1
Asian American LEAD	/org/asian-american-lead
Breaking the Cycle	/org/breaking-the-cycle
N Street Village, Inc.	/org/n-street-village-inc
Metro Dc Community Center Inc	/org/metro-dc-community-center-inc
National Children's Alliance, Inc.	/org/national-childrens-alliance-inc
Second Chance Employment Services Inc	/org/second-chance-employment-services-inc
National Trust for Historic Preservation in the US	/org/national-trust-for-historic-preservation-in-the-us
Solar Electric Light Fund	/org/solar-electric-light-fund
Dc Doors	/org/dc-doors
The Network	/org/the-network
Dance Institute of Washington, Inc.	/org/dance-institute-of-washington-inc
Potomac Riverkeeper Incorporated	/org/potomac-riverkeeper-incorporated
Osa Conservation	/org/osa-conservation
Wider Opportunities for Women Inc	/org/wider-opportunities-for-women-inc
DC Scores	/org/dc-scores
Suited For Change	/org/suited-for-change
Fashion Empowering Women Foundation	/org/fashion-empowering-women-foundation
National Gay and Lesbian Task Force	/org/national-gay-and-lesbian-task-force
Groundswell International Inc	/org/groundswell-international-inc
National Law Center on Homelessness and Poverty	/org/national-law-center-on-homelessness-and-poverty
National Center For Public Policy Research Inc	/org/national-center-for-public-policy-research-inc
Wilderness Society	/org/wilderness-society
DC Paws Rescue	/org/dc-paws-rescue
Federation of American Scientists	/org/federation-of-american-scientists
Edge Institute	/org/edge-institute
The Washington Legal Clinic for the Homeless, Inc.	/org/the-washington-legal-clinic-for-the-homeless-inc
Multitasking Hearts Corporation	/org/multitasking-hearts-corporation
Women Thrive Worldwide	/org/women-thrive-worldwide
LULAC Institute, Inc.	/org/lulac-institute-inc
Pin Points Inc	/org/pin-points-inc
Hatch International	/org/hatch-international
Levine Music Inc	/org/levine-music-inc
National Campaign to Prevent Teen and Unplanned Pregnancy	/org/national-campaign-to-prevent-teen-and-unplanned-pregnancy
YWCA USA	/org/ywca-usa
Keys To Canaan	/org/keys-to-canaan
Environmental Working Group	/org/environmental-working-group
Food & Friends, Inc.	/org/food-friends-inc
National Organization for Women Inc	/org/national-organization-for-women-inc-393
