org_name	org_url
Bikers Against Drunk Drivers	/org/bikers-against-drunk-drivers
Charity Cars, Inc.	/org/charity-cars-inc
Global Village Champions Foundation Inc	/org/global-village-champions-foundation-inc
Wounded Warrior Project	/org/wounded-warrior-project
Big Cat Rescue, Corp.	/org/big-cat-rescue-corp
International Topical Steroid Addiction Network (ITSAN)	/org/international-topical-steroid-addiction-network-itsan
Mission in Citrus Inc	/org/mission-in-citrus-inc
For The Love Of Cats Inc	/org/for-the-love-of-cats-inc
RVR Horse Rescue	/org/rvr-horse-rescue
Dog Liberator Inc.	/org/dog-liberator-inc
Spay n Save	/org/spay-n-save
Give Kids The World	/org/give-kids-the-world
Peggy Adams Animal Rescue League of the Palm Beaches Inc	/org/peggy-adams-animal-rescue-league-of-the-palm-beaches-inc
Barbara Bush Foundation for Family Literacy	/org/barbara-bush-foundation-for-family-literacy
Women of Tomorrow Mentor & Scholarship Program	/org/women-of-tomorrow-mentor-scholarship-program
Florida Exotic Bird Sanctuary Inc	/org/florida-exotic-bird-sanctuary-inc-1
Starting Over Animal Refuge Inc	/org/starting-over-animal-refuge-inc
Spirit Jump	/org/spirit-jump
Beauty's Haven Farm and Equine Rescue, Inc.	/org/beautys-haven-farm-and-equine-rescue-inc
Pattys Parrot Palace	/org/pattys-parrot-palace
K9s For Warriors	/org/k9s-for-warriors
Fairways for Warriors Inc.	/org/fairways-for-warriors-inc
Cat Network, Inc.	/org/cat-network-inc
Community Improvement Organization	/org/community-improvement-organization
The Florida Research Institute For Equine Nurturing Development & Safety AKA F.R.I.E.N.D.S. Horse Rescue	/org/the-florida-research-institute-for-equine-nurturing-development-safety-aka
Kindred Hearts Transport Connection, Inc.	/org/kindred-hearts-transport-connection-inc
Healing Heroes Network, Inc.	/org/healing-heroes-network-inc
Communities in Schools of Nassau County Inc	/org/communities-in-schools-of-nassau-county-inc
T E N Charities	/org/t-e-n-charities
Suncoast Humane Society Inc	/org/suncoast-humane-society-inc
Global Peace Film Festival, Inc.	/org/global-peace-film-festival-inc
Jungle Friends Primate Sanctuary Inc	/org/jungle-friends-primate-sanctuary-inc
Girl Power 2 Cure Inc	/org/girl-power-2-cure-inc
Fort Lauderdale Children's Theatre	/org/fort-lauderdale-childrens-theatre
The Wayne Foundation Inc	/org/the-wayne-foundation-inc
Florida Yorkie Rescue, Inc.	/org/florida-yorkie-rescue-inc
Paws for Friendship	/org/paws-for-friendship
Credit Card Management Services, Inc.	/org/credit-card-management-services-inc
The Center for Contemporary Dance Inc	/org/the-center-for-contemporary-dance-inc
Kibblez of Love	/org/kibblez-of-love
Kibblez of Love	/org/kibblez-of-love
Horsesisters & Associates Inc	/org/horsesisters-associates-inc
Epilepsy Services Foundation, Inc.	/org/epilepsy-services-foundation-inc
Williams Syndrome Changing Lives Foundation	/org/williams-syndrome-changing-lives-foundation
Forest Animal Rescue by Peace River Refuge & Ranch	/org/forest-animal-rescue-by-peace-river-refuge-ranch
In Need of Diagnosis	/org/in-need-of-diagnosis
Pelican Harbor Seabird Station, Inc.	/org/pelican-harbor-seabird-station-inc
