org_name	org_url
Metro Atlanta Recovery Residences Inc	/org/metro-atlanta-recovery-residences-inc
Sober Living America Inc	/org/sober-living-america-inc
Lindsey's Place	/org/lindseys-place
Horse Rescue Relief and Retirement Fund Inc	/org/horse-rescue-relief-and-retirement-fund-inc-1
Attachment Parenting International Inc	/org/attachment-parenting-international-inc
APFED	/org/apfed
Clear Light Arts, ADL	/org/clear-light-arts-adl
Next Generation Focus Inc	/org/next-generation-focus-inc
Feathered Friends Forever Rescue/Sanctuary Inc.	/org/feathered-friends-forever-rescue-sanctuary-inc
Alliance for International Reforestation, Inc.	/org/alliance-for-international-reforestation-inc
Angel Flight Soars Inc	/org/angel-flight-soars-inc
Genesis Joy House Homeless Shelter Inc.	/org/genesis-joy-house-homeless-shelter-inc
Pro Bono Partnership of Atlanta Inc	/org/pro-bono-partnership-of-atlanta-inc
drawchange Inc	/org/drawchange-inc
1Boy4Change, Inc.	/org/1boy4change-inc
Camp Horizon Inc	/org/camp-horizon-inc-1
Calvin Stennis Cdc Inc.	/org/calvin-stennis-cdc-inc
Cell Phones For Soldiers Inc	/org/cell-phones-for-soldiers-inc
Project Safe Inc	/org/project-safe-inc-1
Save a Pet Inc	/org/save-a-pet-inc-1
Macon Volunteer Clinic Inc	/org/macon-volunteer-clinic-inc
American Cancer Society Foundation	/org/the-american-cancer-society
Guitars not Guns	/org/guitars-not-guns
Himalayan Children's Charities Inc	/org/himalayan-childrens-charities-inc
Trinity Rescue Incorporated	/org/trinity-rescue-incorporated
Simone's Kids	/org/simones-kids
Predisan-USA Inc	/org/predisan-usa-inc
Jeannette Rankin Women's Scholarship Fund (JRF)	/org/jeannette-rankin-womens-scholarship-fund-jrf
American Cancer Society Inc	/org/american-cancer-society-inc-4
North Fulton Child Development Association Inc	/org/north-fulton-child-development-association-inc
Live Healthy and Thrive Youth Foundation Inc	/org/live-healthy-and-thrive-youth-foundation-inc
Georgia Symphony Orchestra, Inc.	/org/georgia-symphony-orchestra-inc
Pebble Tossers Inc	/org/pebble-tossers-inc
Project Grad-Atlanta Inc	/org/project-grad-atlanta-inc
Vision 2 Hear Ministries Inc	/org/vision-2-hear-ministries-inc
A Titus Man Inc	/org/a-titus-man-inc
Coastal Pet Rescue Inc	/org/coastal-pet-rescue-inc
Iron Gait Percherons Inc. - Draft Horse Rescue	/org/iron-gait-percherons-inc-draft-horse-rescue
Shepherds Refuge-Selah Ministries Inc	/org/shepherds-refuge-selah-ministries-inc
Diamond in the Rough Youth Development Inc	/org/diamond-in-the-rough-youth-development-inc
Humane Society of South Coastal Georgia Inc	/org/humane-society-of-south-coastal-georgia-inc
Adopt a Greyhound Atlanta Inc	/org/adopt-a-greyhound-atlanta-inc
Creative Arts Guild Incorporated	/org/creative-arts-guild-incorporated
Children Without a Voice USA	/org/children-without-a-voice-usa
Herobox, Inc.	/org/herobox-inc
Atlanta GLOW	/org/atlanta-glow
Just One Africa, Inc.	/org/just-one-africa-inc
Advocates for Bartow's Children, Inc.	/org/advocates-for-bartows-children-inc
StandUp For Kids	/org/standup-for-kids
Enchanted Closet Inc	/org/enchanted-closet-inc
United Military Care Inc.	/org/united-military-care-inc
Ronald McDonald House Charities of the Coastal Empire Inc	/org/ronald-mcdonald-house-charities-of-the-coastal-empire-inc
Dynamic Image Inc	/org/dynamic-image-inc
Greater Augusta Arts Council, Inc.	/org/greater-augusta-arts-council-inc
World Water Relief	/org/world-water-relief
