org_name	org_url
Elim Pacific Ministries	/org/elim-pacific-ministries
Xokiahi Cares, Inc	/org/xokiahi-cares-inc
GUAM COALITION AGAINST SEXUAL ASSAULT AND FAMILY VIOLENCE CORP	/org/guam-coalition-against-sexual-assault-and-family-violence-corp
Sanctuary Inc	/org/sanctuary-inc
Distributive Education Clubs Of America	/org/distributive-education-clubs-of-america_113103
Society Of American Military Engineers	/org/society-of-american-military-engineers-8
University Of Guam Endowment Foundation Inc	/org/university-of-guam-endowment-foundation-inc
Pop Warner Little Scholars, Inc.	/org/pop-warner-little-scholars-inc-272
Autism Society Of Guam	/org/autism-society-of-guam
Nichiren Shoshu Academy Marianas Chapter	/org/nichiren-shoshu-academy-marianas-chapter
Korean Baptist Church Of Guam	/org/korean-baptist-church-of-guam
Marianas Baptist Church	/org/marianas-baptist-church
Pop Warner Little Scholars, Inc.	/org/pop-warner-little-scholars-inc-530
Pop Warner Little Scholars Inc	/org/pop-warner-little-scholars-inc-964
Dominican School	/org/dominican-school
Tamuning Baptist Church	/org/tamuning-baptist-church
Women's Aglow Fellowship	/org/womens-aglow-fellowship_624109
Guam Humanities Council Inc	/org/guam-humanities-council-inc
Guam Korean Buddhist Association	/org/guam-korean-buddhist-association
Pop Warner Little Scholars Inc	/org/pop-warner-little-scholars-inc-828
Central Full Gospel Church Of Guam	/org/central-full-gospel-church-of-guam
Continental Micronesia Inc Association Of Pacfic Island	/org/continental-micronesia-inc-association-of-pacfic-island
Guam Church Of Resurrection	/org/guam-church-of-resurrection
Guma Mami	/org/guma-mami
Pacific Islands University	/org/pacific-islands-university
Island Success Through Learning	/org/island-success-through-learning
Pop Warner Little Scholars Inc	/org/pop-warner-little-scholars-inc-983
Pop Warner Little Scholars Inc	/org/pop-warner-little-scholars-inc-985
Guam Onnuri Vision Church	/org/guam-onnuri-vision-church
Guma Yu Us Bautista Unibetsiha	/org/guma-yu-us-bautista-unibetsiha
Calvary Baptist Church	/org/calvary-baptist-church-11
Evergreen Presbyterian Church	/org/evergreen-presbyterian-church-1
Watch Tower Bible And Tract Society Of Guam	/org/watch-tower-bible-and-tract-society-of-guam
Yigo Church Of Christ	/org/yigo-church-of-christ
Service Corps Of Retired Executives Association	/org/service-corps-of-retired-executives-association_100313559
Mercy Action Marianas Ltd	/org/mercy-action-marianas-ltd
Micronesia Community Development Corporation	/org/micronesia-community-development-corporation
Maria Artero Catholic Preschool And Regional Treasurer	/org/maria-artero-catholic-preschool-and-regional-treasurer
Victory Chapel Inc	/org/victory-chapel-inc-1
The First Presbyterian Church Of Guam	/org/the-first-presbyterian-church-of-guam
Guam Animals In Need Inc	/org/guam-animals-in-need-inc
God Is Love Ministries In Guam	/org/god-is-love-ministries-in-guam
Guam Baptist Association	/org/guam-baptist-association
Beautiful United Church	/org/beautiful-united-church
Hu Nae Hao Kanta Inc	/org/hu-nae-hao-kanta-inc
Flame Treefreedom Center Inc	/org/flame-treefreedom-center-inc
Jesus Lord Of The Harvest Ministrie S International Inc	/org/jesus-lord-of-the-harvest-ministrie-s-international-inc
Guam Evangelical Holiness Church	/org/guam-evangelical-holiness-church
Gca Trades Academy Inc	/org/gca-trades-academy-inc
Guam Museum Foundation Inc	/org/guam-museum-foundation-inc
Guam Educational Radio Foundation	/org/guam-educational-radio-foundation
Yoido Full Gospel Church Guam Inc	/org/yoido-full-gospel-church-guam-inc
Tbs Complete Enlightenment Temple Inc	/org/tbs-complete-enlightenment-temple-inc
Habitat For Humanity International Inc	/org/habitat-for-humanity-international-inc-557
Habitat For Humanity Of Guam	/org/habitat-for-humanity-of-guam
Saving Grace Church Inc	/org/saving-grace-church-inc
Air Force Sergeants Association	/org/air-force-sergeants-association-121
Military Order Of The Purple Heart Of The Usa	/org/military-order-of-the-purple-heart-of-the-usa-379
Military Order Of The Purple Heart Of The Usa	/org/military-order-of-the-purple-heart-of-the-usa-380
Vietnam Veterans Of America Inc	/org/vietnam-veterans-of-america-inc-7
Ancient & Accepted Scottish Rite Of Free Masonry So Juris Usa	/org/ancient-accepted-scottish-rite-of-free-masonry-so-juris-usa-9
Knights Of Columbus	/org/knights-of-columbus-1801
National Active And Retired Federal Employees Association	/org/national-active-and-retired-federal-employees-association-1042
National Sojourners Inc	/org/national-sojourners-inc-82
Internaitonal Association Of Fire Fighters	/org/internaitonal-association-of-fire-fighters-10
International Association Of Lions Clubs	/org/international-association-of-lions-clubs-12914
National Association Of Social Workers Inc	/org/national-association-of-social-workers-inc-55
American Federation Of Teachers	/org/american-federation-of-teachers-866
National Air Traffic Controllers Association	/org/national-air-traffic-controllers-association-366
Church Of Christ Of The Territory Of Guam	/org/church-of-christ-of-the-territory-of-guam
Episcopal Church In Micronesia	/org/episcopal-church-in-micronesia
Episcopal Church Of St John The Devine	/org/episcopal-church-of-st-john-the-devine
Castle Zion Church Inc	/org/castle-zion-church-inc
Military Order Of The Purple Heart Of The Usa	/org/military-order-of-the-purple-heart-of-the-usa-291
Military Order Of The Purple Heart Of The Usa	/org/military-order-of-the-purple-heart-of-the-usa-292
Friends Of The Crime Lab Inc	/org/friends-of-the-crime-lab-inc
The Japanese School Of Guam	/org/the-japanese-school-of-guam
Able Industries Of The Pacific	/org/able-industries-of-the-pacific
Guam Sexual Assault And Abuse Resource Center	/org/guam-sexual-assault-and-abuse-resource-center
Businesswoman Of The Year Inc	/org/businesswoman-of-the-year-inc
Indwelling Ministries	/org/indwelling-ministries
Father Duenas Memorial School Endowment Foundation Inc	/org/father-duenas-memorial-school-endowment-foundation-inc
Guam Korean Buddhist Temple	/org/guam-korean-buddhist-temple
Chen-Yung Memorial Foundation Inc	/org/chen-yung-memorial-foundation-inc
Big Brothers Big Sisters Of Guam	/org/big-brothers-big-sisters-of-guam
International Association Of Lions Clubs	/org/international-association-of-lions-clubs-14759
Guam Education Financing Foundation Inc	/org/guam-education-financing-foundation-inc
Lend-A-Hand Inc	/org/lend-a-hand-inc-4
Infant Of Prague Nursery And Kindergarten Inc	/org/infant-of-prague-nursery-and-kindergarten-inc
Ericas House	/org/ericas-house
Inetnon Gef Pago Cultural Arts Program Inc	/org/inetnon-gef-pago-cultural-arts-program-inc
Pd Hemlani Foundation Ltd	/org/pd-hemlani-foundation-ltd-1
National Association Of Women In Construction	/org/national-association-of-women-in-construction-199
Lets Move Guam	/org/lets-move-guam
Beloved Of God Medical Mission Inc	/org/beloved-of-god-medical-mission-inc
Toastmasters International	/org/toastmasters-international-2982
Guam Facilities Foundation Inc	/org/guam-facilities-foundation-inc
Guam Legal Services Corporation	/org/guam-legal-services-corporation
Victim Advocates Reaching Out	/org/victim-advocates-reaching-out
Guam First Baptist Church	/org/guam-first-baptist-church
Christian Conciliation Service Guam	/org/christian-conciliation-service-guam
Guam Sailing Federation	/org/guam-sailing-federation
Korean Evangelical Church Of Guam	/org/korean-evangelical-church-of-guam
Touchpoint Church Of God	/org/touchpoint-church-of-god
Guahan Baptist Church	/org/guahan-baptist-church
New Heaven Church Inc	/org/new-heaven-church-inc
Catholic Daughters Of The Americas	/org/catholic-daughters-of-the-americas-14
Glory And Freedom Ministries	/org/glory-and-freedom-ministries
Guma Guam Unique Merchandise Art Inc	/org/guma-guam-unique-merchandise-art-inc
Parents Empowering Parents Of Children With Disabilities	/org/parents-empowering-parents-of-children-with-disabilities
Guam Ultimate For All	/org/guam-ultimate-for-all
International Association Of Lions Clubs	/org/international-association-of-lions-clubs-14761
Guam Sports Events Incorporated	/org/guam-sports-events-incorporated
International Reading Association Inc	/org/international-reading-association-inc-83
Pacific Asia Travel Association Micronesia Chapter Inc	/org/pacific-asia-travel-association-micronesia-chapter-inc
Micronesian Conservation Coalition	/org/micronesian-conservation-coalition
Sons Of Saipan	/org/sons-of-saipan
Gpha - Guam Pharmacists Association	/org/gpha-guam-pharmacists-association
International Association Of Lions Clubs	/org/international-association-of-lions-clubs-14923
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
Staywell Foundation Inc	/org/staywell-foundation-inc
Chasing Rainbows End Organization	/org/chasing-rainbows-end-organization
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	/org/assembly-of-god-agat-guam-christian-life-center-a-religous-organizati
First Church Of God	/org/first-church-of-god-3
Guam Buddhism Society	/org/guam-buddhism-society
Ja Worldwide Inc	/org/ja-worldwide-inc-2
Mercy Heights Nursery And Kindergarten Inc	/org/mercy-heights-nursery-and-kindergarten-inc
