org_name	org_url
Project Hawai'i, Inc.	/org/project-hawaii-inc-1
Pacific Primate Sanctuary, Inc.	/org/pacific-primate-sanctuary-inc
American Cancer Federation	/org/american-cancer-federation
American Animal Rescue Federation	/org/american-animal-rescue-federation
Ku Aloha Ola Mau	/org/ku-aloha-ola-mau
Three Ring Ranch, Inc.	/org/three-ring-ranch-inc-1
Keiki Cupboard	/org/keiki-cupboard-1
The Jewish Congregation of Maui	/org/the-jewish-congregation-of-maui
Akamai University	/org/akamai-university
Kanalu (K38)	/org/kanalu-k38
Islands Society	/org/islands-society
PATCH	/org/patch
Hawaii Wellness Institute	/org/hawaii-wellness-institute
Surfing The Nations	/org/surfing-the-nations
NA Hoaloha-Maui Interfaith Volunteer Caregivers	/org/na-hoaloha-maui-interfaith-volunteer-caregivers
IHS, The Institute For Human Services, Inc	/org/ihs-the-institute-for-human-services-inc
Hawaii Wildlife Center	/org/hawaii-wildlife-center
Na Kama Kai	/org/na-kama-kai
Ho ola Na Pua	/org/ho-ola-na-pua
Keiki Kokua, Inc.	/org/keiki-kokua-inc
Gentle World Inc	/org/gentle-world-inc
Islands Society	/org/islands-society-1
Five Mountains Hawaii Inc	/org/five-mountains-hawaii-inc
Arts of Kona	/org/arts-of-kona
Kapila Institute	/org/kapila-institute
Women Organizing For Change In Agriculture & Natural Resource Man	/org/women-organizing-for-change-in-agriculture-natural-resource-man
HAWAII ARTS ALLIANCE (Hawaii Alliance for Arts in Education)	/org/hawai-i-arts-alliance-hawai-i-alliance-for-arts-in-education
Pacific Islands Athletic Alliance	/org/pacific-islands-athletic-alliance
Hawaii Education Matters	/org/hawaii-education-matters
Transitional Assistance, Inc.	/org/transitional-assistance-inc
Sunday's Child Foundation	/org/sundays-child-foundation-1
Women Helping Women	/org/women-helping-women
Pacific Cultural Institute	/org/pacific-cultural-institute
Imua Family Services	/org/imua-family-services
Boys And Girls Club Of Hawaii	/org/boys-and-girls-club-of-hawaii
Oahu Society for the Prevention of Cruelty of Animals	/org/oahu-society-for-the-prevention-of-cruelty-of-animals
Pacific Aviation Museum Pearl Harbor	/org/military-aviation-museum-of-the-pacific
Neighborhood Place of Puna	/org/neighborhood-place-of-puna-1
Taoact Foundation The Advancement Of Alternative Cancer Treatment	/org/taoact-foundation-the-advancement-of-alternative-cancer-treatment
Pacific Whale Foundation	/org/pacific-whale-foundation
Keiki O Ka Aina Preschool Inc	/org/keiki-o-ka-aina-preschool-inc
Dyslexia Center Of The Pacific Inc Dcp	/org/dyslexia-center-of-the-pacific-inc-dcp
KONA FAITH CENTER, INC.	/org/kona-faith-center-inc
Aloha United Way Inc	/org/aloha-united-way-inc
Hearts for Animals Inc	/org/hearts-for-animals-inc-1
Hawaiian Acres Rd Corporation	/org/hawaiian-acres-rd-corporation
Rainbow Friends Animal Sanctuary	/org/rainbow-friends-animal-sanctuary
U-Turn For Christ Kauai Inc	/org/u-turn-for-christ-kauai-inc
Merwin Conservancy	/org/merwin-conservancy
Honolulu Community Action Program	/org/honolulu-community-action-program
Hawaii Lion Dance Association	/org/hawaii-lion-dance-association
Na Lei Nani O Waialua	/org/na-lei-nani-o-waialua
Kapiolani Park Preservation Society	/org/kapiolani-park-preservation-society
HAWAII HELPS DISABILITIES INC	/org/hawaii-helps-disabilities-inc
Hawaii Island Humane Society	/org/hawaii-island-humane-society
Hawaiian Islands Land Trust	/org/hawaiian-islands-land-trust
House Of Angels Ministries	/org/house-of-angels-ministries
Goodwill Industries Of Hawaii Inc	/org/goodwill-industries-of-hawaii-inc
Hoomau Ke Ola	/org/hoomau-ke-ola
International Harvest Foundation Inc	/org/international-harvest-foundation-inc
WOMEN'S FUND OF HAWAI`I	/org/womens-fund-of-hawaii
Most Worshipful Lodge Of Free And Accepted Masons Of Hawaii	/org/most-worshipful-lodge-of-free-and-accepted-masons-of-hawaii-9
Hawaii Montessori Inc	/org/hawaii-montessori-inc
Making Dreams Come True Valley Of Rainbows Inc	/org/making-dreams-come-true-valley-of-rainbows-inc
The Contemporary Museum	/org/the-contemporary-museum
Leilani Farm Sanctuary	/org/leilani-farm-sanctuary
Common Grace	/org/common-grace
Cat-Care	/org/cat-care
Kauai Taro Growers Association	/org/kauai-taro-growers-association
SONGS OF THE CHILDREN	/org/songs-of-the-children
Maui Economic Opportunity Inc	/org/maui-economic-opportunity-inc
ENTREPRENEURS FOUNDATION OF HAWAII	/org/entrepreneurs-foundation-of-hawaii
Soroptimist International Of Waikiki Foundation	/org/soroptimist-international-of-waikiki-foundation
The Movement Center	/org/the-movement-center
KA'U SCHOOL OF THE ARTS	/org/kau-school-of-the-arts
Kohala Hospital Charitable Foundation Inc	/org/kohala-hospital-charitable-foundation-inc
Edith Kanakaole Foundation	/org/edith-kanakaole-foundation
Wild Dolphin Foundation	/org/wild-dolphin-foundation
Kohala Animal Relocation And Education Service	/org/kohala-animal-relocation-and-education-service
Historic Palace Theatre	/org/historic-palace-theatre
KUPU	/org/kupu
Hawaiian Reforestation Program Foundation	/org/hawaiian-reforestation-program-foundation
Punahou School	/org/punahou-school
Parents And Children Together	/org/parents-and-children-together-1
Hawaii Public Radio	/org/hawaii-public-radio
ALII PAUAHI-HAWAIIAN CIVIC CLUB	/org/alii-pauahi-hawaiian-civic-club
The Pregnancy Center Inc	/org/the-pregnancy-center-inc
Bible Institute Of Hawaii	/org/bible-institute-of-hawaii
HAWAIIAN EYE FOUNDATION INC	/org/hawaiian-eye-foundation-inc
East Hawaii Cultural Council	/org/east-hawaii-cultural-council
HAWAII LITERACY INC	/org/hawaii-literacy-inc
Mu Ryang Sa Buddhist Temple	/org/mu-ryang-sa-buddhist-temple
East Maui Animal Refuge	/org/east-maui-animal-refuge
PUKOA KANI AINA COMMUNITY DEVELOPMENT AND FINANCIAL INSTITUT	/org/pukoa-kani-aina-community-development-and-financial-institut
Hale Kipa Inc	/org/hale-kipa-inc
Kona Association For Retarded Citizens	/org/kona-association-for-retarded-citizens
Winners At Work Inc	/org/winners-at-work-inc
4-H Clubs & Affiliated 4-H Organizations	/org/4-h-clubs-affiliated-4-h-organizations_225052
Assistance League Of Hawaii	/org/assistance-league-of-hawaii
Waikiki Baptist Church	/org/waikiki-baptist-church
Special Education Center Of Hawaii	/org/special-education-center-of-hawaii
H U G S For Hawaiis Seriously Ill Children And Their Families	/org/h-u-g-s-for-hawaiis-seriously-ill-children-and-their-families
100th Infantry Battalion Legacy Organization	/org/100th-infantry-battalion-legacy-organization
Christ Lutheran Church	/org/christ-lutheran-church-245
Pacific Islands Fisheries Group	/org/pacific-islands-fisheries-group
Nani O Waianae	/org/nani-o-waianae
Holualoa Foundation For Arts And Culture	/org/holualoa-foundation-for-arts-and-culture
Pearlside Boxing Inc	/org/pearlside-boxing-inc
Family Programs Hawaii	/org/family-programs-hawaii
Kauai Veterans Museum	/org/kauai-veterans-museum
Hawaiian Acres Community Association	/org/hawaiian-acres-community-association
Friends of Volunteers Initiative Nepal (FVIN)	/org/friends-of-volunteers-initiative-nepal-fvin
StarWish	/org/starwish
Hawaii Heart Foundation Inc.	/org/hawaii-heart-foundation-inc
ALOHA DREAM CENTER	/org/aloha-dream-center
Island Breeze Ministries	/org/island-breeze-ministries-1
Hui Laulima O Hana	/org/hui-laulima-o-hana
MAUI ACADEMY OF PERFORMING ARTS	/org/maui-academy-of-performing-arts
MALAMA NA HONU	/org/malama-na-honu
Hawaii Childrens Cancer Foundation	/org/hawaii-childrens-cancer-foundation
Bay Clinic, Inc.	/org/bay-clinic-inc
Kahua Na Au A O Ma Pu Uhonua O Honaunau Nhp Inc	/org/kahua-na-au-a-o-ma-pu-uhonua-o-honaunau-nhp-inc
Keaukaha One Youth Development	/org/keaukaha-one-youth-development
WAIKIKI HEALTH CENTER	/org/waikiki-health-center
Hawaiian Monk Seal Response Team Oahu Inc	/org/hawaiian-monk-seal-response-team-oahu-inc
Hale O Na Kaula	/org/hale-o-na-kaula
Taiwanese Presbyterian Church Of Honolulu	/org/taiwanese-presbyterian-church-of-honolulu
University Clinical Education & Research Associates	/org/university-clinical-education-research-associates
Hawaii Speech League	/org/hawaii-speech-league
Komolani Baptist Church	/org/komolani-baptist-church
Association Of Chinese From Vietnam Cambodia And Laos	/org/association-of-chinese-from-vietnam-cambodia-and-laos
West Hawaii Housing Foundation Inc	/org/west-hawaii-housing-foundation-inc
Mizpeh Ministries	/org/mizpeh-ministries
Ethnic Education Foundation Of Hawaii	/org/ethnic-education-foundation-of-hawaii
Hilo House Inc	/org/hilo-house-inc
Kalihi Union Church	/org/kalihi-union-church
Maui Family Support Services	/org/maui-family-support-services
National Spiritual Assembly Of The Bahais Of The Hawaiian Islands	/org/national-spiritual-assembly-of-the-bahais-of-the-hawaiian-islands-18
Kauai Childrens Justice Committee	/org/kauai-childrens-justice-committee
Hawaii United Okinawa Association	/org/hawaii-united-okinawa-association
Konawaena High & Intermediate School Foundation Inc	/org/konawaena-high-intermediate-school-foundation-inc
Hawaiian Music And Dance Foundation	/org/hawaiian-music-and-dance-foundation
Waikiki Foursquare Church	/org/waikiki-foursquare-church
Church Of Ke Auhou	/org/church-of-ke-auhou
Ka Hale A Ke Ola Homeless Resource Centers Inc	/org/ka-hale-a-ke-ola-homeless-resource-centers-inc
Waimanalo Hawaiian Homes Association	/org/waimanalo-hawaiian-homes-association
Oahu Inline Hockey League	/org/oahu-inline-hockey-league
International Healing Foundation	/org/international-healing-foundation
Palisades University Extension Club	/org/palisades-university-extension-club
Neighbor Island Baptist Association	/org/neighbor-island-baptist-association
Windward Christian Church	/org/windward-christian-church
Nuhou Corporation	/org/nuhou-corporation
Little League Baseball Inc	/org/little-league-baseball-inc-119
Toastmasters International, Inc.	/org/toastmasters-international-inc_145
Toastmasters International	/org/toastmasters-international-10478
Ke Kaiaulu O Kaiona	/org/ke-kaiaulu-o-kaiona
Childrens Discovery Center	/org/childrens-discovery-center
Network Enterprise Inc	/org/network-enterprise-inc
Waipa Foundation	/org/waipa-foundation
Big Island Yoga Center	/org/big-island-yoga-center
Pop Warner Little Scholars Inc	/org/pop-warner-little-scholars-inc-36
Agape Mission Baptist Church	/org/agape-mission-baptist-church
E Ducere Inc	/org/e-ducere-inc
Friends Of The Library Of Hawaii	/org/friends-of-the-library-of-hawaii-28
St Francis Healthcare Foundation Of Hawaii	/org/st-francis-healthcare-foundation-of-hawaii
Hui Makua Punana Leo O Molokai	/org/hui-makua-punana-leo-o-molokai
Bethel Church Of The Pacific	/org/bethel-church-of-the-pacific
National Space Society	/org/national-space-society_136
Hawaii Chamber Of Commerce Foundation	/org/hawaii-chamber-of-commerce-foundation
Japanese Language Ministry Of Kec	/org/japanese-language-ministry-of-kec
Hale Mahaolu Elima Incorporated	/org/hale-mahaolu-elima-incorporated
Anahola Homesteaders Council	/org/anahola-homesteaders-council
Bellini Foundation	/org/bellini-foundation
Peace Action Childrens Team	/org/peace-action-childrens-team
University Of Hawaii Foundation	/org/university-of-hawaii-foundation
Outdoor Circle Central Organization	/org/outdoor-circle-central-organization
United Japanese Society Of Hawaii	/org/united-japanese-society-of-hawaii
Honolulu Friends Meeting	/org/honolulu-friends-meeting
Japanese Christian Mission	/org/japanese-christian-mission
Pacific Housing Oahu Corporation	/org/pacific-housing-oahu-corporation
Filipino Assemblies Of The Firstborn Inc	/org/filipino-assemblies-of-the-firstborn-inc
Good Shepherd Foundation Inc	/org/good-shepherd-foundation-inc
Maui Family Support Services	/org/maui-family-support-services_2551
Hualalai Academy Parents Association	/org/hualalai-academy-parents-association
Pacific Arts Foundation Inc	/org/pacific-arts-foundation-inc
Hoopono Koolau Loa Community Foundation	/org/hoopono-koolau-loa-community-foundation
Kamalii Elementary School Pta Kihei Hawaii	/org/kamalii-elementary-school-pta-kihei-hawaii
Hawaii Holocaust Resource Center	/org/hawaii-holocaust-resource-center
Hui Ka Ko O Kenika	/org/hui-ka-ko-o-kenika
Open Art International	/org/open-art-international
Samoan Assembly Of God	/org/samoan-assembly-of-god
Institute Of Catholic Higher Education Inc	/org/institute-of-catholic-higher-education-inc
International Archaeological Research Institute Inc	/org/international-archaeological-research-institute-inc
Civil Air Patrol 51060 Kona Composite Squadron Civil Air Patrol	/org/civil-air-patrol-51060-kona-composite-squadron-civil-air-patrol
Malulani Hale	/org/malulani-hale
Calvary Fellowship, Inc.	/org/calvary-fellowship-inc
Service Corps Of Retired Executives Association	/org/service-corps-of-retired-executives-association_43766
Aikido Of Honolulu	/org/aikido-of-honolulu
American Statistical Association	/org/american-statistical-association-35
Believers Of Jehovah And Jesus Christ	/org/believers-of-jehovah-and-jesus-christ
Maui Memorial Hospital Auxilliary	/org/maui-memorial-hospital-auxilliary
John T Waterhouse Trust Estate Ii Bishop Museum 20582004 010985	/org/john-t-waterhouse-trust-estate-ii-bishop-museum-20582004-010985
Luomala Charitable Tr 022792	/org/luomala-charitable-tr-022792
Fathers Of The Sacred Hearts	/org/fathers-of-the-sacred-hearts
Seicho No Ie Komyo Shiso Fukyo Kai Maui Shima Shibu	/org/seicho-no-ie-komyo-shiso-fukyo-kai-maui-shima-shibu
Higashi Hongwanji Mission Of Hawaii	/org/higashi-hongwanji-mission-of-hawaii
Hawaii Ballroom Dance Association	/org/hawaii-ballroom-dance-association
Toastmistress International Clubs Inc Aloha Chapter	/org/toastmistress-international-clubs-inc-aloha-chapter
Friends Of Hoopono	/org/friends-of-hoopono
Dexter Cate Foundation	/org/dexter-cate-foundation
Toastmasters International	/org/toastmasters-international-10502
Seicho No Le Kauai	/org/seicho-no-le-kauai
Church Of Christ Of The Redeemed Of The Lord	/org/church-of-christ-of-the-redeemed-of-the-lord
Hana Maui Trust	/org/hana-maui-trust
Lanakila Church	/org/lanakila-church
Honpa Hongwanji Mission Of Wahiawa	/org/honpa-hongwanji-mission-of-wahiawa
Police Activities League	/org/police-activities-league
Word Of Truth	/org/word-of-truth-2
Friends Of Mokuula Inc	/org/friends-of-mokuula-inc
Believers Bible Fellowship	/org/believers-bible-fellowship
City Church Of Honolulu	/org/city-church-of-honolulu
Mililani High School Spada Inc	/org/mililani-high-school-spada-inc
Jewish Community Services	/org/jewish-community-services
Association For Hawaiian Awa	/org/association-for-hawaiian-awa
Lili P Berndt Trust	/org/lili-p-berndt-trust
West Kauai United Methodist Church	/org/west-kauai-united-methodist-church
Transformation Ministries	/org/american-baptist-churches-of-the-pacific-southwest_56919
Makiki Japanese Language School	/org/makiki-japanese-language-school
Olivet Baptist Church	/org/olivet-baptist-church
Harold Lloyd Lyon Private Foundation	/org/harold-lloyd-lyon-private-foundation
Pop Warner Little Scholars Inc	/org/pop-warner-little-scholars-inc-37
Waioli Corporation	/org/waioli-corporation
Kahului Union Church	/org/kahului-union-church
Leahi Soccer Club	/org/leahi-soccer-club
Legal Aid Society Of Hawaii	/org/legal-aid-society-of-hawaii
Hawaii United Methodist Union	/org/hawaii-united-methodist-union
Friends Of The Library Of Hawaii	/org/friends-of-the-library-of-hawaii-13
Ewa Majesty Baptist Church	/org/ewa-majesty-baptist-church
Queens Medical Center	/org/queens-medical-center
Honpa Hongwanji Mission Of Hawaii	/org/honpa-hongwanji-mission-of-hawaii
Central Union Church Arcadia Liability Trust	/org/central-union-church-arcadia-liability-trust
Girl Scouts Of Hawaii	/org/girl-scouts-of-hawaii
Informal Group Of Christian Scientists Lihue	/org/informal-group-of-christian-scientists-lihue
Lutheran High School Association Of Hawaii	/org/lutheran-high-school-association-of-hawaii
Waianae Coast Culture &	/org/waianae-coast-culture
Waianae District Comprehensive Health And Hospital Board Inc	/org/waianae-district-comprehensive-health-and-hospital-board-inc
American Baptist Churches In The Usa Community Baptist Church Of Pe	/org/american-baptist-churches-in-the-usa-community-baptist-church-of-pe
Shinnyo-En Hawaii	/org/shinnyo-en-hawaii
United Self-Help	/org/united-self-help
Friends Of The Library Of Hawaii	/org/friends-of-the-library-of-hawaii
Teen Challenge Hawaii	/org/teen-challenge-hawaii
Financial Education Center	/org/financial-education-center
Enterprise & Development Resources For The Pacific	/org/enterprise-development-resources-for-the-pacific
Lihue Baptist Church	/org/lihue-baptist-church
Good Shepherd Lutheran Church	/org/good-shepherd-lutheran-church-202
Consumer Credit Counseling Service Of Hawaii	/org/consumer-credit-counseling-service-of-hawaii
Ke Ola O Hawaii Incorporated	/org/ke-ola-o-hawaii-incorporated
Waialae Baptist Church	/org/waialae-baptist-church
Kaneohe Yachting Foundation	/org/kaneohe-yachting-foundation
The United States Pony Clubs Inc	/org/the-united-states-pony-clubs-inc-266
Friends Of The City And County Of Honolulu	/org/friends-of-the-city-and-county-of-honolulu
Kinoole Baptist Church	/org/kinoole-baptist-church
Seabury Hall	/org/seabury-hall
Living Ministry	/org/living-ministry
First Baptist Church Of Haleiwa	/org/first-baptist-church-of-haleiwa
Wailuku Union Church	/org/wailuku-union-church
United Way Statewide Association Of Hawaii	/org/united-way-statewide-association-of-hawaii
Makana Hale Cooperative	/org/makana-hale-cooperative
Polynesian Cultural Center	/org/polynesian-cultural-center
The Arc Of Hilo	/org/the-arc-of-hilo
Hawaii Philadelphia Mission Church	/org/hawaii-philadelphia-mission-church
Aloha School Early Learning Center Inc	/org/aloha-school-early-learning-center-inc
Jewish Community Of Kauai Inc	/org/jewish-community-of-kauai-inc
Bihf Riverside Community Based Nonprofit Corporation	/org/bihf-riverside-community-based-nonprofit-corporation
Spiritual Life Center	/org/spiritual-life-center
Kalani Mala Inc	/org/kalani-mala-inc
United Presbyterian Korean Church	/org/united-presbyterian-korean-church
Charity Ministry C/O Rev Joseph Enos	/org/charity-ministry-c-o-rev-joseph-enos
Hawaii Credit Counseling Service	/org/hawaii-credit-counseling-service
Toastmasters International	/org/toastmasters-international_57004
Soil And Water Conservation Society	/org/soil-and-water-conservation-society-30
Womens International Bowling Congress Inc	/org/womens-international-bowling-congress-inc_57008
Seniors Law Program Inc	/org/seniors-law-program-inc
Mililani Athletic Association Inc	/org/mililani-athletic-association-inc
Organization Of Chinese-Americans Inc	/org/organization-of-chinese-americans-inc
Toastmasters International	/org/toastmasters-international_57013
Kano Eau Dance Academy Corp	/org/kano-eau-dance-academy-corp
Pta Hawaii Congress	/org/pta-hawaii-congress_57017
Kamaaina Care Inc	/org/kamaaina-care-inc
Pta Hawaii Congress	/org/pta-hawaii-congress_57020
The Kilauea Ohana Playschool	/org/the-kilauea-ohana-playschool
Hsing Chung Hui Memorial Foundation	/org/hsing-chung-hui-memorial-foundation
Mililani Foursquare Church	/org/mililani-foursquare-church
Blue Ocean Preservation	/org/blue-ocean-preservation
Chinese Community Action Coalition	/org/chinese-community-action-coalition
His Precious Word Fellowship Inc	/org/his-precious-word-fellowship-inc
Toastmasters International	/org/toastmasters-international-10482
Foundation For God	/org/foundation-for-god
Friends Of The Panaewa Zoo	/org/friends-of-the-panaewa-zoo
Path Peoples Advocacy For Trails Hawaii	/org/path-peoples-advocacy-for-trails-hawaii
Kona Gospel Chapel	/org/kona-gospel-chapel
Hawaiian Island Water Polo	/org/hawaiian-island-water-polo
Kamehameha Aquatics Team	/org/kamehameha-aquatics-team
Kona Outdoor Circle Educational Center And Sadie Seymour Botanical	/org/kona-outdoor-circle-educational-center-and-sadie-seymour-botanical
Hawaii United Okinawa Association	/org/hawaii-united-okinawa-association-6
East West Center Foundation 15684001	/org/east-west-center-foundation-15684001
Maranatha Christian Church Of Honolulu Hawaii Inc	/org/maranatha-christian-church-of-honolulu-hawaii-inc
The Womens Island Soccer Association	/org/the-womens-island-soccer-association
Mennonite Ministries Of Hawaii	/org/mennonite-ministries-of-hawaii
Harvest Chapel	/org/harvest-chapel-4
American Institute Of Graphic Arts	/org/american-institute-of-graphic-arts-71
Christ Church Uniting Disciples And Presbyterians	/org/christ-church-uniting-disciples-and-presbyterians
Oahu Economic Development Board	/org/oahu-economic-development-board
Arc Of Hawaii Housing Project Number 9 Inc	/org/arc-of-hawaii-housing-project-number-9-inc
