org_name	org_url
Idaho Meth Project Inc	/org/idaho-meth-project-inc
Make A Difference	/org/make-a-difference-1
The Mentoring Network Inc.	/org/the-mentoring-network-inc
Orphan Acres Inc.	/org/orphan-acres-inc
The First Tee of Idaho	/org/the-first-tee-of-idaho
Lee Pesky Learning Center, Inc.	/org/lee-pesky-learning-center-inc
Edens Song Ministry Inc	/org/edens-song-ministry-inc
River Discovery Inc	/org/river-discovery-inc-1
Thriive	/org/thriive
Valley Advocates for Responsible Development Inc	/org/valley-advocates-for-responsible-development-inc
Snake River Montessori School Inc	/org/snake-river-montessori-school-inc
Idaho Drug-Free Youth Inc	/org/idaho-drug-free-youth-inc
Amazing Amigos, Inc.	/org/amazing-amigos-inc
Youth With A Mission Idaho Boise Cascade Inc	/org/youth-with-a-mission-idaho-boise-cascade-inc
Western Watersheds Project Inc	/org/western-watersheds-project-inc
Laptops to Lesotho Inc.	/org/laptops-to-lesotho-inc
AquAbility Inc.	/org/aquability-inc
Sun Valley Adaptive Sports Program, Inc.	/org/sun-valley-adaptive-sports-program-inc
Wow Students (Wood River Foundation Inc.)	/org/wow-students-wood-river-foundation-inc
Families Together For People With Disabilities	/org/families-together-for-people-with-disabilities
Families Together For People With Disabilities	/org/families-together-for-people-with-disabilities
Idaho Nonprofit Center	/org/idaho-nonprofit-center
Palouse-Clearwater Environmental Institute, Inc.	/org/palouse-clearwater-environmental-institute-inc
Wyakin Warrior Foundation	/org/wyakin-warrior-foundation
Friends of the Clearwater	/org/friends-of-the-clearwater
Medex Foundation Incorporated	/org/medex-foundation-incorporated
Greyhound Rescue Of Idaho	/org/greyhound-rescue-of-idaho
Hands4uganda	/org/hands4uganda
American Heritage Wildlife Foundation, Inc.	/org/american-heritage-wildlife-foundation-inc
The Idaho Foodbank	/org/the-idaho-foodbank
Habitat For Humanity International Inc	/org/habitat-for-humanity-international-inc-1413
Treasure Valley Institute For Childrens Arts	/org/treasure-valley-institute-for-childrens-arts
Jumpin' Beans Mobile Food Bank	/org/jumpin-beans-mobile-food-bank
