org_name	org_url
Operation Asha	/org/operation-asha
Alliance of Hope for Suicide Loss Survivors	/org/alliance-of-hope-for-suicide-loss-survivors
D & R Rescue Inc	/org/d-r-rescue-inc
Gift of Adoption Fund Inc	/org/gift-of-adoption-fund-inc
Woman Made	/org/woman-made
Victory Reins Therapeutic Riding Center	/org/victory-reins-therapeutic-riding-center
Zakat Foundaton of America	/org/zakat-foundation-of-america
Diveheart Foundation	/org/diveheart-foundation
Midwest Young Artists Conservatory	/org/midwest-young-artists-conservatory
Foundation for Angelman Syndrome Therapeutics	/org/foundation-for-angelman-syndrome-therapeutics
Chicago Coalition for the Homeless	/org/chicago-coalition-for-the-homeless
Center for Global Initiatives	/org/center-for-global-initiatives
Operation Support our Troops America	/org/operation-support-our-troops-america
Prevent Child Abuse America	/org/prevent-child-abuse-america
Umma-Urban Muslim Minority Alliance	/org/umma-urban-muslim-minority-alliance
Heartland Institute	/org/heartland-institute
The Cradle	/org/the-cradle
GPS (God's People Serving) Ministries Inc	/org/gps-gods-people-serving-ministries-inc
Lungevity Foundation	/org/lungevity-foundation
Advocates for Adolescent Mothers	/org/advocates-for-adolescent-mothers
Seed of Hope Foundation	/org/seed-of-hope-foundation-1
Karam Foundation NFP	/org/karam-foundation-nfp
Dreams for Kids, Inc.	/org/dreams-for-kids-inc
Ecology Action Center	/org/ecology-action-center
American Blues Theater	/org/american-blues-theater
National Anti-Vivisection Society	/org/national-anti-vivisection-society
Critter Camp Exotic Pet Sanctuary	/org/critter-camp-exotic-pet-sanctuary
African Vision of Hope	/org/african-vision-of-hope
Oak Park River Forest Food Pantry	/org/oak-park-river-forest-food-pantry
Amyloidosis Support Group, Inc.	/org/amyloidosis-support-group-inc
MilitaryMamaNetwork NFP	/org/militarymamanetwork-nfp
Mitziut	/org/mitziut
New Foundation Center, Inc	/org/new-foundation-center-inc
NAIDW - National Association of Injured & Disabled Workers	/org/naidw-national-association-of-injured-disabled-workers
Kids In Danger	/org/kids-in-danger
Youth Outreach Services, Inc. Northwest Youth Outreach	/org/youth-outreach-services-inc-northwest-youth-outreach
Characters of Character NFP, Inc.	/org/characters-of-character-nfp-inc
The MAGIC Foundation	/org/the-magic-foundation
La Casa Norte	/org/la-casa-norte
Imagination Theater Inc	/org/imagination-theater-inc
Totally Positive Productions	/org/totally-positive-productions
Franciscan Works + Liberia Mission Inc.	/org/franciscan-works-liberia-mission-inc
Infinity Foundation	/org/infinity-foundation
Elite Special Athletes Foundation	/org/elite-special-athletes-foundation
Musical Arts Institute	/org/musical-arts-institute
Forever Husky, Inc.	/org/forever-husky-inc
Bear Necessities Pediatric Cancer Foundation	/org/bear-necessities-pediatric-cancer-foundation
Worldwide Fistula Fund Inc	/org/worldwide-fistula-fund-inc
Chicago French Bulldog Rescue Inc Nfp	/org/chicago-french-bulldog-rescue-inc-nfp
Partners For Progress NFP	/org/partners-for-progress-nfp
Center for Independence Through Conductive Education Inc	/org/center-for-independence-through-conductive-education-inc
Silk Road Rising	/org/silk-road-rising
Us TOO International	/org/us-too-international
Creating IT Futures	/org/creating-it-futures
Awakenings Project	/org/awakenings-project
Starlight Children's Foundation Midwest	/org/starlight-childrens-foundation-midwest
Heartland Animal Shelter NFP	/org/heartland-animal-shelter-nfp
Charis	/org/charis
Red Door Animal Shelter	/org/red-door-animal-shelter
One Hope Ministries NFP	/org/one-hope-ministries-nfp
Brighter Dawns	/org/brighter-dawns
International Fellowship Of Christians & Jews	/org/international-fellowship-of-christians-jews
Guardian Angel Basset Rescue Inc	/org/guardian-angel-basset-rescue-inc
Chicago Photography Center NFP	/org/chicago-photography-center-nfp
Crossroads Kids Club	/org/crossroads-kids-club
GirlForward	/org/girlforward
Kids Around the World	/org/kids-around-the-world
Northern Illinois Food Bank	/org/northern-illinois-food-bank
Danny Did Foundation	/org/danny-did-foundation
Illinois Leadership Seminars (ILS)	/org/illinois-leadership-seminars-ils
Echo Dogs White Shepherd Rescue	/org/echo-dogs-white-shepherd-rescue
