org_name	org_url
Mission Guatemala Inc	/org/mission-guatemala-inc
Autism Spectrum Disorder Foundation Inc	/org/autism-spectrum-disorder-foundation-inc
Professional Animal Retirement Center	/org/professional-animal-retirement-center
Every Child Ministries	/org/every-child-ministries-3
National FFA Organization	/org/national-ffa-organization
Wolf Park Inc	/org/wolf-park-inc
International Disaster Emergency Service Inc	/org/international-disaster-emergency-service-inc
Hope for Animals	/org/hope-for-animals-1
Happy Hollow Children's Camp, Inc.	/org/happy-hollow-childrens-camp-inc
Malawi Project Inc	/org/malawi-project-inc
Art With A Heart	/org/art-with-a-heart
Food Finders Food Bank Inc	/org/food-finders-food-bank-inc
Animalia	/org/animalia
Humane Society-Calumet Area Inc	/org/humane-society-calumet-area-inc
AD-IN INC,  Adoptions of Indiana	/org/ad-in-inc-adoptions-of-indiana
Bikersinc	/org/bikersinc
Military with PTSD Inc.	/org/military-with-ptsd-inc
Fountains of Hope International, Inc.	/org/fountains-of-hope-international-inc
Obat Helpers Inc	/org/obat-helpers-inc
National Junior Tennis League of Indianapolis Inc	/org/national-junior-tennis-league-of-indianapolis-inc
Safe Sitter Inc	/org/safe-sitter-inc
all for One productions inc	/org/all-for-one-productions-inc
A Rosie Place	/org/a-rosie-place
Paws and Think Inc	/org/paws-and-think-inc
Social Promise Inc.	/org/social-promise-inc
Hope House Inc	/org/hope-house-inc-2
Clean Socks Hope Inc.	/org/clean-socks-hope-inc
Prison Greyhounds Inc	/org/prison-greyhounds-inc
Spay-Neuter Services of Indiana	/org/spay-neuter-services-of-indiana
Bountiful Harvest Ministries Inc	/org/bountiful-harvest-ministries-inc
National Christian Foundation Indiana	/org/national-christian-foundation-indiana
Tony Stewart Foundation, Inc.	/org/tony-stewart-foundation-inc
Community Foundation Partnership Inc	/org/community-foundation-partnership-inc
Ponies and Kids	/org/ponies-and-kids
Bloomington Symphony Orchestra	/org/bloomington-symphony-orchestra
Hvaf Of Indiana Inc	/org/hvaf-of-indiana-inc
Helping His Hands Disaster Response Inc.	/org/helping-his-hands-disaster-response-inc
Strides to Success Inc	/org/strides-to-success-inc
Muncie Mission Ministries, Inc.	/org/muncie-mission-ministries-inc
Hello Gorgeous of Hope Inc	/org/hello-gorgeous-of-hope-inc
Love At Work Ministries Inc	/org/love-at-work-ministries-inc
American Research Institute of the South Caucasus	/org/american-research-institute-of-the-south-caucasus
Women For Change Coaching Community	/org/women-for-change-coaching-community
Hollys House Inc	/org/hollys-house-inc
Retreat Campus Inc	/org/retreat-campus-inc
Americans For African Adoptions Inc	/org/americans-for-african-adoptions-inc
Bridgepointe Services And Goodwill Industries Of Southern Indiana, Inc.	/org/goodwill-bridgepointe-services-inc
Real Hope For Haiti	/org/real-hope-for-haiti
Center of Wellness for Urban Women Inc	/org/center-of-wellness-for-urban-women-inc
Healing, Health, & Hope Inc	/org/healing-health-hope-inc
Camptown, Inc.	/org/camptown-inc
Shelter Ministries Inc	/org/shelter-ministries-inc-1
Parkview Health	/org/parkview-health
Big Brothers and Big Sisters of Cass County Inc	/org/big-brothers-and-big-sisters-of-cass-county-inc
Fort Wayne Dance Collective Inc	/org/fort-wayne-dance-collective-inc
Indianapolis Neighborhood Housing Partnership Inc	/org/indianapolis-neighborhood-housing-partnership-inc
Ronald McDonald House of Indiana Inc	/org/ronald-mcdonald-house-of-indiana-inc
Beacon Of Hope Center For Women Inc	/org/beacon-of-hope-center-for-women-inc
Autism Advocates of Indiana, Inc. dba Answers for Autism	/org/autism-advocates-of-indiana-inc-dba-answers-for-autism
Athletic Sports League, Inc.	/org/athletic-sports-league-inc
Ronald Mcdonald House Charities of the Ohio Valley Inc	/org/ronald-mcdonald-house-charities-of-the-ohio-valley-inc
Boys & Girls Clubs of Indianapolis, Inc.	/org/boys-girls-clubs-of-indianapolis-inc
Tara Treatment Center Inc	/org/tara-treatment-center-inc
Corner to Cornerstone	/org/corner-to-cornerstone
Cats Haven, Ltd	/org/cats-haven-ltd-1
Robins Nest Of Indy Inc	/org/robins-nest-of-indy-inc
Big Brothers-Big Sisters of East Central Indiana Inc	/org/big-brothers-big-sisters-of-east-central-indiana-inc
Taltree Arboretum and Gardens Foundation Inc	/org/taltree-arboretum-and-gardens-foundation-inc
Indiana Parkinson Foundation	/org/indiana-parkinson-foundation
Indiana Regular Baptist Youth Camps Inc	/org/indiana-regular-baptist-youth-camps-inc
Indiana Center for Middle East Peace	/org/indiana-center-for-middle-east-peace
Autism Society of Indiana	/org/autism-society-of-indiana
Aurora Inc	/org/aurora-inc
American Legion Auxiliary- Nationwide	/org/american-legion-auxiliary-nationwide
HomesteadCS	/org/homesteadcs
South Shore Dance Alliance Inc	/org/south-shore-dance-alliance-inc
Ays Inc	/org/ays-inc
Outreach Inc	/org/outreach-inc-5
Bauer Family Resources	/org/bauer-family-resources
Saving Orphans through Healthcare and Outreach	/org/saving-orphans-through-healthcare-and-outreach
Monroe County United Ministries, Inc.	/org/monroe-county-united-ministries-inc
Animals Rescue Fund Inc	/org/animals-rescue-fund-inc
Kids Alive International Inc	/org/kids-alive-international-inc
Chasing Dreams Inc.	/org/chasing-dreams-inc
Natalies Second Chance Dog Shelter Inc	/org/natalies-second-chance-dog-shelter-inc
Shirley Heinze Land Trust, Inc	/org/shirley-heinze-land-trust-inc
Rock-It To A Cure, Inc.	/org/rock-it-to-a-cure-inc
Hamilton County Entrepreneurship Initiative Corporation	/org/hamilton-county-entrepreneurship-initiative-corporation
Horse Shoe Equine Rescue, Inc.	/org/horse-shoe-equine-rescue-inc
Girl Riders Organization Inc	/org/girl-riders-organization-inc
The Jack & Shirley Lubeznik Center For The Arts Inc	/org/the-jack-shirley-lubeznik-center-for-the-arts-inc
Messiah Missions	/org/messiah-missions
Angels & Doves Inc.	/org/angels-doves-inc
Kibble Kitchen Pet Pantry Inc	/org/kibble-kitchen-pet-pantry-inc
La Casa De Amistad Inc	/org/la-casa-de-amistad-inc
Independent Cat Society Inc.	/org/independent-cat-society-inc
Church World Service Inc	/org/church-world-service-inc
Humane Society Of Washington County Inc	/org/humane-society-of-washington-county-inc
Hendricks County Arts Council Inc	/org/hendricks-county-arts-council-inc
PARTNERSHIPS FOR LAWRENCE INC	/org/partnerships-for-lawrence-inc
Indianapolis Early Learning Center	/org/indianapolis-early-learning-center
Christel House International Inc	/org/christel-house
Exotic Feline Rescue Center Inc	/org/exotic-feline-rescue-center-inc
Cota Childrens Organ Transplant Association Inc	/org/cota-childrens-organ-transplant-association-inc
Literacy Center Inc	/org/literacy-center-inc
Lake Area United Way Inc	/org/lake-area-united-way-inc
INFLAMMATORY BREAST CANCER RESEARCH FOUNDATION	/org/inflammatory-breast-cancer-research-foundation
Building Tomorrow Inc	/org/building-tomorrow-inc
Overseas Instruction In Counseling Inc	/org/overseas-instruction-in-counseling-inc
OPTIMAL RHYTHMS INC	/org/optimal-rhythms-inc
Rainbow Serenity, Ltd.	/org/rainbow-serenity-ltd
Mercy Rescue & Adoption Inc	/org/mercy-rescue-adoption-inc
Muira Village Health Center Project Inc	/org/muira-village-health-center-project-inc
Stone Belt Arc Inc	/org/stone-belt-arc-inc
Help the Animals Inc	/org/help-the-animals-inc
Chiara Home Incorporated	/org/chiara-home-incorporated
Fay Biccard Glick Neighborhood Center At Crooked Creek	/org/fay-biccard-glick-neighborhood-center-at-crooked-creek
Pack Away Hunger	/org/pack-away-hunger
Cats Haven	/org/cats-haven
Voices of Indiana	/org/voices-of-indiana
Horse-Angels Inc	/org/horse-angels-inc
Therapeion Therapeutic Riding Center	/org/therapeion-therapeutic-riding-center
Spoiled Acres Rescue Inc	/org/spoiled-acres-rescue-inc
Caring About People Inc	/org/caring-about-people-inc
Fort Wayne Artists Guild Inc	/org/fort-wayne-artists-guild-inc
Right Relations Inc	/org/right-relations-inc
Causes For Change International	/org/causes-for-change-international
