org_name	org_url
Saving Our Avian Resources S O A R	/org/saving-our-avian-resources-s-o-a-r
Animal Rescue League of Iowa, Inc.	/org/animal-rescue-league-of-iowa-inc
The Heart Connection	/org/the-heart-connection
Iowa Friends of Companion Animals	/org/iowa-friends-of-companion-animals
Soul of Healing Inc	/org/soul-of-healing-inc
Lamb Arts LTD-LAMB  Arts Regional Theatre/School	/org/lamb-arts-ltd-lamb-arts-regional-theatre-school
Dogs Forever	/org/dogs-forever
Project Vote Smart	/org/project-vote-smart
Hooves & Paws Rescue of the Heartland	/org/hooves-paws-rescue-of-the-heartland
Lusco Farms Rescue	/org/lusco-farms-rescue-1
Bailing Out Benji	/org/bailing-out-benji
Amanda Cares Inc	/org/amanda-cares-inc
Raccoon Valley Animal Sanctuary & Rescue	/org/raccoon-valley-animal-sanctuary-rescue
Waypoint Services for Women Children and Families	/org/waypoint-services-for-women-children-and-families
Raptor Resource Project	/org/raptor-resource-project
Sakthi Foundation Inc	/org/sakthi-foundation-inc
Family Inc	/org/family-inc-1
Handicap Village dba Opportunity Village	/org/handicap-village-dba-opportunity-village
White Eagle 7th Generation Multicultural Pow Wow Incorporated	/org/white-eagle-7th-generation-multicultural-pow-wow-incorporated
Central Iowa Shelter & Services	/org/central-iowa-shelter-services
English River Outfitters Resort	/org/english-river-outfitters-resort
Iowa City Free Medical Clinic	/org/iowa-city-free-medical-clinic
Recycled Fish	/org/recycled-fish
Emma Goldman Clinic	/org/emma-goldman-clinic
Go Light Our World	/org/go-light-our-world
C & WS Rustic Hollow Shelter Inc	/org/c-ws-rustic-hollow-shelter-inc
The Orthotic & Prosthetic Assistance Fund, Inc.	/org/the-orthotic-prosthetic-assistance-fund-inc
Animal Lifeline of Iowa, Inc.	/org/animal-lifeline-of-iowa-inc
Great River Players Inc	/org/great-river-players-inc
Corridor Therapy Dogs	/org/corridor-therapy-dogs
Susan G Komen Breast Cancer Foundation	/org/susan-g-komen-breast-cancer-foundation-11
Humility Of Mary Housing Incorporated	/org/humility-of-mary-housing-incorporated
The Gospel Mission	/org/sioux-city-gospel-mission
Outreach Inc	/org/outreach-inc-4
Orchard Place	/org/orchard-place
Riders Club of America	/org/riders-club-of-america
Horizons - A Family Service Alliance	/org/horizons-a-family-service-alliance
A Call To Serve Ministries of Iowa	/org/a-call-to-serve-ministries-of-iowa
Beat Cancer Today, Inc.	/org/beat-cancer-today-inc
One Iowa Education Fund	/org/one-iowa-education-fund-1
Countryside Music Encore, Inc	/org/countryside-music-encore-inc
Crittenton Center	/org/crittenton-center
Studio Arts College International (SACI)	/org/studio-arts-college-international-saci
Wildthunder Wildlife and Animal Rehabilitation and Sanctuary	/org/wildthunder-wildlife-and-animal-rehabilitation-and-sanctuary
Meals From The Heartland	/org/meals-from-the-heartland
WhyDoParents.org, Inc	/org/whydoparents-org-inc
Seed Savers Exchange, Inc.	/org/seed-savers-exchange-inc
Paws Of Life Foundation	/org/paws-of-life-foundation
Qresolution	/org/qresolution
Hopeful Africa Inc	/org/hopeful-africa-inc
Veterans National Recovery Center For The Homeless & Ptsd Distressed	/org/veterans-national-recovery-center-for-the-homeless-ptsd-distressed
Brotherhood Of Christ Church	/org/brotherhood-of-christ-church
New Horizons Adult Day Center	/org/new-horizons-adult-day-center
Friends Of The Mines Of Spain	/org/friends-of-the-mines-of-spain
Lyme Disease United Coalition	/org/lyme-disease-united-coalition
Critter Crusaders of Cedar Rapids	/org/critter-crusaders-of-cedar-rapids
The Family Leader Foundation Inc	/org/the-family-leader-foundation-inc
Junior Achievement Of Central Iowa Inc	/org/junior-achievement-of-central-iowa-inc
DADS PAWS 4 LIFE INC	/org/dads-paws-4-life-inc
Pella Opera House	/org/pella-opera-house-commission
Adopt-A-Family Local Foods Connection	/org/local-foods-connection
Neighborhood Transportation Service Inc	/org/neighborhood-transportation-service-inc
New Bohemia Group Inc	/org/new-bohemia-group-inc
St Josephs R C Church	/org/st-josephs-r-c-church-2
Circle Of Life Hospice	/org/circle-of-life-hospice
Bishop Drumm Home For The Aged Guild	/org/bishop-drumm-home-for-the-aged-guild
