org_name	org_url
Unbound	/org/unbound-1
Shirley Ann Sullivan Educational Foundation	/org/shirley-ann-sullivan-educational-foundation
Fundamental Learning Center Inc	/org/fundamental-learning-center-inc
L M Alcott Art Center Foundation	/org/l-m-alcott-art-center-foundation
Variety Children's Charity of Greater Kansas City	/org/variety-childrens-charity-of-greater-kansas-city
Star of Hope International America Inc	/org/star-of-hope-international-america-inc
International Essential Tremor Foundation	/org/international-essential-tremor-foundation
B&C Equine Rescue Inc.	/org/b-c-equine-rescue-inc
Arts Partners Inc	/org/arts-partners-inc
Trees For Life	/org/trees-for-life
CREW Network Foundation	/org/crew-network-foundation
Music Theatre of Wichita Inc	/org/music-theatre-of-wichita-inc
Olathe Civic Band Inc	/org/olathe-civic-band-inc
Kansas Association for Conservation and Environmental Education	/org/kansas-association-for-conservation-and-environmental-education
Wounded Warriors United	/org/wounded-warriors-united
Family Promise Of Lawrence Inc	/org/family-promise-of-lawrence-inc
Ksds Assistance Dogs Inc	/org/ksds-assistance-dogs-inc
National Gulf War Resource Center Inc	/org/national-gulf-war-resource-center-inc
Youth City Network, Inc.	/org/youth-city-network-inc
Global Birthing Home Foundation	/org/global-birthing-home-foundation
Seamless Dance Theater Inc	/org/seamless-dance-theater-inc
Breakthrough House Inc	/org/breakthrough-house-inc
Military Veteran Project	/org/military-veteran-project
Dragon Master Foundation	/org/dragon-master-foundation
Assistance League of Wichita, Inc.	/org/assistance-league-of-wichita-inc
Living Waters Christian Canoe Camp and Retreat Center Inc	/org/living-waters-christian-canoe-camp-and-retreat-center-inc
American Holistic Nurses Association	/org/american-holistic-nurses-association
Foundation For A Christian Civilization Inc	/org/foundation-for-a-christian-civilization-inc
Steve King Foundation	/org/steve-king-foundation
Global Scholars	/org/global-scholars
Safehome	/org/safehome
Waldorf Association Of Lawrence	/org/waldorf-association-of-lawrence
Heartstrings Community Foundation	/org/heartstrings-community-foundation
Heartland Therapeutic Riding Inc	/org/heartland-therapeutic-riding-inc
HELP317, Inc	/org/help317-inc
NAMI Kansas Inc.	/org/nami-kansas-inc
Theatre Lawrence	/org/theatre-lawrence
Eagle Valley Raptor Center Inc.	/org/eagle-valley-raptor-center-inc-1
IBSA, Inc.	/org/ibsa-inc
Kelsey Smith Foundation Inc	/org/kelsey-smith-foundation-inc
Kansas Humane Society	/org/kansas-humane-society
Augusta Arts Council	/org/augusta-arts-council
Topeka Youth Project Inc	/org/topeka-youth-project-inc
Humane Society Of Greater Kansas City	/org/humane-society-of-greater-kansas-city
