org_name	org_url
USA Cares Inc	/org/usa-cares-inc
Active Heroes Inc.	/org/active-heroes-inc
Primate Rescue Center	/org/primate-rescue-center
My Dog Eats First	/org/my-dog-eats-first
Children of the Americas (COTA)	/org/children-of-the-americas-cota
Finding Freedom Through Friendship, Inc.	/org/finding-freedom-through-friendship-inc
Stray Animal Adoption Program Inc	/org/stray-animal-adoption-program-inc
Lexington Rescue Mission Inc	/org/lexington-rescue-mission-inc
Nazareth House Apostolate	/org/nazareth-house-apostolate
Lamp and Light Ministries Incorporated	/org/lamp-and-light-ministries-incorporated
Christian Appalachian Project, Inc.	/org/christian-appalachian-project-inc
Blessing Hands Inc	/org/blessing-hands-inc
Kidds Society Inc	/org/kidds-society-inc
CMConnect	/org/cmconnect
Arthrogryposis Multiplex Congenita Support, Inc.	/org/arthrogryposis-multiplex-congenita-support-inc
Kentucky Gateway Museum Center	/org/kentucky-gateway-museum-center
Disabled American Veterans (DAV) Charitable Service Trust	/org/disabled-american-veterans-dav-charitable-service-trust
Family Scholar House, Inc.	/org/family-scholar-house-inc
Redwood	/org/redwood
KY and SI Stroke Association	/org/ky-and-si-stroke-association
Project Camp, Inc. dba The Center for Courageous Kids	/org/project-camp-inc-dba-the-center-for-courageous-kids
A BigFamily Inc	/org/a-bigfamily-inc
Collaborative For Teaching And Learning Inc	/org/collaborative-for-teaching-and-learning-inc
Second Chances Wildlife Center	/org/second-chances-wildlife-center
National Walking Horse Association	/org/national-walking-horse-association
St. Vincent de Paul | Louisville	/org/st-vincent-de-paul-louisville
Answers In Genesis Inc	/org/answers-in-genesis-inc
Pfc. Richard L. Vanover Veterans Village	/org/pfc-richard-l-vanover-veterans-village
Childrens Healthcare Is A Legal Duty Inc	/org/childrens-healthcare-is-a-legal-duty-inc
Family & Children's Place	/org/family-children-first-inc
A Choice for Life Inc	/org/a-choice-for-life-inc
Northern Kentucky Community Action Commission	/org/northern-kentucky-community-action-commission
Greater Cincinnati World Affairs Council	/org/greater-cincinnati-world-affairs-council
Equine Land Conservation Resource	/org/equine-land-conservation-resource
One Horse At A Time, Inc	/org/one-horse-at-a-time-inc
Green Village - Green Future Inc	/org/green-village-green-future-inc
Edge Outreach Inc	/org/edge-outreach-inc
First Priority Tri County	/org/first-priority-tri-county
Jill's Wish Foundation	/org/jills-wish-foundation
Dream Factory Inc	/org/dream-factory-inc-8
Riverbend Academy - School of Performing and Visual Arts	/org/riverbend-academy-school-of-performing-and-visual-arts
Nates Wish	/org/nates-wish
Star Saving The Animals Of Rowan Inc	/org/star-saving-the-animals-of-rowan-inc
Wilderness Trace Family Ymca Inc	/org/wilderness-trace-family-ymca-inc
Our Mims Retirement Haven, Inc.	/org/our-mims-retirement-haven-inc
Isaiah Alonso Foundation	/org/isaiah-alonso-foundation-1
Wendell Fosters Campus for Developmental Disabilities Inc	/org/wendell-fosters-campus-for-developmental-disabilities-inc
GLSO Pride Center	/org/glso-pride-center
Armed Services YMCA of Fort Campbell, KY	/org/armed-services-ymca-of-fort-campbell-ky
Heart To Heart Rescue	/org/heart-to-heart-rescue
Speak Up For Horses Inc	/org/speak-up-for-horses-inc
Disabled Veterans Life Memorial Foundation Inc	/org/disabled-veterans-life-memorial-foundation-inc
Christian Social Services Inc	/org/christian-social-services-inc
The Arrow Fund Inc	/org/the-arrow-fund-inc
Isaiah House	/org/isaiah-house-1
Glen Eden Youth Center Inc	/org/glen-eden-youth-center-inc
American Printing House for the Blind, Inc.	/org/american-printing-house-for-the-blind-inc
Moms Closet Resource Center Inc	/org/moms-closet-resource-center-inc
Brighton Center, Inc.	/org/brighton-center-inc
Isaiah House	/org/isaiah-house-2
Women's Crisis Center	/org/womens-crisis-center-1
Hugs Project Of Western Kentucky Inc	/org/hugs-project-of-western-kentucky-inc
Blessings In A Backpack Inc	/org/blessings-in-a-backpack-inc-1
