org_name	org_url
Extreme Missionary Adventures	/org/extreme-missionary-adventures
New Orleans Faith Health Alliance	/org/new-orleans-faith-health-alliance
Children and Arthritis	/org/children-and-arthritis
Chimp Haven	/org/chimp-haven
Volunteer Health Corps of Batonrouge	/org/volunteer-health-corps-of-batonrouge
Wounded War Heroes of America	/org/wounded-war-heroes-of-america
Family Missions Company	/org/family-missions-company
For the Love of Rats Rescue	/org/for-the-love-of-rats-rescue
The Life of A Single Mom	/org/the-life-of-a-single-mom
Animal Rescue New Orleans Inc	/org/animal-rescue-new-orleans-inc
Louisiana School for Math Science and the Arts Foundation Inc.	/org/louisiana-school-for-math-science-and-the-arts-foundation-inc
New Orleans Technology Council Corporation	/org/new-orleans-technology-council-corporation
Southern Heritage Air Foundation	/org/southern-heritage-air-foundation
Friends of Cantera Inc	/org/friends-of-cantera-inc
Goodwill Industries of North Louisiana, Inc.	/org/goodwill-industries-of-north-louisiana-inc
Mamou Health Resources Inc	/org/mamou-health-resources-inc
Volunteers of America Greater Baton Rouge	/org/volunteers-of-america-greater-baton-rouge
Martin Luther King Health Center	/org/martin-luther-king-health-center
Save Our Cemeteries, Inc.	/org/save-our-cemeteries-inc
Community Center of St Bernard	/org/community-center-of-st-bernard
Manners of the Heart	/org/manners-of-the-heart
Alzheimer's Services of the Capital Area, Inc.	/org/alzheimers-services-of-the-capital-area-inc
Kiwanis Club of Lafayette Foundation	/org/kiwanis-club-of-lafayette-foundation
Shir Chadash Conservative Congregation	/org/shir-chadash-conservative-congregation
Villalobos Rescue Center Pets in the Hood Inc	/org/villalobos-rescue-center-pets-in-the-hood-inc
Bluetails	/org/bluetails
Central Louisiana Arts and Healthcare, Inc.	/org/central-louisiana-arts-and-healthcare-inc
Baton Rouge Youth Coalition Inc	/org/baton-rouge-youth-coalition-inc
Gulf Restoration Network	/org/gulf-restoration-network
Animal Aid For Vermilion Area Inc	/org/animal-aid-for-vermilion-area-inc
Capital Area Family Violence Battered Womens Pro	/org/capital-area-family-violence-battered-womens-pro
Audubon Nature Institute Inc	/org/audubon-nature-institute-inc
New Bethany Home For Girls	/org/new-bethany-home-for-girls
Sistaz With Faith	/org/sistaz-with-faith
Camp Bon Coeur, Inc.	/org/camp-bon-coeur-inc
Face to Face Enrichment Center	/org/face-to-face-enrichment-center
Renewed Hope Center Inc	/org/renewed-hope-center-inc
Tipitinas Foundation Inc	/org/tipitinas-foundation-inc
Green Light New Orleans	/org/green-light-new-orleans
Louisiana Symphony Association	/org/louisiana-symphony-association-1
Northwest Louisiana Food Bank	/org/northwest-louisiana-food-bank
Hearts Of Hope	/org/hearts-of-hope-2
AIDSLaw of Louisiana	/org/aidslaw-of-louisiana
Christian Community Action Inc	/org/christian-community-action-inc
AUTISM SOCIETY OF AMERICA - Greater New Orleans Chapter	/org/autism-society-of-america-greater-new-orleans-chapter
Fuller Center For Housing Inc	/org/fuller-center-for-housing-inc-38
We Heart Veterans Corp	/org/we-heart-veterans-corp
Humane Society Of Louisiana Inc	/org/humane-society-of-louisiana-inc
Cafe Reconcile	/org/cafe-reconcile
Common Ground Relief, Inc.	/org/common-ground-relief-inc
Family Resources For Education & Empowerment Inc	/org/family-resources-for-education-empowerment-inc
CREDIT ANGEL FOUNDATION	/org/credit-angel-foundation
Cerebral Palsy Association Of Greater Baton Rouge Inc	/org/cerebral-palsy-association-of-greater-baton-rouge-inc
Shreveport-Bossier Rescue Mission	/org/shreveport-bossier-rescue-mission
Reaching Very Special People Inc	/org/reaching-very-special-people-inc
Lafayette Animal Aid	/org/lafayette-animal-aid
Salvation Army	/org/salvation-army-1
Louisiana Art And Science Museum In C	/org/louisiana-art-and-science-museum-in-c
Hope Extreme Inc	/org/hope-extreme-inc
Power Of Teens	/org/power-of-teens-1
Wishing Well Foundation Usa Inc	/org/wishing-well-foundation-usa-inc
Bossier Arts Council	/org/bossier-arts-council
Paws of NE Louisiana Inc	/org/paws-of-ne-louisiana-inc
Catholic Charities Archdiocese Of New Orleans	/org/catholic-charities-archdiocese-of-new-orleans
GULF SOUTH LEADERSHIP INSTITUTE	/org/gulf-south-leadership-institute
ONE TRUE VINE OUTREACH MINISTRIES INCORPORATED	/org/one-true-vine-outreach-ministries-incorporated
LAFAYETTE COMMUNITY HEALTH CARE CLINIC	/org/lafayette-community-health-care-clinic
Lakeview Shepherd Center Inc	/org/lakeview-shepherd-center-inc
Women Outreaching Women Wow	/org/women-outreaching-women-wow
Infinity Initiative	/org/infinity-initiative
Louisiana SPCA	/org/louisiana-spca
Katrina Reconstruction Resource Center Inc dba Beacon of Hope Resource Center	/org/katrina-reconstruction-resource-center-inc-dba-beacon-of-hope-resource-cent
Affordable Family Homes	/org/affordable-family-homes
Baton Rouge Christian Education Foundation Inc	/org/baton-rouge-christian-education-foundation-inc
Kingsley House Inc	/org/kingsley-house-inc
Spirit Of Cheyenne	/org/spirit-of-cheyenne
PILOT CLUB OF DENHAM SPRINGS LOUISIANA FOUNDATION	/org/pilot-club-of-denham-springs-louisiana-foundation
Ladies Auxiliary Of The Deutsches Haus	/org/ladies-auxiliary-of-the-deutsches-haus
ST.MARK INSTITUTE OF HEALTH SCIENCES ltd	/org/st-mark-institute-of-health-sciences-ltd
Yogie And Friends Exotic Cat Sanctuary	/org/yogie-and-friends-exotic-cat-sanctuary
LOUISIANA WILDLIFE REHABILITATORS ASSOCIATION	/org/louisiana-wildlife-rehabilitators-association
JUST THE RIGHT ATTITUDE	/org/just-the-right-attitude
Aids Law Of Louisiana Inc	/org/aids-law-of-louisiana-inc
Cmms Deshae Lott Ministries Inc	/org/cmms-deshae-lott-ministries-inc
Junior Achievement of North Louisiana	/org/junior-achievement-of-north-louisiana
Childrens Cup	/org/childrens-cup
TANKPROOF	/org/tankproof
Swamp Dawg Youth Organization	/org/swamp-dawg-youth-organization
Keep Bossier Beautiful	/org/keep-bossier-beautiful
Housing Authority Of New Orleans Resident Loan Corporation	/org/housing-authority-of-new-orleans-resident-loan-corporation
Animal Rights For Life	/org/animal-rights-for-life
Youth Outreach Services	/org/youth-outreach-services
Lower Nine Org	/org/lower-nine-org
Cat Haven Inc	/org/cat-haven-inc
Pelican State Youth Movement	/org/pelican-state-youth-movement
Rebuilding Together New Orleans	/org/rebuilding-together-new-orleans
ROMANS WINGS OF HOPE	/org/romans-wings-of-hope
Shreveport Chamber Of Commerce Inc	/org/shreveport-chamber-of-commerce-inc
Shepherds Farm Child Development And Learning Center	/org/shepherds-farm-child-development-and-learning-center
J&J Horse Rescue And Rehab Center Inc.	/org/j-j-horse-rescue-and-rehab-center-inc
Regina Coeli Child Development Center	/org/regina-coeli-child-development-center
Amyotrophic Lateral Sclerosis Association	/org/amyotrophic-lateral-sclerosis-association_683031
Aspirations Wholistic Tutorial Services	/org/aspirations-wholistic-tutorial-services
James Burton Foundation	/org/james-burton-foundation
Survivors Through Faith Inc	/org/survivors-through-faith-inc
Hope Connections Inc	/org/hope-connections-inc
Louisiana Association Of The Deaf	/org/louisiana-association-of-the-deaf
Foundations For Life	/org/foundations-for-life
Central Louisiana Community Foundation	/org/central-louisiana-community-foundation
National Performance Network Inc	/org/national-performance-network-inc
VOLUNTEERS FOR YOUTH JUSTICE	/org/volunteers-for-youth-justice
Community Works Of Louisiana	/org/community-works-of-louisiana
Snarr Special Needs Animal Rescue & Rehabilitation	/org/snarr-special-needs-animal-rescue-rehabilitation
Civil Air Patrol	/org/civil-air-patrol_409004
Lake Pontchartrain Basin Foundation	/org/lake-pontchartrain-basin-foundation
Pool of Siloam Medical Ministry, Inc.	/org/pool-of-siloam-medical-ministry-inc
Amateur Athletic Union Of The United States Inc	/org/amateur-athletic-union-of-the-united-states-inc_101020210
Southern Christian University	/org/southern-christian-university
Vermilion Parish Council On Aging	/org/vermilion-parish-council-on-aging
Counterpoint Ministries Inc	/org/counterpoint-ministries-inc
THE FOODBANK OF COVINGTON LOUISIANA INC	/org/the-foodbank-of-covington-louisiana-inc
Sci-Port: Louisiana's Science Center	/org/sci-port-louisianas-science-center
The Food Bank Of Central Louisiana Inc	/org/the-food-bank-of-central-louisiana-inc
Katog Choling	/org/katog-choling
NEXT GENERATION MINISTRIES	/org/next-generation-ministries
Grace Community Outreach Ministries Inc	/org/grace-community-outreach-ministries-inc
American Red Cross Southeast Louisiana Chapter	/org/american-red-cross-southeast-louisiana-chapter
Tater Tot Big Dog Rescue Inc	/org/tater-tot-big-dog-rescue-inc
Little Angels Foundation	/org/little-angels-foundation-2
Eden House	/org/eden-house
Civitan International	/org/civitan-international-206
Northeast Louisiana Virtual Clinic Inc	/org/northeast-louisiana-virtual-clinic-inc
New Orleans Women & Childrens Shelter Inc	/org/new-orleans-women-childrens-shelter-inc
Land Trust For Louisiana	/org/land-trust-for-louisiana
Christian Outreach Center Of Baton Rouge Inc	/org/christian-outreach-center-of-baton-rouge-inc
Temple Enrichment Center Inc Non-Profit	/org/temple-enrichment-center-inc-non-profit
Plaquemines Animal Welfare Society	/org/plaquemines-animal-welfare-society
Awesome Ladies Of Distinction	/org/awesome-ladies-of-distinction
Volunteers Of America	/org/volunteers-of-america_578089
St Martin Humane Society	/org/st-martin-humane-society
Heritage Ranch	/org/heritage-ranch
Joy House Ministries	/org/joy-house-ministries
Ochsner Clinic Foundation	/org/ochsner-clinic-foundation
Msaada Inc	/org/msaada-inc
Little Theatre Of Shreveport	/org/little-theatre-of-shreveport
Baton Rouge Green Association Inc	/org/baton-rouge-green-association-inc
Junior Achievement of Greater Baton Rouge	/org/junior-achievement-of-greater-baton-rouge
H O P E Ministry Of Pointe Coupee	/org/h-o-p-e-ministry-of-pointe-coupee
Happy Trails Therapeutic Horsemanship Center, Inc.	/org/happy-trails-therapeutic-horsemanship-center-inc
