org_name	org_url
Chewonki Foundation Inc	/org/chewonki-foundation-inc
Camp Sunshine at Sebago Lake Inc	/org/camp-sunshine-at-sebago-lake-inc
Wreaths Across America	/org/wreaths-across-america
Ruths Reusable Resources	/org/ruths-reusable-resources
Maine Cancer Foundation	/org/maine-cancer-foundation
Give a Dog a Home, German Shepherd Dog Rescue	/org/give-a-dog-a-home-german-shepherd-dog-rescue
Sustainable Harvest International	/org/sustainable-harvest-international
Center for Wildlife, Inc.	/org/center-for-wildlife-inc
Safe Passage | Camino Seguro	/org/safe-passage-camino-seguro
Friends of Acadia	/org/friends-of-acadia
Friends of the Daponte String Quartet	/org/friends-of-the-daponte-string-quartet
Ethels Tree Of Life Inc	/org/ethels-tree-of-life-inc
Information Technology Exchange	/org/information-technology-exchange
Silent Sidekicks	/org/silent-sidekicks
SeedMoney	/org/seedmoney
Summer Camp Inc	/org/summer-camp-inc
Go! Malawi	/org/go-malawi
Aid For Kids	/org/aid-for-kids
Birth Roots Inc	/org/birth-roots-inc
Animal Welfare Society	/org/animal-welfare-society-1
Matawi Inc	/org/matawi-inc
Greater Androscoggin Humane Society	/org/greater-androscoggin-humane-society
Hardy Girls Healthy Women Inc	/org/hardy-girls-healthy-women-inc
Friends of Thai Daughters Inc	/org/friends-of-thai-daughters-inc
Common Dreams, Inc	/org/common-dreams-inc
Operation Tribute	/org/operation-tribute
Maine Fallen Heroes Foundation	/org/maine-fallen-heroes-foundation
The Circle of Giving	/org/the-circle-of-giving
The Telling Room	/org/the-telling-room
Halfway Home Pet Rescue Inc	/org/halfway-home-pet-rescue-inc
Corinth Historical Society Inc	/org/corinth-historical-society-inc
Fulbright Academy	/org/fulbright-academy
Institute for Humane Education	/org/institute-for-humane-education
Coastal Maine Botanical Gardens Inc	/org/coastal-maine-botanical-gardens-inc
Acorn Productions	/org/acorn-productions
Fair Tide, Inc	/org/fair-tide-inc
Gulf of Maine Research Institute	/org/gulf-of-maine-research-institute
CIEE (Council on International Educational Exchange)	/org/ciee-council-on-international-educational-exchange
Portland Trails	/org/portland-trails
Healing Through Horses	/org/healing-through-horses
Abbe Museum	/org/abbe-museum
Seed Tree Inc	/org/seed-tree-inc
Acadia Center	/org/acadia-center
Almost Home Rescue of Maine / New England	/org/almost-home-rescue-of-maine-new-england
4r Animal Shelter	/org/4r-animal-shelter
Friends of Midcoast Maine	/org/friends-of-midcoast-maine
Healthy Smiles for Me Inc	/org/healthy-smiles-for-me-inc
JHA Services Inc	/org/jha-services-inc
Wayfinder Schools	/org/wayfinder-schools
Georges River Land Trust	/org/georges-river-land-trust
Sexual Assault Crisis And Support	/org/sexual-assault-crisis-and-support
Brick Store Museum	/org/brick-store-museum
Free ME from Lung Cancer	/org/free-me-from-lung-cancer
Brunswick-Topsham Land Trust Inc	/org/brunswick-topsham-land-trust-inc
Bath Area Food Bank	/org/bath-area-food-bank
The Grace Gawler Institute for Integrated Cancer Solutions	/org/the-grace-gawler-institute-for-integrated-cancer-solutions
House In The Woods Military And Family Retreat	/org/house-in-the-woods-military-and-family-retreat
Friends Of Feral Felines	/org/friends-of-feral-felines
Everyman Repertory Theatre	/org/everyman-repertory-theatre
Association of State Wetland Managers, Inc.	/org/association-of-state-wetland-managers-inc
Five Town Communities That Care	/org/five-town-communities-that-care
Special Surfers	/org/special-surfers
Resources First Foundation	/org/resources-first-foundation
Add Verb Productions Arts and Education	/org/add-verb-productions-arts-and-education
Day One	/org/day-one
Kennebec Estuary Land Trust	/org/kennebec-estuary-land-trust
Autism Society Of Maine	/org/autism-society-of-maine
His Hands Support Ministries	/org/his-hands-support-ministries
TRAVIS MILLS FOUNDATION	/org/travis-mills-foundation
Animal Refuge League Of Greater Portland	/org/animal-refuge-league-of-greater-portland
Expanding Opportunities	/org/expanding-opportunities
Carrabassett Valley Academy	/org/carrabassett-valley-academy
IRIS NETWORK	/org/iris-network
CrossWalk Community Outreach	/org/crosswalk-community-outreach-1
Maine Speech Language Hearing Association	/org/maine-speech-language-hearing-association
BANGOR FOLK FESTIVAL	/org/bangor-folk-festival
Mano en Mano | Hand in Hand	/org/mano-en-mano-hand-in-hand
SENATOR GEORGE J MITCHELL SCHOLARSHIP RESEARCH INSTITUTE	/org/senator-george-j-mitchell-scholarship-research-institute
Harvest Hills Animal Shelter Inc	/org/harvest-hills-animal-shelter-inc
LA ARTS	/org/la-arts
Somerset Humane Society	/org/somerset-humane-society
Coastal Humane Society Inc	/org/coastal-humane-society-inc
Salt Bay Chamberfest	/org/salt-bay-chamberfest
