org_name	org_url
Maryland New Directions	/org/maryland-new-directions
The Real News Network (Independent World Television, Inc.)	/org/the-real-news-network-independent-world-television-inc
Icing Smiles	/org/icing-smiles
Catch A Lift Fund/ Christopher Coffland Memorial Fund	/org/catch-a-lift-fund-christopher-coffland-memorial-fund
Central Scholarship	/org/central-scholarship
National Tuberous Sclerosis Association Inc	/org/national-tuberous-sclerosis-association-inc-1
Neighbor Ride Inc	/org/neighbor-ride-inc
International Paruresis Association, Inc.	/org/international-paruresis-association-inc
Operation Second Chance Inc	/org/operation-second-chance-inc-1
Anne Arundel County Literacy Council, Inc.	/org/anne-arundel-county-literacy-council-inc
Rose of Sharon Equestrian School Inc	/org/rose-of-sharon-equestrian-school-inc
Reece's Rainbow Down Syndrome Adoption Grant Foundation	/org/reeces-rainbow-down-syndrome-adoption-grant-foundation
Animal Welfare League of Montgomery County Inc	/org/animal-welfare-league-of-montgomery-county-inc-1
Any Soldier Inc.	/org/any-soldier-inc
Aumazo, Inc.	/org/aumazo-inc
National Foundation for Cancer Research	/org/national-foundation-for-cancer-research
Your Dog's Friend	/org/your-dogs-friend
Hearing Loss Association of America	/org/hearing-loss-association-of-america-1
Yellow Ribbon Fund Inc	/org/yellow-ribbon-fund-inc
One Love 4 Kids	/org/one-love-4-kids
Mutts Matter Rescue	/org/mutts-matter-rescue
Gentle Giants Draft Horse Rescue Society Ltd	/org/gentle-giants-draft-horse-rescue-society-ltd
Lutheran World Relief	/org/lutheran-world-relief
India Development and Relief Fund Inc	/org/india-development-and-relief-fund-inc
Fidos For Freedom Inc	/org/fidos-for-freedom-inc
Maryland Womens Heritage Center And Museum Inc	/org/maryland-womens-heritage-center-and-museum-inc
Catholic Relief Services	/org/catholic-relief-services
Anne Arundel County CASA, Inc.	/org/anne-arundel-county-casa-inc
Ignatian Volunteer Corps	/org/ignatian-volunteer-corps
Aid For Africa, Inc	/org/aid-for-africa-inc
Protect Yourself 1, Inc	/org/protect-yourself-1-inc
The Samaritan Women	/org/the-samaritan-women
Second Chance Inc	/org/second-chance-inc-1
Arts on Stage Ltd	/org/arts-on-stage-ltd
Jewish Council for the Aging of Greater Washington, Inc.	/org/jewish-council-for-the-aging-of-greater-washington-inc
Public Justice Center Inc	/org/public-justice-center-inc
Carson Scholars Fund, Inc.	/org/carson-scholars-fund-inc
Metavivor Research and Support Inc	/org/metavivor-research-and-support-inc
Ebony Sonshine Inc	/org/ebony-sonshine-inc
HART for Animals, Inc.	/org/hart-for-animals-inc
Baltimore Humane Society	/org/baltimore-humane-society
Court Appointed Special Advocate -CASA- Prince Georges County, Inc.	/org/court-appointed-special-advocate-casa-prince-georges-county-inc
Adventures In Health Educational And Agricultural Development Inc	/org/adventures-in-health-educational-and-agricultural-development-inc
Children Of Fallen Soldiers Relief Fund, Inc.	/org/children-of-fallen-soldiers-relief-fund-inc
Pulmonary Hypertension Association	/org/pulmonary-hypertension-association
Prince George's Child Resource Center, Inc.	/org/prince-georges-child-resource-center-inc
Ulman Cancer Fund For Young Adults	/org/ulman-cancer-fund-for-young-adults-1
Amman Imman Water is Life, Inc.	/org/amman-imman-water-is-life-inc
Hias Inc	/org/hias-inc
Columbia Center for Theatrical Arts (CCTA)	/org/columbia-center-for-theatrical-arts-ccta
Win Family Services Inc	/org/win-family-services-inc
Last Chance Animal Rescue Inc	/org/last-chance-animal-rescue-inc
A Bigger Picture, Inc.	/org/a-bigger-picture-inc
MyNDTALK WITH DR PAMELA BREWER	/org/myndtalk-with-dr-pamela-brewer
United Ministries, Inc.	/org/united-ministries-inc
World Arts Focus	/org/world-arts-focus
Chesapeake Bay Foundation	/org/chesapeake-bay-foundation
Days End Farm Horse Rescue Inc	/org/days-end-farm-horse-rescue-inc
It's About the Kids Education Organization Inc	/org/its-about-the-kids-education-organization-inc
Best Dawg Rescue Inc.	/org/best-dawg-rescue-inc
Immune Deficiency Foundation	/org/immune-deficiency-foundation-1
Sisters 4 Sisters Inc	/org/sisters-4-sisters-inc
Parent Encouragement Program, Inc.	/org/parent-encouragement-program-inc
The Travelin' Rat	/org/the-travelin-rat
e-collaborate	/org/e-collaborate
Hydrocephalus Association	/org/hydrocephalus-association
Team River Runner	/org/team-river-runner
Hospice Caring, Inc.	/org/hospice-caring-inc
HAVSERVE VOLUNTEER SERVICE NETWORK  (HavServe)	/org/havserve-volunteer-service-network-havserve
AMVETS National Service Foundation	/org/amvets-national-service-foundation-1
Docs in Progress, Inc.	/org/docs-in-progress-inc
Aid Our Veterans Inc	/org/aid-our-veterans-inc
Esophageal Cancer Action Network, Inc. (ECAN)	/org/esophageal-cancer-action-network-inc-ecan
Childbirth Survival International	/org/childbirth-survival-international
Vivre Musicale	/org/vivre-musicale
United Soldiers and Sailors of America - USASOA	/org/united-soldiers-and-sailors-of-america-usasoa
Crossway Community Inc	/org/crossway-community-inc
The Give An Hour Nonprofit	/org/the-give-an-hour-nonprofit
Desire Ministries	/org/desire-ministries
Kunzang Odsal Palyul Changchub	/org/kunzang-odsal-palyul-changchub
CREATE Arts Center	/org/create-arts-center
Collegetracks	/org/collegetracks
Urban Light	/org/urban-light
Highlands School Inc	/org/highlands-school-inc
Athletes Serving Athletes, Inc.	/org/athletes-serving-athletes-inc
Second Chance Wildlife Center Inc	/org/second-chance-wildlife-center-inc-1
