org_name	org_url
Shakespeare & Company, Inc.	/org/shakespeare-company-inc
GREY2K USA Worldwide	/org/grey2k-usa-worldwide
Cradles to Crayons	/org/cradles-to-crayons
International Fund for Animal Welfare, Inc.	/org/international-fund-for-animal-welfare-inc
Hands Across the Sea, Inc.	/org/hands-across-the-sea-inc-1
Friends of the Arava Institute	/org/friends-of-the-arava-institute
Camp Starfish Inc	/org/camp-starfish-inc
All Hands Volunteers	/org/all-hands-volunteers
Keshet Inc	/org/keshet-inc
GREY2K USA Education Fund	/org/grey2k-usa-education-fund
Blue Star Equiculture Incorporated	/org/blue-star-equiculture-incorporated
VHL Alliance	/org/vhl-alliance
Free Press	/org/free-press
The Next Step Fund, Inc.	/org/the-next-step-fund-inc
Ceres	/org/ceres
Binkeez for Comfort	/org/binkeez-for-comfort
HandReach	/org/handreach
Rose Kennedy Greenway Conservancy	/org/rose-kennedy-greenway-conservancy
Seeds of Solidarity Education Center Inc	/org/seeds-of-solidarity-education-center-inc
Jeffs Place Childrens Bereavement Center Inc	/org/jeffs-place-childrens-bereavement-center-inc
Joy of Music Program, Inc.	/org/joy-of-music-program-inc
Cowan Slavin Foundation Corp	/org/cowan-slavin-foundation-corp
Perkins School for the Blind	/org/perkins-school-for-the-blind
Elizabeth Stone House, Inc.	/org/elizabeth-stone-house-inc
People Making a Difference (PMD)	/org/people-making-a-difference-pmd
Berkshire Environmental Action Team	/org/berkshire-environmental-action-team
FRAXA Research Foundation	/org/fraxa-research-foundation
Ellen M Gifford Sheltering Home Corporation	/org/ellen-m-gifford-sheltering-home-corporation
Science Club for Girls	/org/science-club-for-girls
New England Equine Rescue - North, Inc	/org/new-england-equine-rescue-north-inc
American Bladder Cancer Society Inc	/org/american-bladder-cancer-society-inc
Technology For Autism Now, Inc	/org/technology-for-autism-now-inc
The Steppingstone Foundation	/org/the-steppingstone-foundation
Facioscapulohumeral Society	/org/facioscapulohumeral-society
Mayyim Hayyim Living Waters Community Mikveh and Education	/org/mayyim-hayyim-living-waters-community-mikveh-and-education
The Walden Woods Project	/org/the-walden-woods-project
The Samfund	/org/the-samfund
Mil Milagros Inc	/org/mil-milagros-inc
Newton San Juan Del Sur Sister City Project Inc	/org/newton-san-juan-del-sur-sister-city-project-inc
Connect Africa Foundation Inc	/org/connect-africa-foundation-inc
Dream Big!	/org/dream-big-1
Cancer Education and Research Institute (formerly Cancer Research Simplified)	/org/cancer-education-and-research-institute-formerly-cancer-research-simplified
Ehrick Garions Act	/org/ehrick-garions-act
SustainUS, Inc.	/org/sustainus-inc
Effortz Foundation Inc	/org/effortz-foundation-inc
National Priorities Project	/org/national-priorities-project
Home Away Boston Inc.	/org/home-away-boston-inc
NeedyMeds	/org/needymeds
Jewish Women's Archive	/org/jewish-womens-archive
Tanzania School Foundation	/org/tanzania-school-foundation
The Decibels Foundation	/org/the-decibels-foundation
Pathfinder International	/org/pathfinder-international
Community Access to the Arts, Inc.	/org/community-access-to-the-arts-inc
Christopher's Haven	/org/christophers-haven
Option Institute and Fellowship	/org/option-institute-and-fellowship
Springfield Rescue Mission, Inc.	/org/springfield-rescue-mission-inc
Women's Educational Center	/org/womens-educational-center
Boston Partners in Education	/org/boston-partners-in-education
American Institute For Economic Research Inc	/org/american-institute-for-economic-research-inc
PetChance.org	/org/petchance-org
African Community Education Program	/org/african-community-education-program
World Animal Net	/org/world-animal-net
Minutes for Memories Foundation	/org/minutes-for-memories-foundation
Haiti Projects Inc	/org/haiti-projects-inc
Animal Shelter Inc	/org/animal-shelter-inc-1
Homes for Our Troops, Inc.	/org/homes-for-our-troops-inc
Baypath Humane Society Of Hopkinton Inc	/org/baypath-humane-society-of-hopkinton-inc
Caribbean Education Foundation - CEF	/org/caribbean-education-foundation-cef
Ocean River Institute Inc	/org/ocean-river-institute-inc
Pratthanadee Foundation	/org/pratthanadee-foundation
Multi-Arts, Inc.	/org/multi-arts-inc
United for a Fair Economy, Inc.	/org/united-for-a-fair-economy-inc
Extras for Creative Reuse Inc.	/org/extras-for-creative-reuse-inc
Immigrant Learning Center Inc	/org/immigrant-learning-center-inc
Limitless Horizons Ixil, Inc.	/org/limitless-horizons-ixil-inc
The Ellie Fund	/org/the-ellie-fund
FNE International	/org/fne-international
