org_name	org_url
Lingap Childrens Foundation	/org/lingap-childrens-foundation
Veterans of Foreign Wars National Home for Children	/org/veterans-of-foreign-wars-national-home-for-children
Camp Casey	/org/camp-casey
Angels of Hope - A Family Cancer Foundation	/org/angels-of-hope-a-family-cancer-foundation
Wigs 4 Kids	/org/wigs-4-kids
Pandora Org	/org/pandora-org
Michigan Lyme Disease Association	/org/michigan-lyme-disease-association
Camp Quality Michigan	/org/camp-quality-michigan
Voiceless-MI	/org/voiceless-mi
All Species Kinship	/org/all-species-kinship
World Animal Awareness Society	/org/world-animal-awareness-society
The Women's Center of Southeastern Michigan	/org/the-womens-center-of-southeastern-michigan
NBS Animal Rescue	/org/nbs-animal-rescue
Beyond Basics	/org/beyond-basics
4 Paws 1 Heart	/org/4-paws-1-heart
Refurbished Pets of Southern Michigan	/org/refurbished-pets-of-southern-michigan
Enchanted Makeovers	/org/enchanted-makeovers
Alternating Hemiplegia of Childhood Foundation Inc	/org/alternating-hemiplegia-of-childhood-foundation-inc
Mission India	/org/mission-india-1
Charity Music, Inc.	/org/charity-music-inc
Momsbloom Inc	/org/momsbloom-inc
Book Industry Charitable Foundation	/org/book-industry-charitable-foundation
Hope Medical Clinic, Inc.	/org/hope-medical-clinic-inc
Shelter Association of Washtenaw County	/org/shelter-association-of-washtenaw-county
Dreamcatchers for Abused Children	/org/dreamcatchers-for-abused-children
Team Keegan	/org/team-keegan
International Child Care USA Inc	/org/international-child-care-usa-inc
La Reserva Forest Foundation	/org/la-reserva-forest-foundation
Mosaic Youth Theatre of Detroit	/org/mosaic-youth-theatre-of-detroit
Associated Charities of Lenawee County	/org/associated-charities-of-lenawee-county-1
Baldwin Center Inc	/org/baldwin-center-inc
The Fallen & Wounded Soldiers Fund Inc	/org/the-fallen-wounded-soldiers-fund-inc
Centro Multicultural La Familia Inc	/org/centro-multicultural-la-familia-inc
Homefront Hugs USA Inc	/org/homefront-hugs-usa-inc
Community Prescription Support Program Inc	/org/community-prescription-support-program-inc
Opus Bono Sacerdotii	/org/opus-bono-sacerdotii
KIDS WITHOUT CANCER  (formerly Leukemia, Research, Life, Inc.)	/org/kids-without-cancer-formerly-leukemia-research-life-inc
Do-All, Inc.	/org/do-all-inc
DO Foundation, Inc.	/org/do-foundation-inc
The Diaper Alliance	/org/the-diaper-alliance
Hairy Houdini Siberian Husky Rescue	/org/hairy-houdini-siberian-husky-rescue
Humble Design Inc	/org/humble-design-inc
ProvideInc	/org/provideinc
NED Scholars	/org/ned-scholars
Global Village Ministries Inc	/org/global-village-ministries-inc
Angela Hospice Home Care Inc	/org/angela-hospice-home-care-inc
The Heidelberg Project	/org/the-heidelberg-project
Yad Ezra Inc	/org/yad-ezra-inc
Brain Injury Association of Michigan, Inc.	/org/brain-injury-association-of-michigan-inc
Paws For Life Rescue	/org/paws-for-life-rescue
Guardians for Animals	/org/guardians-for-animals
Washtenaw Literacy	/org/washtenaw-literacy
Evelynne Aimee Foundation	/org/evelynne-aimee-foundation
Cystic Fibrosis Support Network Of Michigan	/org/cystic-fibrosis-support-network-of-michigan
Kunsthalle Detroit	/org/kunsthalle-detroit
Building Families First Community Organization	/org/building-families-first-community-organization
La Isla Foundation	/org/la-isla-foundation
Au Sable Institute	/org/au-sable-institute
Oakland Livingston Human Service Agency	/org/oakland-livingston-human-service-agency
National Leiomyosarcoma Foundation	/org/national-leiomyosarcoma-foundation
Journalism And Women Symposium	/org/journalism-and-women-symposium
New Day Foundation For Families	/org/new-day-foundation-for-families
The WCHL	/org/the-wchl
Art Road Non Profit Corporation	/org/art-road-non-profit-corporation
St Mary Catholic Central High School	/org/st-mary-catholic-central-high-school
Mercy Education Project	/org/mercy-education-project
Detroit Impact Inc	/org/detroit-impact-inc
The Gift Of A Helping Hand Charitable Trust	/org/the-gift-of-a-helping-hand-charitable-trust
Wildlife Recovery Association	/org/wildlife-recovery-association
Michigan Humane Society	/org/michigan-humane-society
Handbags Of Hope	/org/handbags-of-hope
Alhambra St. Francis Camp on the Lake	/org/alhambra-st-francis-camp-on-the-lake
HelpHandicap Foundation	/org/equallyable-foundation
Michigan Community Dental Clinics	/org/michigan-community-dental-clinics
Cleft Lip and Palate Foundation of Smiles	/org/cleft-lip-and-palate-foundation-of-smiles
Ann Arbor Art Association	/org/ann-arbor-art-association
Guiding Light Mission, Inc.	/org/guiding-light-mission-inc
Little Dresses for Africa	/org/little-dresses-for-africa
First Step-Western Wayne County Project on Domestic Assult	/org/first-step-western-wayne-county-project-on-domestic-assult
Macomb Feeding the Need	/org/macomb-feeding-the-need
Detroit Childrens Choir Inc	/org/detroit-childrens-choir-inc
Gleaners Community Food Bank, Inc.	/org/gleaners-community-food-bank-inc
Greater Flint Arts Council	/org/greater-flint-arts-council
Children's Leukemia Foundation of Michigan	/org/childrens-leukemia-foundation-of-michigan
Assistance League of Southeastern Michigan	/org/assistance-league-of-southeastern-michigan
Sanilac County Kids Connection	/org/sanilac-county-kids-connection
Campaign for Aging Research	/org/campaign-for-aging-research-1
Haiti Nursing Foundation	/org/haiti-nursing-foundation
Leadership Macomb Inc	/org/leadership-macomb-inc
Artrain Inc	/org/artrain-inc
Genesee County Habitat for Humanity	/org/genesee-county-habitat-for-humanity
Friends of Grand Rapids Parks	/org/friends-of-grand-rapids-parks
Jericho Foundation Inc	/org/jericho-foundation-inc
Second Chance at Life Inc	/org/second-chance-at-life-inc-1
Arts & Scraps	/org/arts-scraps
Flint River Watershed Coalition	/org/flint-river-watershed-coalition
FiftyTwo4Mom	/org/fiftytwo4mom
The BRAVO Foundation	/org/the-bravo-foundation-1
Michigan State University - Lyman Briggs College	/org/michigan-state-university-lyman-briggs-college
Charlottes Wings	/org/charlottes-wings
Special Olympics Michigan Inc	/org/special-olympics-michigan-inc
Community Care Services	/org/community-care-services
Blue Water Pregnancy Care Center	/org/blue-water-pregnancy-care-center
A2 Raptor Rescue	/org/a2-raptor-rescue
Junior Welfare League of Holland Mich	/org/junior-welfare-league-of-holland-mich
Jwatt Foundation Inc	/org/jwatt-foundation-inc
Goodwill Industries of West Michigan, Inc.	/org/goodwill-industries-of-west-michigan-inc
Methodist Children's Home Society	/org/methodist-childrens-home-society
Every Girls Dream, Inc.	/org/every-girls-dream-inc-1
Just Speak Incorporated	/org/just-speak-incorporated
Children's Resource Network Center	/org/childrens-resource-network-center
Creative Change Educational Solutions, Inc.	/org/creative-change-educational-solutions-inc
4 His Glory Ministries	/org/4-his-glory-ministries
Almost Home Animal Rescue League	/org/almost-home-animal-rescue-league
Sanilac County Humane Society	/org/sanilac-county-humane-society
Animals & Society Institute	/org/animals-society-institute
Detroit Area Diaper Bank Inc	/org/detroit-area-diaper-bank-inc
Michigan Coalition Against Homelessness	/org/michigan-coalition-against-homelessness
Artserve Michigan Inc	/org/artserve-michigan-inc
FAR Therapeutic Arts and Recreation	/org/far-therapeutic-arts-and-recreation
Washtenaw Camp Placement Association	/org/washtenaw-camp-placement-association
