org_name	org_url
Veterans Airlift Command	/org/veterans-airlift-command
NECHAMA - Jewish Response to Disaster	/org/nechama-jewish-response-to-disaster
North American Bear Center	/org/north-american-bear-center
Washburn Center for Children	/org/washburn-center-for-children
The Wildcat Sanctuary	/org/the-wildcat-sanctuary
Sweet Dreams for Kids	/org/sweet-dreams-for-kids
International Wolf Center	/org/international-wolf-center
College Possible	/org/college-possible-1
Dads Make A Difference	/org/dads-make-a-difference
Cheerful Givers	/org/cheerful-givers
The FPIES Foundation	/org/the-fpies-foundation
Can Do Canines	/org/can-do-canines
Pawsitive Perspectives Assistance Dogs (PawPADs)	/org/pawsitive-perspectives-assistance-dogs-pawpads
Camp Odayin	/org/camp-odayin
Star Legacy Foundation	/org/star-legacy-foundation
Mission Haiti Inc	/org/mission-haiti-inc-1
Morning Earth	/org/morning-earth
Educate Tanzania	/org/educate-tanzania
Opportunity Neighborhood	/org/opportunity-neighborhood
Loft, Inc.	/org/loft-inc
Wildlife Research Institute	/org/wildlife-research-institute-1
Wingspan Life Resources	/org/wingspan-life-resources
CAIR-Minnesota	/org/cair-minnesota
Longonot Education Initiative	/org/longonot-education-initiative
Twin Cities Pet Rescue	/org/twin-cities-pet-rescue
Midwest Animal Rescue & Services	/org/midwest-animal-rescue-services
Great River Greening	/org/great-river-greening
Huge Improv Theater	/org/huge-improv-theater
Rakhma Inc	/org/rakhma-inc
Women Of Nations	/org/women-of-nations
Open Arms of Minnesota	/org/open-arms-of-minnesota
Urban Homeworks Inc	/org/urban-homeworks-inc
Global Volunteers	/org/global-volunteers
CaringBridge	/org/caringbridge
Depart Smart Dba Clearcause Foundation	/org/depart-smart-dba-clearcause-foundation
Animal Humane Society	/org/animal-humane-society
Pets Loyal 2 Vets	/org/pets-loyal-2-vets
National Association For The Education Of Homeless Children And Youth	/org/national-association-for-the-education-of-homeless-children-and-youth
Misfit Acres	/org/misfit-acres
Books For Africa, Inc.	/org/books-for-africa-inc
Project Healthy Smile	/org/project-healthy-smile
Tri-County Humane Society	/org/tri-county-humane-society-2
Infants Remembered in Silence Inc	/org/infants-remembered-in-silence-inc
Anaphylaxis and Food Allergy Association of Minnesota	/org/anaphylaxis-and-food-allergy-association-of-minnesota
Interfaith Outreach & Community Partners	/org/interfaith-outreach-community-partners
Secondhand Hounds	/org/secondhand-hounds
Doing Good Together	/org/doing-good-together
Monarch Butterfly Fund	/org/monarch-butterfly-fund
The Institute for Exercise Medicine and Prevention	/org/the-institute-for-exercise-medicine-and-prevention
Ashland Productions	/org/ashland-productions
Arts Midwest	/org/arts-midwest
Daystar U.S.	/org/daystar-u-s
The Rapunzel Project	/org/the-rapunzel-project
Designwise Medical Incorporated	/org/designwise-medical-incorporated
Carpenter St. Croix Valley Nature Center	/org/carpenter-st-croix-valley-nature-center
Out on a Limb Dance Company & School	/org/out-on-a-limb-dance-company-school
Feed My Starving Children	/org/feed-my-starving-children
A Single Drop	/org/a-single-drop
Grand Marais Playhouse Inc	/org/grand-marais-playhouse-inc
Women In Progress Inc	/org/women-in-progress-inc-2
Affirmation Gay and Lesbian Mormons	/org/affirmation-gay-and-lesbian-mormons
Minnesota Humanities Center	/org/minnesota-humanities-center
Kids-n-Kinship Inc	/org/kids-n-kinship-inc
Twin Cities Community Voice Mail	/org/twin-cities-community-voice-mail
Diversity Council	/org/diversity-council
WINGS Guatemala	/org/wings-guatemala
Zakkary Johnson Memorial Fund	/org/zakkary-johnson-memorial-fund
Itasca County Family Young Mens Christian Association Inc	/org/itasca-county-family-young-mens-christian-association-inc
School of India for Languages and Culture	/org/school-of-india-for-languages-and-culture
PLACE	/org/place-1
Attach	/org/attach
Healthfinders Collaborative Inc	/org/healthfinders-collaborative-inc
Commonweal Theatre Company	/org/commonweal-theatre-company
Eppic Ministries International, Inc.	/org/eppic-ministries-international-inc
Ordway Center for The Performing Arts	/org/ordway-center-for-the-performing-arts
U S Green Building Council- Minnesota Chapter Inc	/org/u-s-green-building-council-minnesota-chapter-inc
Minnesota Assistance Council For Veterans	/org/minnesota-assistance-council-for-veterans
Youth Performance Company	/org/youth-performance-company
Lyric Arts Company of Anoka Inc	/org/lyric-arts-company-of-anoka-inc
Fresh Energy	/org/fresh-energy
National Corporation For Substance Abuse Recovery	/org/national-corporation-for-substance-abuse-recovery
Anna Marie's Alliance	/org/anna-maries-alliance
Fresh Energy	/org/fresh-energy
Keeshond Sunshine Rescue Foundation	/org/keeshond-sunshine-rescue-foundation
Pawsitivity aka Pawsitivity Service Dogs	/org/pawsitivity-aka-pawsitivity-service-dogs
SEWA-AIFW Inc	/org/sewa-aifw-inc
Lyric Arts Company of Anoka Inc	/org/lyric-arts-company-of-anoka-inc
Minnesota Ballet	/org/minnesota-ballet
Courage Center	/org/courage-center
Intellectual Takeout	/org/intellectual-takeout
The Playwrights' Center	/org/the-playwrights-center
Goodwill Industries Inc	/org/goodwill-easter-seals-minnesota
Minnesota Environmental Partnership	/org/minnesota-environmental-partnership
Sisters' Camelot	/org/sisters-camelot
Rainbow Rumpus	/org/rainbow-rumpus
Twin Cities Masters Chorale	/org/twin-cities-masters-chorale
Community Wildlife Rehabilitation To Release	/org/community-wildlife-rehabilitation-to-release
CrossingBarriers	/org/crossingbarriers
Help the Helpless	/org/help-the-helpless
Ethiopian Community In Minnesota	/org/ethiopian-community-in-minnesota
Hallie Q Brown Community Center Incorporated	/org/hallie-q-brown-community-center-incorporated
Think Eternity Ministries	/org/think-eternity-ministries
People for Parks	/org/people-for-parks-2
Catholic Charities of the Diocese of St. Cloud	/org/catholic-charities-of-the-diocese-of-st-cloud
WATCH	/org/watch
JSAW	/org/jsaw
Starkey Hearing Foundation	/org/starkey-hearing-foundation
Friends of the St Paul Public Library	/org/friends-of-the-st-paul-public-library
Polo for Philanthorpy	/org/polo-for-philanthorpy
Minnesota Women Of Today Foundation	/org/minnesota-women-of-today-foundation
Common Hope	/org/common-hope
Tee It Up for the Troops Inc	/org/tee-it-up-for-the-troops-inc
Bridges Of Hope	/org/bridges-of-hope-1
World Wide Village Incorporated	/org/world-wide-village-incorporated
Pink Purse Incorporated	/org/pink-purse-incorporated
Minnesota Women Of Today Foundation	/org/minnesota-women-of-today-foundation
Summit Academy OIC	/org/summit-academy-oic
Emma Norton Services	/org/emma-norton-services
Wildlife Rehabilitation & Release	/org/wildlife-rehabilitation-release
Northwoods Humane Society	/org/northwoods-humane-society-1
Lupus Foundation Of Minnesota	/org/lupus-foundation-of-minnesota
Aeon	/org/aeon
Kids Home International	/org/kids-home-international
Headwaters Foundation For Justice	/org/headwaters-foundation-for-justice
Wolves Woods & Wildlife	/org/wolves-woods-wildlife
Global Citizens Network	/org/global-citizens-network
Store to Door	/org/store-to-door
AdoptAClassroom.org	/org/adoptaclassroom-org
Sexual Violence Center	/org/sexual-violence-center
Eckankar	/org/eckankar
Cakes on Wheels	/org/cakes-on-wheels
Tree Trust	/org/tree-trust
Hughes Foundation	/org/hughes-foundation-1
Students Today Leaders Forever	/org/students-today-leaders-forever
Werc Enrichment Resource Center	/org/werc-enrichment-resource-center
National Alliance On Mental Illness of Minnesota	/org/national-alliance-on-mental-illness-of-minnesota
White Bear Montessori School	/org/white-bear-montessori-school
Young Womens Christian Association	/org/young-womens-christian-association-21
Northern Voices	/org/northern-voices
American Relief Agency for the Horn of Africa (ARAHA)	/org/american-relief-agency-for-the-horn-of-africa-araha
Holistic Ministry Of Children Of The Horn Africa	/org/holistic-ministry-of-children-of-the-horn-africa
360 Communities	/org/360-communities
Crown Medical Support Services	/org/crown-medical-support-services
Wayside House, Inc.	/org/wayside-house-inc-1
Praying Pelican Missions	/org/praying-pelican-missions
Northern Voices	/org/northern-voices
Envision Minnesota	/org/envision-minnesota
Childrens Cancer Research Fund	/org/childrens-cancer-research-fund-1
Minnesota Coalition For The Homeless Inc	/org/minnesota-coalition-for-the-homeless-inc
Simpson Housing Services, Inc.	/org/simpson-housing-services-inc
Simpson Housing Services, Inc.	/org/simpson-housing-services-inc
Minnesota Coalition For The Homeless Inc	/org/minnesota-coalition-for-the-homeless-inc
Order of Ronin MC	/org/order-of-ronin-mc
Sharing and Caring Hands, Inc.	/org/sharing-and-caring-hands-inc
Vision Loss Resources	/org/vision-loss-resources
Minnesota Independent Scholars Forum	/org/minnesota-independent-scholars-forum
Giants Of The Earth Heritage Center	/org/giants-of-the-earth-heritage-center
Friends of the Minnesota Sinfonia	/org/friends-of-the-minnesota-sinfonia
Border Collie Rescue Of Minnesota	/org/border-collie-rescue-of-minnesota
Food Allergy Support Group of  Minnesota	/org/food-allergy-support-group-of-minnesota
Ten Thousand Things Theater	/org/ten-thousand-things-theater
Great River Rescue	/org/great-river-rescue
Border Collie Rescue Of Minnesota	/org/border-collie-rescue-of-minnesota
Harmony Theatre Company And School	/org/harmony-theatre-company-and-school
Sante Inc	/org/sante-inc
Midwest Avian Adoption & Rescue Services, Inc.	/org/midwest-avian-adoption-rescue-services-inc
Wildlife Forever	/org/wildlife-forever
Bisexual Organizing Project	/org/bisexual-organizing-project
North Country R I D E	/org/north-country-r-i-d-e
Rebuilding Together - Twin Cities	/org/rebuilding-together-twin-cities
Mano A Mano International Partners	/org/mano-a-mano-international-partners
Langenfeld Foundation	/org/langenfeld-foundation
Laboure Society	/org/laboure-society
National Foster Parent Association, Inc.	/org/national-foster-parent-association-inc
The Sanctuary Animal Refuge and Hospice	/org/the-sanctuary-animal-refuge-and-hospice
Befriender Ministry - A Listeningpresence	/org/befriender-ministry-a-listeningpresence
Matter	/org/matter
Great River School Inc	/org/great-river-school-inc
RESOURCE, Inc.	/org/resource-inc
Free Arts for Abused Children of Minnesota	/org/free-arts-for-abused-children-of-minnesota
Place Of Hope	/org/place-of-hope
Food Allergy Support Group of  Minnesota	/org/food-allergy-support-group-of-minnesota
St Catherine University	/org/st-catherine-university
Randy Shaver Cancer Research And Community Fund	/org/randy-shaver-cancer-research-and-community-fund
Circle of Hope, Duluth	/org/circle-of-hope-duluth
Friends of the Minnesota Sinfonia	/org/friends-of-the-minnesota-sinfonia
Animal Folks Mn	/org/animal-folks-mn
Animal Folks	/org/animal-folks
Metropolitan Symphony Orchestral Association	/org/metropolitan-symphony-orchestral-association
Forget-Me-Not Foundation of Itasca County	/org/forget-me-not-foundation-of-itasca-county
Merrick Community Services	/org/merrick-community-services
Animal Sanctuary of the St Croix Valley	/org/animal-sanctuary-of-the-st-croix-valley
Twin Cities Rise	/org/twin-cities-rise
Prevent Child Abuse Minnesota	/org/prevent-child-abuse-minnesota
International Association Of Lions Clubs	/org/international-association-of-lions-clubs-15146
Wildlife Science Center	/org/wildlife-science-center
International Association Of Ministries Inc	/org/international-association-of-ministries-inc-1
OSIRIS ORGANIZATION	/org/osiris-organization
Mankato Area Arts Council	/org/mankato-area-arts-council
Vail Place Inc	/org/vail-place-inc
Se Luz Ministries Incorporated	/org/se-luz-ministries-incorporated
Prevent Child Abuse Minnesota	/org/prevent-child-abuse-minnesota
Shalom Thrift Shop Inc	/org/shalom-thrift-shop-inc
Heartland Animal Rescue Team	/org/heartland-animal-rescue-team
BASIC NEEDS INC OF SOUTH WASHINGTON COUNTY	/org/basic-needs-inc-of-south-washington-county
CARVER SCOTT COUNTY HUMANE SOCIETY INC	/org/carver-scott-county-humane-society-inc
Veterans Campground on Big Marine Lake	/org/veterans-campground-on-big-marine-lake
Canvas Health Inc	/org/canvas-health-inc
Cook County Higher Education	/org/cook-county-higher-education
FERGUS FALLS 544 EDUCATION FOUNDATION	/org/fergus-falls-544-education-foundation
Little Sisters Of The Poor Of St Paul	/org/little-sisters-of-the-poor-of-st-paul
STRAY FERAL CAT RESCUE ASSOCIATES OF MINNESOTA	/org/stray-feral-cat-rescue-associates-of-minnesota
American Refugee Committee	/org/american-refugee-committee
International Experience A Non- Profit Corporation	/org/international-experience-a-non-profit-corporation
Bridges To Learning Inc	/org/bridges-to-learning-inc
Doulos Discovery Ministries	/org/doulos-discovery-ministries
