org_name	org_url
Spay Panamas Animals Yes USA	/org/spay-panamas-animals-yes-usa
Diabetes Foundation of Mississippi, Inc.	/org/diabetes-foundation-of-mississippi-inc
Show Mercy International	/org/show-mercy-international
Wingard Home Ministry	/org/wingard-home-ministry
Coastal Women for Change	/org/coastal-women-for-change
Community Animal Rescue & Adoption	/org/community-animal-rescue-adoption
Warrior Bonfire Program	/org/warrior-bonfire-program
Institute of Southern Jewish Life	/org/institute-of-southern-jewish-life
Network of International Christian Schools Oasis International Schools, Inc.	/org/network-of-international-christian-schools-oasis-international-schools-inc
The Baddour Center	/org/the-baddour-center
Shaw Pit Bull Rescue	/org/shaw-pit-bull-rescue
Memorial Hospital At Gulfportfoundation Inc	/org/memorial-hospital-at-gulfportfoundation-inc
American Family Association Inc	/org/american-family-association-inc-1
Animal Rescue Fund Of Mississippi	/org/animal-rescue-fund-of-mississippi
Mission at the Cross	/org/mission-at-the-cross
Boys & Girls Clubs of the Mississippi Delta	/org/boys-girls-clubs-of-the-mississippi-delta
Madison Ark	/org/madison-ark
The Animal Rescue League	/org/the-animal-rescue-league
G E L I Inc	/org/g-e-l-i-inc
Make A Wish Foundation Of Mississippi Chartered	/org/make-a-wish-foundation-of-mississippi-chartered
Tunica Humane Society	/org/tunica-humane-society
E J & W Foundation Inc	/org/e-j-w-foundation-inc
Save Our Strays	/org/save-our-strays-2
Southern Pines Animal Shelter	/org/southern-pines-animal-shelter
The Gift of Life Counseling and Mentoring Center	/org/the-gift-of-life-counseling-and-mentoring-center
PHI THETA KAPPA FOUNDATION	/org/phi-theta-kappa-foundation
MidSouth Ballet Theatre	/org/midsouth-ballet-theatre
Animal Relief And Rescue Fellowship	/org/animal-relief-and-rescue-fellowship
Seth Harris Childhood Cancer Foundation Inc	/org/seth-harris-childhood-cancer-foundation-inc
One Way International Ministries	/org/one-way-international-ministries
French Camp Academy	/org/french-camp-academy
East Mississippi Animal Rescue Inc	/org/east-mississippi-animal-rescue-inc
Extra Table Inc	/org/extra-table-inc
The Exchange Club Ctr For The Prevention Of Child Abuse Of N Ms	/org/the-exchange-club-ctr-for-the-prevention-of-child-abuse-of-n-ms
Land Tr For The Ms Coastal Plain	/org/land-tr-for-the-ms-coastal-plain
Rhyme-N-Reason Foundation	/org/rhyme-n-reason-foundation
New Zion Utilities Inc	/org/new-zion-utilities-inc
Good Samaritan Center Inc	/org/good-samaritan-center-inc
Preservation Yazoo	/org/preservation-yazoo
Hope Ministries Inc	/org/hope-ministries-inc-8
Greenville Renaissance Scholars	/org/greenville-renaissance-scholars
Focus On Natural Health Education & Community Development Inc	/org/focus-on-natural-health-education-community-development-inc
Southern Jewel Dog Rescue	/org/southern-jewel-dog-rescue
Zoe Rose Memorial Foundation	/org/zoe-rose-memorial-foundation-1
The Gift Of Life Counseling Center	/org/the-gift-of-life-counseling-center
Phi Theta Kappa Fraternity	/org/phi-theta-kappa-fraternity-159
Nathas Ministries Inc	/org/nathas-ministries-inc
Split Rock Research Foundation	/org/split-rock-research-foundation
The Reaching Educating For Community Hope Foundation	/org/the-reaching-educating-for-community-hope-foundation
Foundation For Innovation Education & Research In Otorhinolaryngology	/org/foundation-for-innovation-education-research-in-otorhinolaryngology
Legacy Education and Community Empowerment Foundation Inc.	/org/legacy-education-and-community-empowerment-foundation-inc
Voices For Mississippis Children Inc	/org/voices-for-mississippis-children-inc
GULF COAST WOMENS CENTER FOR NONVIOLENCE	/org/gulf-coast-womens-center-for-nonviolence
Digital Opportunity Trust Usa Inc	/org/digital-opportunity-trust-usa-inc
Bicycle Advocacy Group Of Mississippi	/org/bicycle-advocacy-group-of-mississippi
Southaven Chamber Of Commerce	/org/southaven-chamber-of-commerce
DESOTO ANIMAL RESCUE SOCIETY	/org/desoto-animal-rescue-society
Toastmasters International	/org/toastmasters-international_100264520
Covenant House Outreach Ministries	/org/covenant-house-outreach-ministries
VINEYARD NEW OUTREACH MINISTRY	/org/vineyard-new-outreach-ministry
Citizens Reinvesting In Shaw Corporation	/org/citizens-reinvesting-in-shaw-corporation
People Making A Difference, Inc.	/org/people-making-a-difference-inc
Marshall County Educational Foundation Inc	/org/marshall-county-educational-foundation-inc
Open Season Sportsman Club	/org/open-season-sportsman-club
Boy Scouts Of America	/org/boy-scouts-of-america-9
Msgc Youth For Christ Thrift Mart	/org/msgc-youth-for-christ-thrift-mart
VOX Press Inc	/org/vox-press-inc
Sacred Heart League	/org/sacred-heart-league
Project Hope Outreach	/org/project-hope-outreach
Standing Tall Ministries Inc	/org/standing-tall-ministries-inc
Pass Christian Delisle Community Center	/org/pass-christian-delisle-community-center
Granthi Buddhist Association Inc	/org/granthi-buddhist-association-inc
Joe Graham Post 119 American Legion	/org/joe-graham-post-119-american-legion
3 Angels Behavioral Health Centers Inc	/org/3-angels-behavioral-health-centers-inc
UNITED WAY OF SOUTH MISSISSIPPI INC	/org/united-way-of-south-mississippi-inc
A Natural Way	/org/a-natural-way
Compass Points Educational Foundati On	/org/compass-points-educational-foundati-on
Edgar Dewitt Johnson Md Memorial Scholarship	/org/edgar-dewitt-johnson-md-memorial-scholarship
Okeefe Educational Media	/org/okeefe-educational-media
Coast Chorale Inc	/org/coast-chorale-inc
National Leighs Disease Foundation	/org/national-leighs-disease-foundation
Heartland Church	/org/heartland-church-2
Gap Ministries Outreach	/org/gap-ministries-outreach
World Impact Network	/org/world-impact-network_100872253
Community Foundation Of Greater Jackson Inc	/org/community-foundation-of-greater-jackson-inc
Mississippi Industrial Heritage Museum Inc	/org/mississippi-industrial-heritage-museum-inc
Casa-Prc Incorporated	/org/casa-prc-incorporated
Jasmines And Jaylahs Youth Learning Center	/org/jasmines-and-jaylahs-youth-learning-center
Columbus Lowndes Humane Society	/org/columbus-lowndes-humane-society
Cedarhill Animal Sanctuary Inc	/org/cedarhill-animal-sanctuary-inc
Foundation On The Rock Ministries	/org/foundation-on-the-rock-ministries
Copiah County Animal Shelter Inc	/org/copiah-county-animal-shelter-inc
Friends Of The Animal Shelter In Hancock County	/org/friends-of-the-animal-shelter-in-hancock-county
Greater New Prospect Missionary Baptist Church Inc	/org/greater-new-prospect-missionary-baptist-church-inc
Pure Gold Booster Club	/org/pure-gold-booster-club
Life Support Cares	/org/life-support-cares
Delta Animal League	/org/delta-animal-league
Sunflower County Freedom Project	/org/sunflower-county-freedom-project
Children's World Learning Center	/org/childrens-world-learning-center
Friends Of Mississippi Libraries Inc	/org/friends-of-mississippi-libraries-inc-53
Greenwood Cemetery Restoration Association	/org/greenwood-cemetery-restoration-association
Aldersgate Personal Care Inc	/org/aldersgate-personal-care-inc
Lowndes Community Investment Corp	/org/lowndes-community-investment-corp
National Society Of The Sons Of The American Revolution	/org/national-society-of-the-sons-of-the-american-revolution_17054
Friends Of Mississippi Libraries Inc	/org/friends-of-mississippi-libraries-inc_17108
Preserve Sight Mississippi	/org/preserve-sight-mississippi
Natchez Little Theatre Inc	/org/natchez-little-theatre-inc
Pta Mississippi Congress	/org/pta-mississippi-congress-9
Phi Theta Kappa Fraternity	/org/phi-theta-kappa-fraternity-1035
Phi Theta Kappa Fraternity	/org/phi-theta-kappa-fraternity-1030
Pta Mississippi Congress	/org/pta-mississippi-congress-13
Pta Mississippi Congress	/org/pta-mississippi-congress-15
Lighthouse Assembly Of God	/org/lighthouse-assembly-of-god-45
Pta Mississippi Congress	/org/pta-mississippi-congress-16
Gospel Singers Of America Inc	/org/gospel-singers-of-america-inc
Westminster Development Foundation	/org/westminster-development-foundation
Greater Columbus Learning Center Inc	/org/greater-columbus-learning-center-inc
Armed Forces Museum Foundation	/org/armed-forces-museum-foundation
Women's Aglow Fellowship	/org/womens-aglow-fellowship_5306
Pta Mississippi Congress	/org/pta-mississippi-congress-5
Phi Theta Kappa Fraternity	/org/phi-theta-kappa-fraternity-1026
Mississippi Drug Testing Consortium Inc	/org/mississippi-drug-testing-consortium-inc
Phi Theta Kappa Fraternity	/org/phi-theta-kappa-fraternity-1055
Phi Upsilon Omicron Inc	/org/phi-upsilon-omicron-inc
West Bolivar Christian Association	/org/west-bolivar-christian-association
Habitat For Humanity International Inc	/org/habitat-for-humanity-international-inc-1303
Friends Of Mississippi Libraries Inc	/org/friends-of-mississippi-libraries-inc-65
Rush Medical Group Of Sumter Pc	/org/rush-medical-group-of-sumter-pc
Pta Mississippi Congress	/org/pta-mississippi-congress-4
National Society Of The Daughters Of The American Revolution	/org/national-society-of-the-daughters-of-the-american-revolution-69
National Society Daughters Of The American Colonists	/org/national-society-daughters-of-the-american-colonists_13976
The Larry Payne Foundation	/org/the-larry-payne-foundation
