org_name	org_url
Habitat for Humanity of Omaha	/org/habitat-for-humanity-of-omaha
Keep Kids Alive Drive 25	/org/keep-kids-alive-drive-25
Assistance League of Omaha Nebraska Inc	/org/assistance-league-of-omaha-nebraska-inc
Global Partners in Hope	/org/global-partners-in-hope
Hope Harbor	/org/hope-harbor
Domesti-Pups	/org/domesti-pups
Wounded Warriors Family Support	/org/wounded-warriors-family-support
Stickney Toy Breed Rescue	/org/stickney-toy-breed-rescue
Friends Of Constru Casa Usa	/org/friends-of-constru-casa-usa
TABLE GRACE MINISTRIES (Cafe)	/org/table-grace-ministries-cafe
VSS Catholic Communications Inc KVSS	/org/vss-catholic-communications-inc-kvss
Hearts United for Animals	/org/hearts-united-for-animals
East Point Horspice	/org/east-point-horspice
Short Bowel Syndrome Foundation, Inc.	/org/short-bowel-syndrome-foundation-inc
Epona Horse Rescue Inc	/org/epona-horse-rescue-inc
Community Health Charities	/org/community-health-charities-3
Food Bank for the Heartland	/org/food-bank-for-the-heartland
Heartland United Way, Inc.	/org/heartland-united-way-inc
Tabitha Inc	/org/tabitha-inc
Great Plains Welsh Heritage Project	/org/great-plains-welsh-heritage-project
Voices of Omaha	/org/voices-of-omaha
Christ For the City International, Inc.	/org/christ-for-the-city-international-inc
Montessori International School of the Plains	/org/montessori-international-school-of-the-plains-1
The Hidden Front	/org/the-hidden-front
Midwest Heart Connection	/org/midwest-heart-connection
National Arbor Day Foundation	/org/national-arbor-day-foundation
Celiac Sprue Association USA, Inc.	/org/celiac-sprue-association-usa-inc
Angels Among Us	/org/angels-among-us-2
Stephen Center Inc	/org/stephen-center-inc
CAR ALLIANCE FOR SAFER TEEN DRIVING	/org/car-alliance-for-safer-teen-driving
Assure Women's Center	/org/assure-womens-center
Omaha Healthy Kids Alliance	/org/omaha-healthy-kids-alliance
Sammy's Superheroes	/org/sammys-superheroes
Foundation for Lincoln Public Schools	/org/foundation-for-lincoln-public-schools
Kids Against Hunger Freedom Foods	/org/kids-against-hunger-freedom-foods
American Consumr Credit Education Support Services Inc	/org/american-consumr-credit-education-support-services-inc
Homeward Bound In The Heartland	/org/homeward-bound-in-the-heartland
Brain Injury Association Of Nebraska Inc	/org/brain-injury-association-of-nebraska-inc-1
Open Door Mission	/org/open-door-mission
Father Flanagans Boys Home dba Boys Town	/org/father-flanagans-boys-home-dba-boys-town
Christian Record Services Inc.	/org/christian-record-services-inc
Dodge County Humane Society	/org/dodge-county-humane-society
JOSHUA COLLINGSWORTH MEMORIAL FOUNDATION	/org/joshua-collingsworth-memorial-foundation
Catholic Charities Of The Archdiocese Of Omaha Inc	/org/catholic-charities-of-the-archdiocese-of-omaha-inc
PRAIRIE LOFT CENTER	/org/prairie-loft-center
