org_name	org_url
Miracle Flights	/org/miracle-flights
Educational Pathways International	/org/educational-pathways-international
All Vegas Horses / L.E.A.N.	/org/all-vegas-horses-l-e-a-n
Nevada Center for Biomedical Research	/org/nevada-center-for-biomedical-research
Adopt-A-Rescue-Pet	/org/adopt-a-rescue-pet
Can You Identify Me	/org/can-you-identify-me
AmeriFace	/org/ameriface
The Shade Tree Incorporated	/org/the-shade-tree-incorporated
Keep Truckee Meadows Beautiful	/org/keep-truckee-meadows-beautiful
Assistance League of Las Vegas Sanford & Co	/org/assistance-league-of-las-vegas-sanford-co
ISchool	/org/ischool
United States Wolf Refuge and Adoption Center	/org/united-states-wolf-refuge-and-adoption-center
Safe Nest, Temporary Assistance for Domestic Crisis	/org/safe-nest-temporary-assistance-for-domestic-crisis
VegasPigPets	/org/vegaspigpets
His Love Street Ministries	/org/his-love-street-ministries
Vegas Shepherd Rescue	/org/vegas-shepherd-rescue
PAL Humane Society	/org/pal-humane-society
OfficerDown.US	/org/officerdown-us
Foundation To Assist Young Musicians (FAYM)	/org/foundation-to-assist-young-musicians-faym
Nevada Humane Society, Inc.	/org/nevada-humane-society-inc
Dress for Success Southern Nevada	/org/dress-for-success-southern-nevada
The Churchill Foundation	/org/the-churchill-foundation
ACCEPT	/org/accept-1
Envision Performing Arts Inc	/org/envision-performing-arts-inc
Nevada Council on Problem Gambling Inc	/org/nevada-council-on-problem-gambling-inc
Foundation For An Independent Tomorrow	/org/foundation-for-an-independent-tomorrow
Leah Willis Dance Arts	/org/leah-willis-dance-arts
Assistance League of Reno-Sparks	/org/assistance-league-of-reno-sparks
Shane Victorino Foundation	/org/shane-victorino-foundation
LIGHT OF THE WORLD CHILDHOOD CANCER FOUNDATION, Inc	/org/light-of-the-world-childhood-cancer-foundation-inc
All Fur Love Animal Society	/org/all-fur-love-animal-society
Nevada Youth Empowerment Project	/org/nevada-youth-empowerment-project
Hawiyati	/org/hawiyati
Josh Stevens Foundation	/org/josh-stevens-foundation
Miracle Horse Rescue, Inc.	/org/miracle-horse-rescue-inc
Shakespeare Animal Fund	/org/shakespeare-animal-fund
Torino Foundation	/org/torino-foundation
The Legends Kids First Inc	/org/the-legends-kids-first-inc
Street Teens A Nevada Non-Profit Corporation	/org/street-teens-a-nevada-non-profit-corporation
Nevada Public Education Foundation	/org/nevada-public-education-foundation
St Judes Ranch for Children Inc	/org/st-judes-ranch-for-children-inc
Women Of Diversity Productions Inc	/org/women-of-diversity-productions-inc
Nevada P E P Inc	/org/nevada-p-e-p-inc
The Iam Workshop Tour E0703212007-6	/org/the-iam-workshop-tour-e0703212007-6
Feline Charity	/org/feline-charity
Feeding Pets of the Homeless	/org/feeding-pets-of-the-homeless-1
Awakenings Center Inc	/org/awakenings-center-inc
Little Miss Hannah Foundation	/org/little-miss-hannah-foundation
Combat for a Cure Foundation	/org/combat-for-a-cure-foundation
The Animal Foundation	/org/the-animal-foundation
Sierra Nevada Journeys	/org/sierra-nevada-journeys
F# Software Foundation	/org/f-software-foundation
Trauma Intervention Program of Northern Nevada, Inc.	/org/trauma-intervention-program-of-northern-nevada-inc
Happy Home Animal Sanctuary	/org/happy-home-animal-sanctuary
Carestream Inc	/org/carestream-inc
Nevada Childhood Cancer Foundation	/org/nevada-childhood-cancer-foundation
Goodie Two Shoes Foundation	/org/goodie-two-shoes-foundation
Douglas Animal Welfare Group	/org/douglas-animal-welfare-group
Think & Wonder Inc	/org/think-wonder-inc
Advocates To End Domestic Violence	/org/advocates-to-end-domestic-violence
