org_name	org_url
LostNMissing, Inc	/org/lostnmissing-inc
Journeys In Education Inc	/org/journeys-in-education-inc
FIRST	/org/first
Canine Commitment of New England	/org/canine-commitment-of-new-england
The Water Project, Inc.	/org/the-water-project-inc
Rain for the Sahel and Sahara (RAIN)	/org/rain-for-the-sahel-and-sahara-rain
workcampNE, Inc	/org/workcampne-inc
Red River Theatres Inc	/org/red-river-theatres-inc
Villi Poni Farm	/org/villi-poni-farm
New Hampshire World Fellowship Center Inc	/org/new-hampshire-world-fellowship-center-inc
Childvoice International	/org/childvoice-international
Sharon Arts Center	/org/sharon-arts-center-1
Cyprus Friendship Program	/org/cyprus-friendship-program
Prone-Papillon Rescue of the North East	/org/prone-papillon-rescue-of-the-north-east
The Walden School	/org/the-walden-school
Orchard School	/org/orchard-school-1
Womenstrust Inc	/org/womenstrust-inc
Star Island Corporation	/org/star-island-corporation
Seacoast Outright	/org/seacoast-outright
Global Grassroots	/org/global-grassroots
Nashua Center	/org/nashua-center
QED Foundation Inc	/org/qed-foundation-inc
Moose Mountains Regional Greenways	/org/moose-mountains-regional-greenways
Families First of the Greater Seacoast	/org/families-first-of-the-greater-seacoast
New Hampshire Association For The Blind	/org/new-hampshire-association-for-the-blind
Live And Let Live Farm Inc	/org/live-and-let-live-farm-inc
CARRIAGE BARN EQUESTRIAN CENTER THERAPEUTIC RIDING PROGRAM INC	/org/carriage-barn-equestrian-center-therapeutic-riding-program-inc
Half Moon Sober Festival Incorporated	/org/half-moon-sober-festival-incorporated
Adaptive Sports Partners of the North Country Inc	/org/adaptive-sports-partners-of-the-north-country-inc
Animal Rescue Veterinary Services	/org/animal-rescue-veterinary-services
Student Conservation Association, Inc.	/org/student-conservation-association-inc
Upper Valley Land Trust Inc	/org/upper-valley-land-trust-inc
The Little Nature Museum	/org/the-little-nature-museum
Seymour Osman Community Center And Youth Safe Haven	/org/seymour-osman-community-center-and-youth-safe-haven
D Acres Of New Hampshire Inc	/org/d-acres-of-new-hampshire-inc
Loki Clan Wolf Refuge	/org/loki-clan-wolf-refuge
Performers Playground A Performing Arts Studio	/org/performers-playground-a-performing-arts-studio
Listen Community Services & Thrift Stores	/org/listen-community-services-thrift-stores
New Hampshire Audubon	/org/new-hampshire-audubon
Wonderland Thrift Corporation	/org/wonderland-thrift-corporation
Boys & Girls Club of Souhegan Valley	/org/boys-girls-club-of-souhegan-valley
Education For All Children	/org/education-for-all-children-1
Transportation Assistance for Seacoast Citizens	/org/transportation-assistance-for-seacoast-citizens
Peruvian Childrens Fund	/org/peruvian-childrens-fund
Society for the Protection of New Hampshire Forests	/org/society-for-the-protection-of-new-hampshire-forests
Southeast New Hampshire Habitat for Humanity	/org/southeast-new-hampshire-habitat-for-humanity
Boys & Girls Club Of Greater Nashua Inc	/org/boys-girls-club-of-greater-nashua-inc
David's House, Inc.	/org/davids-house-inc-1
Team Trevor	/org/team-trevor
Tails To Freedom Inc	/org/tails-to-freedom-inc
NEW GENERATION INC	/org/new-generation-inc-2
Endowment For Human Development Inc	/org/endowment-for-human-development-inc
Save Your Ass Long Ear Rescue	/org/save-your-ass-long-ear-rescue
New Hampshire Rivers Council	/org/new-hampshire-rivers-council
International Minority Hub	/org/international-minority-hub
NHSPCA	/org/nhspca
Steppingstone Music Opportunities Inc	/org/steppingstone-music-opportunities-inc
Exeter Theater Company	/org/exeter-theater-company
Winchester Wildlife Rehabilitation Center	/org/winchester-wildlife-rehabilitation-center
Rolling Dog Farm	/org/rolling-dog-farm
The Riverwoods Company At Exeter New Hampshire	/org/the-riverwoods-company-at-exeter-new-hampshire
Ammonoosuc Conservation Tr	/org/ammonoosuc-conservation-tr
Strafford County Wind Symphony	/org/strafford-county-wind-symphony
Windham Soccer Association Inc	/org/windham-soccer-association-inc
New Hampshire State Grange Of The Order Of Patrons Of Husbandry	/org/new-hampshire-state-grange-of-the-order-of-patrons-of-husbandry-72
Squam Lakes Conservation Society	/org/squam-lakes-conservation-society
Wolfeboro Area Childrens Center Inc	/org/wolfeboro-area-childrens-center-inc
Vision International Mission	/org/vision-international-mission
Citizens For A Seacoast Aquarium	/org/citizens-for-a-seacoast-aquarium
Monadnock Conservancy	/org/monadnock-conservancy
Epilogos Charities Inc	/org/epilogos-charities-inc
End 68 Hours Of Hunger	/org/end-68-hours-of-hunger
Women For Women Coalition	/org/women-for-women-coalition
Ausbon Sargent Land Preservation Trust	/org/ausbon-sargent-land-preservation-trust
Granite State Independent Living	/org/granite-state-independent-living
Back In The Saddle Equine Therapy Center	/org/back-in-the-saddle-equine-therapy-center
New England Fellowship Of Evangelicals Inc	/org/new-england-fellowship-of-evangelicals-inc
Share Outreach Incorporated	/org/share-outreach-incorporated
Upper Saco Valley Land Trust	/org/upper-saco-valley-land-trust
New Horizons For New Hampshire Inc	/org/new-horizons-for-new-hampshire-inc
Childhood Quality Matters Inc	/org/childhood-quality-matters-inc
Lil Iguanas Childrens Saftey Foundation	/org/lil-iguanas-childrens-saftey-foundation
School Kids In Peterborough	/org/school-kids-in-peterborough
Sonshine Soup Kitchen	/org/sonshine-soup-kitchen
Cocheco Valley Humane Society Inc	/org/cocheco-valley-humane-society-inc
FAMILIES IN TRANSITION	/org/families-in-transition
Southeast Land Trust Of New Hampshire	/org/southeast-land-trust-of-new-hampshire
Concord Family Ymca	/org/concord-family-ymca
NeighborWorks Southern New Hampshire	/org/neighborworks-southern-new-hampshire
Webster Place Center Inc	/org/webster-place-center-inc
Seacoast Birthright Of Portsmouth Inc	/org/seacoast-birthright-of-portsmouth-inc
Conway Area Humane Society	/org/conway-area-humane-society
Sanborn Mills Inc	/org/sanborn-mills-inc
Presentation Of Mary Academy	/org/presentation-of-mary-academy
Seacoast Ski Club	/org/seacoast-ski-club
Mount Washington Observatory	/org/mount-washington-observatory
Computer Technology Assistance Corps	/org/computer-technology-assistance-corps
