org_name	org_url
Mary Queen of All Nations Missionary Alliance	/org/mary-queen-of-all-nations-missionary-alliance
Biancas Kids	/org/biancas-kids
Coping With Laryngomalacia, Inc	/org/coping-with-laryngomalacia-inc
Partners in Torah	/org/partners-in-torah
Go4thegoal Foundation	/org/go4thegoal-foundation
Heritage Retreats Inc dba University Heritage Society	/org/heritage-retreats-inc-dba-university-heritage-society
Arabian Rescue Mission Inc	/org/arabian-rescue-mission-inc
Children's Cardiomyopathy Foundation, Inc.	/org/childrens-cardiomyopathy-foundation-inc
Cookies for Kids Cancer	/org/cookies-for-kids-cancer
Pound Animal Welfare Society Of Montclair Inc.	/org/pound-animal-welfare-society-of-montclair-inc
Al Maun Fund	/org/al-maun-fund
Seer Farms Inc	/org/seer-farms-inc
Homeless Animal Lifeline	/org/homeless-animal-lifeline
Strong Prison Wives and Families, Inc.	/org/strong-prison-wives-and-families-inc
Durga Tree International, Inc	/org/durga-tree-international-inc
One Simple Wish	/org/one-simple-wish
Latin American Legal Defense and Education Fund	/org/latin-american-legal-defense-and-education-fund
Helping Hearts Equine Rescue	/org/helping-hearts-equine-rescue
Warm Heart Worldwide Inc	/org/warm-heart-worldwide-inc
The Good People Fund	/org/the-good-people-fund
Shrimad Rajchandra Mission Dharampur (USA)	/org/shrimad-rajchandra-mission-dharampur-usa
Celtic Charms Therapeutic Horsemanship	/org/celtic-charms-therapeutic-horsemanship
Americas Grow a Row Inc	/org/americas-grow-a-row-inc
Little Kids Rock	/org/little-kids-rock
Cumac Echo, Inc.	/org/cumac-echo-inc
Alpine Learning Group Inc	/org/alpine-learning-group-inc
Childhood Leukemia Foundation Inc	/org/childhood-leukemia-foundation-inc
Mylestone Equine Rescue a New Jersey Non-Profit Corporation	/org/mylestone-equine-rescue-a-new-jersey-non-profit-corporation
Hearts United Against Cancer, Inc.	/org/hearts-united-against-cancer-inc
Home Front Hearts	/org/home-front-hearts
Good Counsel Inc	/org/good-counsel-inc
Brigade Air, Inc.	/org/brigade-air-inc
POAC Autism Services	/org/poac-autism-services
Homefront Inc	/org/homefront-inc
Sierra House	/org/sierra-house
Boys & Girls Club of Clifton Inc	/org/boys-girls-club-of-clifton-inc
Deborah Hospital Foundation	/org/deborah-hospital-foundation
Bergen Volunteer Medical Initiative	/org/bergen-volunteer-medical-initiative
Partners for Women and Justice Inc	/org/partners-for-women-and-justice-inc
Sage Eldercare Inc	/org/sage-eldercare-inc
Home Port Alliance for the USS New Jersey, Inc.	/org/home-port-alliance-for-the-uss-new-jersey-inc
Center For Faithjustice	/org/center-for-faithjustice
Waste To Charity, Inc.	/org/waste-to-charity-inc
Antler Ridge Wildlife Sanctuary	/org/antler-ridge-wildlife-sanctuary
Traveling Guitar Foundation	/org/traveling-guitar-foundation
Woodlands Wildlife Refuge Inc	/org/woodlands-wildlife-refuge-inc
The Luca John Foundation	/org/the-luca-john-foundation
