org_name	org_url
Women's Intercultural Center Inc	/org/womens-intercultural-center-inc
Lap Dog Rescue of New Mexico	/org/lap-dog-rescue-of-new-mexico
Insight University	/org/insight-university
Wings Ministry	/org/wings-ministry
The Global Mountain Fund Inc	/org/the-global-mountain-fund-inc
Animal-Kind International	/org/animal-kind-international
Keshet	/org/keshet-1
International Folk Art Alliance	/org/international-folk-art-alliance
Voices for Biodiversity	/org/voices-for-biodiversity
Reading Works Inc	/org/reading-works-inc
Animal Humane New Mexico	/org/animal-humane-new-mexico
Global One to One (D.B.A. Project Peacepal)	/org/global-one-to-one-d-b-a-project-peacepal
Vortex Inc	/org/vortex-inc
Nicodemus Wilderness Project	/org/nicodemus-wilderness-project
Help End Abuse for Life Inc	/org/help-end-abuse-for-life-inc
Think New Mexico	/org/think-new-mexico
Offcenter Community Arts Project	/org/offcenter-community-arts-project
Harvest Ministries of Roswell	/org/harvest-ministries-of-roswell
Peach's Neet Feet	/org/peachs-neet-feet
A Room of Her Own Foundation	/org/a-room-of-her-own-foundation
Elisabeth PH Heiser Foundation	/org/elisabeth-ph-heiser-foundation
New Mexico GLBTQ Centers	/org/new-mexico-glbtq-centers
Joy Junction	/org/joy-junction
Cancer Awareness Prevalence Prevention and Early Detection	/org/cancer-awareness-prevalence-prevention-and-early-detection
Children's Grief Center of New Mexico Inc	/org/childrens-grief-center-of-new-mexico-inc
Cody Unser First Step Foundation	/org/cody-unser-first-step-foundation
Zia Family Focus Center Inc	/org/zia-family-focus-center-inc
Assistance League Of Albuquerque Inc	/org/assistance-league-of-albuquerque-inc
Justice Great Dane Rescue	/org/justice-great-dane-rescue
truckersfinalmile.org	/org/truckersfinalmile-org
WildEarth Guardians	/org/wildearth-guardians
Breast Wishes Fund	/org/breast-wishes-fund
Animal Protection Of New Mexico Inc	/org/animal-protection-of-new-mexico-inc
Meals on Wheels of Albuquerque	/org/meals-on-wheels-of-albuquerque
The Rock at NoonDay	/org/the-rock-at-noonday
African Christian College	/org/african-christian-college
Deming Animal Guardians	/org/deming-animal-guardians
Boys and Girls Club of Sierra Blanca	/org/boys-and-girls-club-of-sierra-blanca
Eternal Divine Path the Mission of Maitreya	/org/eternal-divine-path-the-mission-of-maitreya
Tenderlove Community Center	/org/tenderlove-community-center
Birthing Project USA	/org/birthing-project-usa
Santa Fe Community Housing Trust	/org/santa-fe-community-housing-trust
Santa Fe Animal Shelter Inc	/org/santa-fe-animal-shelter-inc
New Mexico Coalition For Literacy	/org/new-mexico-coalition-for-literacy
Girls Inc. of Santa Fe	/org/girls-inc-of-santa-fe
Paws and Stripes	/org/paws-and-stripes
Tewa Women United	/org/tewa-women-united
Kohn Foundation	/org/kohn-foundation
Watermelon Mountain Ranch Inc	/org/watermelon-mountain-ranch-inc
Water Engineers for the Americas	/org/water-engineers-for-the-americas
NationofChange	/org/nationofchange
Mesilla Valley Habitat for Humanity International Inc	/org/mesilla-valley-habitat-for-humanity
United By Friendship Inc	/org/united-by-friendship-inc
Readwest Inc	/org/readwest-inc
Monero Mustangs	/org/monero-mustangs
Las Campanas Compadres Inc	/org/las-campanas-compadres-inc
Teambuilders Counseling Services, Inc.	/org/teambuilders-counseling-services-inc
Wild Spirit Wolf Sanctuary	/org/wild-spirit-wolf-sanctuary
David Fellers Healing Art Foundation	/org/david-fellers-healing-art-foundation
Creativity For Peace Inc	/org/creativity-for-peace-inc
New Mexico Wilderness Alliance	/org/new-mexico-wilderness-alliance
Taos Feral Feline Friends	/org/taos-feral-feline-friends
Bridges For Women Program Inc	/org/bridges-for-women-program-inc
Global Center For Culturalentrepreneurship	/org/global-center-for-culturalentrepreneurship
Ecopolitan Eco-Health Community / University of Natural Medicine	/org/ecopolitan-eco-health-community-university-of-natural-medicine
Children In Need Of Services Inc	/org/children-in-need-of-services-inc
Bienvenidos Outreach Inc.	/org/bienvenidos-outreach-inc
Hey Mozart New Mexico	/org/hey-mozart-new-mexico
Faith Comes By Hearing	/org/faith-comes-by-hearing
Belen Area Food Pantry	/org/belen-area-food-pantry
GALLUP PUBLIC RADIO	/org/gallup-public-radio
Santa Fe Watershed Association	/org/santa-fe-watershed-association
St Joseph Apache Mission	/org/st-joseph-apache-mission
Tickled Pink Weimaraner Rescue Inc	/org/tickled-pink-weimaraner-rescue-inc
K-9 And Feline Assistance Program Of Tularosa Inc	/org/k-9-and-feline-assistance-program-of-tularosa-inc
Youth Development Inc	/org/youth-development-inc
Goodwill Industries of New Mexico	/org/goodwill-industries-of-new-mexico
Dreamtree Project Inc	/org/dreamtree-project-inc
Roadrunner Food Bank Inc	/org/roadrunner-food-bank-inc
Atrisco Land Rights Council	/org/atrisco-land-rights-council
New Mexico Wildlife Federation	/org/new-mexico-wildlife-federation
Santa Fe Animal Shelter Inc Trust	/org/santa-fe-animal-shelter-inc-trust
PUPPY DOG RANCH	/org/puppy-dog-ranch
Brothers Of Christ International	/org/brothers-of-christ-international
Brighten A Life Inc	/org/brighten-a-life-inc
BATTERED FAMILIES SERVICES INC	/org/battered-families-services-inc
Walkin N Cirlces Ranch Inc	/org/walkin-n-cirlces-ranch-inc
Altrusa International Foundation Inc	/org/altrusa-international-foundation-inc-110
Hosanna Ministries / Faith Comes By Hearing	/org/hosanna-ministries-faith-comes-by-hearing
PAJARITO ENVIRONMENTAL EDUCATION CENTER	/org/pajarito-environmental-education-center
New Mexico Vecinos United Community Development Corporation	/org/new-mexico-vecinos-united-community-development-corporation
Applied Scholastics International	/org/applied-scholastics-international_100178679
St Martins Hospitality Center	/org/st-martins-hospitality-center
El Ranchito De Los Ninos Inc	/org/el-ranchito-de-los-ninos-inc
Socorro Electric Cooperative Inc	/org/socorro-electric-cooperative-inc
A Peaceful Habitation & Aftercareministry	/org/a-peaceful-habitation-aftercareministry
St Bonaventure Indian Missions & School	/org/st-bonaventure-indian-missions-school
Faith And Justice Center Inc	/org/faith-and-justice-center-inc
SPANISH COLONIAL ARTS SOCIETY INC	/org/spanish-colonial-arts-society-inc
Albuquerque Kennel Kompadres Inc	/org/albuquerque-kennel-kompadres-inc
FAMILY LIFELINE INC	/org/family-lifeline-inc
Big Brothers Big Sisters Of Central New Mexico Donation Center Inc	/org/big-brothers-big-sisters-of-central-new-mexico-donation-center-inc
LOVING THUNDER THERAPEUTIC RIDING INC	/org/loving-thunder-therapeutic-riding-inc
Luminous Web Foundation	/org/luminous-web-foundation
REACH 2000	/org/reach-2000
CATHOLIC DAUGHTERS OF AMERICA 1359 CT OUR LADY OF BELEN	/org/catholic-daughters-of-america-1359-ct-our-lady-of-belen
New Mexico Land Conservancy	/org/new-mexico-land-conservancy
RONALD MCDONALD HOUSE CHARITIES OF NEW MEXICO	/org/ronald-mcdonald-house-charities-of-new-mexico-1
Talking Talons Youth Leadership	/org/talking-talons-youth-leadership
Americans For Indian Opportunity Inc	/org/americans-for-indian-opportunity-inc
JOURNEYS IN FILM	/org/journeys-in-film
HIGH ROAD ARTISANS	/org/high-road-artisans
Girl Scouts Of New Mexico Trails Inc	/org/girl-scouts-of-new-mexico-trails-inc
Arc Of New Mexico Foundation	/org/arc-of-new-mexico-foundation
New Mexico Amateur Hockey Association	/org/new-mexico-amateur-hockey-association
Gallup Solar Inc	/org/gallup-solar-inc
Imagination Library Of Grant County Inc	/org/imagination-library-of-grant-county-inc
Seed And Light International	/org/seed-and-light-international
Roadrunner World Missions Inc	/org/roadrunner-world-missions-inc
Dvrc Inc	/org/dvrc-inc
First United Methodist Church	/org/first-united-methodist-church_763306
Military Religious Freedomfoundation Inc	/org/military-religious-freedomfoundation-inc
CAREER GUIDANCE INSTITUTE	/org/career-guidance-institute
Empowering Our Communities In New Mexico	/org/empowering-our-communities-in-new-mexico
Move The Mountain Leadership Center Inc	/org/move-the-mountain-leadership-center-inc
Korean Full Church Of Clovis	/org/korean-full-church-of-clovis
The Episcopal Information Network Inc	/org/the-episcopal-information-network-inc
Tri-County Family Justice Center Ofnortheast New Mexico Inc	/org/tri-county-family-justice-center-ofnortheast-new-mexico-inc
Habitat For Humanity International Inc	/org/habitat-for-humanity-international-inc-449
Full Gospel Business Mens Fellowship International	/org/full-gospel-business-mens-fellowship-international_690328
Mesilla Valley Shotgun Sports Inc	/org/mesilla-valley-shotgun-sports-inc
Holistic Management International (HMI)	/org/holistic-management-international-hmi
Silver City Gospel Mission	/org/silver-city-gospel-mission
Northern New Mexico Veterans Community Development Corporation	/org/northern-new-mexico-veterans-community-development-corporation
Interfaith Community Shelter Group Inc	/org/interfaith-community-shelter-group-inc
African American Chamber Of Commerce New Mexico Inc	/org/african-american-chamber-of-commerce-new-mexico-inc
Sonoma Springs Covenant Church Inc	/org/sonoma-springs-covenant-church-inc
ANIMAL WELFARE GROUP OF EL PASO	/org/animal-welfare-group-of-el-paso
Baca Horse Conservancy	/org/baca-horse-conservancy
Peoples Anti-Cruelty Association Of New Mexico Inc	/org/peoples-anti-cruelty-association-of-new-mexico-inc
Kitchen Angels, Inc.	/org/kitchen-angels-inc
Clnkids Inc	/org/clnkids-inc
Ffaa Inc	/org/ffaa-inc
Lighthouse Mission Inc	/org/lighthouse-mission-inc
Prosperity Works	/org/prosperity-works
Epilepsy Support And Education Services Inc	/org/epilepsy-support-and-education-services-inc
New Mexico Water Conservation Alliance	/org/new-mexico-water-conservation-alliance
Islamic Center Of Socorro Inc	/org/islamic-center-of-socorro-inc
Carlsbad Literacy Program	/org/carlsbad-literacy-program
St Vincent Hospital	/org/st-vincent-hospital
Assistance Dogs Of The West	/org/assistance-dogs-of-the-west
Academy Baptist Church	/org/academy-baptist-church
Four Winds Recovery Center Inc	/org/four-winds-recovery-center-inc
LA PINON SEXUAL RECOVERY SERVICES OF SOUTHERN NEW MEXICO	/org/la-pinon-sexual-recovery-services-of-southern-new-mexico
Literacy Volunteers Of America	/org/literacy-volunteers-of-america-6
San Juan Animal League	/org/san-juan-animal-league
First Baptist Church	/org/first-baptist-church-987
New Mexico Foundation For Open Government Inc	/org/new-mexico-foundation-for-open-government-inc
Carrie Tingley Hospital Foundation Inc	/org/carrie-tingley-hospital-foundation-inc
White Mountain Search And Rescue Inc	/org/white-mountain-search-and-rescue-inc
Tresco Inc	/org/tresco-inc
Sierra County Humane Society Inc	/org/sierra-county-humane-society-inc
HOMEWISE INC	/org/homewise-inc-1
Friends Of The Cumbres & Toltec	/org/friends-of-the-cumbres-toltec
Barrett Foundation Inc	/org/barrett-foundation-inc
Civil Air Patrol 30040 Alamogordo Composite Squadron	/org/civil-air-patrol-30040-alamogordo-composite-squadron
Georgia Okeeffe Museum	/org/georgia-okeeffe-museum
Las Cruces Bantam Weight Sports Assoc Inc	/org/las-cruces-bantam-weight-sports-assoc-inc
Heart And Soul Animal Sanctuary	/org/heart-and-soul-animal-sanctuary
Toastmasters International	/org/toastmasters-international_1162569
University Of New Mexico Alumni Association	/org/university-of-new-mexico-alumni-association
SPAY & NEUTER ACTION PROGRAM (SNAP)	/org/spay-neuter-action-program-snap
Amada Encarnacion International	/org/amada-encarnacion-international
Torreon Community Alliance	/org/torreon-community-alliance
