org_name	org_url
Forever Family Foundation Inc	/org/forever-family-foundation-inc
Environmental Defense Fund Incorporated	/org/environmental-defense-fund-incorporated
Raje-USA Inc	/org/raje-usa-inc
Big Apple Greeter	/org/big-apple-greeter
Keren Simchas Chosson V'Kallah	/org/keren-simchas-chosson-vkallah
Bais Chana Women International Inc	/org/bais-chana-women-international-inc
ASPCA - American Society for the Prevention of Cruelty to Animals	/org/aspca-american-society-for-the-prevention-of-cruelty-to-animals
Modest Needs Foundation	/org/modest-needs-foundation
Cross-Cultural Solutions	/org/cross-cultural-solutions
The Jazz Gallery	/org/the-jazz-gallery
Children's Scholarship Fund	/org/childrens-scholarship-fund-1
Strength for Life Inc	/org/strength-for-life-inc
Women's eNews	/org/womens-enews
Westchester Jewish Community Services, Inc.	/org/westchester-jewish-community-services-inc
Share Self-Help for Women with Breast or Ovarian Cancers, Inc.	/org/share-self-help-for-women-with-breast-or-ovarian-cancers-inc
Girls Write Now, Inc.	/org/girls-write-now-inc
Long Island Sled Hockey Inc. - For the Differently-abled Athlete	/org/long-island-sled-hockey-inc-for-the-differently-abled-athlete
Huntington's Disease Society of America, Inc.	/org/huntingtons-disease-society-of-america-inc-1
Artists Striving To End Poverty Inc	/org/artists-striving-to-end-poverty-inc
The Maura Clarke-Ita Ford (MCIF) Center	/org/the-maura-clarke-ita-ford-mcif-center
Stupid Cancer	/org/stupid-cancer
Fathers Heart Ministries	/org/fathers-heart-ministries-1
The Gow School	/org/the-gow-school
Neuroendocrine Cancer Awareness Network Inc	/org/neuroendocrine-cancer-awareness-network-inc
ECAD, Educated Canines Assisting with Disabilities	/org/ecad-educated-canines-assisting-with-disabilities
Bunkers in Baghdad	/org/bunkers-in-baghdad
Palante Harlem Inc	/org/palante-harlem-inc
SPCA International	/org/spca-international
Lifestyles for the Disabled Inc	/org/lifestyles-for-the-disabled-inc
DES Action USA	/org/des-action-usa
Metropolitan New York Coordinating Council on Jewish Poverty	/org/metropolitan-council-on-jewish-poverty
Federation Employment Guidance Service	/org/federation-employment-guidance-service
PCI Media Impact, Inc.	/org/pci-media-impact-inc
Education Through Music, Inc.	/org/education-through-music-inc
Barth Syndrome Foundation Inc	/org/barth-syndrome-foundation-inc
Smile Train, Inc.	/org/smile-train-inc
Woodstock Farm Sanctuary	/org/woodstock-farm-sanctuary
International Rescue Committee	/org/international-rescue-committee
Iraq And Afghanistan Veterans Of America Inc	/org/iraq-and-afghanistan-veterans-of-america-inc
Cambodian Community Dream Organization, Inc.	/org/cambodian-community-dream-organization-inc
Business Council For Peace, Inc. (Bpeace)	/org/business-council-for-peace-inc-bpeace
Alliance For International Women's Rights	/org/alliance-for-international-womens-rights
Sanlaap North America	/org/sanlaap-north-america
National School Climate Center	/org/national-school-climate-center
STOMP Out Bullying - Love Our Children USA	/org/stomp-out-bullying-love-our-children-usa
MaleSurvivor: National Organization Against Male Sexual Victimization	/org/malesurvivor-national-organization-against-male-sexual-victimization
Action Against Hunger USA	/org/action-against-hunger-usa
Her Justice	/org/her-justice
Public-Private Alliance Foundation	/org/public-private-alliance-foundation
Cancer Research Institute, Inc.	/org/cancer-research-institute-inc
Songs of Love Foundation	/org/songs-of-love-foundation
AVODAH The Jewish Service Corps Inc	/org/avodah-the-jewish-service-corps-inc
World Vision International	/org/world-vision-international
Support Connection Inc	/org/support-connection-inc
Virginia Gildersleeve International Fund	/org/virginia-gildersleeve-international-fund
VOLUNTEER SERVICE BUREAU OF WESTCHESTER INC (dba Volunteer New York!)	/org/volunteer-service-bureau-of-westchester-inc-dba-volunteer-new-york
Muddy Paws Rescue	/org/muddy-paws-rescue
Humane Society of Rochester and Monroe County PCA, Inc.	/org/humane-society-of-rochester-and-monroe-county-pca-inc
Arts For All	/org/arts-for-all-1
Adirondack Mountain Club, Inc.	/org/adirondack-mountain-club-inc
Wolf Conservation Center Inc	/org/wolf-conservation-center-inc
Goshen Humane Society Inc	/org/goshen-humane-society-inc
Center for the Arts of Homer Inc	/org/center-for-the-arts-of-homer-inc
You Can Thrive! Foundation	/org/you-can-thrive-foundation
Cultivating Our Sisterhood International Association, Inc.	/org/cultivating-our-sisterhood-international-association-inc
Yasmanth	/org/yasmanth
DonorsChoose.org	/org/donorschoose-org
Asha for Education	/org/asha-for-education
AJC Access	/org/ajc-access
Animalkind Inc	/org/animalkind-inc
iEARN	/org/iearn
Bald Girls Do Lunch Inc	/org/bald-girls-do-lunch-inc
Panthera	/org/panthera
Making Headway Foundation Inc	/org/making-headway-foundation-inc
Child Care Council of Nassau, Inc.	/org/child-care-council-of-nassau-inc
IndyKids	/org/indykids
Autism Science Foundation	/org/autism-science-foundation
The Terry Farrell Firefighters Scholarship Fund Inc	/org/the-terry-farrell-firefighters-scholarship-fund-inc
Holy Apostles Soup Kitchen	/org/holy-apostles-soup-kitchen
Correctional Association of New York	/org/correctional-association-of-new-york
Holy Apostles Soup Kitchen	/org/holy-apostles-soup-kitchen
Global Autism Project	/org/global-autism-project
Italian Greyhound Rescue Foundation Inc	/org/italian-greyhound-rescue-foundation-inc
Jewish Community Day School Network	/org/jewish-community-day-school-network
TELL EVERY AMAZING LADY ABOUT OVARIAN CANCER FOUNDATION Louisa M. McGregor Ovarian Cancer Foundation	/org/tell-every-amazing-lady-about-ovarian-cancer-foundation-louisa-m-mcgregor-o
Malecare	/org/malecare
Patient AirLift Services	/org/patient-airlift-services
The Resolution Project, Inc.	/org/the-resolution-project-inc
Touching Souls International	/org/touching-souls-international-1
Fount of Mercy	/org/fount-of-mercy
Tay-Bandz Inc	/org/tay-bandz-inc
PowerPlay NYC, Inc.	/org/powerplay-nyc-inc
Fresh Youth Initiatives, Inc.	/org/fresh-youth-initiatives-inc
Kalu Ulu Memorial Foundation	/org/kalu-ulu-memorial-foundation
March of Dimes Foundation	/org/march-of-dimes-foundation
Pro Mujer	/org/pro-mujer
Covenant House	/org/covenant-house
chashama, Inc.	/org/chashama-inc
Institute For Conscious Global Change	/org/institute-for-conscious-global-change
Interfaith Nutrition Network	/org/interfaith-nutrition-network
World Class-Ghana Inc	/org/world-class-ghana-inc
Equal Justice USA Inc	/org/equal-justice-usa-inc
Irish Repertory Theatre Company Inc	/org/irish-repertory-theatre-company-inc
Town & Village Conservative Synagogue Inc	/org/town-village-conservative-synagogue-inc
Saratoga Academy of the Arts and Sciences	/org/saratoga-academy-of-the-arts-and-sciences
Jewish Communal Fund	/org/jewish-communal-fund
Calvary Food Pantry Cny	/org/calvary-food-pantry-cny
Urban Workshop NYC, Inc.	/org/urban-workshop-nyc-inc
Glasswing International USA	/org/glasswing-international-usa
Sonnet Repertory Theatre Inc	/org/sonnet-repertory-theatre-inc
New York Sun Works Inc	/org/new-york-sun-works-inc
Humane Society of Middletown Inc	/org/humane-society-of-middletown-inc
Mariposa DR Foundation	/org/mariposa-dr-foundation
Room to Grow National, Inc.	/org/room-to-grow-national-inc
Self Chec Inc	/org/self-chec-inc
Ezer Mizion	/org/ezer-mizion-2
A Kids' Brain Tumor Cure (a/k/a PLGA Foundation)	/org/a-kids-brain-tumor-cure-a-k-a-plga-foundation
National Eating Disorders Association	/org/national-eating-disorders-association
Dyskeratosis Congenita Outreach Inc	/org/dyskeratosis-congenita-outreach-inc
Diamond Blackfan Anemia Foundation	/org/diamond-blackfan-anemia-foundation
National Eating Disorders Association	/org/national-eating-disorders-association
Grassroots.org, Inc.	/org/grassroots-org-inc
Chiari & Syringomyelia Foundation (CSF)	/org/chiari-syringomyelia-foundation-csf
Museum Village Inc	/org/museum-village-inc
God's Love We Deliver, Inc.	/org/gods-love-we-deliver-inc
DOROT, Inc.	/org/dorot-inc
TEAK Fellowship, Inc.	/org/teak-fellowship-inc
Glamourgals Foundation, Inc.	/org/glamourgals-foundation-inc
The PRASAD Project, Inc.	/org/the-prasad-project-inc
Companion Star Inc.	/org/companion-star-inc
CityScience	/org/cityscience
Bonnie Boys Club, Inc. dba, The Bonnie Youth Club	/org/bonnie-boys-club-inc-dba-the-bonnie-youth-club
Academy of Medical & Public Health Services	/org/academy-of-medical-public-health-services
WhyHunger	/org/whyhunger
United States Institute for Theatre Technology Inc	/org/united-states-institute-for-theatre-technology-inc
The Leukemia & Lymphoma Society	/org/the-leukemia-lymphoma-society
Trauma and Resiliency Resources, Inc.	/org/trauma-and-resiliency-resources-inc
United Sikhs	/org/united-sikhs
NYCMedics	/org/nycmedics
Blanca's House Corporation	/org/blancas-house-corporation
Long Island Abate Inc	/org/long-island-abate-inc
Sadie Nash Leadership Project	/org/sadie-nash-leadership-project
Council of Jewish Emigre Community Organizations	/org/council-of-jewish-emigre-community-organizations
Riverhead Foundation For Marine Research and Preservation	/org/riverhead-foundation-for-marine-research-and-preservation
StayUNITED	/org/stayunited
American Bible Society	/org/american-bible-society
Guilderhaven, Inc.	/org/guilderhaven-inc
Kathleen F Marks Memorial Foundation	/org/kathleen-f-marks-memorial-foundation
John T Mather Memorial Hospital	/org/john-t-mather-memorial-hospital
Educate the Children, Inc.	/org/educate-the-children-inc
Ballet Tech Foundation, Inc.	/org/ballet-tech-foundation-inc
Oxalosis and Hyperoxaluria Foundation	/org/oxalosis-and-hyperoxaluria-foundation
JOFA	/org/jofa
In My Fathers Kitchen	/org/in-my-fathers-kitchen
Earth Child Institute Inc	/org/earth-child-institute-inc
Felix Organization - Adoptees for Children Inc	/org/felix-organization-adoptees-for-children-inc
Renaissance Youth Center	/org/renaissance-youth-center
Breast Cancer Options Inc	/org/breast-cancer-options-inc
His Breast Cancer Awareness Inc.	/org/his-breast-cancer-awareness-inc
Encephalitis Global,  Inc.	/org/encephalitis-global-inc
His Breast Cancer Awareness Inc.	/org/his-breast-cancer-awareness-inc
Renaissance Youth Center	/org/renaissance-youth-center
Visions Services for the Blind and Visually Impaired	/org/visions-services-for-the-blind-and-visually-impaired
International Sephardic Education Foundation	/org/international-sephardic-education-foundation
Coastal Research and Education Society of Long Island, Inc.	/org/coastal-research-and-education-society-of-long-island-inc
World Animal Protection	/org/world-animal-protection
The New 42nd Street / The New Victory Theater	/org/the-new-42nd-street-the-new-victory-theater
Women for Afghan Women Inc	/org/women-for-afghan-women-inc
Lisa Beth Gerstman Foundation	/org/lisa-beth-gerstman-foundation
American Jewish World Service, Inc.	/org/american-jewish-world-service
Go To Health Ambuslatory Care Inc	/org/go-to-health-ambuslatory-care-inc
LitWorld	/org/litworld
Inky Blue Sea Companion Animal Rescue	/org/inky-blue-sea-companion-animal-rescue
Little Shelter Animal Adoption Center Inc	/org/little-shelter-animal-adoption-center-inc
The Opportunity Network	/org/the-opportunity-network
Trickle Up Program, Inc.	/org/trickle-up-program-inc
Pajama Program, Inc.	/org/pajama-program-inc
Afya Foundation, Inc.	/org/afya-foundation-inc
Immigration Equality	/org/immigration-equality
The Holocaust Memorial & Tolerance Center of Nassau County Inc	/org/the-holocaust-memorial-tolerance-center-of-nassau-county-inc
Peconic Baykeeper Inc	/org/peconic-baykeeper-inc
Doctors Without Borders USA Inc	/org/doctors-without-borders-usa-inc
Unspoken Smiles Foundation	/org/unspoken-smiles-foundation
Junior Achievement of New York	/org/junior-achievement-of-new-york
Honest Brook Music Festival Inc	/org/honest-brook-music-festival-inc
WaterAid	/org/wateraid
World Education Services Inc	/org/world-education-services-inc
Community Alliance for the Ethical Treatment of Youth	/org/community-alliance-for-the-ethical-treatment-of-youth
The Parent-Child Home Program, Inc.	/org/the-parent-child-home-program-inc
Groove With Me, Inc.	/org/groove-with-me-inc
Nextbook Inc	/org/nextbook-inc
The Center For Anti-Violence Education Inc	/org/the-center-for-anti-violence-education-inc
Honest Brook Music Festival Inc	/org/honest-brook-music-festival-inc
Gear Up Foundation	/org/gear-up-foundation
Where Theres A Need Incorporated	/org/where-theres-a-need-incorporated
Nyc Siamese Rescue Inc	/org/nyc-siamese-rescue-inc
Connect Inc.	/org/connect-inc-1
Corporation For Supportive Housing	/org/corporation-for-supportive-housing
Kenya Education Fund	/org/kenya-education-fund
New Art Publications, Inc.	/org/new-art-publications-inc
Harboring Hearts	/org/harboring-hearts
Alexanders Angels Inc	/org/alexanders-angels-inc
Foundation for a Drug Free World	/org/foundation-for-a-drug-free-world-1
Baltimore Woods Nature Center Inc	/org/baltimore-woods-nature-center-inc
New Heights Youth Inc	/org/new-heights-youth-inc
Project Akilah Inc	/org/project-akilah-inc
Heavenly Productions Foundation	/org/heavenly-productions-foundation
Three Generations Inc	/org/three-generations-inc
Allyson Whitney Foundation Inc	/org/allyson-whitney-foundation-inc
High Atlas Foundation	/org/high-atlas-foundation
Literacy Partners, Inc.	/org/literacy-partners-inc
Mercy Center Inc	/org/mercy-center-inc
Rensselaer Land Trust Inc	/org/rensselaer-land-trust-inc
Southern Tier Animal Rescue Network	/org/southern-tier-animal-rescue-network
ioby	/org/ioby
Power of Worship Ministries	/org/power-of-worship-ministries
Wenar Productions Limited Actors Conservatory Theatre	/org/wenar-productions-limited-actors-conservatory-theatre
Citymeals-On-Wheels	/org/citymeals-on-wheels
Wild Earth	/org/wild-earth
United States Fund For Unicef	/org/united-states-fund-for-unicef
Bay Street Theatre Festival Inc	/org/bay-street-theatre-festival-inc
Animal Support Project Inc	/org/animal-support-project-inc
International Planned Parenthood Federation/Western Hemisphere Region	/org/international-planned-parenthood-federation-western-hemisphere-region
Salesian Missions Inc	/org/salesian-missions-inc
Kehilat Hadar	/org/kehilat-hadar
Literacy Connections	/org/literacy-connections
Women of Wind Energy	/org/women-of-wind-energy
Impact Network	/org/impact-network
URJ Kutz Camp	/org/urj-kutz-camp
i-tri - Inspirational Triathlon Racing International	/org/i-tri-inspirational-triathlon-racing-international
JBI International, Inc. dba Jewish Braille Institute	/org/jbi-international-inc-dba-jewish-braille-institute
We the People United Corp	/org/we-the-people-united-corp
H2 Empower Inc	/org/h2-empower-inc
A Promise to Peru, Inc.	/org/a-promise-to-peru-inc
Hospital Audiences, Inc.	/org/hospital-audiences-inc
North Shore Animal League America , Inc.	/org/north-shore-animal-league-america-inc
American India Foundation	/org/american-india-foundation
Fiver Children's Foundation	/org/fiver-childrens-foundation
Ovarian Cancer Research Fund, Inc.	/org/ovarian-cancer-research-fund-inc
Bobbi And The Strays Inc	/org/bobbi-and-the-strays-inc
Children's Orchestra Society, Inc.	/org/childrens-orchestra-society-inc
Second Chance Thoroughbreds, Inc.	/org/second-chance-thoroughbreds-inc
Jewish Heart For Africa	/org/jewish-heart-for-africa
Hannah's Hope Fund For GAN	/org/hannahs-hope-fund-for-gan
Women's Project	/org/womens-project-1
BRAC	/org/brac
KINGS BAY YM-YWHA, Inc.	/org/kings-bay-ym-ywha-inc
Friends of the Retired and Senior Volunteer Program of Suffolk County	/org/friends-of-the-retired-and-senior-volunteer-program-of-suffolk-county
Everyone Reading	/org/everyone-reading
Lymphatic Education & Research Network	/org/lymphatic-education-research-network
Achilles International	/org/achilles-international
Nomi Network	/org/nomi-network
Chai-Life Line dba Chai Lifeline Inc	/org/chai-life-line-dba-chai-lifeline-inc
Acromegaly Community Inc	/org/acromegaly-community-inc
CAGEM	/org/cagem
Wild Bird Fund Inc	/org/wild-bird-fund-inc
Endabuse4good Inc	/org/endabuse4good-inc
Creative Alternatives Of New York	/org/creative-alternatives-of-new-york
The Brotherhood/Sister Sol	/org/the-brotherhood-sister-sol
On Point For College Inc	/org/on-point-for-college-inc
Central New York Cat Coalition Incorporated	/org/central-new-york-cat-coalition-incorporated
On Point For College Inc	/org/on-point-for-college-inc
Acromegaly Community Inc	/org/acromegaly-community-inc
Childrens Academy	/org/childrens-academy-1
Children of Peru Foundation Inc	/org/children-of-peru-foundation-inc
Statement Arts Inc	/org/statement-arts-inc
Dudley Observatory	/org/dudley-observatory
Team Continuum Inc	/org/team-continuum-inc
New York City Labor Chorus Inc	/org/new-york-city-labor-chorus-inc
Fight For Sight Inc	/org/fight-for-sight-inc-1
Team Continuum Inc	/org/team-continuum-inc
New York City Labor Chorus Inc	/org/new-york-city-labor-chorus-inc
Playwrights Horizons, Inc.	/org/playwrights-horizons-inc
National Urban Alliance For Effective Education Inc	/org/national-urban-alliance-for-effective-education-inc
ALEH	/org/aleh-1
College For Every Student (CFES)	/org/college-for-every-student-cfes
BioBus	/org/biobus
Action for Older Persons, Inc.	/org/action-for-older-persons-inc
Choice Of New Rochelle Inc	/org/choice-of-new-rochelle-inc
Computers For Guatemala Inc	/org/computers-for-guatemala-inc
Jewish Community Center Of Binghamton New York Inc	/org/jewish-community-center-of-binghamton-new-york-inc
Mondays at Racine	/org/mondays-at-racine
Alzheimer's Research Foundation, Fisher Center	/org/alzheimers-research-foundation-fisher-center
Girls Incorporated of New York City	/org/girls-incorporated-of-new-york-city
American Composers Orchestra Inc	/org/american-composers-orchestra-inc
Renaissance Charter School	/org/renaissance-charter-school
The Magic Penny, Inc.	/org/the-magic-penny-inc
National Stuttering Association	/org/national-stuttering-association
