org_name	org_url
Camp Courage	/org/camp-courage
Cats Cradle Shelter Inc.	/org/cats-cradle-shelter-inc
HERO, Healthcare Equipment Recycling Organization	/org/hero-healthcare-equipment-recycling-organization
Tzeva - Youth Building a Future	/org/tzeva-youth-building-a-future
Young Womens Christian Association Of Minot North Dakota	/org/young-womens-christian-association-of-minot-north-dakota
North Dakota Womens Network	/org/north-dakota-womens-network
God's Child Project	/org/gods-child-project
Christian Alliance For Indian Child Welfare	/org/christian-alliance-for-indian-child-welfare
The Village Family Service Center	/org/the-village-family-service-center
Prairie Public Broadcasting, Inc.	/org/prairie-public-broadcasting-inc
Best Friends Mentoring Program	/org/best-friends-mentoring-program
Guardian Fiduciary & Advocacy Services Inc	/org/guardian-fiduciary-advocacy-services-inc
Delta Waterfowl Foundation	/org/delta-waterfowl-foundation
ST ANNES GUEST HOME	/org/st-annes-guest-home
Near Fund 2020 Inc	/org/near-fund-2020-inc
Sleepy Hollow Summer Theatre	/org/sleepy-hollow-summer-theatre
Grand Forks Senior Center	/org/grand-forks-senior-center
Theo Art School	/org/theo-art-school
North Dakota School For The Blind Foundation Inc	/org/north-dakota-school-for-the-blind-foundation-inc
Sunset Center Club	/org/sunset-center-club
DAKOTA BOYS AND GIRLS RANCH FOUNDATION	/org/dakota-boys-and-girls-ranch-foundation
MENTAL HEALTH AMERICA OF NORTH DAKOTA	/org/mental-health-america-of-north-dakota
Crystal River Ministry Center Inc	/org/crystal-river-ministry-center-inc
P J W Productions	/org/p-j-w-productions
Gallery 522 Inc	/org/gallery-522-inc
Kamp Kace Inc	/org/kamp-kace-inc
Ronald McDonald House of the Red River Valley	/org/ronald-mcdonald-house-of-the-red-river-valley
Nokomis Child Care Center Inc	/org/nokomis-child-care-center-inc
Lakehouse Kids Program	/org/lakehouse-kids-program
WELLSPRING FOR THE WORLD	/org/wellspring-for-the-world
Greater Grand Forks Inter-Agency Forum	/org/greater-grand-forks-inter-agency-forum
American Red Cross	/org/american-red-cross_142271
Badlands Crime Stoppers Inc	/org/badlands-crime-stoppers-inc
Northwest Section Of The Ninety Nines	/org/northwest-section-of-the-ninety-nines_86236
Gateway to Science Center, Inc.	/org/gateway-to-science-center-inc
AFRICAN SOUL AMERICAN HEART	/org/african-soul-american-heart
Thrivent Financial For Lutherans	/org/thrivent-financial-for-lutherans-8322
Great Plains Assistance Dogs Foundation	/org/great-plains-assistance-dogs-foundation
VSA ARTS OF NORTH DAKOTA	/org/vsa-arts-of-north-dakota
Minot Matwrat Wrestling Club	/org/minot-matwrat-wrestling-club
Emergency Food Pantry Inc	/org/emergency-food-pantry-inc
Mortar Board Inc	/org/mortar-board-inc-102
Association To Meet Emergency Needs Inc	/org/association-to-meet-emergency-needs-inc
International Association Of Lions Clubs	/org/international-association-of-lions-clubs-15164
Childrens Village-Family Service Foundation Inc	/org/childrens-village-family-service-foundation-inc
Protestant Episcopal Church In N Dakota Bishop Chancellor Standing	/org/protestant-episcopal-church-in-n-dakota-bishop-chancellor-standing
National League For Nursing North Dakota League For Nursing	/org/national-league-for-nursing-north-dakota-league-for-nursing
4-H Clubs & Affiliated 4-H Organizations	/org/4-h-clubs-affiliated-4-h-organizations_29755
Renville County Historical Society Inc	/org/renville-county-historical-society-inc
Womens International Bowling Congress Inc	/org/womens-international-bowling-congress-inc_27999
North Dakota Congress Of Parents And Teachers	/org/north-dakota-congress-of-parents-and-teachers_29785
National Society Of The Daughters Of The American Revolution	/org/national-society-of-the-daughters-of-the-american-revolution-117
Aglow International	/org/aglow-international-256
T H E O Inc	/org/t-h-e-o-inc
Nodak Sportsmens Club	/org/nodak-sportsmens-club
Three Rivers Crisis Center	/org/three-rivers-crisis-center
Northland Christian Counseling Center Inc	/org/northland-christian-counseling-center-inc
North Dakota Congress Of Parents And Teachers	/org/north-dakota-congress-of-parents-and-teachers-12
Gwinner Arts Council	/org/gwinner-arts-council
American Water Works Association	/org/american-water-works-association-16
Kindred Area Ambulance Service Inc	/org/kindred-area-ambulance-service-inc
Sertoma Inc	/org/sertoma-inc-120
Prairie Tumbleweed 4-H Club	/org/prairie-tumbleweed-4-h-club
Valley Christian Counseling Center Inc	/org/valley-christian-counseling-center-inc
Minot Literacy Volunteers	/org/minot-literacy-volunteers
4-H Clubs & Affiliated 4-H Organizations	/org/4-h-clubs-affiliated-4-h-organizations_29750
Progress Enterprises Inc	/org/progress-enterprises-inc
Womens International Bowling Congress Inc	/org/womens-international-bowling-congress-inc_27957
Grafton Mennonite Church Church Of God In Christ Mennonite	/org/grafton-mennonite-church-church-of-god-in-christ-mennonite
North Dakota Congress Of Parents And Teachers	/org/north-dakota-congress-of-parents-and-teachers_29777
Friends Of The Leonard Firefighters	/org/friends-of-the-leonard-firefighters
Mandan Band Boosters	/org/mandan-band-boosters
Dresdon Doers	/org/dresdon-doers
New Leipzig Ambulance Service	/org/new-leipzig-ambulance-service
Streeter Housing Development Inc	/org/streeter-housing-development-inc
Twin Town Artist Series	/org/twin-town-artist-series
Aneta Parkview Health Center	/org/aneta-parkview-health-center
Ransom Sargent Senior Services Council Inc	/org/ransom-sargent-senior-services-council-inc
Hill Top Home Of Comfort Inc	/org/hill-top-home-of-comfort-inc
Word Of Faith Church And Outreach Center	/org/word-of-faith-church-and-outreach-center
