org_name	org_url
Crayons to Classrooms	/org/crayons-to-classrooms
First Glance Student Center, Inc.	/org/first-glance-student-center-inc
Mission4Maureen	/org/mission4maureen
Kids In Need Foundation	/org/kids-in-need-foundation
Churches Active in Northside	/org/churches-active-in-northside
Cozy Cat Cottage	/org/cozy-cat-cottage
Sanctuary for Senior Dogs	/org/sanctuary-for-senior-dogs
Heaventrain	/org/heaventrain
Jewish Family Services	/org/jewish-family-services
Truth for Life with Alistair Begg	/org/truth-for-life-with-alistair-begg
4 Paws For Ability Inc	/org/4-paws-for-ability-inc
Matthew 25: Ministries Inc	/org/matthew-25-ministries-inc-1
Central Ohio Sheltie Rescue Inc	/org/central-ohio-sheltie-rescue-inc
Stop Animal Exploitation NOW!	/org/stop-animal-exploitation-now
Hannah's Treasure Chest	/org/hannahs-treasure-chest
Northwest State Community College Foundation	/org/northwest-state-community-college-foundation
Testicular Cancer Society	/org/testicular-cancer-society
Palestine Children's Relief Fund	/org/palestine-childrens-relief-fund
GVN Foundation	/org/gvn-foundation
Forgotten Angels Rescue & Education Center Inc.	/org/forgotten-angels-rescue-education-center-inc
Frisky Ferrets, Fuzzies, & Feathered Friends  Rescue & Sanctuary (F5RS)	/org/frisky-ferrets-fuzzies-feathered-friends-rescue-sanctuary-f5rs
Heartbeat International, Inc.	/org/heartbeat-international-inc-1
Multiple Breed Rescue	/org/multiple-breed-rescue
Dogs Unlimited Rescue	/org/dogs-unlimited-rescue
A Call To College	/org/a-call-to-college
Teaching & Learning Collaborative	/org/teaching-learning-collaborative
New Heights Educational Group	/org/new-heights-educational-group
Tech Corps	/org/tech-corps-1
Twin to Twin Transfusion Syndrome Foundation, Inc.	/org/twin-to-twin-transfusion-syndrome-foundation-inc
The Hummingbird Project	/org/the-hummingbird-project
New Life Furniture	/org/new-life-furniture
Free to Smile Foundation Inc	/org/free-to-smile-foundation-inc
The Dragonfly Foundation	/org/the-dragonfly-foundation
Northwest Ohio Scholarship Fund Inc	/org/northwest-ohio-scholarship-fund-inc
ARTS/West	/org/arts-west-1
FMDSA	/org/fmdsa
Home Based Arts Usa Inc	/org/home-based-arts-usa-inc
The Lam Foundation	/org/the-lam-foundation
Save Cats and Obliterate Overpopulation	/org/save-cats-and-obliterate-overpopulation
Transitions Global	/org/transitions-global
Ohio Valley Goodwill Industries Rehabilitation Center Inc	/org/ohio-valley-goodwill-industries-rehabilitation-center-inc
Building Hope in the City	/org/building-hope-in-the-city
Art Therapy Studio	/org/art-therapy-studio
Back2Back Ministries	/org/back2back-ministries
Tandana Foundation Inc	/org/tandana-foundation-inc
Community Kitchen Inc	/org/community-kitchen-inc-1
First Steps Parenting Advocacy Center	/org/first-steps-parenting-advocacy-center
SASS Shih Tzu Rescue	/org/sass-shih-tzu-rescue
Ohio Newsboys Association Inc	/org/ohio-newsboys-association-inc
For the Love of Pits	/org/for-the-love-of-pits
Cancer Connection of Northwest Ohio	/org/cancer-connection-of-northwest-ohio
Parker's Purpose	/org/parkers-purpose
The Victory Center	/org/the-victory-center
Harlequin Haven Great Dane Rescue	/org/harlequin-haven-great-dane-rescue
International Rett Syndrome Association	/org/rettsyndrome-org
Angels For Kids Foundation	/org/angels-for-kids-foundation
Another Chance Equine Rescue	/org/another-chance-equine-rescue
Through the Roof Ministries	/org/through-the-roof-ministries
Ignatian Solidarity Network	/org/ignatian-solidarity-network
Agape Distribution	/org/agape-distribution-1
Indiana Petite Paws Rescue Angels, Inc.	/org/indiana-petite-paws-rescue-angels-inc
Village Network	/org/village-network
Creative Aging Cincinnati	/org/creative-aging-cincinnati
A Child's Hope International, Inc.	/org/a-childs-hope-international-inc
Equine Partners Unlimited Inc	/org/equine-partners-unlimited-inc
Ken Heart Foundation	/org/ken-heart-foundation
SOUTHERN OHIO WOLF SANCTUARY, Inc.	/org/southern-ohio-wolf-sanctuary-inc
Friends of the Lower Olentangy Watershed Flow	/org/friends-of-the-lower-olentangy-watershed-flow
Community Resource Center Inc	/org/community-resource-center-inc-2
Early Childhood Resource Center	/org/early-childhood-resource-center-1
New Directions Career Center	/org/new-directions-career-center
Community Job Club, Inc.	/org/community-job-club-inc
Giggles & Coos	/org/giggles-coos
Employment for Seniors Inc	/org/employment-for-seniors-inc
4 Freedom Equestrian Team	/org/4-freedom-equestrian-team
Ovarian Cancer Connection	/org/ovarian-cancer-connection
Assistance Dogs Of America Inc	/org/assistance-dogs-of-america-inc
The Galen Foundation dba PeopleBeatingCancer	/org/the-galen-foundation-dba-peoplebeatingcancer
Wolf Timbers	/org/wolf-timbers
American Primate Educational Sanctuary	/org/american-primate-educational-sanctuary
Yesh Tikvah	/org/yesh-tikvah
