org_name	org_url
Hugs Project Incorporated	/org/hugs-project-incorporated
OK Save A Dog	/org/ok-save-a-dog
Feed The Children, Inc.	/org/feed-the-children-inc
Love Without Boundaries Foundation	/org/love-without-boundaries-foundation
Novo Ministries Inc	/org/novo-ministries-inc
G W Exotic Animal Foundation	/org/g-w-exotic-animal-foundation
Thoroughbred Athletes Inc.	/org/thoroughbred-athletes-inc
Oklahoma Arts Institute at Quartz Mountain	/org/oklahoma-arts-institute-at-quartz-mountain
World Neighbors	/org/world-neighbors
Joy in the Cause	/org/joy-in-the-cause
United States Zoological Association	/org/united-states-zoological-association
Shiloh Summer Camp Inc	/org/shiloh-summer-camp-inc
Breast Impressions Foundation	/org/breast-impressions-foundation
Assistance League Of Norman Inc	/org/assistance-league-of-norman-inc
Citizens Caring for Children, Inc.	/org/citizens-caring-for-children-inc
Mental Health Association In Tulsa Inc	/org/mental-health-association-in-tulsa-inc
Lmsarcoma Direct Research Foundation	/org/lmsarcoma-direct-research-foundation
Arts And Humanities Council Of Tulsa Inc	/org/arts-and-humanities-council-of-tulsa-inc
Love of Vietnam Expressed	/org/love-of-vietnam-expressed
Oklahoma Performing Arts	/org/oklahoma-performing-arts
Other Options, Inc.	/org/other-options-inc-1
JBFC (Janada L. Batchelor Foundation for Children Inc)	/org/jbfc-janada-l-batchelor-foundation-for-children-inc
PET ANGELS RESCUE Inc	/org/pet-angels-rescue-inc
Horse Feathers Equine Center Inc	/org/horse-feathers-equine-center-inc
Hunger Relief International	/org/hunger-relief-international
Rsvp Of Central Oklahoma Inc	/org/rsvp-of-central-oklahoma-inc
Tulsa Day Center for the Homeless Inc	/org/tulsa-day-center-for-the-homeless-inc
Calm Waters Center for Children and Families Inc	/org/calm-waters-center-for-children-and-families-inc
Phoenix Gate Inc	/org/phoenix-gate
Oklahoma Baptist Homes For Children Inc	/org/oklahoma-baptist-homes-for-children-inc
The Landing, Inc	/org/the-landing-inc
Oklahoma Humane Society	/org/oklahoma-humane-society
Hope Ranch Inc	/org/hope-ranch-inc
Center for Children and Families, Inc.	/org/center-for-children-and-families-inc-1
Voice of the Martyrs Inc	/org/voice-of-the-martyrs-inc
National Uterine Fibroids Foundation	/org/national-uterine-fibroids-foundation
Cherokee Strip Regional Heritage Center Inc	/org/cherokee-strip-regional-heritage-center-inc
World Baseball Outreach Inc	/org/world-baseball-outreach-inc
Health Outreach Prevention Education Inc	/org/health-outreach-prevention-education-inc
VISIONARIES INTERNATIONAL (DBA of Visionaries Inc.)	/org/visionaries-international-dba-of-visionaries-inc
VISIONARIES INTERNATIONAL (DBA of Visionaries Inc.)	/org/visionaries-international-dba-of-visionaries-inc
Eastern Oklahoma Donated Dental Services	/org/eastern-oklahoma-donated-dental-services
Oklahoma Life Skills Association: Special Kids	/org/oklahoma-life-skills-association-special-kids
Pet Food Pantry Of Oklahoma City Inc	/org/pet-food-pantry-of-oklahoma-city-inc
Reproductive Services	/org/reproductive-services
Community Action Project of Tulsa County, Inc.	/org/community-action-project-of-tulsa-county-inc
Love Link Ministries Inc	/org/love-link-ministries-inc
Bodine Home and School Association	/org/bodine-home-and-school-association
Aim High Academy Inc	/org/aim-high-academy-inc
YOUTH SERVICES FOR OKLAHOMA COUNTY INC	/org/youth-services-for-oklahoma-county-inc
New Hope Oklahoma	/org/new-hope-oklahoma
Developmental Wings Inc	/org/developmental-wings-inc
Dogs As Family Inc	/org/dogs-as-family-inc
Hope House Of Mcalester Inc	/org/hope-house-of-mcalester-inc
Goodland Inc	/org/goodland-inc
Honoring Americas Warriors Inc	/org/honoring-americas-warriors-inc
Hope Academy Emp	/org/hope-academy-emp
Neighborhood Services Organization Inc	/org/neighborhood-services-organization-inc
Spay First!	/org/spay-first
Animal Rescue Foundation Inc	/org/animal-rescue-foundation-inc
Heavens Gateway Horse Rescue & Teaching Center Inc	/org/heavens-gateway-horse-rescue-teaching-center-inc
Institute for Environmental Innovation	/org/institute-for-environmental-innovation
Oklahomans For Equality Inc	/org/oklahomans-for-equality-inc
Tulsa Dream Center Inc	/org/tulsa-dream-center-inc
Community Crisis Center Inc	/org/community-crisis-center-inc-1
Oklahoma Community-Based Providers Inc	/org/oklahoma-community-based-providers-inc
World Harvest Evangelism	/org/world-harvest-evangelism
On The Right Trail Horse Rescue Inc	/org/on-the-right-trail-horse-rescue-inc
Tenaciously Teal	/org/tenaciously-teal
Southwestern Regional Golf Association Inc	/org/southwestern-regional-golf-association-inc
