org_name	org_url
Big Tree International	/org/big-tree-international
Unite Oregon	/org/unite-oregon
USACFA, publishers of CF Roundtable	/org/usacfa-publishers-of-cf-roundtable
Operation Nightwatch Portland	/org/operation-nightwatch-portland
Lead Safe America Foundation	/org/lead-safe-america-foundation
Oregon Environmental Council	/org/oregon-environmental-council
The Dreaming Zebra Foundation	/org/the-dreaming-zebra-foundation
Wheel To Walk Foundation	/org/wheel-to-walk-foundation
WildCat Haven, Inc.	/org/wildcat-haven-inc
Transition Projects	/org/transition-projects
Senior Citizens Council of Clackamas County Inc	/org/senior-citizens-council-of-clackamas-county-inc
1p36 Deletion Support & Awareness	/org/1p36-deletion-support-awareness
Greenhill Humane Society	/org/greenhill-humane-society
Americans Overseas Domestic Violence Crisis Center	/org/americans-overseas-domestic-violence-crisis-center
On-The-Move Community Integration	/org/on-the-move-community-integration
National Animal Interest Alliance	/org/national-animal-interest-alliance
The Latino Community Association	/org/the-latino-community-association
Sparrow Clubs USA	/org/sparrow-clubs-usa
Childrens Cancer Association	/org/childrens-cancer-association
NextStep Recycling	/org/nextstep-recycling
Consano	/org/consano
Self Enhancement, Inc.	/org/self-enhancement-inc
Dogs for the Deaf Inc	/org/dogs-for-the-deaf-inc
Missing In America-Veteransrecovery Program	/org/missing-in-america-veteransrecovery-program
These Numbers Have Faces, Inc.	/org/these-numbers-have-faces-inc
Oregon Rural Action Inc	/org/oregon-rural-action-inc
Adopt-a-Village in Guatemala	/org/adopt-a-village-in-guatemala
A Home in Community	/org/a-home-in-community
Northwest Family Services	/org/northwest-family-services-2
Mollys Adopt a Sailor	/org/mollys-adopt-a-sailor
Vestibular Disorders Association	/org/vestibular-disorders-association
Oregon Jewish Museum Inc	/org/oregon-jewish-museum-inc
Breast Cancer Survivors Foundation	/org/breast-cancer-survivors-foundation
MLD Foundation	/org/mld-foundation
Big Life Foundation	/org/big-life-foundation-1
The National Crittenton Foundation	/org/the-national-crittenton-foundation
Rural Development Initiatives (RDI)	/org/rural-development-initiatives-rdi
NCOMPASS	/org/ncompass
