org_name	org_url
The American Anti-Vivisection Society	/org/the-american-anti-vivisection-society
Global Links	/org/global-links-1
Operation Troop Appreciation	/org/operation-troop-appreciation
North Hills Community Outreach Inc	/org/north-hills-community-outreach-inc
Melanoma International Foundation	/org/melanoma-international-foundation
The Cluster Headache Support Group, Inc.	/org/the-cluster-headache-support-group-inc
J'Burgh	/org/jburgh
Greater Pittsburgh Literacy Council	/org/greater-pittsburgh-literacy-council-1
Brittany's Hope Foundation	/org/brittanys-hope-foundation
Global Exploration for Educators Organization	/org/global-exploration-for-educators-organization
Center for Advancement in Cancer Education	/org/center-for-advancement-in-cancer-education
Angel Acres Horse Haven Rescue, Inc.	/org/angel-acres-horse-haven-rescue-inc
Unity a Journey of Hope	/org/unity-a-journey-of-hope
The Hillel JUC of Pittsburgh	/org/the-hillel-juc-of-pittsburgh
A Broader View Volunteers Corp	/org/a-broader-view-volunteers-corp
CANDLE, Inc.	/org/candle-inc
Walk On Foundation Inc.	/org/walk-on-foundation-inc
Greater Pittsburgh Community Food Bank	/org/greater-pittsburgh-community-food-bank
Random Acts, a Division of the Art Department, Inc.	/org/random-acts-a-division-of-the-art-department-inc
Bright Futures Farm	/org/bright-futures-farm
Rattlebox Nature Center Ltd	/org/rattlebox-nature-center-ltd
SLB Radio Productions, Inc.	/org/slb-radio-productions-inc
Another Chance 4 Horses Inc	/org/another-chance-4-horses-inc
Travis Manion Foundation	/org/travis-manion-foundation
UCP Central PA	/org/ucp-central-pa
Rabbit Wranglers	/org/rabbit-wranglers
Red Creek Wildlife Center Inc	/org/red-creek-wildlife-center-inc
Lord S Pantry of Downingtown	/org/lord-s-pantry-of-downingtown
Beverly's Birthdays	/org/beverlys-birthdays
Images of the Motherland Interactive Theater	/org/images-of-the-motherland-interactive-theater
Unite For Her	/org/unite-for-her
Red Paw Emergency Relief Team	/org/red-paw-emergency-relief-team
Northwest Philadelphia Interfaith Hospitality Network Inc	/org/northwest-philadelphia-interfaith-hospitality-network-inc
New Leash on Life USA	/org/new-leash-on-life-usa
Medical Students for Choice	/org/medical-students-for-choice
Jazz Bridge Project Inc	/org/jazz-bridge-project-inc
Art of Recycle	/org/art-of-recycle
Gastroparesis Patient Association for Cures and Treatments, Inc.	/org/gastroparesis-patient-association-for-cures-and-treatments-inc
Chinese Cultural & Arts Institute	/org/chinese-cultural-arts-institute
World Affairs Council of Pittsburgh	/org/world-affairs-council-of-pittsburgh
Kids With Food Allergies	/org/kids-with-food-allergies
Northeast Animal Rescue	/org/northeast-animal-rescue
