org_name	org_url
ONE Spirit	/org/one-spirit
Windcross Conservancy	/org/windcross-conservancy
St. Joseph's Indian School	/org/st-josephs-indian-school
Tipi Raisers	/org/tipi-raisers
Break Through Inc.	/org/break-through-inc
Sturgis Center For The Arts Inc	/org/sturgis-center-for-the-arts-inc
Native American Heritage Association	/org/native-american-heritage-association
International Society For The Protection Of Mustangs & Burros	/org/international-society-for-the-protection-of-mustangs-burros
Junior League of Sioux Falls Inc	/org/junior-league-of-sioux-falls-inc
Tree Of Life Ministry	/org/tree-of-life-ministry-1
The Lighthouse Foundation	/org/the-lighthouse-foundation
Preventive Health Strategies	/org/preventive-health-strategies
Friends Of Sharing The Dream In Guatemala	/org/friends-of-sharing-the-dream-in-guatemala
Ronald Mcdonald House Charities of South Dakota Inc	/org/ronald-mcdonald-house-charities-of-south-dakota-inc
South Dakota State Poetry Society	/org/south-dakota-state-poetry-society
Dakota Indian Foundation Inc	/org/dakota-indian-foundation-inc
Mammoth Site of Hot Springs South Dakota Inc	/org/mammoth-site-of-hot-springs-south-dakota-inc
Christian Life Ministries	/org/christian-life-ministries-4
SOUTH DAKOTA WEST RIVER SPAY-NEUTERCOALITION	/org/south-dakota-west-river-spay-neutercoalition
MINNILUSA HISTORICAL ASSOCIATION	/org/minnilusa-historical-association
HorsePower	/org/horsepower-1
Southeastern Behavioral Healthcare	/org/southeastern-behavioral-healthcare
Red Cloud Indian School	/org/red-cloud-indian-school
Prison Congregations Of America Inc	/org/prison-congregations-of-america-inc
Our Lady Queen Of Peace Books And Mission Inc	/org/our-lady-queen-of-peace-books-and-mission-inc
South Dakota Peace And Justice Center	/org/south-dakota-peace-and-justice-center
South Dakota Wind Energy Association	/org/south-dakota-wind-energy-association
East River Legal Services Corporation	/org/east-river-legal-services-corporation
Islamic Society Of Brookings	/org/islamic-society-of-brookings
Sioux Empire United Way Inc	/org/sioux-empire-united-way-inc
Cedar Face Foundation - 123 Hi Baby, Inc.	/org/cedar-face-foundation-123-hi-baby-inc
Feeding South Dakota	/org/feeding-south-dakota
Sustainable Harvest Alliance	/org/sustainable-harvest-alliance
Inter-Tribal Cultural Alliance Inc	/org/inter-tribal-cultural-alliance-inc
MCLAUGHLIN COMMUNITY YOUTH ORGANIZATION	/org/mclaughlin-community-youth-organization
Love Feast Of Mitchell Inc	/org/love-feast-of-mitchell-inc
Rosholt Alumni Foundation Inc	/org/rosholt-alumni-foundation-inc
Discalced Carmelite Nuns Of Alexandria South Dakota	/org/discalced-carmelite-nuns-of-alexandria-south-dakota
Teton Coalition Inc	/org/teton-coalition-inc
Special Olympics South Dakota Inc	/org/special-olympics-south-dakota-inc
INSTITUTE OF RANGE & THE AMERICAN MUSTANG	/org/institute-of-range-the-american-mustang
Medicine Voice Healing Center	/org/medicine-voice-healing-center
South Dakota Parent Connection	/org/south-dakota-parent-connection
South Dakota Foundation For The Visually Impaired	/org/south-dakota-foundation-for-the-visually-impaired
Re-Member	/org/re-member
Yankton Area Senior Citizens Center Inc	/org/yankton-area-senior-citizens-center-inc
Okiciyapi Tipi Housing Partnerships	/org/okiciyapi-tipi-housing-partnerships
Global Aid Direct Inc	/org/global-aid-direct-inc
La Leche League Of Mn-Dakotas	/org/la-leche-league-of-mn-dakotas_254305
Gentle Spirit Horses Rescue & Sanctuary	/org/gentle-spirit-horses-rescue-sanctuary
Wicahpi Koyaka Tiospaye	/org/wicahpi-koyaka-tiospaye
Spearfish Jaycees	/org/spearfish-jaycees
Bethesda Home Of Aberdeen Inc	/org/bethesda-home-of-aberdeen-inc
Paralyzed Veterans Of America Inc	/org/paralyzed-veterans-of-america-inc
National Society Of The Daughters Of The American Revolution	/org/national-society-of-the-daughters-of-the-american-revolution-116
Family Career And Community Leaders Of America Inc	/org/family-career-and-community-leaders-of-america-inc-71
Cows For Missions Foundation, Inc.	/org/cows-for-missions-foundation-inc
Roberts County Rescue Incorporation	/org/roberts-county-rescue-incorporation
South Dakota Chiropractors Foundation	/org/south-dakota-chiropractors-foundation
First Western Greater Belle Fourche Foundation Inc	/org/first-western-greater-belle-fourche-foundation-inc
American Volkssport Association Inc	/org/american-volkssport-association-inc-63
Northeast South Dakota Head Start Program Inc	/org/northeast-south-dakota-head-start-program-inc
United Methodist Church	/org/united-methodist-church-22
Country Kids	/org/country-kids
United Church Of Christ	/org/united-church-of-christ-13
American Guild Of Organists	/org/american-guild-of-organists-122
Calvary Christian Reformed Church	/org/calvary-christian-reformed-church
Historic Rapid City	/org/historic-rapid-city
Wyo-Dak Range Riders 4-H Club	/org/wyo-dak-range-riders-4-h-club
St John Lutheran Church	/org/st-john-lutheran-church-231
Pta South Dakota	/org/pta-south-dakota
South Dakota Resources Coalition	/org/south-dakota-resources-coalition
South Dakota Congress Of Parents And Teachers	/org/south-dakota-congress-of-parents-and-teachers-50
National Association For The Advancement Of Colored People	/org/national-association-for-the-advancement-of-colored-people_29584
Rosholt Area Threshermens Association Inc	/org/rosholt-area-threshermens-association-inc
Lakota Fund	/org/lakota-fund
South Dakota Congress Of Parents And Teachers	/org/south-dakota-congress-of-parents-and-teachers_29599
Community Health Center Of The Black Hills Inc	/org/community-health-center-of-the-black-hills-inc
Rapid City Library Foundation Inc	/org/rapid-city-library-foundation-inc
Aglow International Of Sturgis South Dakota	/org/aglow-international-of-sturgis-south-dakota
International Reading Association Inc	/org/international-reading-association-inc-51
University Physicians	/org/university-physicians
Civil Air Patrol	/org/civil-air-patrol_21860
Heartland Community Christian Reformed Church	/org/heartland-community-christian-reformed-church
Minnehaha County Retired Senior Volunteer Program	/org/minnehaha-county-retired-senior-volunteer-program
Benedictine Sisters Foundation Of Watertown	/org/benedictine-sisters-foundation-of-watertown
Womens International Bowling Congress Inc	/org/womens-international-bowling-congress-inc_29597
Tiospa Zina Tribal School	/org/tiospa-zina-tribal-school
Custer County Senior Citizens Club	/org/custer-county-senior-citizens-club
Living Word Fellowship Full Gospel Church	/org/living-word-fellowship-full-gospel-church
Womens International Bowling Congress	/org/womens-international-bowling-congress_29685
Watertown Boys & Girls Club Endowment Trust	/org/watertown-boys-girls-club-endowment-trust
Valley Bible Fellowship Ministries Inc	/org/valley-bible-fellowship-ministries-inc
Alcester Home Health Care, Inc.	/org/alcester-home-health-care-inc
Bonesteel Over Fifty Club Inc	/org/bonesteel-over-fifty-club-inc
Women's Aglow Fellowship	/org/womens-aglow-fellowship_29691
South Dakota Speech Language & Hearing Assc	/org/south-dakota-speech-language-hearing-assc
Huron Regional Medical Center Inc	/org/huron-regional-medical-center-inc
Open Bible Standard Church	/org/open-bible-standard-church
Black Hills Symphony Orchestra Society Inc	/org/black-hills-symphony-orchestra-society-inc
Southern Hills Developmental Services Inc	/org/southern-hills-developmental-services-inc
Advance	/org/advance
Local Indian Education Inc	/org/local-indian-education-inc
Great Plains Education Foundation Inc	/org/great-plains-education-foundation-inc
