org_name	org_url
Soldiers' Angels	/org/soldiers-angels
Susan G. Komen Breast Cancer Foundation, Inc., National Office	/org/susan-g-komen-breast-cancer-foundation-inc-national-office
Turning Point Center	/org/turning-point-center
Minnies Food Pantry Inc.	/org/minnies-food-pantry-inc
International Exotic Feline Sanctuary Inc	/org/international-exotic-feline-sanctuary-inc
In-Sync Exotics, Inc.	/org/in-sync-exotics-inc
Miracle Foundation	/org/miracle-foundation-1
Greyhound Adoption League of Texas Inc	/org/greyhound-adoption-league-of-texas-inc
National Breast Cancer Foundation, Inc.	/org/national-breast-cancer-foundation-inc
Hope Stone,  Inc	/org/hope-stone-inc
San Antonio Food Bank	/org/san-antonio-food-bank
Center for Animal Research and Education Inc	/org/center-for-animal-research-and-education-inc
Military Warriors Support Foundation	/org/military-warriors-support-foundation
Boot Campaign, Inc.	/org/boot-campaign-inc
Partnership With Native Americans	/org/partnership-with-native-americans
Gospel for Asia, Inc.	/org/gospel-for-asia-inc
Hydro Angels Over America	/org/hydro-angels-over-america
Shadow Cats Rescue	/org/shadow-cats-rescue
Friends of the Levitt Pavilion Arlington	/org/friends-of-the-levitt-pavilion-arlington
Habitat For Horses Inc	/org/habitat-for-horses-inc
nonPareil Institute	/org/nonpareil-institute
Little Helping Hands	/org/little-helping-hands
YOTM World Foundation	/org/yotm-world-foundation
Family To Family Network	/org/family-to-family-network-1
Crossmen Productions Inc	/org/crossmen-productions-inc
For Love and Art	/org/for-love-and-art
Livada Orphan Care Inc	/org/livada-orphan-care-inc
CRRC of Canyon Lake Inc	/org/crrc-of-canyon-lake-inc
Best Robotics Inc	/org/best-robotics-inc
Aspergers101	/org/aspergers101
Oak Hill Animal Rescue Inc	/org/oak-hill-animal-rescue-inc
JTC X-Change, Inc.	/org/jtc-x-change-inc
Operation Phantom Support	/org/operation-phantom-support
Operation Homefront, Inc	/org/operation-homefront-inc-5
Minis and Friends	/org/minis-and-friends
Dare to Dream Children's Foundation	/org/dare-to-dream-childrens-foundation-1
The Vetiver Network International	/org/the-vetiver-network-international
The Rebecca Foundation	/org/the-rebecca-foundation
Cars for Kids	/org/cars-for-kids-1
Spirit Acres Farm Equine Rescue and Sanctuary	/org/spirit-acres-farm-equine-rescue-and-sanctuary
Animal Defense League	/org/animal-defense-league
Together In Hope	/org/together-in-hope
Neuhaus Education Center	/org/neuhaus-education-center
Irving Cares	/org/irving-cares
Green Beret Foundation	/org/green-beret-foundation
Irving Schools Foundation	/org/irving-schools-foundation
Heroes on the Water	/org/heroes-on-the-water
