org_name	org_url
Lake Champlain International (LCI)	/org/lake-champlain-international-lci
Wuqu' Kawoq - Maya Health Alliance	/org/wuqu-kawoq-maya-health-alliance
Casting for Recovery	/org/casting-for-recovery
Grassroot Soccer	/org/grassroot-soccer
Vermont Mozart Festival	/org/vermont-mozart-festival
The BOMA Project	/org/the-boma-project
Poodle Rescue of Vermont Inc.	/org/poodle-rescue-of-vermont-inc
Catamount Film & Arts Co	/org/catamount-film-arts-co
Pure Water for The World, Inc.	/org/pure-water-for-the-world-inc
VOLUNTEERS IN MEDICINE (national office)	/org/volunteers-in-medicine-national-office
NorthWoods Stewardship Center	/org/northwoods-stewardship-center
Focus on Film	/org/focus-on-film
Cystic Fibrosis Lifestyle Foundation	/org/cystic-fibrosis-lifestyle-foundation
The Circus Barn, Inc.	/org/the-circus-barn-inc
Bennington Project Independence Inc	/org/bennington-project-independence-inc
Vermonts Camp Takumta	/org/vermonts-camp-takumta
Grounds for Health	/org/grounds-for-health
All Breed Rescue Inc	/org/all-breed-rescue-inc
Arts Council Of Windham County Inc	/org/arts-council-of-windham-county-inc
Outright Vermont	/org/outright-vermont
Purple Hearts Reunited INC.	/org/purple-hearts-reunited-inc
Pawsitive Pantry	/org/pawsitive-pantry
Population Media Center, Inc.	/org/population-media-center-inc
Renew Building Materials & Salvage, Inc.	/org/renew-building-materials-salvage-inc
Yestermorrow Design/Build School	/org/yestermorrow-design-build-school
The DREAM Project	/org/the-dream-project
Vermont Folklife Center	/org/vermont-folklife-center
National Gardening Association, Inc.	/org/national-gardening-association-inc
Lucys House For The Prevention Of Homeless Pets	/org/lucys-house-for-the-prevention-of-homeless-pets
Sustainable Energy Resource Group	/org/sustainable-energy-resource-group
Vermont Adaptive Ski & Sports	/org/vermont-adaptive-ski-sports
Heritance	/org/heritance
Youth Catalytics (Formerly New England Network for Child, Youth & Family Services)	/org/youth-catalytics-formerly-new-england-network-for-child-youth-family-servic
Rutland County Parent-Child Center Inc	/org/rutland-county-parent-child-center-inc
Emerge-Family Advocates	/org/emerge-family-advocates
American Theatre Works Inc	/org/american-theatre-works-inc
Pagan Alliance Church Incorporated	/org/pagan-alliance-church-incorporated
Black River Action Team	/org/black-river-action-team
Meeting Waters YMCA	/org/meeting-waters-ymca
Northeast Kingdom Human Services Inc	/org/northeast-kingdom-human-services-inc
Kenya Self-Help Project	/org/kenya-self-help-project
GREEN MOUNTAIN HABITAT FOR HUMANITY	/org/green-mountain-habitat-for-humanity
United Way of Chittenden County	/org/united-way-of-chittenden-county
First Night Burlington Inc	/org/first-night-burlington-inc
OTTAUQUECHEE HEALTH FOUNDATION	/org/ottauquechee-health-foundation
NEW ENGLAND YOUTH THEATER	/org/new-england-youth-theater
FRANKLIN COUNTY HOME HEALTH AGENCY INC	/org/franklin-county-home-health-agency-inc
VERMONT WORKS FOR WOMEN INC	/org/vermont-works-for-women-inc
Vermont Volunteer Services For Animals	/org/vermont-volunteer-services-for-animals
Magic House Inc	/org/magic-house-inc
Angels Among Us Pet Hostel, Inc.	/org/angels-among-us-pet-hostel-inc
Craft Emergency Relief Fund, Inc.	/org/craft-emergency-relief-fund-inc
WAR LEGACIES PROJECT INC	/org/war-legacies-project-inc
Grace Christian School Corporation	/org/grace-christian-school-corporation
NORTHEAST WILDERNESS TRUST	/org/northeast-wilderness-trust
Puppets In Education Inc	/org/puppets-in-education-inc
GRACE CARES INCORPORATED	/org/grace-cares-incorporated
LAMOILLE HOME HEALTH AGENCY INC	/org/lamoille-home-health-agency-inc
Committee on Temporary Shelter	/org/committee-on-temporary-shelter
Hilltop Montessori School Inc	/org/hilltop-montessori-school-inc
Champlain Valley Exposition Inc	/org/champlain-valley-exposition-inc
Vermont Museum Of Natural History Inc	/org/vermont-museum-of-natural-history-inc
KMRIA	/org/kmria
Greensboro Land Trust Inc	/org/greensboro-land-trust-inc
Help-Kids-India Inc	/org/help-kids-india-inc
Humane Society Of Chittenden County	/org/humane-society-of-chittenden-county
BOYS AND GIRLS CLUB OF RUTLAND COUNTY INC	/org/boys-and-girls-club-of-rutland-county-inc
Lukanas Dream Company	/org/lukanas-dream-company
Brattleboro Museum And Art Center Inc	/org/brattleboro-museum-and-art-center-inc
Stowe Land Trust	/org/stowe-land-trust
University Of Vermont Medical Center Inc	/org/university-of-vermont-medical-center-inc
Franklin County Humane Society Inc	/org/franklin-county-humane-society-inc-2
Vermont Community Garden Network Inc	/org/vermont-community-garden-network-inc
Gerdas Animal Aid Inc	/org/gerdas-animal-aid-inc
Funeral Ethics Organization Inc	/org/funeral-ethics-organization-inc
Applegate Housing Inc	/org/applegate-housing-inc
Vermont Legal Aid Inc	/org/vermont-legal-aid-inc
Educational Praxis Inc	/org/educational-praxis-inc
Bennington Museum Inc	/org/bennington-museum-inc
World Learning, Inc.	/org/world-learning-inc
Ascutney Mountain Audubon Society	/org/ascutney-mountain-audubon-society
Actors Theatre Of Brattleboro	/org/actors-theatre-of-brattleboro
Hinesburg Land Trust Inc	/org/hinesburg-land-trust-inc
Ayllu Inc	/org/ayllu-inc
Putney Public Library	/org/putney-public-library
Vermont Institute Of Natural Science Inc	/org/vermont-institute-of-natural-science-inc
SPRING HILL HORSE RESCUE INC	/org/spring-hill-horse-rescue-inc
Lake Champlain Land Trust Inc	/org/lake-champlain-land-trust-inc
Vermont Youth Conservation Corps, Inc.	/org/vermont-youth-conservation-corps-inc
Change The World Kids Inc	/org/change-the-world-kids-inc
Family Garden	/org/family-garden
Tree Farm Management Group	/org/tree-farm-management-group
Selamta Family Project Inc	/org/selamta-family-project-inc
BIRDS OF VERMONT MUSEUM INC	/org/birds-of-vermont-museum-inc
ORLEANS COUNTY HISTORICAL SOCIETY INC	/org/orleans-county-historical-society-inc
Aaa Friends In Adoption Inc	/org/aaa-friends-in-adoption-inc
LAMOILLE HOUSING PARTNERSHIP INC	/org/lamoille-housing-partnership-inc
Vermonters For A Clean Environment Inc	/org/vermonters-for-a-clean-environment-inc
River Gallery School Inc	/org/river-gallery-school-inc
United Way Of Windham County	/org/united-way-of-windham-county
Friends In Adoption Foundation Trust	/org/friends-in-adoption-foundation-trust
Funeral Consumers Alliance Inc	/org/funeral-consumers-alliance-inc
KINGDOM ANIMAL SHELTER INC	/org/kingdom-animal-shelter-inc
Vermont Land Trust Inc	/org/vermont-land-trust-inc
GREEN MOUNTAIN LIBRARY CONSORTIUM	/org/green-mountain-library-consortium
AKP FOUNDATION INC	/org/akp-foundation-inc
Young Tradition Vermont Inc	/org/young-tradition-vermont-inc
Cross Country Ski Areas Association	/org/cross-country-ski-areas-association
Angkor Hospital For Children Inc	/org/angkor-hospital-for-children-inc
The Dorset Equine Rescue Inc	/org/the-dorset-equine-rescue-inc
Northshire Civic Center Inc	/org/northshire-civic-center-inc
Civil Air Patrol, Inc.	/org/civil-air-patrol-inc_56257
Athletes Community Training For Youth Sports Foundation Inc	/org/athletes-community-training-for-youth-sports-foundation-inc
Hospice & Palliative Care Council Of Vermont Inc	/org/hospice-palliative-care-council-of-vermont-inc
Barnet Historical Society	/org/barnet-historical-society
Holistic Artistry, Inc.	/org/holistic-artistry-inc
Craftsbury Public Library Inc	/org/craftsbury-public-library-inc
Full Gospel Businessmens Fellowship International	/org/full-gospel-businessmens-fellowship-international_56353
White River Valley Players Inc	/org/white-river-valley-players-inc
Wallingford Rescue Inc	/org/wallingford-rescue-inc
Vermont Theater Festival Inc	/org/vermont-theater-festival-inc
New Beginnings	/org/new-beginnings_112253
Vergennes Area Rescue Squad	/org/vergennes-area-rescue-squad
National Society Of The Daughters Of The American Revolution	/org/national-society-of-the-daughters-of-the-american-revolution-225
Guardianship Trust Of Vermont Inc	/org/guardianship-trust-of-vermont-inc
Central Vermont Hospital Auxiliary Inc	/org/central-vermont-hospital-auxiliary-inc
Camp Billings Inc	/org/camp-billings-inc
Essex Firefighters Association	/org/essex-firefighters-association
Onion River Crossroads Inc	/org/onion-river-crossroads-inc
Nh Munsill Hose & Hook & Ladder Co	/org/nh-munsill-hose-hook-ladder-co
Valley Bible Church	/org/valley-bible-church-1
Readsboro Preschool Incorporated	/org/readsboro-preschool-incorporated
Vermont Association For Middle Level Education	/org/vermont-association-for-middle-level-education
Springfield Village Park Foundation Inc	/org/springfield-village-park-foundation-inc
Boys & Girls Club Of Brattleboro Inc	/org/boys-girls-club-of-brattleboro-inc
Heineberg Senior Housing Corporation	/org/heineberg-senior-housing-corporation
Windham County Humane Society	/org/windham-county-humane-society
Rutland Community Programs Inc	/org/rutland-community-programs-inc
Vermont Association For Family & Community Education, Inc.	/org/vermont-association-for-family-community-education-inc_56236
Champlain Valley Festival	/org/champlain-valley-festival
Burlington-Puerto Cabezas Sister City Program	/org/burlington-puerto-cabezas-sister-city-program
Jericho Congregational Church	/org/jericho-congregational-church
Vermont Association For Family & Community Education Inc	/org/vermont-association-for-family-community-education-inc_56235
Burlington Crisis Pregnancy Services Inc	/org/burlington-crisis-pregnancy-services-inc
Putnam Management Corp.	/org/putnam-management-corp
Vermont Association For Family & Community Education Inc	/org/vermont-association-for-family-community-education-inc
Springfield Area Parent Child Center	/org/springfield-area-parent-child-center
Farrar Park Association	/org/farrar-park-association
Rutland Industries Inc	/org/rutland-industries-inc
Craftsbury Chamber Players Inc	/org/craftsbury-chamber-players-inc
Vermont Associates For Training & Development Inc	/org/vermont-associates-for-training-development-inc
Congregation Of Temple Sinai Inc	/org/congregation-of-temple-sinai-inc
Orwell Volunteer Fire Dept Inc	/org/orwell-volunteer-fire-dept-inc
