org_name	org_url
Cirras Cloud	/org/cirras-cloud
Virgin Islands Resource Conservation & Development Council	/org/virgin-islands-resource-conservation-development-council
Sisterhood Agenda	/org/sisterhood-agenda
WOMEN'S COALITION OF ST CROIX INC	/org/womens-coalition-of-st-croix-inc
Family Resource Center Inc	/org/family-resource-center-inc
My Brothers Table Inc	/org/my-brothers-table-inc-1
Lord God Of Sabaoth Lutheran Church	/org/lord-god-of-sabaoth-lutheran-church
Frederick Evangelical Lutheran Church	/org/frederick-evangelical-lutheran-church
Luthern Services For The Developmentally Disabled Inc	/org/luthern-services-for-the-developmentally-disabled-inc
Khal E Hakodesh Inc	/org/khal-e-hakodesh-inc
Community Hospital Association, Inc.	/org/community-hospital-association-inc
Ruby Rutnik Schloarship Fund Inc	/org/ruby-rutnik-schloarship-fund-inc
Humane Society Of St Thomas	/org/humane-society-of-st-thomas
St Croix Foundation For Community Development Inc	/org/st-croix-foundation-for-community-development-inc
Antilles School Inc	/org/antilles-school-inc
Virgin Islands Tennis Association	/org/virgin-islands-tennis-association
Nami St Thomas Inc	/org/nami-st-thomas-inc
Bovoni Baptist Church Inc	/org/bovoni-baptist-church-inc
V I Christian Ministries Inc	/org/v-i-christian-ministries-inc
Evangelistic Faith Pentecostal Ministries St John Usvi	/org/evangelistic-faith-pentecostal-ministries-st-john-usvi
Grace Gospel Chapel Inc	/org/grace-gospel-chapel-inc
Kats - St John Inc	/org/kats-st-john-inc
Virgin Island Advocacy Inc	/org/virgin-island-advocacy-inc
Tillet Foundation Inc	/org/tillet-foundation-inc
Emmanuel Baptist Church Inc	/org/emmanuel-baptist-church-inc
Hebrew Congregation Of St Thomas Inc	/org/hebrew-congregation-of-st-thomas-inc
Alliance Of Black Telecommunications Employees, Inc.	/org/alliance-of-black-telecommunications-employees-inc_118814
Inter-Island Parent Coalition For Change Inc	/org/inter-island-parent-coalition-for-change-inc
St Thomas Baseball Explorers	/org/st-thomas-baseball-explorers
Bluewater Bible College & Institute	/org/bluewater-bible-college-institute
Frenchtown Evangelistic Assembly	/org/frenchtown-evangelistic-assembly
Animal Care Center Of St John Inc	/org/animal-care-center-of-st-john-inc
Memorial Moravian School Corporation	/org/memorial-moravian-school-corporation
Virgin Islands Tourism Awareness And Advancement Link Inc Vitaal	/org/virgin-islands-tourism-awareness-and-advancement-link-inc-vitaal
Lutheran Housing Association For The Elderly Of The V I Inc	/org/lutheran-housing-association-for-the-elderly-of-the-v-i-inc
Holy Trinity Lutheran Church	/org/holy-trinity-lutheran-church-3
Rainbow Early Learning & Child Care Center, Inc.	/org/rainbow-early-learning-child-care-center-inc
St Thomas Calvary Christian Academy	/org/st-thomas-calvary-christian-academy
Friends Of The Virgin Islands National Park	/org/friends-of-the-virgin-islands-national-park
St Mark Coptic Orthodox Church Inc	/org/st-mark-coptic-orthodox-church-inc
Virgin Islands Humanities Council Inc	/org/virgin-islands-humanities-council-inc
St Croix Landsmarks Society Inc	/org/st-croix-landsmarks-society-inc
United States Power Squadrons	/org/united-states-power-squadrons-28
Cct Theater Inc	/org/cct-theater-inc
Bethel Deliverance Center Church Inc	/org/bethel-deliverance-center-church-inc
St Thomas-St John Interscholastic Athletic Association Inc	/org/st-thomas-st-john-interscholastic-athletic-association-inc
St. Croix Uso	/org/st-croix-uso
Unity Of St Croix	/org/unity-of-st-croix
Grace Baptist Church	/org/grace-baptist-church-2
Community Chest Of St Croix V I Inc	/org/community-chest-of-st-croix-v-i-inc
Virgin Islands Resource Center For The Disabled Inc	/org/virgin-islands-resource-center-for-the-disabled-inc
God And Sons Inc Aka Covenant Christian Center	/org/god-and-sons-inc-aka-covenant-christian-center
Virgin Islands Missions Inc	/org/virgin-islands-missions-inc
Council On Alcoholism & Drug Dependence St Thomas & St John	/org/council-on-alcoholism-drug-dependence-st-thomas-st-john
St John School Of The Arts Inc 108 Estate Enigned & Contant	/org/st-john-school-of-the-arts-inc-108-estate-enigned-contant
St Thomas Swimming Association Inc	/org/st-thomas-swimming-association-inc
St John Revolving Fund	/org/st-john-revolving-fund
Nevkit Foundation	/org/nevkit-foundation
St Croix Country Day School Inc	/org/st-croix-country-day-school-inc
St Croix Environmental Association	/org/st-croix-environmental-association
Family Group Inc	/org/family-group-inc
Independent Assemblies Of God	/org/independent-assemblies-of-god-1
Our Town Frederiksted Inc	/org/our-town-frederiksted-inc
Established On The Rock Church Ministries Inc	/org/established-on-the-rock-church-ministries-inc
Full Gospel Businessmens Fellowship International	/org/full-gospel-businessmens-fellowship-international_353971
United States Pony Clubs, Inc.	/org/united-states-pony-clubs-inc_381610
Rotary East Foundation	/org/rotary-east-foundation
St Thomas Reformed Church	/org/st-thomas-reformed-church
St John Community Foundation	/org/st-john-community-foundation
Global Life Church Inc	/org/global-life-church-inc
Pistarckle Theatre Inc	/org/pistarckle-theatre-inc
St Croix Services For The Developmentally Disabled Inc	/org/st-croix-services-for-the-developmentally-disabled-inc
Unitarian Universalist Fellowship Of St Thomas-St John	/org/unitarian-universalist-fellowship-of-st-thomas-st-john
Sour Sop Pan Lab Inc	/org/sour-sop-pan-lab-inc
Southgate Baptist Church	/org/southgate-baptist-church
Alive In Christ Ministries Inc	/org/alive-in-christ-ministries-inc
St. Thomas Uso	/org/st-thomas-uso
Center For The Environment Inc	/org/center-for-the-environment-inc
Nana Baby Childrens Home	/org/nana-baby-childrens-home
