org_name	org_url
Our Military Kids Inc	/org/our-military-kids-inc
Divine Mercy Care	/org/divine-mercy-care
Mercy Medical Angels	/org/mercy-medical-angels
Islamic Relief USA	/org/islamic-relief-usa
Cancer Schmancer Foundation	/org/cancer-schmancer-foundation
Reel American Heroes Foundation	/org/reel-american-heroes-foundation
Life Unlimited of Virginia Inc	/org/life-unlimited-of-virginia-inc
Freedom Alliance	/org/freedom-alliance
ChildFund International	/org/childfund-international
Hope for the Warriors	/org/hope-for-the-warriors
Operation Paws for Homes	/org/operation-paws-for-homes
Society of St. Andrew	/org/society-of-st-andrew
In2Books (ePals Foundation)	/org/in2books-epals-foundation
Central Virginia Horse Rescue	/org/central-virginia-horse-rescue
Prostate Cancer International	/org/prostate-cancer-international
Access Partnership	/org/access-partnership
Partnership For Food Safety Education	/org/partnership-for-food-safety-education
Oldies But Goodies (OBG) Cocker Rescue	/org/oldies-but-goodies-obg-cocker-rescue
People for the Ethical Treatment of Animals	/org/people-for-the-ethical-treatment-of-animals-peta
Dogs Deserve Better, Inc.	/org/dogs-deserve-better-inc
King Street Cats	/org/king-street-cats
Lost Dog and Cat Rescue Foundation	/org/lost-dog-and-cat-rescue-foundation
Mesothelioma Applied Research Foundation Inc	/org/mesothelioma-applied-research-foundation-inc
Virginia Center for Inclusive Communities	/org/virginia-center-for-inclusive-communities
Roanoke Valley Horse Rescue Inc	/org/roanoke-valley-horse-rescue-inc
National Council on Aging	/org/national-council-on-aging
Wildlife Center of Virginia	/org/wildlife-center-of-virginia
MusicLink Foundation	/org/musiclink-foundation
Honor And Remember	/org/honor-and-remember
Association for Women in Science Inc	/org/association-for-women-in-science-inc-9
Clusterbusters Inc	/org/clusterbusters-inc
The Nature Generation	/org/the-nature-generation
Trisomy 18 Foundation	/org/trisomy-18-foundation
Tragedy Assistance Program For Survivors	/org/tragedy-assistance-program-for-survivors
Vida Volunteer	/org/vida-volunteer
Barn Cat Buddies Program	/org/barn-cat-buddies-program
A Forever-Home Rescue Foundation, Inc.	/org/a-forever-home-rescue-foundation-inc
French Bulldog Rescue Network a Nonprofit Corporation	/org/french-bulldog-rescue-network-a-nonprofit-corporation
Zidisha Inc.	/org/zidisha-inc
American Indian Youth Running Strong aka Running Strong for American Indian Youth	/org/american-indian-youth-running-strong-aka-running-strong-for-american-indian
Organization For Autism Research Inc	/org/organization-for-autism-research-inc
Coalition To Salute Americas Heroes	/org/coalition-to-salute-americas-heroes
Humanity Road	/org/humanity-road
Promises Animal Rescue, Inc	/org/promises-animal-rescue-inc
NatureServe	/org/natureserve
Action In Community Through Service of Prince William County	/org/action-in-community-through-service-of-prince-william-county
ProInspire	/org/proinspire
Project Esperanza	/org/project-esperanza
Breath of Hope Inc.	/org/breath-of-hope-inc
Safe Homes For Children Incorporated	/org/safe-homes-for-children-incorporated
The National Military Family Association	/org/the-national-military-family-association
Able Forces Inc	/org/able-forces-inc
Lost Dog Foundation	/org/lost-dog-foundation
Power of Pain Foundation	/org/power-of-pain-foundation
Highland Support Project	/org/highland-support-project
Baptist World Alliance	/org/baptist-world-alliance
Air Compassion for Veterans	/org/air-compassion-for-veterans
The Mosby Foundation	/org/the-mosby-foundation
Project Perry	/org/project-perry
National Vaccine Information Center	/org/national-vaccine-information-center-1
Misfit Critter Farm & Sanctuary	/org/misfit-critter-farm-sanctuary
Arlington Academy of Hope Inc	/org/arlington-academy-of-hope-inc
Blue Horse Mukwa Equine Retirement and Rescue Center	/org/blue-horse-mukwa-equine-retirement-and-rescue-center
United Charitable	/org/united-charitable
BVL Fund Inc	/org/bvl-fund-inc
Hire Our Heroes	/org/hire-our-heroes
Gracie's Gowns, Inc.	/org/gracies-gowns-inc
GuideStar	/org/guidestar
United Community Ministries, Inc.	/org/united-community-ministries-inc
Brad Kaminsky Foundation	/org/brad-kaminsky-foundation
US Naval Sea Cadet Corps	/org/us-naval-sea-cadet-corps
World Children's Choir, Inc.	/org/world-childrens-choir-inc
SAFE (Substance Abuse Free Environment, Inc.)	/org/safe-substance-abuse-free-environment-inc
Nature Conservancy, Inc.	/org/nature-conservancy-inc
Community Health Charities	/org/community-health-charities-1
Blinded Veterans Association	/org/blinded-veterans-association
United Service Organizations Inc	/org/united-service-organizations-inc-1
Americans Helping Americans	/org/americans-helping-americans
Alexandria Singers	/org/alexandria-singers
Frontier Horizon Inc	/org/frontier-horizon-inc
Virginia Space Flight Academy	/org/virginia-space-flight-academy
Sudan Sunrise	/org/sudan-sunrise
International Tibet Network	/org/international-tibet-network
