org_name	org_url
Grist Magazine, Inc.	/org/grist-magazine-inc
Free2Luv	/org/free2luv
Operation Write Home	/org/operation-write-home
Tisbest Philanthropy	/org/tisbest-philanthropy
Pasado's Safe Haven	/org/pasados-safe-haven
Mercer Island Eastside Orphans & Waifs (aka MEOW Cat Rescue)	/org/mercer-island-eastside-orphans-waifs-aka-meow-cat-rescue
World Vets	/org/world-vets
Save A Forgotten Equine	/org/save-a-forgotten-equine
Jconnect Seattle	/org/jconnect-seattle
People Helping Horses	/org/people-helping-horses
National Court Appointed Special Advocate Association	/org/national-court-appointed-special-advocate-association
Panda Paws Rescue	/org/panda-paws-rescue
National Womens Coalition Against Violence & Exploitation	/org/national-womens-coalition-against-violence-exploitation
Making A Difference Foundation	/org/making-a-difference-foundation-1
YouthCare	/org/youthcare
Mujeres de Maiz Opportunity Foundation	/org/mujeres-de-maiz-opportunity-foundation
Northend Jewish School	/org/northend-jewish-school-1
Serenity Equine Rescue and Rehabilitation	/org/serenity-equine-rescue-and-rehabilitation
Celtic Arts Foundation	/org/celtic-arts-foundation
Operation Ward 57	/org/operation-ward-57
Home Court NW	/org/home-court-nw
Avivara	/org/avivara
Bet Alef Meditative Synagogue	/org/bet-alef-meditative-synagogue
International Snow Leopard Trust	/org/international-snow-leopard-trust
Days for Girls International	/org/days-for-girls-international
OPR Coastal Primate Sanctuary	/org/opr-coastal-primate-sanctuary
Friends of the Animals Foundation	/org/friends-of-the-animals-foundation
Gig Harbor Peninsula Historical Society	/org/gig-harbor-peninsula-historical-society
Project Jason	/org/project-jason
Equine Aid	/org/equine-aid
Wolf Haven International	/org/wolf-haven-international
Breast Cancer Prevention Fund	/org/breast-cancer-prevention-fund
PROGRESSIVE ANIMAL WELFARE SOCIETY  OF Bainbridge Island & North Kitsap	/org/progressive-animal-welfare-society-of-bainbridge-island-north-kitsap
Assistance League of the Eastside	/org/assistance-league-of-the-eastside
Choices Education Group	/org/choices-education-group
Point Hope Inc	/org/point-hope-inc
Wild Love Preserve	/org/wild-love-preserve
CONSERVATION CANINES - University of Washington Foundation	/org/conservation-canines-university-of-washington-foundation
Friends of Lakewold	/org/friends-of-lakewold
Youth Missions International	/org/youth-missions-international
World Impact Network (WIN)	/org/world-impact-network-win
Help Animals India	/org/help-animals-india
Our Family In Africa	/org/our-family-in-africa
Push International	/org/push-international
Rwanda Girls Initiative	/org/rwanda-girls-initiative
Burned Children Recovery Foundation	/org/burned-children-recovery-foundation
The Talented Youth (NFFTY)	/org/the-talented-youth-nffty
Kavana	/org/kavana
Cross Creek Alpaca Rescue	/org/cross-creek-alpaca-rescue
Opal House	/org/opal-house
Soltura Foundation	/org/soltura-foundation
Helping Hand House	/org/helping-hand-house
Community Cat Coalition	/org/community-cat-coalition-1
FISH Food Banks of Pierce County	/org/fish-food-banks-of-pierce-county
Homeward Pet Adoption Center	/org/homeward-pet-adoption-center
Washington Imagination Network	/org/washington-imagination-network
Free Clinic of Southwest Washington	/org/free-clinic-of-southwest-washington
Boiler Room	/org/boiler-room
Animal Balance	/org/animal-balance
Rainbow Center	/org/rainbow-center-1
Binaytara Foundation (BTF)	/org/binaytara-foundation-btf
GAMBIA HEALTH EDUCATION LIAISON PROJECT (GambiaHELP)	/org/gambia-health-education-liaison-project-gambiahelp
Kittitas County Friends Of Animals	/org/kittitas-county-friends-of-animals
Summit Assistance Dogs	/org/summit-assistance-dogs
Childrens Music Foundation Inc	/org/childrens-music-foundation-inc-1
Northwest Boxer Rescue	/org/northwest-boxer-rescue
Pink Daisy Project	/org/pink-daisy-project
Northwest Equine Stewardship Center	/org/northwest-equine-stewardship-center
Sustainable Travel International	/org/sustainable-travel-international
Transitional Programs for Women	/org/transitional-programs-for-women
The Borgen Project	/org/the-borgen-project
Transitional Programs for Women	/org/transitional-programs-for-women
Community Lunch on Capitol Hill	/org/community-lunch-on-capitol-hill
Northshore Schools Foundation	/org/northshore-schools-foundation
Olympic Animal Sanctuary	/org/olympic-animal-sanctuary
Friendly Water for the World	/org/friendly-water-for-the-world
End Violence Against Women (EVAW) International	/org/end-violence-against-women-evaw-international
World Outreach Ministries Foundation	/org/world-outreach-ministries-foundation
Kids Without Borders	/org/kids-without-borders
North County Community Food Bank	/org/north-county-community-food-bank
Mangrove Action Project	/org/mangrove-action-project
Little Bit Therapeutic Riding Center	/org/little-bit-therapeutic-riding-center
Global Hydranencephaly Foundation	/org/global-hydranencephaly-foundation
Hope for Horses	/org/hope-for-horses
Make-A-Wish Alaska and Washington	/org/make-a-wish-alaska-and-washington
It's Meow or Never Animal Rescue Santuary	/org/its-meow-or-never-animal-rescue-santuary
Gage Academy of Art	/org/gage-academy-of-art
C.A.S.T. for Kids Foundation	/org/c-a-s-t-for-kids-foundation
Clean Water for Haiti	/org/clean-water-for-haiti
Athletes For Kids	/org/athletes-for-kids
Institute of Flight  (formerly Future of Flight Foundation)	/org/institute-of-flight-formerly-future-of-flight-foundation
Church Of Mary Magdalene	/org/church-of-mary-magdalene
Rainbow City Band	/org/rainbow-city-band
Motley Zoo Animal Rescue	/org/motley-zoo-animal-rescue
Bridges to Understanding	/org/bridges-to-understanding
FareStart	/org/farestart
Pet Partners	/org/pet-partners
Global Insular Conservation Society	/org/global-insular-conservation-society
Omprakash	/org/omprakash
Washington Green Schools	/org/washington-green-schools
South Puget Sound Mobile Search and Rescue	/org/south-puget-sound-mobile-search-and-rescue
Silver Cloud Special Cat Services	/org/silver-cloud-special-cat-services
Seattle Tilth Association Inc	/org/seattle-tilth-association-inc
Friends of FSH Research	/org/friends-of-fsh-research
Sun Valley Jazz Jamboree	/org/sun-valley-jazz-jamboree
The Compassionate Listening Project	/org/the-compassionate-listening-project
Olympia School District Education Foundation	/org/olympia-school-district-education-foundation
Sara's Sanctuary	/org/saras-sanctuary
Orca Network	/org/orca-network
One Day's Wages	/org/one-days-wages
Blue Sky Charities	/org/blue-sky-charities
Jubilee Women's Center	/org/jubilee-womens-center
African Enterprise	/org/african-enterprise
Jewish Federation of Greater Seattle	/org/jewish-federation-of-greater-seattle
Northwest Therapeutic Riding Center	/org/northwest-therapeutic-riding-center
Spokane Hope School Hearing-Oral Program of Excellence	/org/spokane-hope-school-hearing-oral-program-of-excellence
ARTWERKS dba Fremont Abbey	/org/artwerks-dba-fremont-abbey
Tacoma Shine Youth Athletics (T.S.Y.A.)	/org/tacoma-shine-youth-athletics-t-s-y-a
Whidbey Island Nourishes	/org/whidbey-island-nourishes
Seattle's Union Gospel Mission	/org/seattles-union-gospel-mission
ZOOLOGICAL SOCIETY OF WASHINGTON (aka Cougar Mountain Zoo)	/org/zoological-society-of-washington-aka-cougar-mountain-zoo
Rainier Equine Hoof Recovery Center	/org/rainier-equine-hoof-recovery-center
Ethical Expeditions	/org/ethical-expeditions
Neses Ninos Estudiando El Salvador	/org/neses-ninos-estudiando-el-salvador
Thurston County Sheriffs Jeep Patrol	/org/thurston-county-sheriffs-jeep-patrol
The World is Fun	/org/the-world-is-fun
Money Wise Women Educational Services	/org/money-wise-women-educational-services
Salaam Cultural Museum (SCM)	/org/salaam-cultural-museum-scm
Music Center of the Northwest	/org/music-center-of-the-northwest
Free Range Health	/org/free-range-health
Raptor House Rehabilitation Center	/org/raptor-house-rehabilitation-center
HopeSparks	/org/hopesparks
Conservation Northwest	/org/conservation-northwest
United Way of Pierce County	/org/united-way-of-pierce-county
Chimpanzee Sanctuary Northwest	/org/chimpanzee-sanctuary-northwest
Northshore Christian Academy	/org/northshore-christian-academy-1
The Teen Talking Circle Project DaughtersSisters BrothersSons	/org/the-teen-talking-circle-project-daughterssisters-brotherssons
Center for Infectious Disease Research	/org/center-for-infectious-disease-research
Wild Steelhead Coalition	/org/wild-steelhead-coalition
Gluten Intolerance Group of North America	/org/gluten-intolerance-group-of-north-america
Bridge Disability Ministries	/org/bridge-disability-ministries-2
Abused Deaf Womens Advocacy Services	/org/abused-deaf-womens-advocacy-services
Shoreline-Lake Forest Park Arts Council	/org/shoreline-lake-forest-park-arts-council
Cascade Connections	/org/cascade-connections
Attain Housing (Formerly KITH)	/org/attain-housing-formerly-kith
Rehabilitation Research Institute	/org/rehabilitation-research-institute
Northwind Arts Center	/org/northwind-arts-center
Homes First	/org/homes-first
WestSide Baby	/org/westside-baby
Operation Lookout National Center for Missing Youth	/org/operation-lookout-national-center-for-missing-youth
Mona Foundation	/org/mona-foundation
Jolkona Foundation	/org/jolkona-foundation
Girls On The Run Of Puget Sound	/org/girls-on-the-run-of-puget-sound
Colage	/org/colage
Cascadian Chorale	/org/cascadian-chorale
Seattle Education Access	/org/seattle-education-access
Music Works Northwest	/org/music-works-northwest
Second Step Housing	/org/second-step-housing
Global Resource for Advancing Cancer Education	/org/global-resource-for-advancing-cancer-education
My Life Directive Foundation	/org/my-life-directive-foundation
Nextgen Leadership Academy	/org/nextgen-leadership-academy
West Sound Wildlife Shelter	/org/west-sound-wildlife-shelter
Serving Others Worldwide	/org/serving-others-worldwide
Parent Education And Child Empowerment	/org/parent-education-and-child-empowerment
Washington Women In Need	/org/washington-women-in-need
The Mountains To Sound Greenway Tr	/org/the-mountains-to-sound-greenway-tr
Wigglin Home Boxer Rescue	/org/wigglin-home-boxer-rescue
Roses and Rosemary	/org/roses-and-rosemary
Operation Sack Lunch	/org/operation-sack-lunch
Cocoon House	/org/cocoon-house
Pride Foundation	/org/pride-foundation-1
Animals As Natural Therapy	/org/animals-as-natural-therapy
NAMI Greater Seattle	/org/nami-greater-seattle
Seashare	/org/seashare
New Moon Farm	/org/new-moon-farm
Breast Cancer Resource Center	/org/breast-cancer-resource-center
WPPC Nepal	/org/wppc-nepal
Washington Womens Employment and Education	/org/washington-womens-employment-and-education
Vancouver Humane Society & S P C A	/org/vancouver-humane-society-s-p-c-a
Sammi Awards	/org/sammi-awards
Feminist Abortion Network Inc	/org/feminist-abortion-network-inc
One Life	/org/one-life-1
Partnering for Progress	/org/partnering-for-progress
Master Gardener Foundation Of King County	/org/master-gardener-foundation-of-king-county
Highline Historical Society	/org/highline-historical-society
Feminist Womens Health Center	/org/feminist-womens-health-center
Community Empowerment Network	/org/community-empowerment-network-1
Wild Felid Advocacy Center of Washington	/org/wild-felid-advocacy-center-of-washington
Animal Aid Unlimited	/org/animal-aid-unlimited
Pend Oreille Players Association	/org/pend-oreille-players-association
Project Patch	/org/project-patch
The Healing Center	/org/the-healing-center
Firm Foundation Christian School	/org/firm-foundation-christian-school
Liddle Kidz Foundation	/org/liddle-kidz-foundation
Mikeys Chance	/org/mikeys-chance
Friendship House	/org/friendship-house-1
Literacy Source	/org/literacy-source
Girl Scouts of Western Washington	/org/girl-scouts-of-western-washington
Mshh Donor Closet	/org/mshh-donor-closet
One By One	/org/one-by-one-1
Sunergos International	/org/sunergos-international
Skate Like A Girl	/org/skate-like-a-girl
Forward Edge International	/org/forward-edge-international
Edmonds Driftwood Players Inc Snohomish County	/org/edmonds-driftwood-players-inc-snohomish-county
