org_name	org_url
Tamarack Foundation Inc	/org/tamarack-foundation-inc-1
National Humane Education Society	/org/national-humane-education-society
Heart of Phoenix Equine Rescue Inc.	/org/heart-of-phoenix-equine-rescue-inc
Greater Wheeling Coalition for the Homeless Inc	/org/greater-wheeling-coalition-for-the-homeless-inc
Greenbrier Valley Theatre	/org/greenbrier-valley-theatre
Wheeling Health Right Inc	/org/wheeling-health-right-inc
Communities Of Shalom Inc	/org/communities-of-shalom-inc
Clay Center for the Arts & Sciences of West Virginia Inc.	/org/clay-center-for-the-arts-sciences-of-west-virginia-inc
Direct Action Welfare Group Inc	/org/direct-action-welfare-group-inc
New Vision Renewable Energy	/org/new-vision-renewable-energy
Lazy C Large Animal Rescue Ranch	/org/lazy-c-large-animal-rescue-ranch
West Virginia Community Development Hub	/org/west-virginia-community-development-hub
A Childs Place Casa Ltd	/org/a-childs-place-casa-ltd
Hampshire County Pet Adoption Program Inc	/org/hampshire-county-pet-adoption-program-inc
The Ablegamers Foundation Inc	/org/the-ablegamers-foundation-inc
Mountaineer Spay Neuter Assistance Program	/org/mountaineer-spay-neuter-assistance-program
Dress for Success  River Cities	/org/dress-for-success-river-cities
Trillium Collective, Ltd.	/org/trillium-performing-arts-collective
MORGANTOWN AREA YOUTH SERVICES PROJECT INC	/org/morgantown-area-youth-services-project-inc
Children of Uganda	/org/children-of-uganda
Nazareth Farm Inc	/org/nazareth-farm-inc
Danville Panthers Midget Football I Nc	/org/danville-panthers-midget-football-i-nc
Lewis County Honor Guard	/org/lewis-county-honor-guard
Military Working Dog Team Support Association Inc	/org/military-working-dog-team-support-association-inc
Eastern Panhandle CARE Clinic	/org/eastern-panhandle-care-clinic
Saddles and Smiles 4H Club	/org/saddles-and-smiles-4h-club
Goodwill Industries Of Kanawha Valley Inc	/org/goodwill-industries-of-kanawha-valley-inc
WEST VIRGINIA RAPTOR REHABILITATION CENTER	/org/west-virginia-raptor-rehabilitation-center
Cacapon Institute	/org/cacapon-institute
VETERANS MUSEUM OF MID OHIO VALLEY	/org/veterans-museum-of-mid-ohio-valley
A Reason To Believe Animal Rescue, Inc. (ARTBAR)	/org/a-reason-to-believe-animal-rescue-inc-artbar
Young Womens Christian Association Of Wheeling Wv	/org/young-womens-christian-association-of-wheeling-wv
Big Brothers-Big Sisters Of North Central West Virginia Inc	/org/big-brothers-big-sisters-of-north-central-west-virginia-inc
United Way Of The Eastern Panhandle Inc	/org/united-way-of-the-eastern-panhandle-inc
Animal Friends Of North Central West Virginia Inc	/org/animal-friends-of-north-central-west-virginia-inc
World Council Of Independent Christian Churches	/org/world-council-of-independent-christian-churches
Local Homeless Veteran Outreach	/org/local-homeless-veteran-outreach
Friends Wilderness Center	/org/friends-wilderness-center
Mcdowell County Commission On Aging Inc	/org/mcdowell-county-commission-on-aging-inc
Please Save A Cat	/org/please-save-a-cat
Fraternal Order Of Owls Home Nest	/org/fraternal-order-of-owls-home-nest
WINGS	/org/wings
Fort New Salem Foundation Inc	/org/fort-new-salem-foundation-inc
Camc Foundation Inc	/org/camc-foundation-inc
Cacapon And Lost Rivers Land Tr Inc	/org/cacapon-and-lost-rivers-land-tr-inc
West Side Neighborhood Association, Inc.	/org/west-side-neighborhood-association-inc
Read Aloud West Virginia	/org/read-aloud-west-virginia
Property Management Service Inc	/org/property-management-service-inc
Mountaineer Military Museum	/org/mountaineer-military-museum
United Way Of Southern Wv Inc	/org/united-way-of-southern-wv-inc
Association Of Womens Business Centers	/org/association-of-womens-business-centers-1
Marys Chapel Cemetery Association Of Philippi West Virginia	/org/marys-chapel-cemetery-association-of-philippi-west-virginia
Haven Of Hope Church	/org/haven-of-hope-church-1
Bethlehem Farm Inc	/org/bethlehem-farm-inc-1
Potomac Highlands Wounded Warrior Outreach	/org/potomac-highlands-wounded-warrior-outreach
Greys Landing Greyhound Placement	/org/greys-landing-greyhound-placement
Randolph County Humane Society	/org/randolph-county-humane-society-1
Cradles To Crayons, Inc.	/org/cradles-to-crayons-inc
ABLE Families, Inc.	/org/able-families-inc
Community Alternatives To Violence Inc	/org/community-alternatives-to-violence-inc
Vicki Dils Dance Company	/org/vicki-dils-dance-company
Special Olympics West Virginia Inc	/org/special-olympics-west-virginia-inc
Parkersburg Sda School	/org/parkersburg-sda-school
Goodwill Industries Of Kyowva Area Inc	/org/goodwill-industries-of-kyowva-area-inc
Mount Hope Heritage And Hope Inc	/org/mount-hope-heritage-and-hope-inc
Visions Vessels And Victory Inc	/org/visions-vessels-and-victory-inc
Monongalia County Child Advocacy Center Inc	/org/monongalia-county-child-advocacy-center-inc
Union Mission Ministries Inc	/org/union-mission-ministries-inc
West Virginia Land Trust Inc	/org/west-virginia-land-trust-inc-1
Eastern Regional Family Resource Network Inc	/org/eastern-regional-family-resource-network-inc
Claymont Society For Continious Education Inc	/org/claymont-society-for-continious-education-inc
Pet Helpers Incorporated	/org/pet-helpers-incorporated
Clay Co Development Corp	/org/clay-co-development-corp
Greyhound Rescue Inc	/org/greyhound-rescue-inc
ALL OF US INC	/org/all-of-us-inc
Manna Meal Inc	/org/manna-meal-inc
Central West Virginia Aging Services Inc	/org/central-west-virginia-aging-services-inc
West Virginia State Honey Festival & Fair Inc	/org/west-virginia-state-honey-festival-fair-inc
