org	id	likes	reviewer_url	reviewer	type	rating	date	review
Women's Intercultural Center Inc	318203		/users/profile/409349	mobileUser409349	General Member of the Public	5	11/03/2016	This non-profit serves the community of Anthony providing assistance to people. They graciously let us use a room to have a meeting even though we're not members as they knew it would help a member of the community. I wish there were more agencies like the Women's Intercultural Center.  Thank you for your generosity.
Women's Intercultural Center Inc	318195		/users/profile/409338	mobileUser409338	Volunteer	4	11/03/2016	It has provided a safe environment where I can come spend time volunteer or in a case of a event we family and friends. Also have programs and classes I learn
Women's Intercultural Center Inc	318129		/users/profile/93827	Sally C.	Donor	4	11/02/2016	I started working with the Women's Intercultural Center as a volunteer computer instructor.  What fun! We were working in English and Spanish. As time went on I saw so many women and members of their family taking English lessons learning to cook with healthy recipes, learn to sew,  and register to vote  just to name a few of the classes.  Women have gone on to paying jobs outside the center and often on to school, : GED or community college.  I am so impressed  how the Center adds in a positive way to the community of Anthony NM / TX.  The picture is me with Sister Camilla, one of the founders of the center. 
Women's Intercultural Center Inc	84576		/users/profile/93827	Sally C.	Volunteer	5	03/31/2011	i volunteered with this organization in it's beginning days.  I taught computer software.  The women who came were so pleased to have a place to meet other women, study English, and take many other interesting classes.  The miricle of this organization is that it was started by a group of Sisters who were able to , over the years, transfer the running of the center to the women who  benifited from it.  The center has grown into a dynamic organization that meets the many needs of the women and their families in this small, rural, bilinqual community.  I am very proud to have been associated with it. 
Women's Intercultural Center Inc	307257		/users/profile/398588	mobileUser398588	General Member of the Public	5	09/30/2016	Yo soy de soy de chihuahua tengo 16 anos aqui vine al centro a pedir una ayuda de comida y gracias a dios me ayudaron muy bien gracias.
Women's Intercultural Center Inc	306856		/users/profile/398171	mobileUser398171	Client Served	5	09/28/2016	Yo soy originaria de Ciudad Juarez tengo 57 anos y tengo viviendo en Estados Unidos 17 anos.mi meta era hacerme ciudadana gracias a dios lo logre con la ayuda del centro me ayudo a educarme para poder lograr mi sueno yo les recomiendo que vengan al centro a sus diferentes clases que ofrece para que al igual que yo puedan lograr sus metas.
Women's Intercultural Center Inc	301432		/users/profile/392360	mobileUser392360	Client Served	5	08/24/2016	Yo soy de Canutillo tx he vivido all? por 17 a?os soy Originaria de Delicias. Mi meta es estudiar para hacerme Ciudadana. Yo estoy logrando cumplir mi meta gracias al Centro y a la maestra que nos ayuda dando clases de una forma muy especial con paciencia para nosotras aprender.Yo les recomiendo el Centro para que vengan a sus clases y los diferentes talleres que hay.
Women's Intercultural Center Inc	301430		/users/profile/392359	mobileUser392359	Client Served	5	08/24/2016	Yo soy de torreon tengo 58 anos de edad tengo 30 anos en canutillo tx.Mi meta es obtener mi ciudadania el centro me ayudado a cumplir mi meta dando classes en horarios flexibles ayundandome en llenar mi applicacion. Yo les recomiendo que vengan ha aprovechar las classes y talleres que ofrece el Centro.
Women's Intercultural Center Inc	301429		/users/profile/392358	mobileUser392358	Client Served	5	08/24/2016	Yo soy de Santa Barbara Chihuahua y tengo 59 anos y 24 anos de residencia en Anthony Nm. Me meta ha sido hacerme Ciudadana de Los Estados Unidos el Centro me ha ayudado a cumplir mi meta ofreciendo classes cerca de mi domicilio y teniendo Una gran maestra  que nos ayuda mucho.
Women's Intercultural Center Inc	301221		/users/profile/392114	mobileUser392114	Client Served	5	08/22/2016	Yo soy de Sunland Park tomo clases en el Centro Intercultural de la Mujer mi meta es hacerme Ciudadana de los Estados  Unidos el Centro me ha ayudado ha llenarme la Aplicaci\u00F3n y Dando clases de ciudadan\u00EDa en Espa\u00F1ol. El Centro es un lugar que ayuda a la comunidad con los diferente talleres que nos ofrecen. Vengan a visitar hay muchas actividades para todos les va a gustar.
Women's Intercultural Center Inc	297417		/users/profile/388208	mobileUser388208	Advisor	3	07/20/2016	I really like the camp and I think that the camp should do more activeits and so on i acctually liked all the classes and yea fun!!!!!!!!\uD83D\uDC4C\uD83D\uDC4C\uD83D\uDE1C
Women's Intercultural Center Inc	297416		/users/profile/388207	mobileUser388207	Client Served	4	07/20/2016	Participate more and having workshops
Women's Intercultural Center Inc	297415		/users/profile/388206	mobileUser388206	Volunteer	4	07/20/2016	Have more camps for pero people to come
Women's Intercultural Center Inc	293400		/users/profile/384000	mobileUser384000	Volunteer	5	06/20/2016	Con consejeria.  Y con mis horas
Women's Intercultural Center Inc	292537		/users/profile/383071	mobileUser383071	Volunteer	5	06/08/2016	I couldn't be more grateful to the women's Intercultural center. They're a great non profit organization that really seek to empower and help the community. They have so much to offer to each unique individual that comes through their door. You get to meet wonderful volunteers and teachers, they all make you feel welcome and part of a family. I was fortunate to have given the opportunity to be part of the team. Thank you Mary for all your support and all the knowledge you passed on. You helped me grow as a professional and a women. I feel that I've come out of my shell and gained confidence on what I am capable of achieving and value myself as a strong women now. Thank you women's Intercultural Center for a great experience. 
Women's Intercultural Center Inc	291145		/users/profile/381518	mobileUser381518	Client Served	5	05/26/2016	Est? maestro es muy buena para ense?ar y me gustar?a mas avanzados y computadora tambi?n 
Women's Intercultural Center Inc	290479		/users/profile/380820	mobileUser380820	Volunteer	5	05/20/2016	the women's intercultural center help me in so many was I was able to take consuling that the center was giving every Tuesday  and let go of my fears and problems that I held with me and the center also help me build confidence to be able to get on my two feet again..I was able to get into school program and get my ged..and succeed more in my life..with these little tools the that center provided for me I able to go forward into the real world and become a better women and mother to my kids..anybody that needs resources to get things done in life Mary carter takes it to the next level to lend you a helping hand...and guide you to the right resources..thank you Mary cater for all that you have help me with you are forever in my heart  and your words I will always remember..thank you women's intercultural center for all that you have taught me..and for become a stronger women and mother!! 
Women's Intercultural Center Inc	290089		/users/profile/380364	mobileUser380364	Client Served	5	05/16/2016	This agency offers many helpful resources to the community!  Especially those are in need of getting there GED along with with helping those in need of learning English!  
Women's Intercultural Center Inc	290085		/users/profile/380360	mobileUser380360	Client Served	4	05/16/2016	They provide great training opportunities to the community in Various subjects. We used their training spaces for a nutrition course to day care home providers. We were very please with the space thank you. 
Women's Intercultural Center Inc	290084		/users/profile/380359	mobileUser380359	Professional with expertise in this field	4	05/16/2016	Great opportunity classes provided to the community. No improvement needed 
Women's Intercultural Center Inc	287536		/users/profile/377642	mobileUser377642	Client Served	5	04/28/2016	They provide for the community in a lot of ways with classes and events. I always return because of the caring staff and volunteers. No improvement needed 
Women's Intercultural Center Inc	287535		/users/profile/377641	mobileUser377641	General Member of the Public	5	04/28/2016	This organization is efficient in what they do and cares about each individual. I'll keep coming for sure!
Women's Intercultural Center Inc	287486		/users/profile/377590	mobileUser377590	Volunteer	4	04/28/2016	All the staff are really amazing and helpful they are a huge part in the community and volunteering seems like it would be so much fun. All and all it is an impeccable non profit organization I love it
Women's Intercultural Center Inc	287347		/users/profile/377433	mobileUser377433	Volunteer	4	04/26/2016	This nonprofit is very well organize and it helps a lot of people in improving their skills, socially and confidence. One way they can improve is by havi NH more productive work available for the volunteers 
Women's Intercultural Center Inc	287268		/users/profile/377343	mobileUser377343	Client Served	5	04/25/2016	In my case I think it's doing well because of its Judo program my daughter its more confident and out going  and she loves it. I think it could improve a little if they keep rewarding them with their semester certificate to keep motivating them to keep coming to the classes
Women's Intercultural Center Inc	287244		/users/profile/377308	mobileUser377308	Client Served	5	04/25/2016	Todo esta vien me an tratado muy vien todo exelente
Women's Intercultural Center Inc	287243		/users/profile/377307	mobileUser377307	Client Served	5	04/25/2016	Muy bueno y exelente
Women's Intercultural Center Inc	285914		/users/profile/375959	Writer	Volunteer	3	04/14/2016	I had a great experience at the center. The volunteers are friendly and helpful. I realized the center is made up of mainly volunteers. The services offered to the community and the women make an impact to families and create a better pathway of knowledge. The center programs events that invite the community families and encourages women to participate. I had much fun participating and gaining this new experience. 
Women's Intercultural Center Inc	285581		/users/profile/375584	mobileUser375584	Volunteer	3	04/11/2016	The personnel/volunteers are very friendly and respectful.  The nonprofit could improve by offering more workshops during the evenings and workshops to children and parents.  Also,  not assuming that volunteers know what the expectations are of doing certain things if they aren't shown or given examples of what is expected.  Also, give volunteers the opportunity to interact more with the community,  instead of doing secretarial work.  
Women's Intercultural Center Inc	285575		/users/profile/375579	mobileUser375579	Volunteer	2	04/11/2016	They are friendly and helpful, however as a volunteer I would OS have liked to have more contact with the people that attend center.
Women's Intercultural Center Inc	284617		/users/profile/374676	mobileUser374676	Board Member	5	04/04/2016	The Women's Intercultural Center offers incredible classes for the community and is making a difference when it comes to the workshops they provide. Keep it up.
