org	id	likes	reviewer_url	reviewer	type	rating	date	review
Habitat for Humanity of Omaha	320999		/users/profile/414128	mrseanclerc	Board Member	5	01/09/2017	All of these websites are educational supplements for student success in science and life! Mote here:http://seanclercsclassroom.weebly.comhttps://twitter.com/ClercMrhttps://about.me/seanclerc
Habitat for Humanity of Omaha	314659		/users/profile/340416	mattdcoan	Volunteer	5	10/26/2016	I have never had a bad experience volunteering with Habitat-Omaha. For the second straight year I am the President of the Habitat-Omaha Young Professionals and over 100s upon 100s of volunteer hours spent with this organization I can honestly say I've enjoyed every minute of it. Our YP group is continuing to grow and new opportunities regularly present themselves. It is a great organization that truly helps the community. A nonprofit where you can actually see the progress and the work that you are doing come to fruition. 
Habitat for Humanity of Omaha	252354	1	/users/profile/340416	mattdcoan	Volunteer	5	08/10/2015	I have been active through Young Professionals and as the community service chair for my company for a few years now and the professionalism of Habitat-Omaha is second to none. They are very knowledgeable about Habitat's mission, extremely welcoming and just great people. I will never forget when I did my first Habitat event: I met a Habitat representative that day and didn't see him again for almost 8-9 months, not only did he remember my name but remembered specifics from the conversation we had from months before. That experience made me realize how much they truly care and appreciate the help they get. I will continue to help Habitat for years to come. 
Habitat for Humanity of Omaha	285321	1	/users/profile/375303	Writer	Professional with expertise in this field	4	04/08/2016	A great organization that furthers affordable housing in our community!
Habitat for Humanity of Omaha	284446		/users/profile/374493	Writer	Volunteer	5	04/02/2016	I have long appreciated the good work of Habitat for Humanity and the Restore.  I work with National, Bellevue and Omaha groups, who all do important work for our country and communities.  The Omaha program is vital to the many families who seek a better life.  Their investment partnership with Habitat makes for an otherwise unavailable home ownership that means community roots.  That more stable home life for the children benefits our entire community.  We are blessed to have such caring dedicated people working and volunteering here.  Thank you all!  Don
Habitat for Humanity of Omaha	284299		/users/profile/374335	Writer	Volunteer	5	04/01/2016	I've volunteered with Habitat for Humanity of Omaha for 4 years and love it!  Everyone, the staff, other volunteers and homeowners are always friendly and upbeat and it feels good to know we're making a real difference in peoples lives.  Working on rehabs; it's a thrill to watch a house go from eyesore to eye-catching.  Home dedications are always moving.   I could go on and on, there are so many positives to this wonderful organization. 
Habitat for Humanity of Omaha	284095		/users/profile/374132	J.R.R.	Professional with expertise in this field	5	03/30/2016	As a donor, volunteer, and construction partner with Habitat for Humanity of Omaha, I can attest to the hard work, dedication, and overall professionalism that Habitat for Humanity operates under while transforming neighborhoods and our community.  I am proud to be involved with Habitat.  Their leadership is passionate, mission driven, and energetic about everything they do.  Omaha is lucky to have such a great organization in our community.
Habitat for Humanity of Omaha	284063	1	/users/profile/374095	Writer	Volunteer	5	03/30/2016	For several years we have been involved with Habitat for Humanity of Omaha both as donors and volunteers.  In addition to the satisfaction of knowing that we have helped provide affordable housing for needy and deserving home owners, we have enjoyed the camaraderie of working with other like-minded people.  It is a joy to see how our efforts have made a difference in the lives of families as well as in our larger community.Delvin and Trudy Hutton, Blair, Nebraska
Habitat for Humanity of Omaha	284008	1	/users/profile/374029	Writer	Volunteer	5	03/29/2016	HFHO is an opportunity... An opportunity to better our community... An opportunity for people to share their skills to build a tangible asset...An opportunity to move into a new/remodeled house to call home... An opportunity to change a neighborhood... An opportunity to recycle your extra construction materials.  An opportunity to purchase great construction materials at a reduced cost...Habitat for Humanity Omaha is a well-organized opportunity for everyone!
Habitat for Humanity of Omaha	283986		/users/profile/374000	Crystal Rhoades	General Member of the Public	5	03/29/2016	Habitat for Humanity of Omaha and the ReStore has helped families to build and maintain their homes. They provide tremendous resources for working families that enable them to become or remain home owners by supplying them with supportive resources and programming to help them get or stay on their feet.  I'm so grateful for their contributions to our community.
Habitat for Humanity of Omaha	283964		/users/profile/373974	Writer	Volunteer	5	03/29/2016	I have had the opportunity to volunteer on several Women Build renovation projects.  The crew leaders and staff were very organized and used materials very efficiently.  It was a pleasure to work with the future home owners and see their pride in helping build a home for their families.  Habitat does a great job in improving neighborhoods and enhancing the city of Omaha.  
Habitat for Humanity of Omaha	283959	1	/users/profile/373969	Writer	Volunteer	5	03/29/2016	I have volunteered with Habitat for Humanity in Omaha several times and every time the staff is very friendly, organized and keeps everyone on task.  They offer a variety of events around the city to get people involved and of course have an excellent mission.  They are very thorough and efficient in their use of resources and build an impressive number of homes a year through volunteer staff.  I am very impressed with their operations and their breadth of services they perform.   They aren't just building houses, they are re-building communities.  They have a very impressive and comprehensive approach to their work.
Habitat for Humanity of Omaha	283953		/users/profile/373962	Writer	Volunteer	5	03/29/2016	I have volunteered on several builds for Habitat; sometime with my co-workers and other times on my own.  I am impressed with the organization and the homes they build.  Even though built by a lot of volunteers, these are quality homes.  I like that the future home owners put in their own sweat equity to build that house and that Habitat ensures they have the skills to maintain it throughout the years.  On several builds I was fortunate to work with the future home owner and got the opportunity to meet them and their family.  While my intent was to spend sometime to bless someone else, I was truly blessed by the entire experience.  
Habitat for Humanity of Omaha	283939		/users/profile/237104	Steve Mitchell	Board Member	5	03/29/2016	It has been a honor to serve as a board member of Habitat for Humanity of Omaha.  I have seen firsthand how Habitat for Humanity of Omaha been a great advocacy for affordable housing as well as promoting dignity and hope.  They continue to strive to make Omaha a better place to work and live by creating communities in which all people have decent, affordable places to live.  I truly believe they are transforming lives within the communities they serve.  It is based upon mutual trust and fully shared accomplishments of the homeowner, neighbors and all members of the community.    
Habitat for Humanity of Omaha	180425	1	/users/profile/237104	Steve Mitchell	Board Member	5	10/21/2013	As a Finance Committee Member, Habitat for Humanity Omaha is one of the best run non-profit organizations I have ever worked with.  They truly care about their mission statement of "Building community through homeownership" and every financial decision we make takes that into consideration.  It is an honor to be part of such a great non-profit.  
Habitat for Humanity of Omaha	283902		/users/profile/373906	Writer	General Member of the Public	5	03/28/2016	Habitat for Humanity Omaha has been an outstanding community partner to assist with addressing our abandoned properties crisis in the metro-area. I couldn't imagine my community without their proactive leadership in making housing affordable.
Habitat for Humanity of Omaha	283892		/users/profile/373895	HWaite	Volunteer	5	03/28/2016	I have been involved with Habitat for Humanity for the past 8+ years as a board member from Washington County. Our relationship with Habitat for Humanity Omaha has allow us help 4 families in the Blair Area to ave a home for their family. This opportunity has been such a positive in our community. The volunteers and families that the houses are built for find such a bond throughout the process. Habitat for Humanity Omaha truly is  has been a blessing to so many! 
Habitat for Humanity of Omaha	283883		/users/profile/373884	Writer	Volunteer	5	03/28/2016	I have had the pleasure of being a volunteer with Habitat for the last 10 years.  The great people at Habitat have worked with me in finding the best ways for my organization to help at Habitat.  This has usually been through providing 10-12 builders from my organization for 3 different days during the year.  This flexibility has allowed us to help Habitat, while also allowing us to have the greatest amount of overall participation.  Habitat does a great thing for the community and I know that the people that work for me look forward to the build each year.  Keep up the great work!
Habitat for Humanity of Omaha	283882		/users/profile/373883	Writer	Volunteer	5	03/28/2016	I am a donor, volunteer and past board member with Habitat for Humanity of Omaha and can't say enough good things about the organization and the people involved.  Keep up the good work!
