org	id	likes	reviewer_url	reviewer	type	rating	date	review
USA Cares Inc	323358		/users/profile/417682	trinismama	Client Served	5	02/17/2017	I was hesitant, initially, when I was told about USA Cares. I'm a disabled vet who had surgery on a service connected disability. Due to the surgery and recovery, I found trying to recover and work to pay my bills, a challenge. To this day, I'm still recovering. My surgery was in August. I contacted USA Cares, someone was assigned my claim and the rest is history. It did take sometime. I had to follow up a couple times. On the flip side to that. I also didn't take into consideration how many other people these wonderful people help. I am beyond grateful. Without their help, I don't know what I'd have done. Thank you SO much, USA Cares!!!
USA Cares Inc	322690		/users/profile/416678	Kia T.	Client Served	5	02/05/2017	USA Cares is the most incredible veterans assistance agency I have encountered. When I needed help they were there and made the process simple and stress free. My caseworker did not judge and was very helpful with any hickups I encountered. I was not afforded the opportunity to finish a valid Medical separation and had no time to plan how to cover bills. I had 10 days to do things most have 6-12 months to do. They expediently assisted with my car and insurance payment and that allowed me to focus more on seeking employment and preparing for an appeal of what happened while I was active duty.  I will surely let anyone I know who may need services and is eligible that there is an organization that keeps to its mission and comes through for this country's veterans. Thank you so much. 
USA Cares Inc	322653		/users/profile/416615	TripleO	Client Served	5	02/04/2017	Thank you USA cares for coming through for me and my family in time of need. I am a recently separated veteran, without a job and needed help with my bills and mortgage. I submitted an application to USA Cares and within 24 hours I was contacted by a case officer -Marlo. She was very polite and genuinely willing to help. She went to work right away and provided prompt feedback along the way. Application was approved within a couple days and they went above and beyond to get us taken care of. We are really thankful to US Cares for their help and support to the veteran community. God Bless.
USA Cares Inc	322346		/users/profile/416117	Ren U.	Client Served	5	01/30/2017	U.S.A cares really do care about veterans and their families! They were my lass hope and they definitely came through for me and my family. My case worker Darrika did and exceptionally amazing job with helping me and is really good at what she does!
USA Cares Inc	322215		/users/profile/415902	Dragon1234	Client Served	5	01/26/2017	USA CARE you guys rock!! Their service is spectacular and they really do care.. i'm thankful. Darrika is so sweet and takes her job to another level I'm so blessed thank you for the help and generosity.
USA Cares Inc	322182		/users/profile/415860	Writer	Client Served	5	01/26/2017	Y'all are a miracle !! Thank you so much !!!!  You stepped in when I needed you, it is so heartwarming to find an organization that really does appreciate veterans and the staff is wonderful especially Rosetta. 
USA Cares Inc	322124		/users/profile/415757	Wpercy	Client Served	5	01/25/2017	How does one begin to express their gratitude to an organization such as USA CARES. USA CARES stepped up to the plate in the middle of a really tough time in our life. They kept us from goin homeless. My husband and I really appreciate all the help and direction of support we were given. We WILL pay it forward in the near future! THANK YOU USA CARES for a little bit of HOPE when we didn't have any!
USA Cares Inc	322098		/users/profile/415710	willwestcleveland	Client Served	5	01/25/2017	I was hesitant when I applied thinking I wouldn't be helped. But I was so wrong USA CARES really do care. They go above and beyond. I needed help with my car note due to waiting in my VA Benefits and losing my job after suffering a stroke. Thank you and the terrific team you have. I was exceptionally impressed by the process and speed. It took under three days. Will-GEORGIA 
USA Cares Inc	322075		/users/profile/415671	Jo__41	Client Served	5	01/24/2017	I sent in my request to get help with rent after leaving the Navy and I really didn't think it would get approved, however I really did need it and now I am so happy the request was approved because it has truly helped me out. There needs to be more services that help out military members financially. Getting out of the military can be a smooth transition with proper planning, however life happens and there really are not a lot of places that will financially help you. Thank you.
USA Cares Inc	322030		/users/profile/415612	christian86	Client Served	5	01/24/2017	All of us plan great plans and prosperous life full of happiness. Life is not like we plan. I had transitioned from the Army with 9 years of honorable to the civilian life as a single dad of two sweet little boys Christian and Chase. I had set a plan prior to transitioning for job security but the area I lived in the area is low in jobs that would offer descent pay and  health insurance coverage. Thankfully I was able to serve my community again and have a career as a correction officer in the county i live in. Well the financial stability was not the same as when I was in the military. I began to make partial payments to keep up with bills but unfortunatetly I have fallen behind. I was in desperate need of help and I was at the end of the road to being Homless and having to figure out what I was going to do about my children. I called the VA Homless veteran hot line and explained to them that I was unfortunately unable to keep up with my rent and utilities due the change if income. I talk to veteran affairs representative who guide me with various organizations that could assist in which I was blessed by the help of Mrs.Marlo and the USA Care organization. My boys and I are blessed to be at ease through the help of this great organization. Thank you again Mrs. Marlo and USA Cares.
USA Cares Inc	321563		/users/profile/414988	Writer	Client Served	5	01/19/2017	Thank you Rosetta for all your help. This is truly a load of stress off my chest. 
USA Cares Inc	321444	1	/users/profile/414803	mikecc44	Client Served	5	01/17/2017	I would like to thank  Darrika and USA Cares for all their help. They worked with me and got me the help that I needed in a timely manner. It is great to know that there is people like Darrika and USA Cares to help veterans in need.
USA Cares Inc	321205	1	/users/profile/414473	Henry16	Client Served	5	01/13/2017	Darrika was our case manager and without her, we would be on the street! Thanks for her quick assistance, she was able to help us from being evicted with a 7 month pregnant wife after being discharged from the military,. Darrika was efficient and quick with her response and played the liaison to the rental company to make sure we were taken care of. Our family was extremely blessed by having her cross our lives. 
USA Cares Inc	321093		/users/profile/414285	msfoucault	Client Served	5	01/11/2017	Darrika was my case worker!  And I'll thank god for the rest of my life for her.  She was so helpful and together she was able to get me approved in a very quick easy stress free manner!!  Without Darrika I'm not even sure that I could have gotten approved for anything.  Let alone the 2 months of bills that Darrika and USA CARES paid for me!!!  
USA Cares Inc	320654		/users/profile/413439	chairston10	Client Served	5	12/30/2016	UsaCares is an absolutely amazing organization! They were the first organization to return our call, respond to our request and offer the maximum assistance appropriate for.our situation! We have no idea what we would do without an organization like this! We encourage all that can to contribute because this organization deserves everything they receive and all the help they can get! We cannot wait to start give ng back when our financial situation stabilizes!!!!
USA Cares Inc	320650		/users/profile/413423	Writer	Client Served	5	12/30/2016	Rosetta, I know how much you do for the soldiers who have fought for our freedom, but what you are doing for their families too is truly life-saving and gives them hope when they thought there wasnt any left. Thank you.
USA Cares Inc	320649		/users/profile/413422	Writer	Client Served	5	12/30/2016	I cannot even express my deepest thanks and gratitude for all that you have done for us! You and your organization are amazing, and I feel have no idea the amount of support and encouragement you have been able to bless us with while we are transitioning into a better, life. That bit of support means the world to us and can make all the difference in weather we make it or we don't. I cant remember the last time I had a hot shower and a home cooked meal from our stove.. And the anxiety of losing our electricity was keeping us both awake at night. Things I never thought we were taking for granted. Thank you so much for all that you do and I hope you are blessed as much as we feel at this moment. Rosetta was a blessing and was patient and very kind always responded quickly and with compassion. She is a God Send. Thank you a million times!
USA Cares Inc	320648		/users/profile/413421	Writer	Volunteer	5	12/30/2016	A great non profit that I have seen first hand that really cares about veterans and their families. I am proud to be a volunteer. The staff is hard working for the families and work tirelessly to insure everyone is assisted in a timely manner although they cannot assist everyone that applied due to policy they never turn any one away without first giving them resources of other organizations that assist veterans. 
USA Cares Inc	320470		/users/profile/413021	Akhter	General Member of the Public	5	12/24/2016	My age: 64. An MBA from IBA Dhaka, Bangladesh.I got bankrupt, a garments manufacturer. Mali Mali an USA based garments buyer did not pay me USD 135,000.00 due their seeking help under chapter XI.My son, daughter and wife abandoned me. I did a lot for them when was earning.Now I am helpless. No shelter as I retire from current job in March 2017
USA Cares Inc	320393		/users/profile/412844	mrsmcgraw	Client Served	5	12/21/2016	December is a hard month for some vets because it reminds us of a time that wasn't so great. For me it is was horrible so I couldn't work. Funds were short and rent couldn't get paid. USA Cares came through to help with less than a day left for us to stay in our apartment. Without them my husband, 2 young children  (3&6) would've been out in the streets for Christmas.  This is the best Christmas gift I've ever gotten. Thank you USA Cares.
USA Cares Inc	320373		/users/profile/412801	JonesG	Client Served	5	12/21/2016	After retiring from the military, I encountered  several financial obstacles that were unforeseen.  After having been retired for months, and being the sole earner in the home, I realized I needed help. I contacted USA Cares, and I not only received prompt assistance, I also received some very valuable financial information and training. Thanks USA Cares! 
USA Cares Inc	320340		/users/profile/412737	JD8705	Client Served	5	12/20/2016	USACares truly helped during a time of need. I had been out of work due to an unforeseen event and they stepped in and helped QUICKLY when I needed it most! I am SO grateful!
USA Cares Inc	320337		/users/profile/412731	smithchantel25	General Member of the Public	5	12/20/2016	I can not thank usacares enough! This was such a HUGE blessing for me. They helped me with my auto payments, which relieved SO much stress. Darrika, thank you for being there to help me and constantly following up and making sure everything was taken care of. I am just so overwhelmed right now and there just isn't enough that I can say to show my appreciation! Usacares is absolutely wonderful and their team of employees!!
USA Cares Inc	320188		/users/profile/412429	kevin040	Client Served	3	12/16/2016	Three stars is labeled as "meets expectations" which is exactly what USAC did. They helped me in my hour of need as I expected. They gave me clear and concise instructions, and made contact with me one business day after I submitted my request. As a veteran I had undergone a very rough patch after leaving the military. I became homeless, and struggled to find employment and piece my life back together. Right when I had finally begun to do so, a moment of opportunity presented itself and I changed jobs. The only big risk I took was not having a full paycheck for another two weeks after my car payment was due. While I was with my current place of employment, I was barely able to make car payments and had fallen behind on one. My case worker Rosetta took my case from the "Jobs Assistance Program" Department. From that point on, Rosetta made her initial contact with me on December 12 after I was informed of the referral to that department on December 9 (straddling a weekend). After my initial contact with Rosetta a questionnaire had to be filled out. THIS IS WHERE PROBLEMS BEGAN. I had a minor formatting issue to have answered and made numerous attempts to contact Rosetta. The response wouldn't come via phone call or email until the next day near the end of the afternoon. Throughout the process communication was slow and often, non-existent. She had left her phone number on her signature line during our email exchange and yet, during every phone call I made to her, there wasn't a single answer. I counted at least eleven different phone calls made to Rosetta through my phone records. None were answered throughout the entire week. The initial contact made was a failure as well from her to me, but I admit that was my inability to answer the phone at the time. But every return call I made was not answered. Email response was also slow, though it was there. The bottom line is this, they provide help. They provide assistance during a time of immense need. But it if you are in a circumstance that is tighter than mine as far as deadlines go and you've exhausted every other effort to find help elsewhere...this is not the place to go. They are there for you. They will help you if you absolutely need it. But it is abundantly clear that their case-workers lack a sense of urgency. A rough time on your behalf does not constitute an emergency on theirs.
USA Cares Inc	320147		/users/profile/412336	c230benz	Client Served	5	12/15/2016	Fast and helpful!!!!  It was easy and helped this veteran make the first steps of getting back on his feet a leap. Rosetta was a delight
USA Cares Inc	320128		/users/profile/412277	E.P.H.	Client Served	5	12/14/2016	There are not enough words to describe how I'm feeling right now, usacares.org has lifted a huge load of my shoulders,  and has brought a sigh of relief to my heart. And to MS. Derrika who has been totally awesome, what you have done for me may the Lord multiply it a 100 times more for you. God bless, from a great full veteran.                                                 Thank you.                                                  Sincerely ,                                     Mr. Heriberto. Perez 
USA Cares Inc	320108		/users/profile/412244	Freddie2	Client Served	5	12/14/2016	I like to thank Susan and USA Cares for helping my family and I in the time of need. Caring understanding and very thorough ensuring that they are able to provide the best service to their clients.  I cannot express my gratitude, I was in a financial bind and Susan was able to provide relief.  Thank you. 
USA Cares Inc	320038		/users/profile/412092	Writer	Client Served	5	12/11/2016	Ms. Darrika was a wonderful person that handled my case with such professionalism and understanding.  Dealing with all the headaches and stress with my particular situation, having Darrika on my side was wonderful.  She was prompt, courteous, and very helpful.  Her ability to do her job like she does day in and day out says a lot about her character, and her professionalism and work ethic are top notch.  I truly appreciate her time and assistance, and cannot thank her enough.
USA Cares Inc	319992		/users/profile/411990	Loren D.	Client Served	5	12/09/2016	From day one we had been in contact with a very polite representative named Darrika. She was always available through email or phone calls if we had questions or if we just needed to exchange information. Usa cares was so quick to process our application for assistance it's almost like a dream come true. I will recommend this company to as many people as I can. Because for once, we're the example of a success story!
USA Cares Inc	319986		/users/profile/411982	Writer	Client Served	4	12/09/2016	Thank you Darricka and USA cares for the prompt attention, assistance and for caring, you all are awesome and my family and I are forever grateful.
USA Cares Inc	319965		/users/profile/411940	randyh72	Client Served	5	12/08/2016	I found this organization, nay, God send, at a time that I was out of options, and almost out of hope.  From the first contact, the staff was extremely attentive, and you could hear in their voices that they truly cared and wanted to help.  Once I spoke to Rosetta, I knew that I was in good hands.  She was such an understanding person and made the process go easily and quickly.  Not only are they there for the immediate need, they provide the education that can help you in the future.  I hope that in a short time I can pay a visit to Rosetta and the staff again.  Not for help, but to follow in their foot steps and be there to help others.  I thank you all from the bottom of my heart, you have given the greatest gift a person could ever ask for; Hope.
USA Cares Inc	319935		/users/profile/411876	tina.waggener	Client Served	5	12/07/2016	Darrika,Thank you for all your time and attention to assist in this time of need. Thank you USA Cares for all that you do for Veterans and their families!Tina
USA Cares Inc	319731		/users/profile/411544	Writer	Client Served	5	12/02/2016	I want to thank Ms. Darrika for being very polite & compassionate during the process of my application. Thank you Ms. Darrika I appreciate the time you put towards my case and thank you USACARES for assisting me during a tough moment...my family and I are beyond blessed to have people such as Darrika and the rest of your staff.....Claudia 
USA Cares Inc	319730		/users/profile/411542	roxyzander	Client Served	5	12/02/2016	My husband is and OIF OEF Veteran with 4 tours behind him. He is currently disabled due to his injuries. I am in between jobs at the moment and we have been struggling to stay afloat. I contacted USA Cares for assistance but didnt think we would actually receive assistance. Mrs. Darrika immediately handled our case with such grace and attention. My husband and I appreciate all efforts with this agency. We were about to have our electric and water disconnected but because of Darrika's quick response and assistance provided we will stay warm for the holidays and get back on track. Thank you Darrika and USA Cares you guys are AMAZING!!! - A Veteran Family 
USA Cares Inc	319717	1	/users/profile/411516	Writer	Client Served	5	12/02/2016	I cannot thank USA Cares enough.  What they did for me and my family really was amazing.  It is so hard to ask for help and when I finally got the nerve to ask they were patient, understanding, and non judgemental.  It is organizations like this that make all the difference in people's lives.  Thank you!!!
USA Cares Inc	319679	1	/users/profile/411450	Veteran2006	Client Served	5	12/01/2016	I reached out to USA cares at a time of need and they showed me that there are people that not only care for our great veterans but value our contributions to this great nation. I will forever be thankful for the prompt service and willing to help a fallen veteran in my time of need. I will definitely spread the word about USA Cares!!!!!
USA Cares Inc	319660	1	/users/profile/411417	dominiquejbrownoutlook.com	Client Served	5	11/30/2016	Darrika, You and USA Cares Inc. has been a blessing to myself and my family. You have assisted us when we were down. Your kind caring heart made it possible for my children to have a Christmas this year, by assisting us in our time of need. It was you who made sure that you did everything possible for us. USA Cares Inc., has hired you and saw that you have a great passion for assisting veterans and their families and I glad that you were there for us. Thanks again and may blessing shine on upon you. Dominique Brown and Family
USA Cares Inc	319629	1	/users/profile/411365	mumma-A	Client Served	5	11/30/2016	My husband is a disabled combat vet and we were having problems paying our mortgage due to medical issues. We were told about this organization, USA Cares, that could help us. Darrika helped us through the process in a very timely manner. She stayed in contact with us and helped us get approved for help with our mortgage. We are so thankful for all the help we recieved from Darrika and USA Cares! It's a wonderful organization that really helps people in need! Thank you!
USA Cares Inc	319615	1	/users/profile/411288	pretgryl	Client Served	5	11/29/2016	Ms. darrika is amazing she helped me in a time when I thought there was no hope. she followed thru on the entire case and made sure she followed up with companies we were working with. Customer service always at a all time high. These are the type of agencies and agents we should gave world wide as veterans. Someone should be looking to out her in a supervisor position. She helped save my dream!
