org	id	likes	reviewer_url	reviewer	type	rating	date	review
Veterans Airlift Command	323570		/users/profile/417966	smorgan	Client Served	5	02/21/2017	The support that I received from Veterans Airlift Command this past week was beyond exceptional.  Due to this great organization, I was able to get a family member's funeral in Texas with little notice.  After filling out my request,  I literally received a call a few minutes later from Jenna Deibel to see how they could assist.  She took care of our arrangements and made sure we got there on time.  Today I also received a call from Andrew Lourake to make sure we made it home safely and to ask how I was doing.  What a great group of people helping veterans! 
Veterans Airlift Command	323046		/users/profile/417210	mathenacs	Client Served	5	02/12/2017	Thank you VAC and pilots Eric Whyte and Mike Conley for helping me get home to see my family and attend the funeral of my Grandmother. I havent been home in over 4 years due to medical treatment and being overseas. You guys are great Americans and I am so grateful to be introduced to this great organization. Thank you for all that you do. 
Veterans Airlift Command	322875		/users/profile/416956	Juan15	Client Served	5	02/09/2017	We are delighted to have been the recipients of a flight to me hometown of Miami, FL  after a 6-year absence;  I am a double amputee, and the last time my family saw me I still had both my legs; not only did my family get a chance to see me, they also met my two youngest sons. we had the most amazing experience while flying in 'HRF510" from Veterans Evaluation Services, our pilots, Howard Turek and Michael Weimert are the most professional pilots I have ever met, thank you!!!
Veterans Airlift Command	322027		/users/profile/154144	Coral5181	Client Served	5	01/24/2017	My son was injured in 2005 and I was flown to Germany because he was not supposed to make the flight home. It was an IED and shrapnel the size of a credit card  that tore from one side of his brain to the other through the mid line. No one has survived passing through the midline esp since there was blood in it. It also destroyed the whole frontal lobe of the brain, he was burned, had a broken arm. Even the surgeons at NNMC, now Walter Reed, said he would not survive. But he fought to live frequently coming out of the medically induced coma too soon. Again I was told would have no function or even know me. Numerous surgeries, touch and go, infections, collapsed lung, swelling, on and on. When the body started to stabilize months later he opened his eyes once again, looked at me and smiled with definite recognition, The doctors were stunned. We have flown back and forth for surgeries with the military until he was medically retired 2 yrs after the injury, The VA could not handle his injury and still cannot. So whenever I need to get to Walter Reed VAC has been there for me. Commercial flights are impossible for him, the stress of waiting, the 6 6 1/2 size of him, the amount of medication we have to travel with and what we need to take with us would cost more than a flight. The expense alone is just too much, We need to get to Walter Reed fast at times and we will always have to go at least once a year. VAC has been there for us ever since my son has retired. I put in a request and the flight response happens so quickly it is amazing. My son is a miracle that cannot be explained, walking, talking , memory, huge sense of humor, living a quality life even if he cannot live alone. Every owner/crew we have flown with has kept in touch with us. This last trip they texted to follow his surgery, they all love updates through out the year. They are like our flying family. I am ever grateful for the generosity of these wonderful people, It takes so much stress off of me and especially my son when we need to fly. VAC gets it, from the first contact to getting back home, and they are my heroes. Thank you VAC. 
Veterans Airlift Command	113266		/users/profile/154144	Coral5181	Client Served	5	05/30/2012	My son is a severely injured Marine Sgt. After repeated poor performance by the local VA dealing with an infection it was necessary for him to be flown to Bethesda and seen by his military surgeon. Flying is a challenge with a traumatic brain injury especially with crowds. To be flown by a private pilot was such a tremendous help. It was convenient, stress free and took so much worry off the trip itself that i could focus on my son completely. The pilot and his wife treated us both with as much if not more gratitude for my son's service to our country, as we felt for the flight to Maryland. Our coordinator, Maria, went out of her way to get us the most convenient date and time for the flight as well. I cannot express how important this organization is to us. For me to be able to get to the best medical care possible for my son at no expense is a huge relief and gives me a sense of peace that I can always get him to the best without taking on financial worries as well.
Veterans Airlift Command	320781		/users/profile/360886	bishigs	Client Served	5	01/03/2017	Great non- profit... so kind and courteous. They helped us out in our time of need with no hassle! I strongly suggest supporting this organization as they do great things for veterans. 
Veterans Airlift Command	314367		/users/profile/405730	2five4	Client Served	5	10/25/2016	Awesome. Got us 2 flights on private planes from NC to TX to attend a funeral for a fallen soldier. Made things so less difficult than dealing with airlines. Funeral was painful enough, the flights the only bright spot.
Veterans Airlift Command	314053		/users/profile/405412	Athena R.	Client Served	5	10/24/2016	How can you put to words what this nonprofit did for us?  At our lowest moment, desperate to be able to say our last good-byes, give our final respects, and tell the family of our Fallen Brother how much we love them... Veterans Airlift Command stepped up without hesitation.  We would not have been able to attend the funeral of our Fallen Brother had it not been for the true and pure patriotism of this nonprofit.  All of the administrative staff as well as the pilots (Spike & Butch) were professional, personable, and respectful.  THANK YOU for everything!  You helped me bring closure at one of the most difficult times in my life!
Veterans Airlift Command	312896		/users/profile/404267	Writer	Client Served	5	10/21/2016	I have used Veterans Airlift Command a few times now. Each time they delivered in spades! The logistics team was very prompt arranging flights to and from, and their pilots were professional and friendly. This organization is top notch, when their passengers are in a jamb and need to get to somewhere quick. That's not all they do; they also follow up and make sure you're ok after the flights. That shows an immense amount of sincerity and that they do truly care. Hats off to this wonderful organization!      
Veterans Airlift Command	311868	1	/users/profile/403222	Lynch11B	Client Served	5	10/18/2016	I can't thank enough for the nonprofit every time I called it felt like they drop everything just to help me especially when I called him my brother he saved my life in Iraq and he lost to his demons and committed suside. I made one phone call and they help me with everything and more. Also do to my injuries from Iraq I couldn't get my wife pregnant so we had To go to NY to do IVF and they made it possible for me and my family to extend are tree and now my wife pregnant thank you so much. This nonprofit has changed so many live for the better and touch Theor hearts for ever Thank you for helping me give the greatest gift of all is a new life and a child for my wife. 
