org	id	likes	reviewer_url	reviewer	type	rating	date	review
Youth Journalism International	299930	1	/users/profile/390744	David367	Client Served	5	08/09/2016	Youth Journalism International is one of the best organisations which shapes the future of aspiring young journalists in the  whole world.Despite members are from different cultural backgrounds,  YJI also coordinates them to work together in various projects . Thumbs up to the editors and continue your awesome role.
Youth Journalism International	299356	2	/users/profile/390254	Mugdha	Client Served	5	08/05/2016	Youth Journalism International is an organization truly devoted to educating young journalists and introducing them to people worldwide who share their passion. As young person, it can be difficult to get an audience for your work. But YJI's global platform gives young journalists a wide and receptive audience to share their passion with. The program helps writers, as well as artists and photographers, grow and develop their craft with people who share their drive. It is welcoming from the very start, allowing students to connect with one another and learn from each other in an environment that encourages cooperation and collaboration. The mentors work closely with students to help them with their pieces, so students learn not only how to write good articles, but also how to be good journalists and embody the values of ethical reporters.  I've been writing for YJI since 2014, and in the past couples of years itself I've been granted a variety of opportunities to develop my writing. I've travelled to Texas, and Washington D.C., where I'd been given the opportunity to participate in journalism conferences, and also to Canada, where myself and two other YJI students met up with students there and wrote about our experiences.  YJI promotes lasting connections across borders, bringing together writers, artists, and photographers. The program has given me the chance to meet YJI students from Iowa, Missouri, Bangladesh, Afghanistan, and the Netherlands. Not only have I made good friends, but I've learned much about journalism from these amazing writers and inspiring experiences.
Youth Journalism International	299295	1	/users/profile/343363	Selva M.	Volunteer	5	08/04/2016	A great organization for aspiring journalists! Not only do students get a chance to learn more about the industry and become better writers, they also get to form cross-cutural ties! 
Youth Journalism International	255003	4	/users/profile/343363	Selva M.	Client Served	5	09/05/2015	YJI has taught me how to write news and opinion articles better as well as give me greater insight into the field of journalism. Its great editors work closely with students to improve their reporting skills. I will recommend anyone who is in his/her youth and is interested in the field of journalism to join this marvellous organisation!
Youth Journalism International	299132	1	/users/profile/390036	Has.Koshkaryan	Client Served	5	08/03/2016	YJI is one of those organisations which I started to love at first sight. It is really sole organisation which is like a big family where you have two amazing parents` Jackie and Steve, and also where you have a lot of sisters and brothers from all over the world. This is journalists' family  where you can not only learn about journalism or improve your skills but also learn how to  love and respect each other in spite of nation and religion.
Youth Journalism International	299002	3	/users/profile/389890	MonaJawad	Client Served	5	08/02/2016	YJI is an incredible organization that connects students from all around the world to one another through the beautiful medium of writing, and I've definitely enjoyed my part in it. Through their encouragement  to think deeply about the critical events that are shaping our world's history and to be an active participant in spreading our ideas, the founders Jackie and Steve have both created a truly unique and inspirational program. It is an excellent opportunity for anyone looking to expand their writing knowledge as well as their perspective, and I highly recommend it for even those who may not want to be journalists in the future.
Youth Journalism International	298904	3	/users/profile/389790	milicacvetkovic98	Volunteer	5	08/02/2016	Youth Journalism International is amazing start for everyone who wants to start their careers as professional journalists ( reporters) . I wanted to be a journalist since primary school and I think that many other kids around the world wants the same.  I'm very grateful to be a part of YJI community because I think that organizations like this is helping young people to learn more and expand horizons which can be very useful in life. YJI gives young people a voice in the world where our oppinions are often ignored. Although I have relatively recently became member of YJI I can say that I am grateful for the opportunity to report about things that matters for my contury as well as the rest of the world.For those reasons and more I would recommend YJI as a great chance for everyone who wants to learn more
Youth Journalism International	298883	3	/users/profile/389768	FridaZei	Client Served	5	08/01/2016	This organization is truly dedicated to empowering young voices all across the world  regardless of their ethnic background, language or religion. Students gain precious experiences, learn work ethic, build friendships with brilliant people miles away and most importantly discover how to observe world through the eye of a journalist under guidance of their two amazing leaders Jackie Majerus and Steve Collins.  I've been working with them for over a year now, and I've learnt so much more than I expected.  This organization definitely deserves more praise and attention. The excellent work they do, is what we need the most for a better world. 
Youth Journalism International	298849	2	/users/profile/389737	frodger	Client Served	5	08/01/2016	The only journalism organisation that cares for youngsters across the world who wish to get into the journalism sector. Everybody is so welcoming, friendly and helpful as soon as you join. Thanks to its wonderful leaders, participants of Youth Journalism can get the best advice for any piece of writing they wish to publish. It has been a step forward for me and I cannot thank them enough. 
Youth Journalism International	298845	3	/users/profile/389732	Diana105	Client Served	5	08/01/2016	This program is amazing! It's perfect for youth who are looking to be a journalist in the future or for youths who are just taking writing as a hobby. It preps you and teaches you so much. In this program I've learned a lot and I also loved working together because we quickly became family. I recommend anyone who loves writing or/and wants to become a journalist in their future to join this great program for journalism.  
Youth Journalism International	298841	5	/users/profile/389728	Lamarana	Client Served	5	08/01/2016	Youth Journalism International is one of the greatest non-profits in the world if not the best. To learn about journalism you'll have to wait until you finish High School but with YJI, you can learn a lot within a short span and I'm grateful enough to have learned about the practical part of journalism, which I will be forever grateful to. In Africa many young people drop out of school immediately after finishing their high schools due to finance, thus pushing away their dreams faraway but with such non-profits around the world, those young people are presented with another chance to fulfil their dreams. Youth Journalism International is the best among all! Thank you for paving the way for my quest of becoming a professional journalism.  
