org	id	likes	reviewer_url	reviewer	type	rating	date	review
Elim Pacific Ministries	287723		/users/profile/377858	EthanT	Volunteer	5	04/30/2016	I probably would not be alive today without the prayers of everyone connected with this ministry. Back in November I was run over by a truck....the dual tries rolled right me crushing my leg and pelvis. I was shattered and out of it for several weeks. Healing prayers though are changing everything. After months in the hospital and now in rehab, I am now learning to walk again! I am alive! I have a future! Thanks to everyone who has helped me, supported me, prayed and visited.  No matter what anyone says, I have  had a miracle! Even the doctors are amazed.  i am hoping that I can soon come back and help again with the Manha Project Summer Deaf Camp Program 
Elim Pacific Ministries	287722		/users/profile/377856	OneDayataTime	General Member of the Public	5	04/30/2016	The Animu Project has been helping women and children get a new start. Lots of victims of domestic violence get really stuck and just stay the victim. The Animu Project has been able to help us get a new start in life, with a job, and help with housing too. I love what my life is becoming since I came to the Oasis Empowerment Center. They are willing to help and not just a little bit either...in big life-changing ways too...
Elim Pacific Ministries	287720		/users/profile/377854	LovingGUAM	General Member of the Public	5	04/29/2016	I am so happy that the Oasis Empowerment Center is not just for women but is also helping men too. And on top of that, there are 3 different 12 step support groups available each week to be able to keep growing in my recovery.  I think everyone struggles to overcome in some area of our life...food, relationships, or even work. I know I need help to keep things in balance. Thanks for making this place a reality. 
Elim Pacific Ministries	287718		/users/profile/377852	RJ671	General Member of the Public	5	04/29/2016	Where can you go to find the kind of help that can change your life? The folks here at the Dream Project are working to do just that. Some of the folks who have never had any kind of stable employment are given an opportunity to work. I love the hot dog cart and when its open we have seen tourists and military come down and eat lunch here. I have a health certificate now and can work in any restaurant around the island. This is really great. 
Elim Pacific Ministries	287717		/users/profile/377850	Soulutions	Client Served	5	04/29/2016	Sagan Mami is a place where even if you struggle with disabilities, you are welcome. I started coming to the Sagan Mami program as was very to happy to find out that they offer time to learn to do arts and crafts. Dolores has showed us how to make candles with sand as the mold. Now some of my stuff is for sale at their store! They are really helping us out
Elim Pacific Ministries	287715		/users/profile/377849	Tommy21	General Member of the Public	5	04/29/2016	Hidden Treasures Thrift Store is not your average store by any means. Because the bus system is so bad on Guam, I needed to find an affordable car. Hidden Treasures was able to help me get a car and i am so happy. Its not like they have cars all the time but when they do, its just great. Thank God for their help because now I can get around!
Elim Pacific Ministries	287714		/users/profile/377848	SusieShelle	General Member of the Public	5	04/29/2016	This ministry continues to reach people in such practical ways. Yesterday I happened to be there when there was a huge donation of fruits and veggies. People could pick up as much as they needed, all for free. Thank you for making a difference on Guam. 
Elim Pacific Ministries	236018	1	/users/profile/319738	oasisguam	Donor	5	12/29/2014	Every time I donate, I must say, lives are changed. There is nothing that compares with the joy in a mother's eyes being able to support her child in a home. These kind of investments that make a difference, and are the kind that are eternal, and not just about dollars and cents. 
Elim Pacific Ministries	170040	3	/users/profile/225330	Lucy Ann H.	Client Served	5	09/16/2013	I am writing as the first person to benefit from the residential treatment at the Oasis Empowerment Center. I had struggled with drug addiction for 18 years and even with multiple times in various recovery programs, staying sober was hard because of the lack of long-term help. Thanks to the services that this center provides I have had the time and support needed to learn how to live independently and have received relevant training for jobs.  In fact I am now employed by the Oasis Empowerment Center as staff and I am able to share my life experiences with women who have the same struggles as I have had. I look forward to helping more women on Guam overcome this ever increasing island problem.
Elim Pacific Ministries	170030	3	/users/profile/152622	Ruth B.	Volunteer	5	09/16/2013	I am nearing the end of my third visit to the Oasis Empowerment Centre serving the ladies in recovery here.  For this trip, a three month one, I had to forfeit my job to enable me to be away for an extended length of time. That is a measure of how I rate the amazing work that is being achieved here. It really is invaluable service and I have seen lives changed as the ladies become free of the addictive mind changing habits that have had a grip on their lives for so very long. Not only does this establishment serve ladies in recovery but also ladies escaping violent relationships and victims of sex crimes offering a safe place to reside while they piece back together their lives and before moving on into other accommodation. They help their ladies go on to gain employment and suitable and appropriate housing for them and their dependants. Ongoing support is offered enabling and empowering them to be and to remain fully integrated back into their society safely. It is one of the few church organisations that I know of which fruitfully exists to serve their community.
Elim Pacific Ministries	112162		/users/profile/152622	Ruth B.	Volunteer	5	05/16/2012	I have seen women have hope for their future restored to them through this amazing work and have tangible experience of the love of the living God in their lives. Its an amazing work being achieved here and its impacting many lives in an enormously powerful way.   The material used by this ministry is unashamedly Christian and is very powerful.  On my first visit to Guam I was witness to many receiving a believers baptism in the ocean, most of those being baptised were recovering addicts of some description.  As well as fighting their demons effectively and being equipped with the tools to continue to do that, these ladies often find the only living and active God in the process.  It is life changing.
