org	id	likes	reviewer_url	reviewer	type	rating	date	review
Rhode Island Tutorial & Educational Services	305121		/users/profile/396352	Ana Cristina B.,	Client Served	5	09/16/2016	Rhode Island Tutorial & Educational Services is a wonderful organization providing incredible tutoring services by wonderful teachers.  My son Matthew has dyslexia and it was Linda Giordano from "RITES" that changed not just his world around but our world as a family.  With her patience and compassion and knowledge, she taught Matthew how to over come his disability but also alleviated our stress as a family, because we knew he was being tutored by some of the best experts in Rhode Island.  Matthew went on to succeed in a challenging private high school and then on to college.  I will always be grateful for the help we received from RITES.  --Cristina Berard
Rhode Island Tutorial & Educational Services	305469		/users/profile/239523	Janet83	Professional with expertise in this field	5	09/19/2016	Im a tutor at RITES, specializing in middle and high school math and science, as well as SAT and ACT prep. I feel very fortunate to work at RITES. Directors Lisa and Halley are genuinely concerned with providing the best possible instruction for each student. They provide extensive experience, resources, and training to support their tutors in addressing  any and all needs of each student.
Rhode Island Tutorial & Educational Services	216073		/users/profile/239523	Janet83	Professional with expertise in this field	5	09/20/2014	I have been a math/science/study skills tutor at RITES for nearly 2 years, and have enjoyed immensely working with the dedicated RITES staff. I have been very impressed with their commitment to provide each and every student with the resources and help that they require. They have provided me with valuable advice and resources on many occasions when I've had to deal with challenging situations.
Rhode Island Tutorial & Educational Services	182651		/users/profile/239523	Janet83	Professional with expertise in this field	5	10/26/2013	I am a math/science tutor, and have tutored students at RITES for about a year. I have really enjoyed working with the co-directors, and have been very impressed by the resources RITES has available, including textbooks and learning materials, as well as training for tutors. Lisa Bigney has really helped me personally by providing sessions in teaching organizational and study skills so that I can better serve my students. RITES is sincerely committed to the success of every student!
Rhode Island Tutorial & Educational Services	305188		/users/profile/396431	Writer	Client Served	5	09/17/2016	I  have been very happy with both the professionalism and  quality of the teachers. Highly recommend
Rhode Island Tutorial & Educational Services	305012		/users/profile/180004	makeil	Professional with expertise in this field	5	09/16/2016	Rhode Island Tutorial and Educational Services is a professional educational organization. I have worked as a tutor there for several years and have always been impressed with the knowledge, caring, and  support of the directors. Programs for each student are carefully thought out and implemented. The student's needs and abilities are carefully considered when developing a program for tutoring. Rhode Island Tutorial and Educational Services is the place to contact for a student in need of educational assistance. I highly recommend this organization to any parent looking for tutoring. 
Rhode Island Tutorial & Educational Services	210283		/users/profile/180004	makeil	Professional with expertise in this field	5	08/12/2014	I am a special education teacher and Orton- Gillingham tutor. I have worked with Rhode Island Tutorial & Educational Services for several years. The students I have worked with have shown consistent academic growth. This is due to the caring and professional atmosphere of the learning center. High quality materials and support for the tutoring staff is the key to this great organization.
Rhode Island Tutorial & Educational Services	176331		/users/profile/180004	makeil	Professional with expertise in this field	5	10/10/2013	I have been a tutor for Rhode Island Tutorial & Educational Services for the past few years. I am a special education teacher specializing in learning disabilities and Orton- Gillingham multisensory reading approach. I continue to be impressed by the high quality tutoring that is offered by RITES.The co-directors have expertise and hands on experience in the field. They are professional and offer support to their tutors. Students and tutors are matched by needs and expertise. This is a rewarding  teaching experience.  
Rhode Island Tutorial & Educational Services	134219		/users/profile/180004	makeil	Professional with expertise in this field	5	11/06/2012	Working with the staff and students at Rhode Island Tutorial has been a rewarding professional experience. The student's strenghts and weaknesses are carefully determined.  Educational needs are addressed with thoughtful planning and sound educational programs.  
Rhode Island Tutorial & Educational Services	304872		/users/profile/396066	Susan495	Board Member	5	09/15/2016	I am a proud board member of Rhode Island Tutorial & Educational Services (RITES.) RITES has been serving the educational needs of students across RI and neighboring Massachusetts for many years. Their one-to-one and small group instruction is personalized and tailored for each individual. Whether a student is in need of intensive reading instruction from an Orton-Gillingham certified tutor, needs to improve study and organizational skills, or wants to prepare to take the SAT/ACT for college, RITES can provide the class and instructor that will meet each student's needs. 
Rhode Island Tutorial & Educational Services	304821		/users/profile/396001	LindaGiordano5	Professional with expertise in this field	5	09/15/2016	As a tutor for RITES for several years, I have witnessed first hand all the thought and compassion that goes into helping RITES students to succeed.  The list of services available to students has expanded in recent years.  These services include not only tutoring  for the student, but also support for parents along the difficult path  to obtaining appropriate services for their child.
Rhode Island Tutorial & Educational Services	304404		/users/profile/395567	Writer	Board Member	5	09/14/2016	I am a clinical neuropsychologist who provides evaluations for children with learning differences.  I have worked with RITES for many years prior to becoming a board member, and have been consistently impressed with their high level of professional development and dedication to best practices in tutoring students of all ages. They have a very individualized approach that they use to maximize the growth of their students.  I have gotten very good feedback from families who have participated with tutoring services, and am happy to be able to recommend their services.  
