org	id	likes	reviewer_url	reviewer	type	rating	date	review
Mission Guatemala Inc	323662		/users/profile/418107	heartforGuatemala18	Volunteer	5	02/23/2017	I have been so blessed to be a part of Mission Guatemala.  This group has such a heart  this Country & it's people & I am returning again because of their striving to make a difference & make their lives better - especially the children.  God.bless their endeavors, I will return to be part of their love.
Mission Guatemala Inc	323568	1	/users/profile/417964	Stephanie287	Volunteer	5	02/21/2017	Mission Guatemala is a world-class organization and I would recommend them to everyone. My husband, 13 year old daughter and I got so much out of the experience and plan on doing it again in the future. It was nice to not only work the mission site but also to learn more about the culture.
Mission Guatemala Inc	323544		/users/profile/254960	Ralston	Volunteer	5	02/21/2017	Mission Guatemala has been a blessing to the Mayan people in San Andres and the surrounding communities.  Most of the MG staff are from the local community and are paid to provide services to the mission team members.  This is my 4th year to work a week on community school projects (concrete play area, classrooms, and 2 school bathrooms).  We work alongside local skilled personnel who are very willing to teach us their construction methods.  The school children are so much fun to play with on breaks.  The MG feeding programs provide healthy food for school lunches.  Hosting more than 40 mission teams a year, MG can complete large projects that benefit the whole community.  The medical, pharmacy, and vision programs at the MG clinic serve many families from San Andres and the surrounding Mayan communities.  
Mission Guatemala Inc	280241		/users/profile/254960	Ralston	Volunteer	5	02/15/2016	Mission Guatemala hires local staff to identify community needs and then helps provide resources and people to meet those needs.  I recently returned from my third trip to work on schools in small communities.  We worked on all-weather play area (2014), bathrooms to replace a pit toilets (2015), and new classrooms this year.  By combining multiple volunteer teams over several months, MG has also built school kitchens and other facilities that Mayan community leaders have deemed their highest priority.  MG also provides medical, dental, eye care, and inexpensive medicines to serve people in these communities.   Housing, food, and transportation are provided so volunteers can totally focus on serving Mayan people in the Guatemalan communities.    
Mission Guatemala Inc	238298		/users/profile/254960	Ralston	Volunteer	5	02/20/2015	Mission Guatemala does amazing work with the people of Guatemala who live in small rural communities.  Their clinic in San Andres Semetabaj provides inexpensive medical with pharamacy, dental, and eye care to whoever needs help.  Some ride the bus up to 2 hours to get low cost health care at the clinic.  The MG staff is mostly native to Guatemala, which helps the communication with those being served.   Our church helped MG build an all-weather soccer/basketball court at Sucun last year and with constructing a new restroom for students at Marie Del Carmen school this year.  The restroom replaces the current pit toilet being used by the students.  The MG team provides good construction supervision and uses local materials that are purchased by the volunteers.  Working at 8.000 feet in small mountain communities can be a challenge building things, but the MG team always found ways to overcome or work around every construction problem we encountered.  I plan to return again next year to serve the wonderful people of Guatemala, and I thank God that Mission Guatemala provides us this opportunity to "go into all the world" for mission work.
Mission Guatemala Inc	195056		/users/profile/254960	Ralston	Volunteer	5	03/02/2014	Mission Guatemala provides a bridge of hope that allowed our church to connect with Native Guatemalans and help meet their needs all while making new friends.  MG is well organized and works hard to focus on projects requested by leaders in the rural communities.  Interpreters provided by MG allowed good communication with the children and adults in the communities being served.  I grew in my faith through serving the wonderful people of Guatemala.  The MG team members worked hard to make certain that all our needs were met, regardless of the hour of the night when a run to the pharmacy was needed.  I will return again next year.
Mission Guatemala Inc	323511		/users/profile/417892	cobalt	Volunteer	4	02/21/2017	this non-profit was well-organized and focused on the vision of helping rural. indigenous Guatemalan communities. I would make this short-term International Mission destination a top priority for our church back in Ohio.
Mission Guatemala Inc	323484		/users/profile/254974	Hawkeye853	Volunteer	5	02/20/2017	Just spent 8 days with Mission Guatemala working on restrooms for the school in Caliaj Tecpan. This was my fourth trip with MG and I will keep coming as long as I am able. The staff of MG have become family to me. The joy of the children, the hard working, friendly Mayan workers, the accommodations, the healthy, delicious meals, and the fellowship are impossible to adequately describe. My experiences have changed my life and renewed my spirit. 
Mission Guatemala Inc	238277		/users/profile/254974	Hawkeye853	Volunteer	5	02/20/2015	Mission Guatemala is outstanding because of how integrated they have become in the communities they serve. Involvement of Mayan staff and the requirement of involvement of the community who benefits in the selection, planning, and construction of projects is critical to their success and the level of trust that has developed for Mission Guatemala. We were warmly welcomed by the community and developed lasting relationships with those with whom we worked. In addition, the accommodations and food for the teams make serving on a team a real pleasure. This trip was my second to Mission Guatemala and I look forward to doing it again next year. It is a time each year that I can truly say I am the person God created me to be.
Mission Guatemala Inc	195066		/users/profile/254974	Hawkeye853	Volunteer	5	03/02/2014	Mission Guatemala is  helping people in the best way; they are fulfilling basic needs such as food and medical in a way that allows the dignity and active participation of those being served. I felt like my time and resources were more efficiently used than by any other charity I have been involved. I got to see and experience the benefits firsthand in Mayan communities in desperate circumstances. The organization and leadership of Mission Guatemala is simply the best!
