org	id	likes	reviewer_url	reviewer	type	rating	date	review
ONE Spirit	313218	1	/users/profile/404590	Jenny108	Donor	5	10/21/2016	I visited the Pine Ridge Reservation a couple of months ago. I fell in love with the people and their vast needs touched my heart. Since then I have found ways to help through One Spirit.I am so very excited on the progress of the buffalo meat processing facility. They did not wait until all of the funds were raised to begin construction! The exterior walls are up, the concrete is poured, I think the water lines are in. Now enough money has been raised for the electrical. The electrical materials arrived this week and the electrician is coming in!!! In order to be USDA certified, the interior walls will be expensive. Also, freezers/coolers and equipment is needed.It will take all of us spreading the word, donating and raising funds to have the facility completed by the spring when it is needed. I'll be helping financially and I hope everyone who reads this will help.With all of us together, the facility can be completed by spring. 
ONE Spirit	292253	1	/users/profile/109672	Peggy W.	Donor	4	06/06/2016	I truely believe this is a good honest nonprofit that helps the Lakota -you can choose families/children you can personally help by mailing directly to them-you can send cash if you would prefer for specific needs such as food wood..etc you can sponcer through them-achild-family or elder.Check out their web site for all info you need-the need is great & Im sure you will like what you see!!
ONE Spirit	94748	3	/users/profile/109672	Peggy W.	Donor	4	07/31/2011	I have always had a heart for American indian & happened to come across their website in hunting around, i wanted to sponcer an american indian child/elder,ive had a lil bit of a problem getting up with the sponcer director but then found their okini program which i went with,they give you a list of ppl that need a variety of different items such as personal items, cleaning items,shoes,clothes etc, for me on a limited budget i can help as i can but still hope to 1 day be able to sponcer! usually you get a very quick responce alot of times same day response, they are small org. but very worthwhile & id like 2 see them grow & be able 2 help more ppl!
ONE Spirit	292196	1	/users/profile/382691	christelleny	General Member of the Public	5	06/05/2016	One Spirit is a group of committed, generous, honest, kind individuals working to make a difference on a personal level in a place "conveniently" forgotten by all, and help develop intercultural friendships between the Lakota people and the rest of the world. Whether you choose to sponsor a child, send food to an elder, help bring buffalos back or participate in any of One Spirit's many programs, you know you're making a real difference in a real people's life  people you get to know and enjoy a friendship with. You know the money, clothes, food you send are going where they're needed. You know that only a tiny percentage of your donations is used to run the nonprofit. And more importantly, you know that you're part of something bigger; something that changes the world one person at a time.
ONE Spirit	292192		/users/profile/382687	Writer	Volunteer	5	06/05/2016	B"HONE Spirit is an exceptional nonprofit. Not only do they provide hands on aid to people on the Pine Ridge reservation, but they do it with sincerity and encouragement, bringing together sponsors, and those in need, in a good way. Friendships develop, help is actualised with respect and warmth in the giving. Truly it is commendable. Additionally, the continued addition of new programs uplift the people in an empowering manner, that things are set in place for the now and the future, covering various populations, i.e., veterans, the elderly, the children; family structures of every kind. In my experience sponsoring an elder, I have thus far been able to "meet" online her daughter and others of the extended family, seeing photos, "hearing" from the everyday sort of living to also points of art, activism and beliefs. It has been enlightening to find our connexions even with lives so far apart yet with commonalities too. One fundamental belief I have as a Torah observant Jew, is the understanding of "tikkun olam" or repairing the world. Should there be anyone in need, it it is part of our path to help, in what manner we can, to uplift that person in their way, making the world a better place. Connecting the Lakota with others, assisting with the dire circumstances of their lives having and continuing several centuries of extreme trauma, a small bit of healing can take place, one by one.
ONE Spirit	292104	1	/users/profile/382589	Writer	General Member of the Public	5	06/04/2016	I moved to South Dakota during the 90's with people I became friends with who are Lakota Sioux and were returning to their home state.  Not only that I learned the culture of the people, I experienced first hand the reservation life and to know that much work is needed whether it's financial, educational, spiritual to improve the quality of life.After returning to the east coast in 2000, I continued my support through social media and financial contributions when possible.  Online, I discovered ONE Spirit and other groups in order to keep up with current events in South Dakota.  Although I have no direct experience with ONE Spirit, I do promote their work through social media and like the domino effect, it does spread on the world wide web.I certainly can simply say ONE Spirit continues to make every effort to improve and change lives.
ONE Spirit	291588	1	/users/profile/345954	Reva M.	Donor	5	05/31/2016	The character and integrity that this organization exemplifies is only two of the many attributes it has.  They work diligently to ensure nothing corrupts their purpose.  They are dedicated to the strengthening of their food sovereignty and continuance of a culture that will benefit all of humanity.  There are so few charities by which you can see daily how the recipients are benefiting from it.  The vast majority of the funds go directly to the programs that are key to their basic survival.  It is really a no-brainer to give to this stellar organization.
ONE Spirit	257517	1	/users/profile/345954	Reva M.	Donor	5	09/15/2015	Team One Spirit has the goal of taking care of the positive experiences and health of their people.   They do this with no glorified expectation of government handouts or the use of corporate wage earners to manage their program.  They are truly Of The People, By The People, and For The People, with no need for thanks and with a lot of volunteer efforts, because taking care of their own is what they do.  I like supporting this group because I know it gets at the very root and basic needs of their people, and because I know what it's like to go hungry and go for long periods of time without proper nutrition and basic clothing.
ONE Spirit	291409	1	/users/profile/346123	Grim R.	Donor	5	05/30/2016	Very good, donations go directly to who needs them, they are quick to respond to any messages, good hearted people.
ONE Spirit	257668	3	/users/profile/346123	Grim R.	Donor	5	09/16/2015	There are just a handful of organizations that I regularly try to donate to.  I support and respect One Spirit because it is driven by local communities coming together to help those in need among them.  What could be more important than helping Elders make it through the winter, feeding children, getting school supplies to students, and providing a positive environment for teens.  I know that whatever I send will go directly to those who need it, maybe passing between one or two hands before it gets there. No big outside organization sweeps in with poverty commercials. They keep people informed of their progress, highlighting all the positive things that are being done.  While I usually donate or volunteer for local groups in my own state of Texas, I think the nation as a whole needs to step up and take responsibility for the conditions of our Reservations. Despite all the promises, the only way real change seems to take place is when people like One Spirit stand up and make it happen in their own communities. Much respect to those who do.
