org	id	likes	reviewer_url	reviewer	type	rating	date	review
Camp Courage	305970	1	/users/profile/397238	Writer,	Volunteer	5	09/21/2016	I found Camp Courage after my son became a Marine.  Mai Christy, the founder,  supports our military so well.  She is constantly looking for and finding ways to keep sending care packages to all the people in our military.  She and all the volunteers of Camp Courage are constantly looking for items and "pieces of home" to put into these care packages, so our soldiers, airmen, Marines, sailors, etc. can know that there are people thinking about them and thanking them and honoring them for their service to our country.  The Camp Courage vision is "To reach as many service members as possible through the outreach of our care package projects in an effort to express our sincerest appreciation for their selfless choice to serve our great nation." and everyone who is a volunteer for Camp Courage does exactly that.  I am proud to be a part of something so special.  
Camp Courage	306033	11	/users/profile/397298	Jessica294	Volunteer	5	09/22/2016	 At first, I was a little worried about giving time or anything to any organization for care packages as I had seen first hand how some of them would say one thing but it would be totally used for something personal. But then I got in touch with the Admins of Camp Courage. I have a son who is  Military, and as a single mom with 3 children trying to make ends meet, I turned to this group and asked them about sending him and some of the guys/gals that my Military son  works with care packages. 20 packages total. They not one time hesitated. Gave them the information they needed to have all 20 packages sent to my son and he handed them out to the guys/gals in his  unit. They gladly accepted and within a couple weeks my son contacted me excited and said everyone was so thrilled to have gotten a package "from home" cards, letters from kids coloring pages from groups of children were the highlight of their day. Said it was like watching children open a special present they had been hoping that Santa would bring them Christmas Morning.  Since then, I decided right then and there that I would figure a way to pay it forward to this wonderful organization for putting a smile on my son's face and the face of his fellow Military brothers/sisters. I have sense decided that even if I can't contribute with money to the packages, that I would become a "Card writer". Knowing that my card could brighten someone's day as others have done for my son makes it all worth doing. I am so thankful for God putting this group in my life and the life of so many others. Seeing posts or pics of those that get the boxes and the joy and smile on their faces is what makes this group a ONE OF A KIND GROUP..If you love our Military and want to help out but are limited. Hey there is no such thing as there is nothing I can do because there is something that everyone can do to help show our Men and Women in the Military how much we as American's  Stand Behind Our Troops.. I would recommend this group to anyone who could find it in their heart to help any way you can because even the smallest donation or even to write a card or even get a group to do coloring pages with a short note to them is well worth it. And everything donated goes to the care packages.. Nothing is used for personal gain. The only personal gain anyone receives is the person who is receiving the love and support these care packages  have to offer them when they are opened.. With my son being on the receiving end of their care packages, I turned to volunteering for them just by writing cards for them, and have NEVER one time had any regrets doing so!CAMP COURAGE IS A TOP NOTCH, 5 STAR, AND ONE HUNDRED PERCENT DEDICATED GROUP WHO SUPPORTS OUR MILITARY WORLD WIDE ONE CARE PACKAGE AT A TIME!! 
Camp Courage	306026	1	/users/profile/397294	jmwhitelock	Volunteer	5	09/22/2016	I became involved with Camp Courage a few years ago after my youngest son graduated from USMC Boot camp. This group has filled a void that was left when I no longer had children at home to care for.  Their support has helped to give me insight into what the life of a Marine mom is like. Their mission of helping our military one care package at a time has shown me that what started as the acts of a small group of moms can really make a difference in the lives of so many.  Camp Courage is a wonderful, all volunteer, organization. By volunteering with this organization I have made some lifelong bonds and have found a group of individuals that are always willing to lend a hand, lend a shoulder, lend an ear or most importantly, lend a heart.
Camp Courage	306023	1	/users/profile/397291	Writer	General Member of the Public	5	09/21/2016	After my son decided to become a Marine almost 4 years ago, I was lucky enough to hear about Camp Courage.  Through donations and sales in the Marketplace they are able to send care packages to our Military members all over the world!  My son has received one and was thrilled with the letters from children that get added into the care packages!  This "little bit of home" is extremely important to our serving Military members because it lets them know we haven't forgotten them and that we appreciate the sacrifices they make every day for us.  And even though the main purpose of CC is sending care packages, their Facebook page is also a place of support for family and friends of the men and women who serve in the Military.  It is a  good place to get information or just share your feelings at that moment.  For me personally, I know that these last 4 years have been a little easier to handle knowing I'm not going through it alone.  Mai cares so much about our Military personnel and works so hard to let them know that we are so proud of them!  Every box she mails out is filled with needed toiletries, goodies, cards, letters and a whole lot of love!!
Camp Courage	306006	1	/users/profile/397274	Nancy268	Donor	5	09/21/2016	Camp Courage is Amazing. I am a Military Mom and I know the importance of our sons and daughters  feeling loved and thought about by their families and friends.  I know how much they look forward to cards, letters and the things we at home, take for granted like food, candy, magazines,  personal items and so much more. I love Camp Courage!
Camp Courage	305999	1	/users/profile/397267	boulder	Client Served	5	09/21/2016	My son was far away, missing home and adjusting to his new military life! Camp Courage sent him a care package with letters from people around the country sharing their support and gratitude for his sacrifices! Camp Courage helped him through a very difficult time! We are so thankful for all they do!
Camp Courage	305995	1	/users/profile/397263	cat23	Donor	5	09/21/2016	I found this Great non profit when my Grandson became a Marine to serve our country!  This group does so much for members of all Armed Forces! One care package at a time!  I have been a donor and have been writing cards which go in every package sent out!  It is a Great organization run strictly by volunteers that love to share their love and support of our military!
Camp Courage	305993	1	/users/profile/397261	Mary459	General Member of the Public	5	09/21/2016	Camp Courage has touched so many lives of our Military by all of the care boxes and emotional support that are sent out to all branches of our Military. I have shed many tears of joy and shared heartfelt moments with other parents whom have felt the same love for all of our Son's and Daughters. Mai Christie has given so many hours of her personal life and continues to do so for the love of all of our Marines and Military, she asks for nothing in return except that we show respect for each other and others within this group of parents who root and support each other on in our moments of joy, and anguish of separation from our Marines. 
Camp Courage	305989	1	/users/profile/397257	Tina111	General Member of the Public	5	09/21/2016	Camp Courage is a wonderful program.  I have orders items and clothing from them as well as have donated items to be sent to our Marines. She is on a much needed and appriciated mission!
Camp Courage	305981	1	/users/profile/397249	7strohs	Volunteer	5	09/21/2016	As a new mom to a Marine.. I found this non profit close  to home.  I am able to join them in building  of the hundreds of care packages  for our active  Military.   Makes my heart happy to show support.
Camp Courage	305979	2	/users/profile/397247	Melody15	Client Served	5	09/21/2016	They are an awesome group. The volunteers pack each box for a service member with a lot of love and much wanted and needed things. The homemade cards that go in each box makes the service member proud, feel loved and supported. Someday I hope to be able to take a vacation and help with a packing. My son received a package while on deployment and he loved it! Thank you Camp Courage for what you do for our Military! 
Camp Courage	305970	1	/users/profile/397238	Writer,	Volunteer	5	09/21/2016	I found Camp Courage after my son became a Marine.  Mai Christy, the founder,  supports our military so well.  She is constantly looking for and finding ways to keep sending care packages to all the people in our military.  She and all the volunteers of Camp Courage are constantly looking for items and "pieces of home" to put into these care packages, so our soldiers, airmen, Marines, sailors, etc. can know that there are people thinking about them and thanking them and honoring them for their service to our country.  The Camp Courage vision is "To reach as many service members as possible through the outreach of our care package projects in an effort to express our sincerest appreciation for their selfless choice to serve our great nation." and everyone who is a volunteer for Camp Courage does exactly that.  I am proud to be a part of something so special.  
Camp Courage	275293	3	/users/profile/345191	Sherylr1968	Donor	5	12/31/2015	Completely amazing dedicated group of MoMs (Mothers of Marines). 100% volunteer.   I would trust Mai Christy with my life. I have no problem giving her my money.  It's a great cause!  The military life can be very difficult.  Spreading a little cheer always helps.   She's the best!  
Camp Courage	256793	6	/users/profile/345191	Sherylr1968	Donor	5	09/12/2015	The Camp Courage Vision: to reach as many Marines, or any other branch in need, as possible through the outreach of our care package projects in an effort to express our sincerest appreciation for their selfless choice to serve our great nation!!  No paid staff!  Completely run by volunteer Marine Moms!!  An organization you can trust with your $$$!
Camp Courage	275291		/users/profile/364888	Paula82	General Member of the Public	5	12/31/2015	Camp Courage not only provides care packages to active duty military, but they also offer support to parents and other family members whose loved ones are serving their country.  As a non profit organization, all proceeds go into building care boxes that contain many of the simple needs of those who are deployed or feeling down, along with letters of thanks and encouragement. Definitely a worthy organization started by an amazing lady and run by a dedicated board of directors.
