org	id	likes	reviewer_url	reviewer	type	rating	date	review
Spay Panamas Animals Yes USA	312013		/users/profile/403365	lohra	Volunteer	5	10/19/2016	I spent a little over two months working at SpayPanama and had a blast. As a Pre-Veterinary student this opportunity offered a great way to gain experience and will set my self apart from other applicants to vet school. While working there I learned how to prepare animals for surgery as well as take care of them afterwards. I became very proficient at shaving, expressing the bladder, giving SQ and IM injections, as well as tattooing and clipping the ears. Aside from just the hands on experience I was able to watch as many different types of surgeries as I pleased. It is a Pre-Veterinary student's dream. I  understandable so, did not perform any surgeries because of my lack of education, however, many students from all over the world in veterinary school were able to and gained a great deal of valuable surgical experience. It is my goal to return once I am in vet school to follow in their footsteps. Not only did the clinic offer a great deal of hands on experience they also did so in a very welcoming and encouraging way. They always were quick to share a laugh and never hesitated to pull me aside and show me an interesting case. I made some really great friends and have created wonderful relationships that will remain for years to come. I recommend SpayPanama to anyone that is interested in Veterinary Medicine or just to those who desire contribute to the continuing effort to help improve the welfare of thousands of animals. 
Spay Panamas Animals Yes USA	302936		/users/profile/394094	Laurie709	Volunteer	4	09/08/2016	My time with Spay Panama was really great! I volunteered with a fellow vet student for three weeks. Everyone at Spay Panama made me feel very welcome and helped teach me many things during my time there (e.g. the quick spay method). I feel I gained many helpful skills that will prove useful for my future veterinary career and I have gained more confidence in my surgical skills. As well as getting veterinary experience in the clinic and at spay events, I got to experience different aspects of Panamanian culture and the team were great at showing us different parts and tourist sites in Panama City. Thanks to everyone who made my time at Spay Panama so wonderful.
Spay Panamas Animals Yes USA	302388		/users/profile/393518	Endthesuffering	Professional with expertise in this field	5	09/02/2016	I met Patricia Chan over 20 years ago and was struck by her intelligence, focus and readiness to work.  Her work over the past 20 years has been phenomenal and tireless.  She gives her all.  She works with many people to end the suffering of strays and street animals in a number of ways, the most effective of which is the spay and neuter campaigns to cut the numbers of unwanted animals in Panama.  There are other much larger and well-funded organizations that do far less than SPAY PANAMA, and we hope that people will choose to support SPAY PANAMA - which is right there, on the ground, in action all the time.
Spay Panamas Animals Yes USA	301548		/users/profile/392495	Phyllis30	Professional with expertise in this field	5	08/25/2016	Dear Reader, I am W. Marvin Mackie D.V.M. retired.  I wish to send my support to SpayPanama as an extremely worthy and effective organization that is and has been addressing pet over-population in Panama for 10 years.  Their success and effectiveness is outstanding!  Any way you can help their efforts benefits animals in so many ways.  And there is great benefit for the owners and caretakers as well as the communities in which their work is done.  
Spay Panamas Animals Yes USA	300479		/users/profile/391335	Writer	Volunteer	4	08/14/2016	I had an amazing experience with Spay Panama as a vet student. I did over 100 cat castrations and was also taught the quick spay method in cats. The experience has really increased my confidence in these surgical procedures. As well as improving my surgical skills, everyone at Spay was really lovely and took me and the other vet student with me on excursions all over Panama City. Thank you for the experience!
Spay Panamas Animals Yes USA	300452		/users/profile/391304	Yuan H.	Professional with expertise in this field	5	08/13/2016	I donate my professional services to Spay Panama.  I feel that I am making a contribution to help the less fortunate animals because I see results.
Spay Panamas Animals Yes USA	300441		/users/profile/391293	Vickie16	Client Served	5	08/13/2016	Spay Panama helps me spay/neuter and vaccinate my rescued dogs before placing in loving homes.
Spay Panamas Animals Yes USA	300436		/users/profile/391287	Gloria38	Client Served	5	08/13/2016	I had the opportunity to observe and participate with the work done by spaypanama. This has helped tremendously to control the population for unwanted dogs and cats in the streets who suffer at times terrible cruelty. I've also adopted 4 cats from spaypanama, all spayed and neutered. Seeing them grow and play is an extremely gratifying feeling.  We help them and they give us joy. A big standing ovation to Spaypanama's work.
Spay Panamas Animals Yes USA	299561		/users/profile/390479	kimh15	Client Served	5	08/07/2016	Its great to know there are people who care for animals.  For example in Panama, it was not until now that there is a noticeable percentage of people who are fond of cats so because of this many cats were victims of maltreatment.  Now there's some hope for our human-defenseless furry friends.  I personally had the pleasant experience of adopting my cat when he was only a kitten that had been rescued from the streets and was in a life-threatening physical state. The team was very helpful and cared for him until he was fully recovered.  And today we can look at him at home every day smiling and thinking how far he's come thanks to SpayPanama who saved his life.
Spay Panamas Animals Yes USA	299230		/users/profile/390137	Chris230	Donor	5	08/04/2016	SpayPanamas work throughout the Republic of Panama is remarkable.  I am sincerely glad to collaborate as a donor with such a reputable organization.  One can sense that the team is genuinely committed to its mission and vision.  Most important, their operations are financially transparent and linked to a solid work plan which is monitored and evaluated constantly.   A truly exemplary nonprofit, that is making a great difference serving the community in this public health matter.  Hats off to their team of dedicated professionals and volunteers.  Keep up the great work!
