org	id	likes	reviewer_url	reviewer	type	rating	date	review
Unbound	319912		/users/profile/411782	nataliazulo	Client Served	5	12/07/2016	MI 6:10Muy buenas tardes...Mi nombre es Natalia Andrea Zuleta, tengo un hijo de 5 aos con sndrome de dandy walker y epilepsia, llevo mucho buscando una fundacin o alguien q nos pueda ayudar econmicamente para darle a mi hijo lo que requiere, estamos afiliados a la eps cafesaludLa cual cada vez esta peor...No estn dando nada de lo se requiere ni con tutela... Si uds saben de alguien q nos pueda ayudar...Tengo todo soportado, historias clnicas, en face hay fotos de mi hijo, pueden verificar, mi nmero de cel es 3212871255  
Unbound	309390	1	/users/profile/400758	Writer	Donor	5	10/10/2016	We sponsored a young girl in Kenya for many years and heard from her regularly.  She aged out of the program and we are now sponsoring her younger brother.  Our first child just got married!  More importantly, she got a job working in Nairobi and is fulfilling the dream she set for herself.  We are hoping her brother can do the same.  He works very hard on his grades and is very passionate about the environment and saving the animals of Africa.  His letters bring joy to our lives.  Both he and his sister confirm our contributions have made difference in their lives.
Unbound	306777		/users/profile/398074	MonicaD	Donor	5	09/27/2016	I have been a sponsor through Unbound for 11 years and currently have 3 sponsored friends in 3 continents. I have also been fortunate enough to have traveled on 4 awareness trips to meet my sponsored friends and to Unbound's headquarters in Kansas City. This is a tremendous organization impassioned about making a sustainable difference in the lives of the oppressed by empowering them and their talents. Every Unbound staff member I have worked with truly impresses and inspires me. Their system of sponsorship connects people of various walks of life in a truly unique bond that is life altering. Finally, I will continue to sponsor and encourage others to do so after witnessing the extent that the monthly contribution goes.
Unbound	300655	4	/users/profile/391531	Writer	Donor	5	08/16/2016	15 years ago, I began sponsoring  an 11-year old girl named Reyna.  Since then, that relationship has changed my life and led me on an amazing journey with Unbound.  I have had the great pleasure of meeting Reyna in Honduras on three separate occasions and each visit not only strengthened my relationship with her but also gave me a first-hand opportunity to witness the incredible work the Unbound staff does with regard to loving and caring for all of those sponsored friends whom they serve in Honduras.  I am, without a doubt, a lifelong supporter of Unbound and today I am happy to say that I have the privilege of sponsoring an Unbound child in every country where Unbound serves.   I would never have been willing to make such a commitment if not for the confidence that I have in the leadership of Unbound and in the staff teams that work all around the world.  They are all simply incredible  and inspirational!  Sponsorship through Unbound makes an incredibly positive difference in the lives of those being sponsored, but equally so for all those who shoes to become active sponsors.  
Unbound	300637	5	/users/profile/391509	Sharon191	General Member of the Public	5	08/16/2016	At Mass one Sunday, a Priest from Unbound gave a Homily about his Ministry at Unbound. I've always wanted to be a sponsor, but until then wasn't able to make the financial commitment. I was orphaned at 15, when my mother was killed in a car accident. My family was split up, and I was on my own - literally.I so wanted to help someone not to have to suffer the way I did. No body wants the responsibility of a teenager.When I got to the table where all the children's flyers were, on the left - all by herself was a young teenage girl. All the others had been chosen, except for this teenager.I noticed her name was April. My mother's birthday was in April, I picked her flyer up and began reading, her birthdate and my mothers were the same. She was mine! She always thanked me for "all" I did, but she didn't realize all she had actually did for me. She has graduated college now and I have finished my commitment with her, but I miss her and her family.Thank you Unbound for this beautiful opportunity!!!
Unbound	299949		/users/profile/390768	faithlovehope1	Donor	5	08/09/2016	Key word missing from my prior review, so adding my correction:I cannot thank God ENOUGH for guiding me to Unbound and Unbound for providing me with the opportunity to sponsor my fellow man and woman. I am so very grateful. To all the wonderful people I sponsor, THANK YOU for changing my world!!!
Unbound	299614	1	/users/profile/390536	faithlovehope	Donor	5	08/08/2016	"To the world you may be one person, but to one person you may be the world." Unknown.  This quote describes what Unbound sponsorship is all about.I am currently sponsoring 20 children, youth and elderly throughout the world.  When Unbound says, "You change their world; they change your world," this is the TRUTH.  These 20 INCREDIBLE people have changed me in soooo many ways.  I went from wondering whether I would ever find my purpose in life (I'm 57 years old) to knowing exactly how to change my heart and my life.  And, I have.  I cannot thank God for guiding me to Unbound and Unbound for providing me with the opportunity to sponsor my fellow man and woman.  I am so very grateful.  To all the wonderful people I sponsor, THANK YOU for changing my world!!!
Unbound	293801	2	/users/profile/384458	rraspo	Donor	5	06/24/2016	I was always called Uncle by the boy I supported in India. We were together until he graduated from professional school  in computer engineering and began working. He can now help his siblings out of poverty.  I now have a little girl in Africa and hope her life and her families lives will prosper, with Gods help and what monies I can provide. May God bless this charity.
Unbound	293760	3	/users/profile/384416	irishgirl_09	Donor	5	06/23/2016	Unbound is amazing! I've sponsored a little girl in El Salvador for the past 4 1/2 years. I even went on a trip to El Salvador with other Unbound sponsors to meet her and her family. The work that Unbound does to support children and the elderly around the world is truly awe inspiring.  Thank God for Unbound!
Unbound	293732	3	/users/profile/384379	Writer	Donor	5	06/23/2016	My last sponsored child was with me from age 9 to age 24.  I kept urging him to stay in school and he was able to do so.  He recently found employment and I am so touched that I was able to help him, hopefully, step out of poverty.   I now have a little girl for a pen-pal and to encourage and help to stay in school.  It is wonderful to be able to  reach across the world to others through CFCA/UNBOUND.  
Unbound	293727	2	/users/profile/384372	tjk3146	Donor	5	06/23/2016	I sponsor an elderly woman.  Her nephew writes to me regularly to tell me how she is doing and I write to her in return.  I am grateful to have a way to share my blessings with someone so far away.  Unbound makes that possible and keeps me personally involved with my foreign friend. 
Unbound	293712	3	/users/profile/384351	Sharon186	General Member of the Public	5	06/23/2016	I have been involved with Unbound for so many years, I can't recall when it started. I know it was called CFCA at the time. I went on a mission awareness trip (and then a second) to check them out. There are so many scams out there that one worries. I don't have that much money but was willing to share with less fortunate. I was overwhelmed at the level of poverty these children live in and the amazing work of such kind, underpaid staff do. Their caring level is beyond imagining. I read in another review that the person was unhappy that the Christmas and Birthday money was pooled. I saw first hand what happens with this money. I was at a birthday celebrating at an area they run for the children of lepers. They are so abandoned by their society that they are worse off than the other deeply poor. These children mostly didn't have sponsors but all were given the same birthday gift of a metal dish and cup and a piece of cake. That's how poor. Being excited about a metal plate. And a piece of cake. And a loving touch from the few people on the awareness trip. How can one not want to share that birthday money rather than see their "better off" sponsored child get a special something. Every single employee I met along my 2 week stay was loving, kind, and gracious and seriously underpaid. Doing this because of the desperate need of the children. This organization is so needed in this world. We Americans have no idea of poverty. We have food pantries, clean water, no polio or leprosy. I am not a letter writer so I feel guilty that my 2 children, I have had 3 others over the years also, do not get encouraging letters, but I know that they have the basics and their families are being taught "to fish" not just being given "fish to eat". They may not hear from me often but I love my children, worry about them and wish I was a better sponsor. 
Unbound	293707	2	/users/profile/327774	Believer2	Donor	5	06/23/2016	I have been a sponsor for over 8 years.  Initially I took on one young girl in Guatemala.  After visiting her thru an awareness trip I came to realize how important well managed Unbound was.   Slowly I took on more youth and elders.  I had the privilege of meeting my teen girl in India on another awareness trip.  I love corresponding with my friends and learn more about their lives.  I am impressed that each sponsored person is visited regularly to insure funds are being used correctly.  I am also impressed the who,e family benefits from the support.  My initial girl has left the program since the family is now better off.  She attends school no helped her mom learn to read.  I cannot recommend this organization enough.  I believe we change one life at. Time through support in Unbound.
Unbound	241266	6	/users/profile/327774	Believer2	Volunteer	5	04/16/2015	I sponsor thru Unbound and have taken 2 awareness trips. First one I went on to see if they really are as good as they say.  Actually I found they are better.  90+% of the donation goes to support the sponsored and their family.  This group has shown me how to change one life at a time and make a difference thru education, health care and support of the whole family.  I highly recommend it.
Unbound	293682	2	/users/profile/384316	jagelhar	Donor	5	06/22/2016	We have been involved with Unbound for 9 years. We sponsor a teenaged boy and an older lady. I cannot say enough positive things about this organization! We receive regular pictures and letters. They work really hard to keep us in touch with them. It is a privilege to be involved with Unbound.
Unbound	293612	2	/users/profile/384231	Kerry E.	Volunteer	5	06/22/2016	My husband and I became involved with Unbound when it was CFCA nearly ten years ago when we sponsored two children from Costa Rica.  We delighted in the letters and pictures from them and finally were able to meet them during a Mission Awareness Trip to Costa Rica.  I must say that visit is one of the highlights of my life.  I will never forget the experience.  I have been so impressed with the mission of Unbound and the high percentage of contributions that actually make it to the children.  I later decided to sponsor another child, this time one from the Philippines.  I have also supported Unbound by being a sponsor advocate and bringing the message to local parishes.  I even offered to help during a visit to Branson while on vacation.  The two children I originally supported are now approaching adulthood and I will continue to support them as long as they continue their education.  I highly recommend this non-profit organization for anyone wanting to reach out and help a child.  
Unbound	293601	1	/users/profile/384220	MarleneLove1	Volunteer	5	06/22/2016	My WIfe Marlene and I have been sponsors with Unbound for 4 years now.  We have been Blessed by God in so many ways.  We have a house, 2 cars that run, food in our refrigerator and plenty of  fresh drinking water, money in our pockets and in the bank, 9 grandchildren, we have our health, and most importantly we have our Faith in our Lord and Savior Jesus. In the past history of the Bible they talked about tithing which is giving 10 percent of the first fruits of the field and flock.  No where in the New testament does it still refer to this 10 percent of giving but Marlene and I want to give even more back to God by sharing the abundance with his less advantaged children and not only the physical gifts but that of our Spiritual gifts through our actions and prayer.God has given us many many gifts and we will share these gifts with others because we don't need them all just for ourselves.  We may not have millions of dollars but will share what extra we have with others.  Erma Bombeck once said;  When I stand before God at the end of my life, I would hope that I would not have a single but of talent left, and could say to God, I used everything you gave me.  Thats the motto of the Clark family.Unbound has given us the opportunity to help others that are not in our neighborhood or even our own country.  There are people all over the world who need the help of those that God has given more and we intend on doing just that.Unbound has allowed us to sponsor a child in Uganda.  We write letters and send photos and receive letters and photos.  We even get our 9 grandchildren involved in writing too. Its a Clark family effort all 17 of us.Life is like a test.  God gives us many gifts and watches what we do  with them.   Do we keep them all to ourselves or do we share as Jesus taught us.God Bless Unbound for their efforts in allowing us to share our gifts with others.Bob & Marlene Clark and Family  ,   All 17 of us.
Unbound	292722	3	/users/profile/383273	kalibee	General Member of the Public	5	06/11/2016	Unbound is very transparent and forthcoming with information regarding how your contributions are spent.  People giving lower ratings because the organization has taken its Christian roots out of it's name are being silly.  The Christian foundation is still there but you don't have to be Christian to help and I think the rebranded name, Unbound, is very fitting.  I scrutinized Unbound before sponsoring to see if I could find any negatives.  I couldn't find any and now sponsor four friends.  We also contribute to Unbound through Amazon Smile because every little bit helps.
Unbound	291408	3	/users/profile/381818	ParishNurse37	Donor	2	05/30/2016	We have been sponsors to CFCA/Unbound for over a decade and for the most of those years had been well pleased with how the organization and its programs had been run, but that was until the significant name change and corresponding mission drift.  The practice  of 'deliverance'  -- freeing those who are bound -- is a serious work of the Christian community that cannot occur without reliance on God in the name of Christ!  (See Luke 10:17). We had been well impressed with the agency in years past, because it had appeared that the organization was faithfully following the Biblical ideal of providing practical assistance along with the Gospel. Now it appears that their friendship with the world, the lure of riches, etc. (James 4:4; Mark 4:19) have choked out the genuine Gospel message, in that the organization has transformed itself into a "humanitarian organization" rather than a Christian "ministry." Jesus rebuked followers who cared little for his teachings but wanted only to receive bread (John 6:26); then as now He urges us to "not work for food that perishes, but food that endures unto eternal life" (John 6:27).  We feel  very disappointed by Unbound, because it appears that the organization is emphasizing the food that perishes rather than the food that endures to eternal life. Furthermore, although the organization has received high marks from non-profit rating agencies, there is a small detail we've discovered recently, one which brought a twinge of sadness to our family. We have always sent donations for birthdays and Christmas to our sponsored elder, believing that these donations would be hers (perhaps minus some small administrative fee?). However, the donations that are supposed to be personal gifts to the sponsored are the donations which are POOLED and used however.  Think about that business tactic for a moment. How would you feel if a friend sent you a personal gift and you found out that your 'family' took that money and did whatever they wanted to with it, and that maybe you received very little or none of it? How would that make you feel?  There is something about that policy that seems terribly unjust and disingenuous.  The organization claims that all basic sponsorship monies go directly to support of the sponsored, yet ironically, those are the funds that would most reasonably be expected to serve ALL the participants. At this point we are still sponsors, but having observed  all the organizational changes during the previous decade have caused us to reconsider our level of support. 
