org	id	likes	reviewer_url	reviewer	type	rating	date	review
Lake Champlain International (LCI)	304867	1	/users/profile/396062	Lynn110	General Member of the Public	5	09/15/2016	LCI works very hard to clean up Lake Champlain for the environment's sake and for the sake of all who live near, work near or on, and use our lake for recreational purposes.  It supplies drinking water to thousands of people who live near it.  Lake Champlain supports a variety of wildlife in and near it.  It is vital that we support LCI in helping them to clean up areas of the lake and get legislation passed so that polluters will stop and would-be polluters will think before dumping toxins into our precious and fragile water.
Lake Champlain International (LCI)	304735		/users/profile/395915	Writer	General Member of the Public	5	09/15/2016	No one works harder at ensuring that we focus on clean water.  Lake Champlain is our most important asset, and it seems that Lake Champlain International is the only organization that is fighting to keep it clean!  Thanks for all that you do!
Lake Champlain International (LCI)	287204		/users/profile/259651	2707	Professional with expertise in this field	5	04/25/2016	I have been a Let's Go Fishing Instructor for many years now and have recently started working with James and his staff at LCI with The Boys and Girls Club of Burlington, The King Street Center and Spectrum Youth and Family Services. We had an event this past summer where the kids visited a fish hatchery and fished for several hours and then learned how to clean and prepare their catch followed by a picnic where the some of the kids had fresh fish for the first time. The second event, The Lake Supper, was just a few weeks ago where the kids helped me prepare several different dishes all consisting of fish from Lake Champlain.  The dinner was well attended and the kids worked hard showing a genuine interest in the food itself and the fact that it all came from Lake Champlain. I work with volunteer groups all over the country and these events are two of the most special and rewarding things I have ever done as a volunteer, angler or chef.  I look forward to continuing this relationship with The LCI and helping to educate the kids of these groups and others on the waters and fish of Lake Champlain.Jimmy Kennedy
Lake Champlain International (LCI)	198844		/users/profile/259651	2707	Volunteer	5	04/24/2014	I have been an instructor with The Let's Go Fishing Program for many, many years now and it's one of the most rewarding programs I've ever been associated with.  The educational efforts by this program and the LCI in general are second to none.  As an angler and Vermont resident, I feel very fortunate to have the LCI as a teacher, protector and advocate for Lake Champlain and I look forward being involved with them for a long time. Jimmy Kennedy
Lake Champlain International (LCI)	285567		/users/profile/375570	Writer	Client Served	5	04/11/2016	Our school recently hosted a visit by James E.  He was speaking to a group of fifth and sixth graders about water safety and quality. He was engaging, informative and well prepared for his presentation. James made a nice connection with our students.
Lake Champlain International (LCI)	285551		/users/profile/375551	Writer	Board Member	5	04/11/2016	I am a sponsor, volunteer and board member of Lake Champlain International.Three years ago I found out how much more than a fishing tournament, LCI  is.After meeting James Ehlers, the executive director, I immediately knew that getting involved with this non profit was part of my calling.  Funded entirely by donations and grants, LCI does incredible advocacy for a swimmable, drinkable and fishable Lake Champlain. Tireless efforts at public education and legislative reforms are what LCI does to promote and insure the improved health of our beloved lake and it's tributaries.  I have personally seen this progress, especially at the statehouse, with many legislative reforms all designed to insure better water quality for Vermont.When I think about it, there is no one single effort that benefits everyone that clean water.Keep up the good work!
Lake Champlain International (LCI)	285545		/users/profile/375546	Writer	General Member of the Public	5	04/11/2016	James Ehlers from Lake Champlain International was a guest speaker at our 2016 Global Issues Network Conference at Rutland High School.  Students who attended his presentation called it "interesting" and "informative".  One student said, "I like the way he connected it to local issues.  Like if we do something in Rutland, it can affect the water quality someplace else."  Others liked the fact that he emphasized how students as individuals can help improve water quality.
Lake Champlain International (LCI)	285420		/users/profile/375407	Writer	Volunteer	5	04/09/2016	I have been volunteering at LCI for the past few months, and I am impressed by the work of this organization. I recently volunteered at a supper for youth  in Burlington, and I was touched by the joy these children and youth experienced. I work in education and one of my beliefs is that the best way to learn is to do, and that is precisely what the children did. Many of them worked with the chef, Jimmy, to prepare the food which was mainly local fish. Not only is this organization dedicated to the welfare of the lake but also to that of the community. A homeless youth was offered a job by one of the attendees of the event because of his ability to follow direction, confidence, willingness to learn, confidence, and attitude in general. I thought that was wonderful. I'm glad to be a part of this organization. 
Lake Champlain International (LCI)	285299		/users/profile/375279	trevien	Professional with expertise in this field	5	04/08/2016	My name is Trevien Stanger, and I am writing today to enthusiastically report on my classs experience have James Elhers of Lake Champlain International speak for us on a recent Thursday morning.  I teach an Introduction to Environmental Science course at the Community College of Vermont (CCV) here in Winooski, and weve been spending the last couple of weeks wading through the science, policy, and ethics associated with clean water here in the Champlain Basin.  Weve done water testing in the river, read over the State of the Lake Report, examined case studies from other impaired watersheds, and have taken the time to closely look at our own water foot-prints.  However, I could tell that an element was missing in our studies namely a sense of true, impassioned engagement, and Im happy to say that James provided us with this and much more.Over the course of our hour together, James provided students with a strong, coherent, entertaining narrative of why Lake Champlain is impaired he walked us through the science of algae blooms, the interconnectivity of watersheds, and the chemistry of human waste systems.  However, it was in pivoting to the policy problems and opportunities that James started to bristle with passion and fire, and you could see the students respond.  By revealing the economic and personal impacts these water issues are having on real people in the Basin, James helped transform this at-times abstract information into the ongoing, real-time problem that it is.  In discussing how much of the policy around food, development, and urban infrastructure impacts our watershed, James demonstrated that each of these issues can be worked on at various levels, and that with greater public participation, we could potentially start seeing real progress in the years to come.
Lake Champlain International (LCI)	284823		/users/profile/374880	Fishin_Magicians	General Member of the Public	5	04/05/2016	LCI is a wonderful family organization that is very passionate about keeping Lake Champlain and surrounding waters clean, drinkable, and fishable.  They go above and beyond to promote positive outcomes for Vermont and its waterways.  They keep people informed about how to help keep these waters healthy for the future.  I can't say enough!!
