org	id	likes	reviewer_url	reviewer	type	rating	date	review
LostNMissing, Inc	275960	1	/users/profile/365648	Ed__41,	Client Served	5	01/07/2016	From the first time Our family contacted Cynthia from lostnmissing she has been a great comfort to our family, no matter what time of day she was always there for us. Our search for our son came to a tragic end and I don't know how we could have held up if not for the help of lostnmissing.They made missing person flyers and helped our family get billboards(at no cost to our family)thru out the Boston area. Lostnmissing did not stop when Dennis was found they have continued to be a source of strength to our family thru these very difficult days.Our family do not have enough words to express how much we have been comforted and helped by Cynthia and all the staff at lostnmissing.With our thanksEd bushard
LostNMissing, Inc	320459		/users/profile/412994	layla123	Client Served	5	12/23/2016	Very helpful and always responsive with any questions and concerns. Highly recommended.
LostNMissing, Inc	320324		/users/profile/412696	Writer	Client Served	5	12/20/2016	Lost and missing was in contact with me within hours on the day that i registered. The work that they do is amazing! So many people would be "lost" without them!
LostNMissing, Inc	318797	1	/users/profile/410061	Amy_303	Client Served	5	11/12/2016	I wish there was not a need for what Cynthia does, but, unfortunately there is.  The moment Cynthia found out about my son, she was on it.  I had tremendous support through the worst time of my life and I will be forever grateful and humbled.  
LostNMissing, Inc	302398	1	/users/profile/393530	butter1	Client Served	5	09/02/2016	My son was missing. Lostnmissing created flyers and Facebook page  that helped get it to the public. because of their help my son has been located. Thank you Lostnmissing
LostNMissing, Inc	273690	1	/users/profile/362968	Barb42	Client Served	5	12/03/2015	Cynthia was wonderful in setting up the page for my missing boyfriend and giving me resources and also turning the page to a memorial page once he was not found alive 7 weeks after.
LostNMissing, Inc	250182	1	/users/profile/338014	Alicia48	Volunteer	5	07/27/2015	I have been helping a man search for his missing sister, Tammy Sue Clements who went missing in 1980 at age 15. This gentleman is uncertain how to navigate these terrible waters. I reached out to MANY organizations with what info I had- trying to get this little lost girl out there where her voice could be heard. She had not even had a missing persons report filed- ever. The organization Lostnmissing was the fist organization to help me- to help us I should say. Through them Tammy had her first flier made, and we were finally able to start posting her to many different pages. We had great difficulty in getting the NCIC number so that this little girl could be listed at sites such as doenetwork and namus. Lostnmissing not only took our report, but helped us gain the ncic number from a small town police department who were reluctant to give it to family. Their advocacy for the lost has helped us immensely and inspired me to continue working with families,  knowing I have them to aid me. 
LostNMissing, Inc	249332	2	/users/profile/337163	Sherly J.	Client Served	5	07/22/2015	I am so glad that i found Lost N missing group. When my son Reny Jose went missing they posted a video about my son that made me cry. The pictures,posters and face book messages anything i asked they will post for me. They are my close family that I  can count on when I need.I got a lot of support from them. 
LostNMissing, Inc	249315	2	/users/profile/337146	Lorie K.	General Member of the Public	5	07/22/2015	This non profit is a blessing to the Missing and endangered in our country. 24 hours a day, state reps are on social media with any and all information they have to help families and the lost find their way back home.  The dedication of these people, is above and beyond. My own daughter volunteered, who passed away in May. She worked endless hours posting to help families, identify John and Jane Doe's, and those missing for years. The agony of families, cases long forgot by police, and these families need closure and peace, and these folks with Lostnmissing wont stop till every lost soul is found, and closure is final.
LostNMissing, Inc	249092	1	/users/profile/336926	AlyssaS	Client Served	5	07/22/2015	My mother disappeared in 2005.  Lost and missing helped me create pages and flyers that have gone cross country. They are angels!! 
LostNMissing, Inc	275960	1	/users/profile/365648	Ed__41,	Client Served	5	01/07/2016	From the first time Our family contacted Cynthia from lostnmissing she has been a great comfort to our family, no matter what time of day she was always there for us. Our search for our son came to a tragic end and I don't know how we could have held up if not for the help of lostnmissing.They made missing person flyers and helped our family get billboards(at no cost to our family)thru out the Boston area. Lostnmissing did not stop when Dennis was found they have continued to be a source of strength to our family thru these very difficult days.Our family do not have enough words to express how much we have been comforted and helped by Cynthia and all the staff at lostnmissing.With our thanksEd bushard
LostNMissing, Inc	245698	1	/users/profile/332907	Love2Akil	Client Served	5	06/19/2015	Amazing support and compassion for the missing and their loved ones.  I pray that you never have a loved one go missing, but if you do, I pray that the resources of LostNMissing be available for you.  From creating FB pages to identifying resources for billboards, this organization made me feel as if I was the only client served and all along held my heart with genuine concern and empathy.  Even after my son's remains were recovered, they checked in to see how I was doing. You have no idea how simple kindness can help a grieving heart.  Thank you LostNMissing: you provided resources, hope and kindness in my darkest hour.
LostNMissing, Inc	245244	1	/users/profile/332369	drewb01	Client Served	5	06/14/2015	When we alerted the news about my sister's disappearance, Cynthia from LostNMissing contacted me right away. They had created missing posters, and contacted me to ask if we would like the story published the story on their site. Cynthia collected the information needed to give a complete and accurate description and everyone from the organization were very compassionate, caring and helpful. They were prepared to do whatever it took to make sure the story was out there. The organization had many contacts available for us for news organizations and offered to help set up interviews. Cynthia offered a ton of great advice from searching to making public statements. She helped provide tips and potential leads to the police and was constantly searching for information leading to the recovery of my sister. The staff at LostNMissing created a facebook page to spread awareness and were vigilant in monitoring it for any leads. I can't thank them enough for their help, prayers, compassion and care. This is a truly wonderful group of people! Drew Bradshaw
LostNMissing, Inc	243701	1	/users/profile/330526	DavidofAfrica	Client Served	4	05/27/2015	This is a very important organization with an excellent team who cares about the missing and reacts promptly. We need more people like them in the world. I contacted the Sacramento Police and told them about my missing brother but they didn't do anything at all. They didn't at least follow their procedures of listing him as a missing person who is mentally disable and unable to feed himself with no where to sleep. lostnmissing got on the task and thanks to the team, we have found my brother. Thanks again Cynthia and April!
LostNMissing, Inc	239590	4	/users/profile/325448	Forevergratefulclient	Client Served	5	03/21/2015	I can say the LostNMissing is an organization that helped us above and beyond. They are by far the most organized, detail oriented, and steadfast non profit that I had the pleasure of getting involved with. They just took the bull by the horns and did what needed to be done and for nothing in return. I cannot express how grateful we are that when the media, law enforcement and people let you down a total stranger walks in to lift your  faith in humanity. At our lowest point in our lives Cynthia Caron came into it and gave us hope and showed us compassion in our situation. I would highly recommend their site to anyone that is in dire need of help. 
