org	id	likes	reviewer_url	reviewer	type	rating	date	review
Tamarack Foundation Inc	220772		/users/profile/284460	lkovatch247	Client Served	5	10/08/2014	I can't say enough good things about the Tamarack Artisan Foundation & its staff!  As a new participant in their Rural to Urban Markets program, I have witnessed their determination to help West Virginia artisans flourish.  They provide access to  an incredible network of support, from accounting  to professional photography.  With their financial assistance, I now have an opportunity to enter the wholesale market with a new level of professionalism, well-prepared to grow my small business. (I believe in the organization so I became a member of the Tamarack Artisan Foundation, too!)
Tamarack Foundation Inc	220761	1	/users/profile/284447	mrestep	Volunteer	5	10/08/2014	Tamarack Artisan Foundation is one of the finest organizations I have ever worked with as a volunteer! They develop some of our nation's superb artisans. Every dollar counts that the organization manages...bringing amazing results from donor gifts. Their leadership are top professionals...Sally Barton and her team have moved the foundation into major new endeavors focused on assisting WV artisans to be economically viable. Giving to the Tamarack Artisan Foundation assures the donor that their gift WILL make a difference in the career of an artisan!  Michael R. Estep
Tamarack Foundation Inc	207920		/users/profile/270620	elahr	Client Served	5	07/31/2014	"Angels Along the River" is my first and only book.  Tamarack is the place that sells the most.  That an unpublished person can get that kind of support and exposure is both outstanding and heartening.
Tamarack Foundation Inc	206496		/users/profile/268929	MichaelDavis	Professional with expertise in this field	5	07/17/2014	I am truly impressed by the comprehensive professionalism of the Tamarack Foundation and its staff. I know of a number of people that have benefited greatly from their work. The Tamarack Foundation is making a real difference in this state.
Tamarack Foundation Inc	206096		/users/profile/268452	9-6-17-64	Professional with expertise in this field	5	07/15/2014	This Foundation and its professional staff endeavor to promote Artisans of West Virginia, giving them support of skills, venues to create sales, and  commaradie of like artists.
Tamarack Foundation Inc	206075		/users/profile/268417	Colleen_Anderson	Client Served	5	07/15/2014	Tamarack Foundation helps West Virginia artists in so many ways, including one-on-one technical and marketing counseling, workshops, and direct aid to artists in need. Over a period of many years, they have helped me promote and improve my own small creative shop. This foundation is in it for the long haul, doing good work that benefits West Virginia artists throughout their careers.
Tamarack Foundation Inc	206060		/users/profile/268388	laskasgrove	Client Served	5	07/15/2014	Tamarack Foundation Inc provides well conceived opportunities for West Virginia artists to grow artistically and professionally. As artists and financial professionals they understand the artist's  frustration of balancing time in the studio with time at the business desk. The programs they offer clearly help us be more efficient and productive. I am thankful for the classes I have attended. 
Tamarack Foundation Inc	206058		/users/profile/204204	Merideth Y.	Client Served	5	07/15/2014	The Tamarack Foundation helped hone my skills as an artist and introduced me to the world of wholesale.  All I can say is they have opened doors for my craft to be seen and for buyers to purchase it.   They put me on the map.  I wouldn't be where I am today with the help and support of the Tamarack Foundation.
Tamarack Foundation Inc	153398		/users/profile/204204	Merideth Y.	Client Served	5	04/08/2013	The Tamarack Foundation has been monumental with my goals to better myself as an artist.   I am a West Virginia jewelry artist who turned to them for support and mentoring.  They have helped me hone my skills by taking me and 2 others to one of the best wholesale shows in the country and paying the all the fees.  I would never have been able to participate without this grant.  But the best thing is how they  taught me the skills to be a wonderful business woman.  The mentoring is priceless.  We learned from the 3 artists they took last year.   Most serious artists have the skills to sell their product in the world.  The hard part is obtaining the audience that will respect and potentially buy the product you made.  They taught me and brought me to a place where that happened.   I have also participated in business summits they have held at Tamarack.  They have been instrumental in my development of being a successful artist.  I really couldn't have done it without them.   This knowledge I have learned will be shared with three new artists for next year's wholesale show in Philadelphia.    They have challenged me to be a better artist and I love them for that.
Tamarack Foundation Inc	205238		/users/profile/267367	SusanFeller	Volunteer	5	07/06/2014	The Tamarack Foundation provided me with support and recognition as a Fellow in 2013.  This honor validated the research and artistic direction I am pursuing with traditional fiber crafts.  A small organization with a large network, the programs developed for marketing and business have benefitted hundreds who are contributing to the economy of West Virginia. 
