org	id	likes	reviewer_url	reviewer	type	rating	date	review
Fellow Mortals, Inc.	230855	2	/users/profile/88090	Mary Ellen,	Volunteer	5	10/30/2014	The staff members at Fellow Mortals are the most dedicated, hard-working, and compassionate people I know.  With them, the animals always come first.  All patients are given the attention and respect they deserve, whether big or small, furred or feathered.  I first went to Fellow Mortals when I found a dead opossum mother with what I thought were two surviving babies.  (There were actually seven more babies still tucked in the mother's pouch.)  Now I am a volunteer, and I can't imagine a better use of my time.  My life is richer in so many ways because of my association with Fellow Mortals.  This organization deserves everyone's support, whether it be gifts of time, talent, money, or all three.
Fellow Mortals, Inc.	314229		/users/profile/405592	johnoMuirkirk	General Member of the Public	5	10/25/2016	We visit Fellow Mortals from Scotland every year. They are a fantastic example of dedication to the creatures of our natural world.  No animal is ever turned way even if it means the staff working until late into the night to ensure that it has the best chance of survival and recovery. The staff members go 'above and beyond' and prioritise animal care over all personal considerations.As a charitable organisation they have a fantastic support from dedicated volunteers but can always use more help and donations from generous benefactors.
Fellow Mortals, Inc.	313225		/users/profile/36989	mamabee	Volunteer	5	10/21/2016	This organization is truly a group of selfless souls whose sole purpose is to assist in the rehabilitation and care of countless orphaned and injured wildlife.  Be very sure that every animal in their care is given the amazing opportunity to heal and be released back to the wild where they long to be.  xo
Fellow Mortals, Inc.	36205	10	/users/profile/36989	mamabee	Volunteer	5	04/20/2010	Words cannot describe the feeling which overcomes you when you see an injured animal.  At times I will see a bird which has just been hit by a car laying in the middle of the road, panicking; and people just keep driving around it and some would not even take the time to do that.  Fellow mortals is a sanctuary for these souls to come 'bounce back' and at times a safe peaceful place to 'carry on' it's journey.  The staff at fellow mortals work countless hours caring for these animals as if they were their own children. Faces beem on release day when an animal is finally 'set free' to return to it's natural environment, and the commitment and effort has finally paid off.  And on the day that an animal is so badly injured that there is nothing that can be done, tears are shed.  I know; I have heard these stories. I am from Canada and my daughter has been a rehabilitator at the hospital for almost 5 years now. When I visit Jess I will go to the hospital and help in any way I can.  I miss my daughter very much but I believe in what she does and I am very proud of what she does. I beleive this organization has used it's expertise to better educate the community in interactions with wildlife.  More people should read the stories on their website.  I believe it would open many eyes and hearts as to what the excerpt on Fellow Mortals' home page means 'A Living Philosophy based on the belief that encouraging compassion in humans toward all life brings out the finest aspects of humanity.God Bless each and every one of them!!!
Fellow Mortals, Inc.	297281		/users/profile/388063	Writer	Client Served	5	07/19/2016	It is so good to know that there is a caring place to help injured birds and mammals in my area. I am thankful for their services.
Fellow Mortals, Inc.	295006	1	/users/profile/385803	Writer	Donor	5	07/08/2016	Fellow Mortals is such  wonderful place staffed by a really remarkable staff.  We have brought  birds to them in  3 different years.  The staff are always so positive and welcoming when we arrive.    They were so gentle and caring as they quickly took each bird in and assessed it's injuries and made it comfortable.  One of our trips was to bring in a baby squirrel, found hiding from a kitten under our car.  The girl who admitted the squirrel let us know it was a little girl and acted so happy to see her.   Fellow Mortals kept her for the winter and released her in the spring.  This is a really amazing place with loving people who are incredibly dedicated to all animals.  My favorite charity. I know that donations will be used to help an animal that will be helped by loving caregivers.
Fellow Mortals, Inc.	294661	1	/users/profile/385404	Writer	Client Served	5	07/04/2016	I found a fawn today, that appeared to be completely blind.  The fawn was circling in water about a foot deep, on Koshkonong Lake.  I called the DNR, who would not help, except to transfer me to the fine people at this non-profit.  These folks called me back very quickly and were not only willing to help, they encouraged me as I attempted to capture this blind baby deer.  I was able to capture him and bring him to these lovely people.  Today is July 4th.  The fact alone that these fine people are there to take me call is impressive - and they stepped well above that, by waiting while I drove an hour to get there with the little baby.  They deserve every bit of support that they can be given.  
Fellow Mortals, Inc.	293913	1	/users/profile/384587	Writer	Client Served	5	06/26/2016	we found a fledgling robin and a fledgling Baltimore oreal in our yard, we called fellow mortals and brought them in and right away I could tell that the birds were in good compassionate hands, the people who took thebirds were so gentile and kind to them, I will always take any orphaned animals I find to fellow mortals in the future
Fellow Mortals, Inc.	293652	1	/users/profile/384280	MrsamyB	Client Served	5	06/22/2016	Fellow Mortals is a wonderful  non-profit organization. They were kind and helpful over the phone as we were seeking assistance for a nestling robin. They gave us clear and concise directions and we were able to get the bird  into their care safely. Fellow Mortals is really great!
Fellow Mortals, Inc.	293476	1	/users/profile/384075	hanna_mulcahy	General Member of the Public	5	06/21/2016	Took a bird in that a more local facility would not take
Fellow Mortals, Inc.	293473	1	/users/profile/384072	Lisa555	Client Served	5	06/21/2016	My daughter found a baby bird, like a four day old bird, in a gutter. She looked for a nest and there was none to be found. She took the bird home and cared for it all night, and it survived!! We made a couple of phone calls with absolutely no luck of finding a facility to help our bird. What do you do, when your child has put her heart into caring for an animal and no one will help you? You TRY harder! We were directed to Fellow Mortals. I left a message describing our situation and as much detail about our bird as I could. Our call was returned promptly and the woman on the phone was so extremely kind and helpful, she even texted me with their address because I didn't have paper or a writing utensil! We drove from McFarland, a little over an hour, to deliver our bird. I taught her how to love all animals, so how could I not give this little life a fighting chance?! I thank God for them, I don't know what I would have done! They were so sweet, compassionate, and grateful. We received a "patient sheet" with our birds info and picture so we could check in. I am forever grateful to them for showing my daughter there are good people in the world who care and are willing to help. Thank you so much for what you do! You all are very special and we are so happy that our bird found a temporary home. Please donate to this wonderful safe haven for wildlife, they are a blessing to us all!! Keep doing great work! You are making a difference!
Fellow Mortals, Inc.	293126	1	/users/profile/383700	reeGordon	Client Served	5	06/15/2016	This morning, after a severe storm, I discovered a drenched fledgling in my driveway laying on its back struggling to turn over. After scooping it up, I kept it warm until I was able to make an appointment with Fellow Mortals to bring it in. I cannot tell you how very thankful and relieved I am to be able to have someplace to take these poor creatures. The caring. compassionate staff are knowledgeable and kind. I will sleep peacefully knowing that the sparrow is in good care.
Fellow Mortals, Inc.	230855	2	/users/profile/88090	Mary Ellen,	Volunteer	5	10/30/2014	The staff members at Fellow Mortals are the most dedicated, hard-working, and compassionate people I know.  With them, the animals always come first.  All patients are given the attention and respect they deserve, whether big or small, furred or feathered.  I first went to Fellow Mortals when I found a dead opossum mother with what I thought were two surviving babies.  (There were actually seven more babies still tucked in the mother's pouch.)  Now I am a volunteer, and I can't imagine a better use of my time.  My life is richer in so many ways because of my association with Fellow Mortals.  This organization deserves everyone's support, whether it be gifts of time, talent, money, or all three.
Fellow Mortals, Inc.	269412	1	/users/profile/288298	Pixiecat55	Donor	5	10/29/2015	Fellow Mortals, a wildlife rehabilitation center in Wisconsin, is an exemplary rehabilitation center that cares for injured and orphaned wildlife in the hopes of returning these animals to their natural habitats. The staff of Fellow Mortals demonstrate remarkable knowledge and care in providing animals a chance to heal and thrive. Each animal patient is evaluated, treated, and provided nutrition and a safe place to heal. If an animal is unable to self feed, then they are hand fed by gentle and caring staff.  I have had the opportunity to sponsor one of the many animals that are unable to return to their natural habitat because they are too disabled to fend for themselves.  Parker Bunny was able to enjoy  a winter of good nutrition, medicine and a safe place to stay.  I received a picture and an update when I contacted Fellow Mortals asking how Parker was doing.  The ultimate goal of Fellow Mortals is to nurse injured animals or take care of orphaned baby animals until these creatures are able to be on their own.  I highly recommend offering your support to this amazing and needed wildlife rehabilitation center.  
Fellow Mortals, Inc.	224536		/users/profile/288298	Pixiecat55	Donor	5	10/20/2014	I can't say enough about Fellow Mortals!From their top notch staff and interns, to the loving care they give to their animal patients, Fellow Mortals goes above and beyond any wildlife rehabilitation hospital.  I have had the privilege of seeing them in action and they provide excellent care to injured and orphaned animals.  I have been able to sponsor one of the many animals that cannot be returned to the wild because of their injuries named Parker Bunny.  Fellow Mortals also provides wildlife education using some of their special animals in the hopes that more people are aware of their valuable service.  My recommendation to all is to support this vital lifeline for our injured and orphaned animals.
Fellow Mortals, Inc.	261898		/users/profile/350542	Writer	General Member of the Public	5	10/06/2015	Fellow Mortals staff care about each and every wildlife patient they take into their care, to the smallest mouse to the great Bird of prey , every life is important. We are so fortunate to have a place like this around
Fellow Mortals, Inc.	261819		/users/profile/350459	Arthur10	Volunteer	5	10/06/2015	I volunteer there and they have the best group of really dedicated people. 
Fellow Mortals, Inc.	261779		/users/profile/350409	Cindy192	General Member of the Public	5	10/05/2015	This is an amazing facility run by the most selfless individuals, their time is spent tirelessly caring  for our wild friends and their triumph begins and ends with the outcome of each life saved!  I am glad that I have had the opportunity to help such an amazing non profit and I am glad to call them friends!
