org	id	likes	reviewer_url	reviewer	type	rating	date	review
Saving Our Avian Resources S O A R	303744	5	/users/profile/270988	ShiK,	Donor	5	09/12/2016	I have been a fan, a follower, of SOAR since Ambassador Decorah was first brought to them by Bob Anderson after being rescued.  I often check SOAR's Patient pages to see how current rescues are progressing.  The wide variety of birds rescued, treated and rehabbed by SOAR director Kay Neumann, her staff and volunteers is uplifting; but, as a non-profit there is always a need for funds. Vet fees, test equipment, medicine, flight cages, not to mention food, are just a few of expenses in running rehab facility.  I try to do my bit by buying gas cards to pass out to the volunteers who pick up and deliver injured birds to SOAR a few times a year.Besides caring for all the patients at their facility, SOAR trains and provides Ambassador birds and works with other organizations conducting research, and does education outreach.  Earlier this year was heartbreaking when 13 Eagles were brought in for care and only one survived for release this summer.  SOAR's multi-faceted education efforts to make the public aware of the dangers of lead poisoning are so very important...whether presenting to schools, hunting groups, conservation groups  or making information available on  alternatives to lead hunting and fishing to where lead free ammunition can be purchased.Every year SOAR patient intakes increase...every year the need for funds also increases. 
Saving Our Avian Resources S O A R	320550		/users/profile/411518	Lynette K.	Donor	5	12/28/2016	In 2007 I started watching the Decorah eagles online daily.  When Ambassador Decorah was saved by SOAR  I was so impressed and started following SOAR on Facebook.  I have always had a love for eagles  since they are a symbol of our country and I am very patriotic.  Eagles always come to my hometown of Council Bluffs, Iowa every year from January to March and you can see them around Lake Manawa and the Missouri River.  I have become a monthly donor which is an honor for me to be able to help such a great organization as SOAR who is located in my home state of Iowa.  Thank you SOAR for everything you do!
Saving Our Avian Resources S O A R	303820		/users/profile/140221	iver B.	General Member of the Public	5	09/13/2016	The best raptor rehab! Best raptor caregivers. Best  providers  of raptor and lead education. 
Saving Our Avian Resources S O A R	104560		/users/profile/140221	iver B.	Donor	5	01/25/2012	SOAR is the "go to" raptor rehab center, even as far away from Dedham as Decorah.  They have consistently accepted injured and sick eagles from the Decorah area on short notice and provided them exceptional care.  As a community member, nominal donor and raptor (and all wildlife) lover, I appreciate their service, dedication and excellence.  Thank you SOAR!  Becky Burland, Decorah, IA
Saving Our Avian Resources S O A R	303799		/users/profile/394966	Denise Remillard C.	Donor	5	09/12/2016	Caring for wildlife, especially raptors, that suffer because of the careless behavior of some humans...
Saving Our Avian Resources S O A R	303744	5	/users/profile/270988	ShiK	Donor	5	09/12/2016	I have been a fan, a follower, of SOAR since Ambassador Decorah was first brought to them by Bob Anderson after being rescued.  I often check SOAR's Patient pages to see how current rescues are progressing.  The wide variety of birds rescued, treated and rehabbed by SOAR director Kay Neumann, her staff and volunteers is uplifting; but, as a non-profit there is always a need for funds. Vet fees, test equipment, medicine, flight cages, not to mention food, are just a few of expenses in running rehab facility.  I try to do my bit by buying gas cards to pass out to the volunteers who pick up and deliver injured birds to SOAR a few times a year.Besides caring for all the patients at their facility, SOAR trains and provides Ambassador birds and works with other organizations conducting research, and does education outreach.  Earlier this year was heartbreaking when 13 Eagles were brought in for care and only one survived for release this summer.  SOAR's multi-faceted education efforts to make the public aware of the dangers of lead poisoning are so very important...whether presenting to schools, hunting groups, conservation groups  or making information available on  alternatives to lead hunting and fishing to where lead free ammunition can be purchased.Every year SOAR patient intakes increase...every year the need for funds also increases. 
Saving Our Avian Resources S O A R	255194	3	/users/profile/270988	ShiK	Donor	5	09/07/2015	I have been following SOAR since Ambassador Decorah was rescued by Bob Anderson of RRP, from a stream unable to fly because of a broken wing, and was turned over to the care of SOAR.  Although Decorah will not be able to fly free, his journey to becoming an educational ambassador is an amazing story.  Besides care and rehabilitation, SOAR also provides Invaluable education on lead free hunting and fishing by raising awareness of dangers lead is to our nation's raptors.  SOAR's patient reports show the depths of their care for our raptors. On a personal note, I have been happy to donate to SOAR, and on my past birthday, my 74th, my family knowing of my love of Eagles and support for SOAR, went to SOAR's Amazon wish list and presented me with a package of gift cards from stores on that list to forward to SOAR.  An amazing gift and a joy for me to send along to SOAR.
Saving Our Avian Resources S O A R	208310	3	/users/profile/270988	ShiK	General Member of the Public	5	08/01/2014	For the first time, last year, I was introduced to eaglecams; first the Alcoa cam, then the Berry cam, and then the Decorah cam. Again this year, I followed the eagle families from egg to fledgling, officially becoming one of a growing number of eagelholics!  I was introduced to S.O.A.R when Decorah eaglet D20 was injured, rescued by Bob of RRP and S.O.A.R , and taken to S.O.A.R for treatment.  This facility does an amazing job caring for, rehabbing and finally (hopefully) releasing eagles and other birds, and educating through outreach programs to community.  S.O.A.R also works to educate sportsmen of the dangers lead has on avian populations and also works with power companies to identify and take remedial action on poles that pose risk to all birds.  I am amazed that such a relatively small organization as S.O.A.R , with its dedicated staff and volunteers, could have such a huge impact.  As such, S.O.A.R is indeed worthy of being recognized as a GREAT non-profit.
Saving Our Avian Resources S O A R	303715		/users/profile/394885	Writer	Donor	5	09/12/2016	They are constantly willing to help any raptor in need and if space might allow some others ntil can arrange appropriate placement.  I especialy hard they worked to make egle DF4 from Decorah hest sight become an Ambassor eagle.    
Saving Our Avian Resources S O A R	303700		/users/profile/206707	Barb P.	General Member of the Public	5	09/12/2016	I think that SOAR does a fabulous  job of rehabbing birds and doing wonderful educational programs that enhance the work that they do. 
