org	id	likes	reviewer_url	reviewer	type	rating	date	review
KultureCity	232601	6	/users/profile/296149	wrinkles08,	General Member of the Public	5	11/02/2014	Kulture City is a non-profit organization that truly cares for the children They understand the issues that the children are going through. They listen to the parents about the needs of their child.  They then  help the parents to obtain the needed items that will help that child to get through their day, the school day or their night. Which in turn helps the whole family function easier. Kulture City is definitely a God-send. Other organizations should take a good look at themselves then follow in Kulture City's footsteps!
KultureCity	298836		/users/profile/389724	Angelicwolf7	General Member of the Public	5	08/01/2016	Kulturecity has helped my child and my family. They helped me with my questions when my son was first diagnosed. They than a fewMonths later helped us with a weighted blanket he sleptPeacefully which I hadn't truly seen him due I had no ideaIt was Due to the autism or that he had it till just a fewMonths prior. In the past year afterwards he's been visited by their Autism Santa whose reminded him that others out there love him and think of him no matter what and he's special and wonderful just as he is. They truly are a blessing to my family have given us smiles peace and brought joy where at first their was fear
KultureCity	286795		/users/profile/376865	Kathie_B	General Member of the Public	5	04/22/2016	The day the nightmare became a reality.I am a very active member of the disability community in my area.  I work with several families and I help them navigate the system.  I also have a child with multiple disabilities.  Having a child with a disability has made me hyper aware of her actions and surroundings because simple things become hazards to her.  She doesn't stay with me and has wandered out the door when I was simply using the bathroom.  These struggles are real.  You read about them in the paper and listen to them on the news but it just sounds like words until it really happens.  I received a phone call one night from a friend with a child with autism.  Her son had made it past 2 security gates and a locked door and made his way outside.  He is attracted to water and fell into the family Koi pond.  When he was found he was unresponsive.  She called me on the way to the hospital screaming in the way only a hurting mother could scream.  I met her at the hospital and held her hand all night watching her son as they did procedures and tests and poked and prodded.  He was very lucky and has pulled through.  He has permanent irreversible damage.  I set out the next day to find a way to prevent this.  I found http://kulturecity.org/ and their LifeBoks program.  LifeBOKS are kits provided to autism families designed to prevent wandering.  The kit contains an emergency plan, a QR code patch and shoe tag for first responders to scan for child's information, a Buddy Tag bracelet that children can wear to alert the family when the child goes out of range, and information booklets on autism and wandering.  This kit saves lives.  We need to get this kit in the hands of every special needs family in the world.  I immediately donated to the cause and I will continue to donate monthly until this kit is in the hands of every family with a special needs child.  Please help me save lives by giving to this charity.
KultureCity	286794		/users/profile/376864	Megan_W	General Member of the Public	5	04/22/2016	Why Kulturecity inspires me...I've never seen an organization that truly cares as much as Kulturecity, they are not simply involved in what they do, they ARE what they do! Every person that is a part of Kulturecity has invested their entire hearts into what they do to help touch the lives of so many families across America. Not only do they help families in a multitude of ways but they also inspire them to make a difference in their own communities. I can honestly say this because not only have I seen it but I to have been inspired by them to reach out in my community to help others. Kulturecity is AUsome!
KultureCity	286793		/users/profile/376863	Elaine_S	General Member of the Public	5	04/22/2016	By Giving I Have Received Blessings Tenfold! Kulturecity.org (Toys AUcross America) started a little over 2 years ago. I was one of the first several members so have had the priviledge to see the magical transformation that started with 'just a dad mailing trains'  grow into a phenomenal act of changing our Autistic kids by giving them voices,  offering ways to keep them safe, and as parents, giving us the opportunity to receive support from each other, and since Autism is a Spectrum,  there is not a 'one size fits all'...our kids are each unique in their own amazing ways!Giving to this organization just came natural, and in return I have received so many blessings and grown to love this 'family' Dillon and I belong to! Being Dillon's Guardian and having the support from Kulturecity has been life changing for me and I am forever thankful to Michael Miller and Juilan Maha for being such an inspiration to me!
KultureCity	286792		/users/profile/376862	Danae_B	General Member of the Public	5	04/22/2016	Kulturecity.org helps autism families in so many ways. They are an organization near and dear to my heart. From giving away iPads to help children with autism find their voice to their LifeBOKS project to help keep children that wander safe and many things in between kulturecity is making a difference. As a parent to three children on the spectrum I can't begin to express how grateful I am for such an amazing organization. We have received help from them and that it why I donate to Kulturecity because it is an organization that I believe in and would stand behind 100%. Kulturecity.org could do so much good in the world of autism if they were to win.
KultureCity	286494		/users/profile/271451	wolfheart4499	General Member of the Public	5	04/22/2016	I gave to Kulturecity because I personally have seen the miracles they have done for the autism community and the lives they touch. From the toy given to a child who wonders if anyone else cares, to a weighted blanket given to one that gives them peace to sleep through the night that the family couldn't afford, so the parents can finally rest themselves. Just a sounding board for those that need to know a group exsists that understands the trials it takes raising these blessings and how special each one truly is.
KultureCity	275440		/users/profile/271451	wolfheart4499	General Member of the Public	5	01/03/2016	Kulturecity reaches out to so many they bring families hope, smiles, voices, and joy. Many families suffer with lack of ability of communication they bring voices to those children and families making communication possible. Other families suffer sleepless nights due to fear and lack of comfort they provide heart warming weighted blankets providing the much needed help children need and the sleep so many of us parents need to continue the next day. Lastly so many children feel no one understands and cares about them Autism Santa lets these kids know there is someone who understands and cares for them he reaches out and brings a little bit of joy and a smile to there loving faces and a warm smile to the families knowing we are not alone there are others who care, others reaching out to help us others who care and are holding out there hand saying take it and we will guide you. If there is anyone out there who supports us as parents with a child on the autism spectrum it's Kulturecity 
KultureCity	286455		/users/profile/298129	Deborah V.	General Member of the Public	5	04/22/2016	'Treat people the way you want to be treated', this is a quote I learned many many years ago from my parents. Little did I know, I would be repeating this same quote day after day to my son, hoping to raise him to be a kind young man who is diagnosed with Autism.  Although our family is unique with his special needs, it is non-profits and friends like Kulturecity that have given us so much joy and spread the joy to so many other families like our own.  It feels good to give, and to see those that 'get' is even more rewarding. They have an infectious giving theme that just keeps on giving.  Whether it be an iPad, a special surprise toy, a fun contest, or just a kind post on their Facebook page, they have shared many smiles across the country. Kulturecity deserves to win this grant, it will benefit many families across the miles.http://kulturecity.org/
KultureCity	238766	1	/users/profile/298129	Deborah V.	Client Served	5	03/02/2015	KultureCity is an amazing place for ASD families to feel welcome. Not only do we all get to chat in social media, but many get to meet in person and feel "normal" for once.  The gifts that KultureCity have provided to many families nationwide have been amazing and so well appreciated by all. We all have daily struggles, but just for a moment, the generous gifts give so many people happiness all around.  What an uplifting place for ASD families.
KultureCity	234052	2	/users/profile/298129	Deborah V.	General Member of the Public	5	11/19/2014	KultureCity is a fun way to feel like we belong in this society like every other typical family. With an Autistic child, it is hard to relate to many others on a daily basis. They provide us support on social media and many ways to win prizes for our kids and make each and every one of us matter.  
KultureCity	286450		/users/profile/271720	brat296405	General Member of the Public	5	04/22/2016	I give because I can.  I have donated on a few occasions to Kulturecity. They help children and families affected by autism. This is a cause near and dear to me since I have a nephew and my son with an autism diagnosis. This organization goes out of their way to make a child's day. Www.kulturecity.org
KultureCity	208962		/users/profile/271720	brat296405	Donor	5	08/06/2014	I have followed these two groups for a few months now and have been amazed at all of the lives they have touched.  They are helping kids with autism to gain confidence and see that they do matter.  Not only are they helping the kids but they are also helping the parents.  It helps us see that the world is a caring place!
