org	id	likes	reviewer_url	reviewer	type	rating	date	review
Cirras Cloud	87992		/users/profile/98823	Rebecca P.	General Member of the Public	5	04/29/2011	Cirra's Cloud is full of the love and support of it's owner and volunteers.  Cirra has a deep connection with the soldiers and their families, that is evident in the individual attention she gives everyone, that walks through the doors.  Cirra's dedication to assisting the families of our deployed soldiers goes above and beyond all expectations.  Cirra is truly an inspiration to me,and I hope to work with her in the future to help build a community of individuals, that our primary purpose is to be of service to others.
Cirras Cloud	87977		/users/profile/98805	absolutechanges	Volunteer	5	04/29/2011	Ciarra the founder of this organisation is an extreamly compassionate lady. Her mission of giving back to the soldiers and their families is something that is often overlooked and very much needed. This organization is built to serve those who have served our country and the families that support and are very much a part of that service.We need more people like Cirra in this world and more organizations like hers. God bless Cirra her non profit the soldiers and their families.
Cirras Cloud	87932		/users/profile/98748	unknown	Volunteer	5	04/28/2011	the mission here is awesome! it really doesnt get much better then this.  all of the other reviews firmly accourate about this facilitiy
Cirras Cloud	87920		/users/profile/98733	bigdip	Client Served	5	04/28/2011	An amazing center the arts and crafts are just beautiful the belly dancing rooms have full size mirrors and the yoga classes are just phenomenal. Just a great experience.
Cirras Cloud	87735		/users/profile/98492	Najla	Volunteer	5	04/28/2011	In a short time, so much has been accomplished because Cirra is always working to improve the facilities and make the public know about the services.  I chose to teach at Cirra's cloud after closing my own dance studio and know from that experience that a lot of hard work has created a beautiful organization. Cirra is a sincere, carring and hard working person.  She works tirelessly to create a beautiful, peaceful, healing center.  Cirrus Cloud Healing center is healing environment for me to teach and for my studios to learn.  There is a boutique with beautiful art for sale.  The center provides rooms for massage, reiki,  safe spray tanning and offers many healing classes.  And the bonus is that a portion of all the proceeds from services go to provide services to our active duty servicemen and their families.   
Cirras Cloud	87681		/users/profile/98421	Katie W.	General Member of the Public	5	04/27/2011	Cirra's Cloud Hollistic Healing Center, is exactly that, a place to heal and express yourself with other wonderful people who share the same heartfelt goal. I go to the belly dancing classes, and have a ball, then check out their wonderful selection of local art, herbs, oils and jewelry. Hope to see ya there!
Cirras Cloud	87676		/users/profile/98413	Stacy H.	Client Served	5	04/27/2011	Every week I come back to Cirra's Cloud there are more new and exciting things happening. I am excited that I have been able to take classes there in their awesome dance space. Also I love the selection of local art that is available. I would gladly go here for any services needed, it is a calm, and rejuvenating space! I recommend it to anyone, hope to see you there!
Cirras Cloud	87667		/users/profile/98404	DiTina	Professional with expertise in this field	5	04/27/2011	Over the past 20 years I have been involved in or started 501c3's.  I understand without a doubt the work and effort that is needed to make one successful.  Cirra's Cloud meets or beats the expectations of a non-profit. It not only appeals to the public and serves the public but it involves the public. Cirra's Cloud is an organization that is well diversed and I am proud to be a part of. 
Cirras Cloud	84842	1	/users/profile/94267	Jasmine Rain	Professional with expertise in this field	5	04/05/2011	Since my last review, the Cirra's Cloud Holistic Healing Center has gone through extensive changes!  Every time I walk into the healing center it is more and more beautiful!  The art boutique is filling up with amazing art and crafts.  The studio now has a full wall of mirrors, belly dance and yoga accessories and each therapy room is complete, painted, decorated and ready for my clients.  I am so impressed with what Cirra has accomplished with the center in such a short amount of time and with very limited resources!
Cirras Cloud	84834	1	/users/profile/94253	Rachelle	Client Served	5	04/05/2011	This is an organization with a great leader who works endless hours on every aspect of Cirras Cloud. She truley cares about helping as many people as she can in anyway  she can. From families to an individual you can gain help, information, gifts, buisness help, take a class ect...An amazing non-profit that everyone should know about!
Cirras Cloud	84827		/users/profile/94240	lynealuv	Professional with expertise in this field	5	04/05/2011	Cirra's Cloud is an amazing space & organization that has a unique vision and dream, filled with love & light. The center is beautiful, calming and has an extensive menu of services. One of the most unique things about this space is the gorgeous dance studio, full of natural sunlight, mirrors and spacious enough to hold 20-30 ppl for a dance class. You walk into Cirra's Cloud and immediately smile because the space is so relexing and beautiful. They offer something for everyone in all price ranges! A great addition to our city, and we are blessed to have Cirra's Cloud a part of Phoenix
Cirras Cloud	84799		/users/profile/94188	earthfairy	Professional with expertise in this field	5	04/04/2011	Cirras Cloud has amazing energy and top notch space.  Each room transports the soul to a safe place for healing and health.  Their Yoga studio and healing rooms are airy, calm and clean. * Don't miss Cirra's collection of beautiful local art for sale.   Definitely the perfect place to share your gifts or receive healing.  This is the best space I have seen in the Phoenix area!  Earth FairyWellness Guide
Cirras Cloud	84795		/users/profile/94186	Diane	Volunteer	5	04/04/2011	I have received a reiki session at the Cirra's Cloud Holistic Healing Center.  I felt very safe and relaxed.  The therapy room was beautiful with candles and soft scents.  With my treatment, I felt a lot of heat and loving energy.  I would highly recommend the services offered here!
Cirras Cloud	84774		/users/profile/94148	awag	Client Served	5	04/04/2011	Cirra's Cloud has helped me in a number of ways, from allowing me to volunteer with several projects in the past assisting families of soldiers to current with the Holistic Health Care Center. The wonderful atmosphere and array of natural products available are impressive. I'm beginning to eat better and I definitely have more energy. I'm going to a Yoga class for the first time at the center and hope to attend other work shops etc... to try and become more healthy and spiritually sound. I hope to see you there. Adam C. WagnerCEO/Unique Entertainment Inc.
Cirras Cloud	84772		/users/profile/94146	Loving Heart	Board Member	5	04/04/2011	Cirra's Cloud has come so far, so fast!  After being founded two years ago, Cirra's Cloud has now opened the Cirra's Cloud Holistic Healing Center.  This center boasts 3500 sq. ft of tranquil healing space.  They have a dedicated studio for belly dancing, yoga, workshops and classes.  There are four treatment rooms, two ADA accessible bathrooms, a spray tanning room, an art boutique, a lounge, a full kitchen, an extra bath with a shower for body wraps and a large room which will soon be a full service hair salon!  The healing practitioners are top notch and have a genuine love of helping others!  This is the first non profit spa of its kind!  30% of all sales are donated to this great organization, so each dollar you spend is actually a donation to this worthy cause!
Cirras Cloud	73431		/users/profile/80252	Brianna T.	General Member of the Public	5	02/23/2011	Cirra's Cloud is a wonderful organization dedicated to helping the families of deployed soldiers in Arizona.  They are always finding new ways to selflessly support, assist and comfort these families the way that their loved ones do for our country.
Cirras Cloud	72687		/users/profile/79457	Zeke	General Member of the Public	5	02/22/2011	It is amazing to see an organization that has the drive and initiative to help military families that deserve all the help they can get. The tireless efforts from this organization assist our soldiers and families with the support they need with issues that arise while deployed. Cirra's Cloud provides a much needed service to those who serve our country.
Cirras Cloud	72056		/users/profile/78790	Cindy	Donor	5	02/21/2011	I proudly donate free spray tanning to help with easing burdens on our military families left behind.  Its an unsung duty taking care of the families that are here waiting for their family member serving our country.  I have participated in dinners, outdoor functions and with the newest venture of the Holistic Center.  Cirras dedication to her country both active duty and non needs to  be properly recognized.  Great job Cirras Cloud!  I am a life long fan.
Cirras Cloud	71918		/users/profile/78637	Jasmine T.	Professional with expertise in this field	5	02/20/2011	This is a great organization. Its incredible to see people out there helping eachother. In order to gain the money to help these families Cirra opened a Holistic Healing Center to raise the money and also to be able to provide very effective modalities to the soldiers, soldiers families, and the people of the community. They offer Reiki, Hypnotherapy, Polarity, Reflexology, Yoga, Belly dancing, and so many other helpful sessions and classes guided and taught by people with such huge hearts. The healing Center also has a store filled with artwork of all kinds from people from around the community. I hihly recommend this place.
Cirras Cloud	71388		/users/profile/78065	Bobbo	General Member of the Public	5	02/19/2011	After many years of serving her country in the U.S. military and being deployed over seas, also in Cuba to  defend our rights. She has been tirelessly working for years to help others who have served, and the families of those brave service men and women. I think any one who stands up to help those who give there time and sometimes ther lives to defend our rights as Americans needs all the support they can get. I am talking about Cirra Turpin who works endlessly running the organization of "CIRRAS CLOUD". I hope she is not alone in the on going work of helping those people who sometimes don't know where to turn.
Virgin Islands Resource Conservation & Development Council	80851		/users/profile/88271	jkowals	Volunteer	5	03/01/2011	VI RC & D is extremely important to the sustainable development of the US Virgin Islands.  It is a place where volunteers, specialists and government agencies can work together toward common goals  for the benefit of all.  The VI RC & D has had great, measurable sucess in many project areas and I look forward to working with this group in the future.
Virgin Islands Resource Conservation & Development Council	80828		/users/profile/88240	Jenn T.	General Member of the Public	4	03/01/2011	VIRC&D is a great local resource for so many Virgin Islanders.  Locals and tourists alike benefit from the activities of this nonprofit.  In addition, all local environmental educators share both physical and mental resources of VIRC&D.  
Virgin Islands Resource Conservation & Development Council	80308		/users/profile/87672	Ertwyn	General Member of the Public	5	02/28/2011	I know that this organization has been involved in many training opportunities for the Virgin Islands residents.  They send young people on summer enrichment programs, they inform visitors and resident the importance of leaving marine organisms in the place.  I have attended Grant Writing workshop that they have sponsored.  They have also been involved in the establishment of the first Rain Garden project on St. Croix, also the creation and maintainance of the Est. Adventure trail which I have had the privilege of trekking.  I wish the organization well and they continue to impact our VI community.
Virgin Islands Resource Conservation & Development Council	80187		/users/profile/87547	Kelly	Professional with expertise in this field	5	02/28/2011	I have lived in the US Virgin Islands for over 15 years and know the work of the Virgin Islands RC&D very well. My background is environmental planning and agriculture: two areas in which VIRC&D have been actively involved for years. Their work ranges from organizing workshops for the community in the design and installation of Rain Gardens to catch, store, and treat non-point sources of water pollution, to assisting the farming community in the development of a variety of projects.Its small staff belies its large impact in our community. VIRC&D staffs work is enjoined by hundreds of volunteers of all ages and walks of life who amplify the creative and dedicated community work this organization undertakes daily.  
Virgin Islands Resource Conservation & Development Council	80142		/users/profile/87501	ACCIMB	Volunteer	5	02/28/2011	VIRCD is a great organization doing many projects which benefit the entire Virgin Islands community. With the hard work of a small staff and willing volunteers VIRCD lives up to its impact statement of making things happen.
Virgin Islands Resource Conservation & Development Council	79858		/users/profile/87203	Jeanne Brown	General Member of the Public	5	02/28/2011	VIRCD is a resourcesful , committed partner capable of impressive projects in the USVI.  They are great to work with and they do good work!
Virgin Islands Resource Conservation & Development Council	79849		/users/profile/87197	Marcia	Volunteer	5	02/28/2011	I have been involved with VI RCD for several years and find that they really get things done!  They go after and get grant funds to enhance the community and protect the environment.  They received funds to develop a nature trail on St. Croix for all to enjoy and are currently working in several watershed to reduce the amount of sediment going into our marine waters.  They are also working to increase awareness of the importance of leaving shells on the beach through the Leave Paradise in its place campaign.  They put on a nonpoint source pollution conference and several grant writing seminars.  These are just some of what they have been doing while I have been a member.
