org	id	likes	reviewer_url	reviewer	type	rating	date	review
Chewonki Foundation Inc	186783	4	/users/profile/243788	Renny Little	Advisor	5	10/31/2013	If you are looking for an organization dedicated to environmental education for students of all ages, look no further than the 501(c)(3) Chewonki Foundation in Wiscasset, Maine.  It will meet your highest expectations (as it has mine), whether your interest is in a summer camp for boys or girls on a 400n acre Roger Tory Peterson Sanctuary on the Maine coast, or to study  up-to-date methods to conserve energy. Programs, led by well trained knowledgeable leaders, stress community building and foundation owned properties throughout Maine offer many ecological habitats for study. They are reached by hikes, boats and kayaks. It has been a pleasure to be associated with Chewonki for over over 70 years as a camper, counselor, board member and advisor. My time there led to advanced degrees and  professional positions in environmental education.  
Chewonki Foundation Inc	185967	2	/users/profile/242940	Carol Ann P.	Volunteer	5	10/30/2013	Chewonki offers campers and students opportunities to unplug, reflect, learn and grow.  My sons have had the challenging and rewarding experience of participating in Wilderness Trips.  And we have a soon-to-be-Semester student in the house!I had the privilege of volunteering in the Development Office for about 3 weeks.  I remain impressed w/ Chewonki's crystal clear mission statement,  generous scholarship awards and the exceptional quality of people that Chewonki attracts and retains. 
Chewonki Foundation Inc	185657	1	/users/profile/242627	outdoors01	Volunteer	5	10/30/2013	Chewonki fosters an appreciation for the simple things, for the environment, for meeting a challenge head on, and for living and working in community with others. This appreciation often shifts a person's (especially a young person's) entire worldview. This is the magic of Chewonki.  You hear over and over and over again: former Chewonki participants say that Chewonki has changed their lives. It changed my life. 
Chewonki Foundation Inc	185649	3	/users/profile/242617	Caitlin C.	Professional with expertise in this field	5	10/30/2013	Never before have I been a part of such a caring and thoughtful community. Both camps (in Wiscasset and at Fourth Debsconeag) attract the most interesting and inspiring people from all around the globe, and I am honored to say that I worked there for two summers. Every trip leader and staff person I have met at Chewonki puts all of their energy and passion into each day. The Chewonki Foundation is an exceptional community filled with beautiful people. I hope to return to Chewonki as a trip leader again. I would hope too that those unfamiliar to this place would come and join us for the days to come!
Chewonki Foundation Inc	184950	2	/users/profile/241885	loonymoose	Client Served	5	10/29/2013	My experience at Chewonki changed my life. After graduating from their semester program, I went on to join their Girls Camp leadership program and later became staff. The lessons that I learned at Chewonki will stay with me forever; more than technical wilderness skills, I learned how to listen, to create and foster community, and to lead others to their own self-discovery. All this because of the outstanding staff and programming at Chewonki.
Chewonki Foundation Inc	184938	1	/users/profile/241873	pchatfield2	Volunteer	5	10/29/2013	Chewonki is a fantastic organization that I hope to stay involved with. One of their programs is a Semester  School for high school juniors, of which I was a student this past spring. It was one of the best things I've ever done! 
Chewonki Foundation Inc	184740	3	/users/profile/241681	grapes101	Client Served	5	10/29/2013	The Chewonki Foundation changed the way I will live my life forever. I went for a semester last year and learned about the importance of finding my true self, exploring the world, how to truly enjoy learning, and it taught me so much about agriculture. The people that are a part of this Foundation have hearts bigger than anyone I have ever met. They are experts in what they teach and their goal is to truly better this world and create leaders that will make a change. I will always go back to Chewonki knowing it is my home and where I found people that cared whole heartedly about me and the things I love. A feeling like that does not come easily and requires a lot of thought and skill. This is such a wonderful foundation in every way shape and form. 
Chewonki Foundation Inc	184565	1	/users/profile/241502	rmarvil	Board Member	5	10/29/2013	The Chewonki Foundation has educated and inspired young people for almost 100 years!  I was a student in a year-round program in 1975, a wilderness trip participant, a wilderness trip leader and now a board member.  Much of what I did in my professional and academic life hails back to what I learned about myself and the interests I developed at Chewonki.  The foundation has a wonderful, vast campus and fantastic staff.  Its teachers lead by example to impart their reverence and knowledge of the natural world, high school academics, wilderness adventures and leadership - the list goes on.  I, like most folks who've had the good fortune of being in a program at Chewonki, was transformed by my experiences there.
Chewonki Foundation Inc	184320	1	/users/profile/241258	efssss	Client Served	5	10/29/2013	No doubt Chewonki changed my life.  Granted, I am one to believe that every experience you have changes your life in some way, but Chewonki changed mine in a significant and positive way.  I have experienced the organization in a few different capacities: I was a semester student during my junior year of high school--a program that provides value for almost anyone, from anywhere.  We worked and learned and explored in atypical ways, and I will certainly never forget those four months.  I keep in touch with my classmates and teachers equally.  Secondly, I participated in Chewonki's Wilderness Leadership Expedition during the summer after the Semester School.  I got a taste of what is a virtually unmatched wilderness trip program for teens, and was able to learn a great deal about white water canoeing technique, as well as leadership skills and wilderness medical training.  It sounds clich but I think I'm going to say it anyway: Chewonki builds an extremely strong bond among its community, such that wherever I go, if I meet a Chewonki person, I know we will have more than enough to talk about 
Chewonki Foundation Inc	184149	1	/users/profile/241091	friends66	Client Served	4	10/29/2013	Chewonki changed my life, and I know it will continue to change the lives of others for decades to come. 
