org	id	likes	reviewer_url	reviewer	type	rating	date	review
Callaway County United Way Inc	153434		/users/profile/204237	LTUW	Board Member	5	04/08/2013	I am proud to be a Board Member of the Callaway County United Way, our board takes business seriously and we do our very best to be good stewards of the monies donated to the United Way. We have an awesome director who goes above and beyond her role to make sure our United Way stays connected with the community. We also reach out to work with the agencies to collaborate efforts amongst agencies to ensure our dollars are most effective. 
Callaway County United Way Inc	152909		/users/profile/69460	CCUWBdMbr	Board Member	5	04/06/2013	As a long time board member and volunteer, I can't say enough good things about our organization.  We have hard-working agencies that strive -- and succeed -- every day to serve the needs of our community. We have a great Executive Director, and a truly engaged board, that cares deeply for this community.  Use of funds are scrutinized to ensure they are used per agreement/needs.  We are always looking back to our mission statement to be sure we are on target, and thinking outside of the box regarding fundraising, security additional volunteers, and making sure our messages and info about programs and services available are being heard by those that need it the most.  Because of the caring people in Callaway County, we are successful in getting the job done!
Callaway County United Way Inc	63530	1	/users/profile/69460	CCUWBdMbr	Board Member	5	02/04/2011	I have been involved with this United Way for approximately 13 years  as a donor, and for the last 5 as a board member and volunteer. We are constantly working to improve our organization -- whether it be through establishing goals, a strategic plan, re-working our mission statement, revising our application and process, trying to "think outside the box" in terms of fundraising, and more.   It is amazing that we are able to accomplish so much for our agencies and community -- and the true reason why can be attributed to the dedication and skills of our one employee.  Not a day goes by without another idea or suggestion is mentioned for ways we might look at our organization differently, or something new we might try in order to reach out both to those in need and those that can help. There is much more that we can do, as the needs of the community are great.  I am happy to be a part of such a dedicated group that is trying to find the best practices - the HOW - to meet these needs.
Callaway County United Way Inc	152531		/users/profile/203504	missy959	Board Member	5	04/05/2013	The Callaway County United Way cares deeply for the people they serve.  There is only one paid member of the board and the pay is minimal.  There is essentially no overhead as there is no rented space and all postage and materials are generally donated.  The board members put in a lot of their time and personal finances to try very hard to make as much money as possible to help the community as well as possible.  The programs and services that the Callaway County United Way help to make possible are numerous...from helping the homeless to find shelter to helping the hungry to obtain food.
Callaway County United Way Inc	152466	1	/users/profile/203457	UW-CCUW	Board Member	5	04/05/2013	The greatest thing about the Callaway County United Way is the number of programs and services made available to our community.   The United Way closely monitors their partner agencies, their programs and services, to make sure the most people are served in our community possible.   The are careful that services are not duplicated.    Working together was can accomplish so much!   
Callaway County United Way Inc	141051		/users/profile/187275	blessed65251	Board Member	5	11/18/2012	When I was asked to serve as a board member for the Callaway County United Way, I was humbled and felt very fortunate to be able to do so.  My life story is not a rags to riches drama, but there were times I needed financial assistance and utilized many of the services offered by the United Way.  As I have matured and started making better decisions for myself and my family, our financial status has improved.  How awesome that I can now give back to a program that I use to receive benefits from. I take being a board member very serious.  I know the importance a donated scout scholarship can make to a struggling family.  I realize what it means to have your utility bill paid during the coldest month of the winter.  I know what a bag of groceries mean to a family in need.  The Callaway County United Way funds 14 agencies that touch so many lives.  The amount of research, care, planning and hard work is not measurable.  Our Executive Director, hundreds of volunteers, agencies and their employees and volunteers are so important to our community.  They are true representatives of the heart of Mid-Missouri.  
Callaway County United Way Inc	135424		/users/profile/181287	whitworth	Professional with expertise in this field	5	11/08/2012	I am now retired, but have worked for Callaway Social service agencies for about 20 years...now a volunteer.  I am so proud of Callaway United Way and all the board and directors do to support local causes.  The generosity of the citizens and the enormous effort the volunteers put into the programs brings a tremendous benefit to all who are served.  We are a large rural county, with a small population as compared to many....but do a fantastic job serving those in need.  Thanks to CCUW!!!
Callaway County United Way Inc	135151		/users/profile/181019	SMath78	Board Member	5	11/07/2012	I am honored to be a (newer) member of the Callaway County United Way (CCUW) Board.  The CCUW helps fund 14 local agencies -- from the American Red Cross (Callaway County Branch) to SERVE, a local food pantry, transportation system, senior volunteer placement agency, and thrift store.  Each agency we partner with provides much-needed services within our community.  Services include providing basic needs like food, shelter, and clothing, providing counseling, crisis intervention, disaster services, healthcare, housing, senior services, support groups, volunteer opportunities and much more.  Vital to our community, the Callaway County United Way is there to help throughout the year.  
Callaway County United Way Inc	134879		/users/profile/68608	LoriT	Board Member	5	11/07/2012	I am so privileged to work with such a dedicated, creative, fun group of people on the CCUW Board! They account for and spend every dollar as though it were their own, working continuously to find innovative ways to raise funds to continue to support the 14 Callaway County United Way Agencies; twelve months a year. We have an awesome Executive Director and because of her we keep our Administrative costs to minimum. 
Callaway County United Way Inc	62753		/users/profile/68608	LoriT	Board Member	5	02/03/2011	The Callaway County United Way's involvement and support continues to grow in our small community. It is an organization that strives to see to it that their campaign dollars go directly to member agencies that support children, senior citizens, the homeless and hungry in our local community. Each year we look for more ways to grown to help us reach out and touch even more individuals in need within our community! 
